rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Chidi Edeh,Unknown,60,34,2,5.21,2012-2014,Edeh,Unknown,6,0,East Bengal FC,Attack - Centre-Forward,"1,82 m",Nigeria,ng,https://www.transfermarkt.us/chidi-edeh/profil/spieler/132705,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,18.08.1987,Lagos,Without Club
2,Ranti Martins,Ranti Martins Soleye,42,33,0,3.647,"2014-2014, 2014-2016",Martins,Unknown,4,0,East Bengal FC,Attack - Centre-Forward,"1,81 m",Nigeria,ng,https://www.transfermarkt.us/ranti-martins/profil/spieler/343462,https://img.a.transfermarkt.technology/portrait/small/343462-1592407413.jpg?lm=1,,05.09.1986,Agege,Retired
3,Cleiton Silva,Cleiton Augusto Oliveira Silva,80,27,10,5.843,2022-2025,Silva,Unknown,16,0,East Bengal FC,Attack - Centre-Forward,"1,75 m",Brazil,br,https://www.transfermarkt.us/cleiton-silva/profil/spieler/281827,https://img.a.transfermarkt.technology/portrait/small/281827-1701409745.jpg?lm=1,,03.02.1987,Manaus,East Bengal FC
4,Dudu,MacPherlin Omagbemi Dudu,35,19,1,2.892,"2014-2014, 2014-2015, 2018-2018",Dudu,Unknown,3,0,East Bengal FC,Attack - Centre-Forward,"1,79 m",Nigeria,ng,https://www.transfermarkt.us/dudu/profil/spieler/57096,https://img.a.transfermarkt.technology/portrait/small/s_57096_12423_2009_1.jpg?lm=1,,18.07.1985,Lagos,SexyPöxyt
5,Lalrindika Ralte,Unknown,110,16,4,8.074,"2012-2014, 2015-2015, 2016-2016, 2016-2017, 2018-2022",Ralte,-,15,0,East Bengal FC,Midfield - Left Midfield,"1,73 m",India,in,https://www.transfermarkt.us/lalrindika-ralte/profil/spieler/211390,https://img.a.transfermarkt.technology/portrait/small/211390-1590146826.png?lm=1,,07.09.1992,Mizoram,Retired
6,Jaime Santos,Jaime Santos Colado,33,14,2,2.755,2018-2025,Santos,Unknown,4,0,East Bengal FC,Midfield - Attacking Midfield,"1,80 m",Spain,es,https://www.transfermarkt.us/jaime-santos/profil/spieler/336830,https://img.a.transfermarkt.technology/portrait/small/336830-1663188824.jpg?lm=1,,27.04.1995,Oviedo,FC La Unión Atlético
7,Naorem Mahesh Singh,নাওরেম মাহেশ সিং,99,14,12,7.232,2022-2025,Singh,-,13,0,East Bengal FC,Attack - Left Winger,"1,67 m",India,in,https://www.transfermarkt.us/naorem-mahesh-singh/profil/spieler/642495,https://img.a.transfermarkt.technology/portrait/small/642495-1696161749.jpg?lm=1,,03.03.1999,"---, Manipur",East Bengal FC
8,Danmawia,Unknown,37,12,1,2.924,2017-2019,Danmawia,-,2,0,East Bengal FC,Attack - Left Winger,"1,63 m",India,in,https://www.transfermarkt.us/danmawia/profil/spieler/480793,https://img.a.transfermarkt.technology/portrait/small/480793-1590927328.jpg?lm=1,,19.12.1992,"---, Mizoram",Without Club
9,Willis Plaza,Willis Deon Plaza,28,11,1,2.138,,Plaza,9,2,1,East Bengal FC,Attack - Centre-Forward,"1,88 m",Trinidad and Tobago,tt,https://www.transfermarkt.us/willis-plaza/profil/spieler/113483,https://img.a.transfermarkt.technology/portrait/small/113483-1589348759.jpg?lm=1,,03.08.1987,Mount Hope,Without Club
10,Saúl Crespo,Saúl Crespo Prieto,47,11,4,3.913,2023-2025,Crespo,Unknown,12,0,East Bengal FC,Midfield - Central Midfield,"1,86 m",Spain,es,https://www.transfermarkt.us/saul-crespo/profil/spieler/387557,https://img.a.transfermarkt.technology/portrait/small/387557-1723040870.jpg?lm=1,,23.07.1996,Ponferrada,East Bengal FC
11,Joby Justin,ജോബി ജസ്റ്റിൻ,27,11,1,2.019,2017-2019,Justin,9,1,0,East Bengal FC,Attack - Centre-Forward,"1,76 m",India,in,https://www.transfermarkt.us/joby-justin/profil/spieler/559428,https://img.a.transfermarkt.technology/portrait/small/559428-1669278468.png?lm=1,,10.11.1993,"Thiruvananthapuram, Kerala",Diamond Harbour FC
12,Nandha Kumar Sekar,Unknown,53,11,5,3.906,2023-2025,Unknown,Unknown,6,1,East Bengal FC,Unknown,Unknown,India,in,https://www.transfermarkt.us/nandha-kumar-sekar/profil/spieler/489276,https://img.a.transfermarkt.technology/portrait/small/489276-1727333898.jpg?lm=1,,20.12.1995,Unknown,East Bengal FC
13,Robin Singh,Unknown,44,10,0,2.556,"2010-2013, 2017-2017",Singh,-,5,0,East Bengal FC,Attack - Centre-Forward,"1,85 m",India,in,https://www.transfermarkt.us/robin-singh/profil/spieler/188148,https://img.a.transfermarkt.technology/portrait/small/188148-1588664971.png?lm=1,,09.05.1990,"Noida, Uttar Pradesh",Without Club
