rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Bartholomew Ogbeche,Bartholomew Owogbalor Ogbeche,47,33,3,3.705,2021-2023,Ogbeche,-,5,0,Hyderabad FC,Attack - Centre-Forward,"1,80 m",Nigeria,ng,https://www.transfermarkt.us/bartholomew-ogbeche/profil/spieler/5574,https://img.a.transfermarkt.technology/portrait/small/5574-1418927419.jpg?lm=1,,01.10.1984,Ogoja,Retired
2,Javi Siverio,Javier Siverio Toro,54,16,2,2.6,2021-2023,Siverio,Unknown,4,0,Hyderabad FC,Attack - Centre-Forward,"1,82 m",Spain,es,https://www.transfermarkt.us/javi-siverio/profil/spieler/521547,https://img.a.transfermarkt.technology/portrait/small/521547-1730438794.jpg?lm=1,,14.11.1997,Santa Cruz de Tenerife,Jamshedpur FC
3,João Victor,João Victor de Albuquerque Bruno,80,14,3,6.551,2020-2024,Victor,Unknown,13,0,Hyderabad FC,Midfield - Defensive Midfield,"1,79 m",Brazil,br,https://www.transfermarkt.us/joao-victor/profil/spieler/54996,https://img.a.transfermarkt.technology/portrait/small/54996-1697290841.JPG?lm=1,,07.11.1988,Olinda,Without Club
4,Joel Chianese,Joel Joseph Chianese,57,11,7,3.173,"2020-2021, 2021-2023",Chianese,Unknown,6,0,Hyderabad FC,Attack - Centre-Forward,"1,80 m",Australia,au,https://www.transfermarkt.us/joel-chianese/profil/spieler/177832,https://img.a.transfermarkt.technology/portrait/small/177832-1671000923.jpg?lm=1,,15.02.1990,Sydney,Perth RedStar FC
5,Aridane Santana,Aridane Jesús Santana Cabrera,18,10,2,1.598,2020-2021,Santana,Unknown,4,0,Hyderabad FC,Attack - Centre-Forward,"1,91 m",Spain,es,https://www.transfermarkt.us/aridane-santana/profil/spieler/72222,https://img.a.transfermarkt.technology/portrait/small/72222-1589907398.jpeg?lm=1,,31.03.1987,Vecindario,UD San Fernando
6,Halicharan Narzary,Unknown,53,8,8,3.622,2020-2023,Narzary,19,1,0,Hyderabad FC,Attack - Left Winger,"1,80 m",India,in,https://www.transfermarkt.us/halicharan-narzary/profil/spieler/343461,https://img.a.transfermarkt.technology/portrait/small/343461-1712325841.png?lm=1,,10.05.1994,"Kokrajhar,  Assam",Bengaluru FC
7,Marcelinho,Unknown,17,7,2,1.438,2019-2020,Marcelinho,Unknown,6,0,Hyderabad FC,Attack - Left Winger,"1,73 m",Brazil,br,https://www.transfermarkt.us/marcelinho/profil/spieler/67955,https://img.a.transfermarkt.technology/portrait/small/67955-1417010346.png?lm=1,,22.06.1987,Rio de Janeiro,Retired
8,Mohammed Yasir,Unknown,91,6,15,6.088,"2019-2024, 2024-2024",Yasir,16,7,1,Hyderabad FC,Attack - Right Winger,"1,69 m",India,in,https://www.transfermarkt.us/mohammed-yasir/profil/spieler/523645,https://img.a.transfermarkt.technology/portrait/small/523645-1712241615.png?lm=1,,14.04.1998,"Imphal, Manipur",FC Goa
9,Ramhlunchhunga,Unknown,45,6,4,3.182,"2022-2022, 2023-2025",Ramhlunchhunga,Unknown,3,0,Hyderabad FC,Attack - Centre-Forward,Unknown,India,in,https://www.transfermarkt.us/ramhlunchhunga/profil/spieler/734346,https://img.a.transfermarkt.technology/portrait/small/734346-1619113984.png?lm=1,,24.04.2001,"---, Mizoram",Hyderabad FC
10,Borja Herrera,Borja Herrera González,30,5,9,1.713,2022-2023,Herrera,Unknown,1,0,Hyderabad FC,Midfield - Attacking Midfield,"1,78 m",Spain,es,https://www.transfermarkt.us/borja-herrera/profil/spieler/311277,https://img.a.transfermarkt.technology/portrait/small/311277-1712241874.png?lm=1,,08.01.1993,Las Palmas de Gran Canaria,FC Goa
11,Bobô,Unknown,13,5,1,1.09,2019-2020,Bobô,-,1,0,Hyderabad FC,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/bobo/profil/spieler/37944,https://img.a.transfermarkt.technology/portrait/small/37944-1646999123.jpg?lm=1,,09.01.1985,Gravatá,Retired
12,Fran Sandaza,Francisco José Sandaza Asensio,11,4,2,344.0,2020-2021,Sandaza,Unknown,1,0,Hyderabad FC,Attack - Centre-Forward,"1,87 m",Spain,es,https://www.transfermarkt.us/fran-sandaza/profil/spieler/65350,https://img.a.transfermarkt.technology/portrait/small/65350-1623919543.jpg?lm=1,,30.11.1984,Toledo,Without Club
13,Aaren D'Silva,Unknown,39,4,1,1.118,2021-2024,D'Silva,Unknown,2,0,Hyderabad FC,Attack - Centre-Forward,"1,86 m",India,in,https://www.transfermarkt.us/aaren-dsilva/profil/spieler/630382,https://img.a.transfermarkt.technology/portrait/small/630382-1697286268.JPG?lm=1,,12.12.1997,"Margao, Goa",FC Goa
14,Liston Colaco,लिस्टन कोलासो,23,4,3,1.172,2020-2021,Colaco,13,1,0,Hyderabad FC,Attack - Left Winger,"1,78 m",India,in,https://www.transfermarkt.us/liston-colaco/profil/spieler/552373,https://img.a.transfermarkt.technology/portrait/small/552373-1727336079.JPG?lm=1,,12.11.1998,"Davorlim, Goa",Mohun Bagan Super Giant
15,Allan Paulista,Unknown,23,4,1,1.476,2024-2025,Allan Paulista,Unknown,1,0,Hyderabad FC,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/allan-paulista/profil/spieler/1098080,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,08.07.1999,São Paulo,Hyderabad FC
16,Akash Mishra,आकाश मिश्रा,68,3,4,6.106,2020-2023,Mishra,6,9,0,Hyderabad FC,Defender - Left-Back,"1,78 m",India,in,https://www.transfermarkt.us/akash-mishra/profil/spieler/642347,https://img.a.transfermarkt.technology/portrait/small/642347-1712253117.png?lm=1,,27.11.2001,"Balrampur, Uttar Pradesh",Mumbai City FC
17,Chinglensana Singh,Chinglensana Konsham Singh,74,3,0,6.503,2020-2024,Singh,4,10,1,Hyderabad FC,Defender - Centre-Back,"1,85 m",India,in,https://www.transfermarkt.us/chinglensana-singh/profil/spieler/416247,https://img.a.transfermarkt.technology/portrait/small/416247-1712328168.png?lm=1,,23.11.1996,"Churachandpur, Manipur",Bengaluru FC
18,Andrei Alba,Unknown,20,3,1,1.721,2024-2025,Alba,Unknown,3,0,Hyderabad FC,Midfield - Defensive Midfield,"1,84 m",Brazil,br,https://www.transfermarkt.us/andrei-alba/profil/spieler/432962,https://img.a.transfermarkt.technology/portrait/small/432962-1716087261.jpg?lm=1,,14.01.1995,Florianópolis,Hyderabad FC
19,Marko Stankovic,Marko Stanković,15,2,1,1.193,2019-2020,Stankovic,10,5,0,Hyderabad FC,Midfield - Central Midfield,"1,78 m",Austria,at,https://www.transfermarkt.us/marko-stankovic/profil/spieler/17042,https://img.a.transfermarkt.technology/portrait/small/17042-1503152346.jpg?lm=1,,17.02.1986,Krems,Retired
20,Joseph Sunny,Unknown,24,2,0,1.42,2024-2025,Sunny,Unknown,3,0,Hyderabad FC,Attack - Centre-Forward,Unknown,India,in,https://www.transfermarkt.us/joseph-sunny/profil/spieler/1005036,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,13.10.2003,"---, Kerala",Hyderabad FC
21,Edu García,Eduardo García Martín,11,2,1,550.0,2021-2022,García,Unknown,0,0,Hyderabad FC,Midfield - Attacking Midfield,"1,82 m",Spain,es,https://www.transfermarkt.us/edu-garcia/profil/spieler/221985,https://img.a.transfermarkt.technology/portrait/small/221985-1580981081.jpg?lm=1,,24.04.1990,Zaragoza,Shenzhen Peng City
22,Aniket Jadhav,Aniket Anil Jadhav,20,2,3,1.145,2021-2022,Jadhav,-,3,0,Hyderabad FC,Attack - Right Winger,"1,73 m",India,in,https://www.transfermarkt.us/aniket-jadhav/profil/spieler/468151,https://img.a.transfermarkt.technology/portrait/small/468151-1712333791.png?lm=1,,13.07.2000,"Kolhapur, Maharashtra",Jamshedpur FC
