rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Daniel Chima Chukwu,Unknown,55,21,4,4.108,2022-2024,Chukwu,Unknown,9,1,Jamshedpur FC,Attack - Centre-Forward,"1,80 m",Nigeria,ng,https://www.transfermarkt.us/daniel-chima-chukwu/profil/spieler/146561,https://img.a.transfermarkt.technology/portrait/small/146561-1704013881.JPG?lm=1,,04.04.1991,Kano,Chennaiyin FC
2,Ritwik Das,Ritwik Kumar Das,49,11,4,2.797,2021-2025,Das,14,1,0,Jamshedpur FC,Attack - Left Winger,"1,74 m",India,in,https://www.transfermarkt.us/ritwik-das/profil/spieler/630071,https://img.a.transfermarkt.technology/portrait/small/630071-1617720155.jpeg?lm=1,,14.12.1996,"Burnpur, West Bengal",Jamshedpur FC
3,Javi Siverio,Javier Siverio Toro,33,11,0,2.123,,Siverio,Unknown,7,0,Jamshedpur FC,Attack - Centre-Forward,"1,82 m",Spain,es,https://www.transfermarkt.us/javi-siverio/profil/spieler/521547,https://img.a.transfermarkt.technology/portrait/small/521547-1730438794.jpg?lm=1,,14.11.1997,Santa Cruz de Tenerife,Jamshedpur FC
4,Jordan Murray,Unknown,39,11,0,1.998,"2021-2022, 2024-2025",Murray,Unknown,4,0,Jamshedpur FC,Attack - Centre-Forward,"1,82 m",Australia,au,https://www.transfermarkt.us/jordan-murray/profil/spieler/603438,https://img.a.transfermarkt.technology/portrait/small/603438-1717830700.png?lm=1,,02.10.1995,Wollongong,Jamshedpur FC
5,Greg Stewart,Unknown,21,10,10,1.752,2021-2022,Stewart,Unknown,5,0,Jamshedpur FC,Attack - Centre-Forward,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/greg-stewart/profil/spieler/156775,https://img.a.transfermarkt.technology/portrait/small/156775-1727283563.JPG?lm=1,,17.03.1990,Stirling,Mohun Bagan Super Giant
6,Nerijus Valskis,Unknown,24,10,1,2.016,2020-2022,Valskis,10,4,0,Jamshedpur FC,Attack - Centre-Forward,"1,85 m",Lithuania,lt,https://www.transfermarkt.us/nerijus-valskis/profil/spieler/42665,https://img.a.transfermarkt.technology/portrait/small/42665-1587733707.jpg?lm=1,,04.08.1987,Klaipeda,Retired
7,Sanan Mohammed K,Unknown,50,8,3,2.957,2023-2025,Unknown,Unknown,3,0,Jamshedpur FC,Unknown,Unknown,India,in,https://www.transfermarkt.us/sanan-mohammed-k/profil/spieler/1005296,https://img.a.transfermarkt.technology/portrait/small/1005296-1722331507.png?lm=1,,05.04.2004,Unknown,Jamshedpur FC
8,Rei Tachikawa,立川 嶺,52,8,3,2.99,2023-2025,Tachikawa,Unknown,4,0,Jamshedpur FC,Midfield - Central Midfield,"1,78 m",Japan,jp,https://www.transfermarkt.us/rei-tachikawa/profil/spieler/657158,https://img.a.transfermarkt.technology/portrait/small/657158-1696586768.JPG?lm=1,,18.01.1998,Unknown,Jamshedpur FC
9,Javi Hernández,Francisco Javier Hernández González,23,7,3,1.98,2024-2025,Hernández,-,3,0,Jamshedpur FC,Midfield - Attacking Midfield,"1,84 m",Spain,es,https://www.transfermarkt.us/javi-hernandez/profil/spieler/62917,https://img.a.transfermarkt.technology/portrait/small/62917-1697282120.jpg?lm=1,,06.06.1989,Salamanca,Jamshedpur FC
10,Sergio Castel,Sergio Castel Martínez,11,7,0,866.0,2019-2020,Castel,Unknown,1,0,Jamshedpur FC,Attack - Centre-Forward,"1,88 m",Spain,es,https://www.transfermarkt.us/sergio-castel/profil/spieler/311264,https://img.a.transfermarkt.technology/portrait/small/311264-1675802645.jpg?lm=1,,22.02.1995,Las Rozas,Without Club
11,Stephen Eze,Unknown,41,7,0,3.437,"2020-2021, 2024-2025",Eze,-,6,0,Jamshedpur FC,Defender - Centre-Back,"1,98 m",Nigeria,ng,https://www.transfermarkt.us/stephen-eze/profil/spieler/562216,https://img.a.transfermarkt.technology/portrait/small/562216-1579659405.png?lm=1,,08.03.1994,Makurdi,Jamshedpur FC
12,Boris Singh,Boris Singh Thangjam,44,7,4,2.824,2021-2023,Singh,-,4,0,Jamshedpur FC,Midfield - Right Midfield,"1,61 m",India,in,https://www.transfermarkt.us/boris-singh/profil/spieler/468143,https://img.a.transfermarkt.technology/portrait/small/468143-1712241987.png?lm=1,,03.01.2000,"Imphal, Manipur",FC Goa
13,Peter Hartley,Unknown,47,6,0,3.919,2020-2023,Hartley,Unknown,16,1,Jamshedpur FC,Defender - Centre-Back,"1,87 m",England,unknown,https://www.transfermarkt.us/peter-hartley/profil/spieler/41132,https://img.a.transfermarkt.technology/portrait/small/41132-1699710158.jpg?lm=1,,03.04.1988,Hartlepool,Retired
14,Ishan Pandita,इशान पंडिता,36,6,0,1.119,2021-2023,Pandita,26,0,0,Jamshedpur FC,Attack - Centre-Forward,"1,83 m",India,in,https://www.transfermarkt.us/ishan-pandita/profil/spieler/664564,https://img.a.transfermarkt.technology/portrait/small/664564-1701873414.JPG?lm=1,,26.05.1998,"New Delhi, Delhi",Kerala Blasters FC
15,Jérémy Manzorro,Unknown,24,6,2,2.006,2023-2024,Manzorro,Unknown,3,0,Jamshedpur FC,Midfield - Attacking Midfield,"1,73 m",France,fr,https://www.transfermarkt.us/jeremy-manzorro/profil/spieler/163743,https://img.a.transfermarkt.technology/portrait/small/163743-1648299870.png?lm=1,,11.11.1991,Villeurbanne,Mumbai City FC
16,Carlos Calvo,Carlos Calvo Sobrado,16,5,6,1.084,2018-2019,Calvo,Unknown,2,0,Jamshedpur FC,Attack - Right Winger,"1,74 m",Spain,es,https://www.transfermarkt.us/carlos-calvo/profil/spieler/57924,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,18.09.1985,Madrid,Retired
17,Harry Sawyer,Harrison Hickey Sawyer,22,5,5,1.012,2022-2023,Sawyer,Unknown,1,0,Jamshedpur FC,Attack - Centre-Forward,"1,95 m",Australia,au,https://www.transfermarkt.us/harry-sawyer/profil/spieler/483593,https://img.a.transfermarkt.technology/portrait/small/483593-1628424160.jpg?lm=1,,31.12.1996,Brisbane,Macarthur FC
18,Seiminlen Doungel,Unknown,83,5,2,3.524,"2021-2021, 2021-2025",Doungel,16,9,0,Jamshedpur FC,Attack - Left Winger,"1,72 m",India,in,https://www.transfermarkt.us/seiminlen-doungel/profil/spieler/343421,https://img.a.transfermarkt.technology/portrait/small/343421-1589184018.jpg?lm=1,,03.01.1994,"Saikul, Manipur",Jamshedpur FC
19,Pablo Morgado,Pablo Morgado Blanco,14,5,1,744.0,2018-2019,Morgado,Unknown,0,0,Jamshedpur FC,Attack - Centre-Forward,"1,79 m",Spain,es,https://www.transfermarkt.us/pablo-morgado/profil/spieler/73148,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,31.05.1989,Valencia,CF Benidorm
20,Sergio Cidoncha,Sergio Cidoncha Fernández,13,4,3,1.101,2018-2019,Cidoncha,Unknown,2,0,Jamshedpur FC,Midfield - Central Midfield,"1,81 m",Spain,es,https://www.transfermarkt.us/sergio-cidoncha/profil/spieler/221294,https://img.a.transfermarkt.technology/portrait/small/221294-1590931451.jpg?lm=1,,27.08.1990,San Lorenzo del Escorial,CD Móstoles URJC
21,Matheus Trindade,Unknown,17,4,0,1.098,2017-2018,Matheus Trindade,Unknown,2,0,Jamshedpur FC,Midfield - Defensive Midfield,"1,75 m",Brazil,br,https://www.transfermarkt.us/matheus-trindade/profil/spieler/395060,https://img.a.transfermarkt.technology/portrait/small/395060-1681675699.jpg?lm=1,,05.03.1996,Rio de Janeiro,Criciúma Esporte Clube
22,Farukh Choudhary,Unknown,73,4,6,4.471,"2017-2020, 2021-2023",Unknown,Unknown,6,0,Jamshedpur FC,Unknown,Unknown,India,in,https://www.transfermarkt.us/farukh-choudhary/profil/spieler/462120,https://img.a.transfermarkt.technology/portrait/small/462120-1717830095.png?lm=1,,08.11.1996,Unknown,Chennaiyin FC
23,Michael Soosairaj,Unknown,14,4,0,909.0,2018-2019,Soosairaj,25,0,0,Jamshedpur FC,Attack - Left Winger,"1,74 m",India,in,https://www.transfermarkt.us/michael-soosairaj/profil/spieler/479282,https://img.a.transfermarkt.technology/portrait/small/479282-1712334147.png?lm=1,,30.10.1994,"Eraviputhenthurai, Kanyakumari, Tamil Nadu",Gokulam Kerala FC
24,Noé Acosta,Noé Acosta Rivera,15,3,2,997.0,2019-2020,Acosta,Unknown,3,0,Jamshedpur FC,Attack - Left Winger,"1,77 m",Spain,es,https://www.transfermarkt.us/noe-acosta/profil/spieler/156896,https://img.a.transfermarkt.technology/portrait/small/156896-1493711609.jpg?lm=1,,10.12.1983,Guadalajara,Unknown
25,Imran Khan,Unknown,50,3,7,3.648,2023-2025,Khan,-,3,0,Jamshedpur FC,Attack - Left Winger,Unknown,India,in,https://www.transfermarkt.us/imran-khan/profil/spieler/622311,https://img.a.transfermarkt.technology/portrait/small/622311-1722331592.png?lm=1,,01.03.1995,"---, Manipur",Jamshedpur FC
26,Mario Arqués,Mario Arqués Blasco,18,3,2,1.569,2018-2019,Arqués,Unknown,2,0,Jamshedpur FC,Midfield - Central Midfield,"1,85 m",Spain,es,https://www.transfermarkt.us/mario-arques/profil/spieler/223779,https://img.a.transfermarkt.technology/portrait/small/223779-1503691479.jpg?lm=1,,14.01.1992,Alicante,Without Club
27,Memo,Unknown,57,3,2,5.052,2017-2020,Memo,Unknown,7,0,Jamshedpur FC,Midfield - Attacking Midfield,"1,79 m",Brazil,br,https://www.transfermarkt.us/memo/profil/spieler/261457,https://img.a.transfermarkt.technology/portrait/small/s_261457_1134_2012_1.jpg?lm=1,,14.02.1988,Bonito,América FC (PE)
28,Sumeet Passi,Unknown,30,3,3,1.755,2017-2020,Passi,9,8,0,Jamshedpur FC,Attack - Centre-Forward,"1,79 m",India,in,https://www.transfermarkt.us/sumeet-passi/profil/spieler/416411,https://img.a.transfermarkt.technology/portrait/small/416411-1699710664.jpg?lm=1,,12.09.1994,"Yamuna Nagar, Chandigarh",Inter Kashi
29,Pratik Chaudhari,प्रतीक प्रभाकर चौधरी,79,3,0,6.576,"2018-2019, 2022-2025",Chaudhari,Unknown,20,0,Jamshedpur FC,Defender - Centre-Back,"1,86 m",India,in,https://www.transfermarkt.us/pratik-chaudhari/profil/spieler/416256,https://img.a.transfermarkt.technology/portrait/small/416256-1589460234.jpg?lm=1,,04.10.1989,"Mumbai, Maharashtra",Jamshedpur FC
30,Izu Azuka,Izuchukwu Bobo Azuka,17,3,1,1.243,2017-2018,Azuka,-,3,0,Jamshedpur FC,Attack - Centre-Forward,"1,83 m",Nigeria,ng,https://www.transfermarkt.us/izu-azuka/profil/spieler/162437,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,24.05.1989,Port Harcourt,Unknown
31,David Grande,Francisco David Grande Serrano,14,3,0,891.0,2020-2021,Grande,Unknown,0,0,Jamshedpur FC,Attack - Centre-Forward,"1,82 m",Spain,es,https://www.transfermarkt.us/david-grande/profil/spieler/285969,https://img.a.transfermarkt.technology/portrait/small/285969-1617956398.jpeg?lm=1,,08.02.1991,Torrejón de Ardoz,CD Badajoz
32,Wellington Priori,Wellington Cirino Priori,17,3,1,1.352,"2018-2018, 2022-2023",Priori,Unknown,4,0,Jamshedpur FC,Defender - Centre-Back,"1,90 m",Brazil,br,https://www.transfermarkt.us/wellington-priori/profil/spieler/423981,https://img.a.transfermarkt.technology/portrait/small/423981-1659457796.png?lm=1,,21.02.1990,São Paulo,Ayutthaya United
33,Tiri,Unknown,49,3,1,4.33,2017-2020,Tiri,Unknown,8,0,Jamshedpur FC,Defender - Centre-Back,"1,86 m",Spain,es,https://www.transfermarkt.us/tiri/profil/spieler/246420,https://img.a.transfermarkt.technology/portrait/small/246420-1742328307.JPG?lm=1,,14.07.1991,Los Barrios,Mumbai City FC
34,Rafael Crivellaro,Rafael Schuler Crivellaro,13,2,4,938.0,2022-2023,Crivellaro,Unknown,1,0,Jamshedpur FC,Midfield - Attacking Midfield,"1,87 m",Brazil,br,https://www.transfermarkt.us/rafael-crivellaro/profil/spieler/145692,https://img.a.transfermarkt.technology/portrait/small/145692-1701410271.JPG?lm=1,,18.02.1989,Porto Alegre,Without Club
35,Jay Emmanuel-Thomas,Jay Aston Emmanuel-Thomas,21,2,0,1.559,2022-2023,Emmanuel-Thomas,-,0,0,Jamshedpur FC,Midfield - Attacking Midfield,"1,91 m",England,unknown,https://www.transfermarkt.us/jay-emmanuel-thomas/profil/spieler/27969,https://img.a.transfermarkt.technology/portrait/small/s_27969_698_2013_09_23_1.jpg?lm=1,,27.12.1990,London,Without Club
36,Ashim Biswas,Unknown,8,2,1,275.0,2017-2018,Biswas,-,0,0,Jamshedpur FC,Attack - Second Striker,"1,78 m",India,in,https://www.transfermarkt.us/ashim-biswas/profil/spieler/523644,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,20.12.1983,Kolkata,Diamond Harbour FC
37,Yumnam Raju,Yumnam Raju Mangang,16,2,0,1.216,2017-2019,Raju,Unknown,2,0,Jamshedpur FC,Defender - Centre-Back,"1,70 m",India,in,https://www.transfermarkt.us/yumnam-raju/profil/spieler/382370,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,03.07.1989,"---, Manipur",Without Club
38,Steve Ambri,Steve Brahim Joshep Omar Ambri,9,2,0,367.0,2023-2024,Ambri,9,1,0,Jamshedpur FC,Attack - Right Winger,"1,83 m",Guinea-Bissau,gw,https://www.transfermarkt.us/steve-ambri/profil/spieler/457780,https://img.a.transfermarkt.technology/portrait/small/457780-1657779274.png?lm=1,,12.08.1997,Mont-Saint-Aignan,Without Club
39,Tim Cahill,Timothy Filiga Cahill,11,2,1,518.0,2018-2019,Cahill,4,0,0,Jamshedpur FC,Midfield - Attacking Midfield,"1,78 m",Australia,au,https://www.transfermarkt.us/tim-cahill/profil/spieler/13556,https://img.a.transfermarkt.technology/portrait/small/13556-1470905467.jpg?lm=1,,06.12.1979,Sydney,Retired
40,Aniket Jadhav,Aniket Anil Jadhav,37,2,0,1.476,"2018-2018, 2019-2021, 2024-2025",Jadhav,-,5,0,Jamshedpur FC,Attack - Right Winger,"1,73 m",India,in,https://www.transfermarkt.us/aniket-jadhav/profil/spieler/468151,https://img.a.transfermarkt.technology/portrait/small/468151-1712333791.png?lm=1,,13.07.2000,"Kolhapur, Maharashtra",Jamshedpur FC
41,C.K. Vineeth,Chekiyot Kizhakkeveettill Vineeth,10,1,0,550.0,2019-2020,Vineeth,-,0,0,Jamshedpur FC,Midfield - Right Midfield,"1,76 m",India,in,https://www.transfermarkt.us/c-k-vineeth/profil/spieler/315434,https://img.a.transfermarkt.technology/portrait/small/315434-1587125026.png?lm=1,,20.05.1988,"Kannur, Kerala",Thrissur Magic FC
42,Lalruatmawia,Unknown,4,1,1,337.0,2021-2022,Lalruatmawia,Unknown,0,0,Jamshedpur FC,Attack,Unknown,India,in,https://www.transfermarkt.us/lalruatmawia/profil/spieler/927105,https://img.a.transfermarkt.technology/portrait/small/927105-1663526490.jpg?lm=1,,10.12.2003,"---, Mizoram",Chanmari FC
43,Gourav Mukhi,Unknown,4,1,1,230.0,"2018-2018, 2019-2020",Mukhi,Unknown,0,0,Jamshedpur FC,Attack - Centre-Forward,Unknown,India,in,https://www.transfermarkt.us/gourav-mukhi/profil/spieler/619920,https://img.a.transfermarkt.technology/portrait/small/619920-1593588822.png?lm=1,,20.03.1998,"Dhatkidih, Jharkhand",BSS Sporting
44,Tapan Haldar,Unknown,3,1,0,83.0,2022-2025,Haldar,Unknown,0,0,Jamshedpur FC,Attack,Unknown,India,in,https://www.transfermarkt.us/tapan-haldar/profil/spieler/842537,https://img.a.transfermarkt.technology/portrait/small/842537-1663528279.JPG?lm=1,,10.01.2004,"---, West Bengal",Jamshedpur FC II
