rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Dimitrios Diamantakos,Δημήτριος Διαμαντάκος,44,28,7,3.61,2022-2024,Diamantakos,16,7,0,Kerala Blasters FC,Attack - Centre-Forward,"1,82 m",Greece,gr,https://www.transfermarkt.us/dimitrios-diamantakos/profil/spieler/136641,https://img.a.transfermarkt.technology/portrait/small/136641-1742324915.jpg?lm=1,,05.03.1993,Piräus,East Bengal FC
2,Adrián Luna,Adrián Nicolás Luna Retamar,83,15,26,7.175,2021-2025,Luna,7,14,0,Kerala Blasters FC,Midfield - Attacking Midfield,"1,69 m",Uruguay,uy,https://www.transfermarkt.us/adrian-luna/profil/spieler/131113,https://img.a.transfermarkt.technology/portrait/small/131113-1701328770.jpg?lm=1,,12.04.1992,Tacuarembó,Kerala Blasters FC
3,Bartholomew Ogbeche,Bartholomew Owogbalor Ogbeche,16,15,1,1.317,"2019-2020, 2021-2021",Ogbeche,-,3,0,Kerala Blasters FC,Attack - Centre-Forward,"1,80 m",Nigeria,ng,https://www.transfermarkt.us/bartholomew-ogbeche/profil/spieler/5574,https://img.a.transfermarkt.technology/portrait/small/5574-1418927419.jpg?lm=1,,01.10.1984,Ogoja,Retired
4,Kwame Peprah,Unknown,41,14,5,2.591,2023-2025,Peprah,-,3,0,Kerala Blasters FC,Attack - Centre-Forward,"1,81 m",Ghana,gh,https://www.transfermarkt.us/kwame-peprah/profil/spieler/734658,https://img.a.transfermarkt.technology/portrait/small/734658-1701328689.JPG?lm=1,,16.12.2000,Kumasi,Kerala Blasters FC
5,Noah Sadaoui,نوح وائل سعداوي,23,13,7,1.799,2024-2025,Sadaoui,31,2,0,Kerala Blasters FC,Attack - Left Winger,"1,80 m",Morocco,ma,https://www.transfermarkt.us/noah-sadaoui/profil/spieler/331478,https://img.a.transfermarkt.technology/portrait/small/331478-1697468291.jpg?lm=1,,14.09.1993,Casablanca,Kerala Blasters FC
6,Jesús Jiménez,Jesús Jiménez Núñez,18,11,1,1.346,2024-2025,Jiménez,Unknown,0,0,Kerala Blasters FC,Attack - Centre-Forward,"1,83 m",Spain,es,https://www.transfermarkt.us/jesus-jimenez/profil/spieler/510545,https://img.a.transfermarkt.technology/portrait/small/510545-1727333911.jpg?lm=1,,05.11.1993,Leganés,Kerala Blasters FC
7,C.K. Vineeth,Chekiyot Kizhakkeveettill Vineeth,43,11,3,3.012,"2015-2015, 2016-2016, 2017-2019, 2019-2019",Vineeth,-,5,0,Kerala Blasters FC,Midfield - Right Midfield,"1,76 m",India,in,https://www.transfermarkt.us/c-k-vineeth/profil/spieler/315434,https://img.a.transfermarkt.technology/portrait/small/315434-1587125026.png?lm=1,,20.05.1988,"Kannur, Kerala",Thrissur Magic FC
8,Iain Hume,Iain Edward Hume,29,10,3,2.135,"2014-2015, 2017-2018",Hume,7,5,0,Kerala Blasters FC,Attack - Centre-Forward,"1,70 m",Canada,ca,https://www.transfermarkt.us/iain-hume/profil/spieler/34207,https://img.a.transfermarkt.technology/portrait/small/s_34207_466_2013_12_17_1.jpg?lm=1,,30.10.1983,Edinburgh,Retired
9,Sahal Abdul Samad,സഹൽ അബ്ദുൽ സമദ്,97,10,9,6.206,2017-2023,Samad,12,11,0,Kerala Blasters FC,Midfield - Attacking Midfield,"1,76 m",India,in,https://www.transfermarkt.us/sahal-abdul-samad/profil/spieler/560761,https://img.a.transfermarkt.technology/portrait/small/560761-1663864320.jpg?lm=1,,01.04.1997,Al-Ain,Mohun Bagan Super Giant
10,Mohammed Aimen,Unknown,47,9,9,2.589,2023-2025,Unknown,Unknown,3,0,Kerala Blasters FC,Unknown,Unknown,India,in,https://www.transfermarkt.us/mohammed-aimen/profil/spieler/1004494,https://img.a.transfermarkt.technology/portrait/small/1004494-1712159604.png?lm=1,,20.01.2003,Unknown,Kerala Blasters FC
11,Rahul KP,Rahul Kannoly Praveen,89,9,5,5.126,2019-2025,KP,16,18,0,Kerala Blasters FC,Attack - Right Winger,"1,64 m",India,in,https://www.transfermarkt.us/rahul-kp/profil/spieler/543346,https://img.a.transfermarkt.technology/portrait/small/543346-1742318032.JPG?lm=1,,16.03.2000,"Thrissur, Kerala",Odisha FC
12,Jorge Pereyra Díaz,Jorge Rolando Pereyra Díaz,21,8,1,1.541,2021-2022,Pereyra Díaz,Unknown,7,1,Kerala Blasters FC,Attack - Centre-Forward,"1,79 m",Argentina,ar,https://www.transfermarkt.us/jorge-pereyra-diaz/profil/spieler/129660,https://img.a.transfermarkt.technology/portrait/small/129660-1701332013.jpg?lm=1,,05.08.1990,La Rioja,Bengaluru FC
13,Álvaro Vázquez,Álvaro Vázquez García,23,8,2,1.847,2021-2022,Vázquez,-,4,0,Kerala Blasters FC,Attack - Centre-Forward,"1,82 m",Spain,es,https://www.transfermarkt.us/alvaro-vazquez/profil/spieler/141835,https://img.a.transfermarkt.technology/portrait/small/141835-1447230466.jpg?lm=1,,27.04.1991,Badalona,CF Badalona
14,Raphaël Messi Bouli,Raphaël Éric Messi Bouli,17,8,2,1.209,2019-2020,Messi Bouli,9,5,0,Kerala Blasters FC,Attack - Centre-Forward,"1,86 m",Cameroon,cm,https://www.transfermarkt.us/raphael-messi-bouli/profil/spieler/551149,https://img.a.transfermarkt.technology/portrait/small/551149-1515494692.jpg?lm=1,,28.04.1992,Yaoundé,East Bengal FC
