rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Diego Maurício,Diego Maurício Machado de Brito,109,57,19,7.736,"2020-2021, 2022-2025",Maurício,-,7,0,Odisha FC,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/diego-mauricio/profil/spieler/138141,https://img.a.transfermarkt.technology/portrait/small/138141-1695961851.JPG?lm=1,,25.06.1991,Rio de Janeiro,Odisha FC
2,Jerry Mawihmingthanga,Unknown,129,20,19,8.735,2019-2025,Mawihmingthanga,18,12,0,Odisha FC,Attack - Right Winger,"1,68 m",India,in,https://www.transfermarkt.us/jerry-mawihmingthanga/profil/spieler/442417,https://img.a.transfermarkt.technology/portrait/small/442417-1712334073.png?lm=1,,09.03.1997,"---, Mizoram",Odisha FC
3,Roy Krishna,Unknown,47,18,6,3.426,2023-2025,Krishna,-,4,0,Odisha FC,Attack - Centre-Forward,"1,70 m",Fiji,fj,https://www.transfermarkt.us/roy-krishna/profil/spieler/64495,https://img.a.transfermarkt.technology/portrait/small/64495-1703934045.JPG?lm=1,,30.08.1987,"Siberia, Macuata",Odisha FC
4,Nandha Kumar Sekar,Unknown,96,16,13,7.014,,Unknown,Unknown,4,0,Odisha FC,Unknown,Unknown,India,in,https://www.transfermarkt.us/nandha-kumar-sekar/profil/spieler/489276,https://img.a.transfermarkt.technology/portrait/small/489276-1727333898.jpg?lm=1,,20.12.1995,Unknown,East Bengal FC
5,Isak Vanlalruatfela,Unknown,82,14,12,5.302,2020-2025,Vanlalruatfela,-,1,0,Odisha FC,Attack - Right Winger,"1,72 m",India,in,https://www.transfermarkt.us/isak-vanlalruatfela/profil/spieler/642150,https://img.a.transfermarkt.technology/portrait/small/642150-1712333917.png?lm=1,,19.05.2001,"---, Mizoram",Odisha FC
6,Kalu Uche,Kalu Tongololiki Mawakavamba Jawarapawara Uche,16,14,2,1.147,,Uche,-,1,0,Odisha FC,Attack - Centre-Forward,"1,80 m",Nigeria,ng,https://www.transfermarkt.us/kalu-uche/profil/spieler/6585,https://img.a.transfermarkt.technology/portrait/small/s_6585_714_2010_1.jpg?lm=1,,15.11.1982,Aba,Retired
7,Mourtada Fall,Unknown,52,13,1,4.222,2023-2025,Fall,Unknown,5,1,Odisha FC,Defender - Centre-Back,"1,92 m",Senegal,sn,https://www.transfermarkt.us/mourtada-fall/profil/spieler/147271,https://img.a.transfermarkt.technology/portrait/small/147271-1712335650.png?lm=1,,26.12.1987,Dakar,Odisha FC
8,Marcelinho,Unknown,23,10,4,1.58,"2020-2021, 2021-2021",Marcelinho,Unknown,4,0,Odisha FC,Attack - Left Winger,"1,73 m",Brazil,br,https://www.transfermarkt.us/marcelinho/profil/spieler/67955,https://img.a.transfermarkt.technology/portrait/small/67955-1417010346.png?lm=1,,22.06.1987,Rio de Janeiro,Retired
9,Aridane Santana,Aridane Jesús Santana Cabrera,14,9,2,1.144,2019-2020,Santana,Unknown,3,0,Odisha FC,Attack - Centre-Forward,"1,91 m",Spain,es,https://www.transfermarkt.us/aridane-santana/profil/spieler/72222,https://img.a.transfermarkt.technology/portrait/small/72222-1589907398.jpeg?lm=1,,31.03.1987,Vecindario,UD San Fernando
10,Richard Gadze,Unknown,28,9,7,1.744,,Gadze,Unknown,6,0,Odisha FC,Attack - Centre-Forward,"1,73 m",Ghana,gh,https://www.transfermarkt.us/richard-gadze/profil/spieler/269128,https://img.a.transfermarkt.technology/portrait/small/269128-1738389448.JPG?lm=1,,23.08.1994,Accra,Persiku Kudus
11,Gustavo Marmentini,Unknown,29,8,3,1.486,,Gustavo Marmentini,Unknown,8,0,Odisha FC,Attack - Right Winger,"1,79 m",Brazil,br,https://www.transfermarkt.us/gustavo-marmentini/profil/spieler/337981,https://img.a.transfermarkt.technology/portrait/small/337981-1573639144.jpg?lm=1,,08.03.1994,Cascavel,Without Club
