name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Ardi Ramdani,Adhyaksa FC,https://www.transfermarkt.us/ardi-ramdani/profil/spieler/724281,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ramdani,Unknown,Indonesia,id,Adhyaksa FC,Unknown,Unknown,Defender - Centre-Back,"1,78 m",28.12.1997,21,0,0,0,4,0,0,0,3,1.852
Aleksa Andrejic,Adhyaksa FC,https://www.transfermarkt.us/aleksa-andrejic/profil/spieler/201702,https://img.a.transfermarkt.technology/portrait/small/201702-1579416090.png?lm=1,Andrejic,Unknown,Serbia,rs,Adhyaksa FC,Kruševac,Алекса Андрејић,Attack - Left Winger,"1,75 m",24.01.1993,21,10,3,0,4,0,0,1,10,1.631
Kadir Toyo,Adhyaksa FC,https://www.transfermarkt.us/kadir-toyo/profil/spieler/1286511,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Kadir Toyo,Unknown,Indonesia,id,Adhyaksa FC,Tulehu,Abdul Kadir Jailani Toyo,Attack - Left Winger,Unknown,22.12.2000,21,0,2,0,1,0,0,4,7,1.520
Dedi Hartono,Adhyaksa FC,https://www.transfermarkt.us/dedi-hartono/profil/spieler/505749,https://img.a.transfermarkt.technology/portrait/small/505749-1613433428.jpg?lm=1,Hartono,Unknown,Indonesia,id,Adhyaksa FC,Simalungun,Unknown,Attack - Right Winger,"1,65 m",12.11.1987,19,2,4,0,1,0,0,3,7,1.412
Ivan Marić,Adhyaksa FC,https://www.transfermarkt.us/ivan-maric/profil/spieler/370693,https://img.a.transfermarkt.technology/portrait/small/370693-1486396587.jpg?lm=1,Marić,-,Serbia,rs,Adhyaksa FC,Čačak,Иван Марић,Defender - Centre-Back,"1,90 m",03.08.1994,18,1,2,0,4,0,0,0,6,1.471
Obet Choiri,Adhyaksa FC,https://www.transfermarkt.us/obet-choiri/profil/spieler/721904,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Choiri,Unknown,Indonesia,id,Adhyaksa FC,Kediri,Unknown,Defender - Centre-Back,"1,76 m",21.12.1994,18,1,0,0,0,0,0,5,5,1.145
Dimas Pamungkas,Adhyaksa FC,https://www.transfermarkt.us/dimas-pamungkas/profil/spieler/933096,https://img.a.transfermarkt.technology/portrait/small/933096-1705465395.png?lm=1,Pamungkas,13,Indonesia,id,Adhyaksa FC,Tasikmalaya,Dimas Juliono Pamungkas,Defender - Left-Back,"1,74 m",31.07.2004,18,0,0,0,6,0,0,8,5,1.057
Jefri Wibowo,Adhyaksa FC,https://www.transfermarkt.us/jefri-wibowo/profil/spieler/904473,https://img.a.transfermarkt.technology/portrait/small/904473-1632374024.jpg?lm=1,Wibowo,Unknown,Indonesia,id,Adhyaksa FC,Maros,Jefri Wibowo Suliarno,Goalkeeper,"1,78 m",31.01.1999,17,0,0,0,2,0,0,0,1,1.530
Shafa Abdillah,Adhyaksa FC,https://www.transfermarkt.us/shafa-abdillah/profil/spieler/1294204,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Abdillah,Unknown,Indonesia,id,Adhyaksa FC,Unknown,Shafa Andhika Abdillah,Midfield - Defensive Midfield,Unknown,02.05.2000,17,1,1,0,5,0,0,4,3,1.219
Mahdi Albaar,Adhyaksa FC,https://www.transfermarkt.us/mahdi-albaar/profil/spieler/506447,https://img.a.transfermarkt.technology/portrait/small/506447-1646634626.jpg?lm=1,Albaar,Unknown,Indonesia,id,Adhyaksa FC,Ternate,Mahdi Fahri Albaar,Defender - Right-Back,"1,70 m",27.09.1996,17,0,4,0,4,0,0,4,7,1.096
