name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Rifai Marsi,Persipa Pati,https://www.transfermarkt.us/rifai-marsi/profil/spieler/1012704,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Marsi,Unknown,Indonesia,id,Persipa Pati,Makassar,Muhammad Rifai Hi Marsi,Midfield - Attacking Midfield,Unknown,06.08.2000,34,3,3,0,4,0,0,16,10,1.767
Wahyu Sukarta,Persipa Pati,https://www.transfermarkt.us/wahyu-sukarta/profil/spieler/644071,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Sukarta,Unknown,Indonesia,id,Persipa Pati,Sleman,Unknown,Midfield - Defensive Midfield,"1,72 m",12.06.1994,30,1,1,0,1,1,0,15,9,1.585
Sadly,Persipa Pati,https://www.transfermarkt.us/sadly/profil/spieler/901585,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Sadly,Unknown,Indonesia,id,Persipa Pati,Tidore,Unknown,Attack - Right Winger,Unknown,27.12.2000,26,0,2,0,1,0,0,16,5,1.399
Mateo Palacios,Persipa Pati,https://www.transfermarkt.us/mateo-palacios/profil/spieler/262946,https://img.a.transfermarkt.technology/portrait/small/262946-1668037290.jpg?lm=1,Palacios,Unknown,Colombia,co,Persipa Pati,Apartadó,Mateo Palacios Pretel,Midfield - Attacking Midfield,"1,74 m",10.10.1996,24,1,6,0,2,0,0,0,7,1.950
Jimmy Aronggear,Persipa Pati,https://www.transfermarkt.us/jimmy-aronggear/profil/spieler/941712,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Aronggear,-,Indonesia,id,Persipa Pati,Biak,Jimmy Julianus Aronggear,Defender - Right-Back,"1,73 m",24.02.2002,22,0,1,0,2,0,0,0,2,1.890
Dhanu Syahputra,Persipa Pati,https://www.transfermarkt.us/dhanu-syahputra/profil/spieler/561033,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Syahputra,Unknown,Indonesia,id,Persipa Pati,Jember,Unknown,Defender - Left-Back,"1,66 m",13.11.1998,22,1,1,0,6,0,0,2,6,1.731
Fendy Ninggar,Persipa Pati,https://www.transfermarkt.us/fendy-ninggar/profil/spieler/1019230,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ninggar,Unknown,Indonesia,id,Persipa Pati,Banyumas,Fendy Ninggar Haryanto,Midfield - Central Midfield,Unknown,22.02.2001,22,7,1,0,3,0,1,10,10,1.356
Imam Witoyo,Persipa Pati,https://www.transfermarkt.us/imam-witoyo/profil/spieler/721649,https://img.a.transfermarkt.technology/portrait/small/721649-1639198492.jpeg?lm=1,Witoyo,Unknown,Indonesia,id,Persipa Pati,Banyumas,Unknown,Attack - Centre-Forward,"1,77 m",09.01.1994,21,7,3,0,2,0,0,10,4,1.218
Mirkomil Lokaev,Persipa Pati,https://www.transfermarkt.us/mirkomil-lokaev/profil/spieler/494125,https://img.a.transfermarkt.technology/portrait/small/494125-1690788351.png?lm=1,Lokaev,Unknown,Uzbekistan,uz,Persipa Pati,Unknown,Локаев Миркомил,Defender - Centre-Back,"1,80 m",30.01.1995,20,4,0,0,5,0,0,0,2,1.686
Rival Bustan,Persipa Pati,https://www.transfermarkt.us/rival-bustan/profil/spieler/1052926,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Rival Bustan,Unknown,Indonesia,id,Persipa Pati,Donggala,Mohammad Rifal Bustan,Attack - Right Winger,"1,65 m",13.02.2001,20,0,1,0,3,0,0,7,8,1.111
Riski Novriansyah,Without Club,https://www.transfermarkt.us/riski-novriansyah/profil/spieler/662819,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Novriansyah,Unknown,Indonesia,id,Persipa Pati,Pangkal Pinang,Unknown,Attack - Centre-Forward,"1,80 m",23.11.1989,18,5,1,0,4,0,0,1,5,1.438
Yudi Safrizal,Nusantara United FC,https://www.transfermarkt.us/yudi-safrizal/profil/spieler/1017339,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Safrizal,Unknown,Indonesia,id,Persipa Pati,Medan,Muhammad Yudi Safrizal,Defender - Centre-Back,"1,79 m",09.06.1999,18,0,0,0,5,0,0,2,1,1.419
Rizqi Abhirama,Nusantara United FC,https://www.transfermarkt.us/rizqi-abhirama/profil/spieler/1015863,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Abhirama,Unknown,Indonesia,id,Persipa Pati,Unknown,Muhammad Rizqi Abhirama,Goalkeeper,"1,75 m",02.07.2001,17,0,1,0,0,0,0,1,0,1.487
Jacob Youmbi,Botafogo De Douala,https://www.transfermarkt.us/jacob-youmbi/profil/spieler/415624,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Unknown,Unknown,Central African Republic,cf,Persipa Pati,Unknown,Unknown,Unknown,Unknown,05.09.1989,17,1,0,1,3,0,0,1,1,1.415
Imam Bagus,PSMS Medan,https://www.transfermarkt.us/imam-bagus/profil/spieler/560053,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Bagus,Unknown,Indonesia,id,Persipa Pati,Bangkalan,Imam Bagus Kurnia,Attack - Right Winger,"1,70 m",05.09.1995,17,4,1,0,1,0,0,1,12,1.167
