name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Rizky Nasution,Persiraja Banda Aceh,https://www.transfermarkt.us/rizky-nasution/profil/spieler/969383,https://img.a.transfermarkt.technology/portrait/small/969383-1738256228.png?lm=1,Nasution,Unknown,Indonesia,id,Persiraja Banda Aceh,Sarah Teube,Muhammad Rizky Yusuf Nasution,Midfield - Defensive Midfield,"1,70 m",16.07.1997,53,1,1,1,10,0,0,13,12,3.757
Defri Rizki,PSGC Ciamis,https://www.transfermarkt.us/defri-rizki/profil/spieler/603655,https://img.a.transfermarkt.technology/portrait/small/603655-1617690156.jpg?lm=1,Rizki,Unknown,Indonesia,id,Persiraja Banda Aceh,Aceh Tengah,Unknown,Attack - Right Winger,"1,60 m",10.12.1988,45,7,1,0,7,3,0,4,12,3.429
Ramadhan,Persiraja Banda Aceh,https://www.transfermarkt.us/ramadhan/profil/spieler/817931,https://img.a.transfermarkt.technology/portrait/small/817931-1738256795.png?lm=1,Ramadhan,Unknown,Indonesia,id,Persiraja Banda Aceh,Aceh Timur,Unknown,Attack - Centre-Forward,"1,67 m",01.09.2001,44,7,1,0,8,0,1,13,14,2.853
Ridha Umami,Persiraja Banda Aceh,https://www.transfermarkt.us/ridha-umami/profil/spieler/969385,https://img.a.transfermarkt.technology/portrait/small/969385-1738256058.png?lm=1,Umami,Unknown,Indonesia,id,Persiraja Banda Aceh,Pidie,Unknown,Midfield - Central Midfield,"1,67 m",12.03.2000,40,0,0,0,7,0,0,17,19,1.977
Assanur Rijal,Persiraja Banda Aceh,https://www.transfermarkt.us/assanur-rijal/profil/spieler/721801,https://img.a.transfermarkt.technology/portrait/small/721801-1621344952.jpg?lm=1,Rijal,Unknown,Indonesia,id,Persiraja Banda Aceh,Lambeugak,Unknown,Attack - Centre-Forward,"1,65 m",02.03.1996,38,10,1,0,1,0,0,18,7,1.918
Agus Suhendra,Persiraja Banda Aceh,https://www.transfermarkt.us/agus-suhendra/profil/spieler/721797,https://img.a.transfermarkt.technology/portrait/small/721797-1738256003.png?lm=1,Suhendra,Unknown,Indonesia,id,Persiraja Banda Aceh,Krueng Batu,Unknown,Defender - Left-Back,"1,65 m",17.08.1988,37,0,0,0,3,1,0,10,15,2.114
Yasvani,Persiraja Banda Aceh,https://www.transfermarkt.us/yasvani/profil/spieler/969382,https://img.a.transfermarkt.technology/portrait/small/969382-1738256549.png?lm=1,Yasvani,Unknown,Indonesia,id,Persiraja Banda Aceh,Lhokseumawe,Unknown,Defender - Right-Back,"1,71 m",10.02.1998,36,0,2,0,8,1,0,11,7,2.304
Fakhrurrazi Quba,PSMS Medan,https://www.transfermarkt.us/fakhrurrazi-quba/profil/spieler/721937,https://img.a.transfermarkt.technology/portrait/small/721937-1617687512.jpg?lm=1,Quba,Unknown,Indonesia,id,Persiraja Banda Aceh,Aceh Timur,Unknown,Goalkeeper,"1,78 m",29.09.1989,34,0,0,0,3,0,0,2,4,2.872
Andik Vermansyah,Persiraja Banda Aceh,https://www.transfermarkt.us/andik-vermansyah/profil/spieler/252717,https://img.a.transfermarkt.technology/portrait/small/252717-1738255616.png?lm=1,Vermansyah,21,Indonesia,id,Persiraja Banda Aceh,Jember,Unknown,Attack - Right Winger,"1,63 m",23.11.1991,33,5,7,0,3,0,0,2,20,2.453
Adam Maulana,Persiraja Banda Aceh,https://www.transfermarkt.us/adam-maulana/profil/spieler/559359,https://img.a.transfermarkt.technology/portrait/small/559359-1738256841.png?lm=1,Maulana,Unknown,Indonesia,id,Persiraja Banda Aceh,Surabaya,Unknown,Midfield - Central Midfield,"1,72 m",26.03.1997,32,2,0,0,6,1,0,9,9,2.183
Vivi Asrizal,Persiraja Banda Aceh,https://www.transfermarkt.us/vivi-asrizal/profil/spieler/872934,https://img.a.transfermarkt.technology/portrait/small/872934-1738255701.png?lm=1,Asrizal,Unknown,Indonesia,id,Persiraja Banda Aceh,Aceh Barat Daya,Unknown,Attack - Left Winger,"1,65 m",01.05.1995,31,5,1,0,3,0,0,19,11,1.389
Léo Lelis,Persijap Jepara,https://www.transfermarkt.us/leo-lelis/profil/spieler/487347,https://img.a.transfermarkt.technology/portrait/small/487347-1688187161.jpg?lm=1,Léo Lelis,Unknown,Brazil,br,Persiraja Banda Aceh,Ipuã-SP,Unknown,Defender - Centre-Back,"1,89 m",15.11.1993,29,2,0,0,7,0,0,0,4,2.496
