name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Adlin Cahya,PSKC Cimahi,https://www.transfermarkt.us/adlin-cahya/profil/spieler/1172707,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Cahya,Unknown,Indonesia,id,PSKC Cimahi,Unknown,Muhammad Adlin Cahya Prastya,Midfield - Central Midfield,"1,75 m",06.05.2004,30,2,0,0,4,0,0,12,12,1.835
Suhandi,PSKC Cimahi,https://www.transfermarkt.us/suhandi/profil/spieler/575456,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Suhandi,Unknown,Indonesia,id,PSKC Cimahi,Bandung,Unknown,Midfield - Attacking Midfield,"1,68 m",29.10.1991,29,2,1,0,5,1,0,15,11,1.323
Agung Pribadi,PSKC Cimahi,https://www.transfermarkt.us/agung-pribadi/profil/spieler/354941,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Pribadi,Unknown,Indonesia,id,PSKC Cimahi,Bandung,Muhammad Agung Pribadi,Midfield - Defensive Midfield,"1,72 m",23.07.1989,23,0,0,0,4,0,1,6,6,1.566
Yoewanto Beny,PSKC Cimahi,https://www.transfermarkt.us/yoewanto-beny/profil/spieler/506543,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Beny,-,Indonesia,id,PSKC Cimahi,Malang,Yoewanto Setya Beny,Goalkeeper,"1,81 m",03.04.1993,22,0,0,0,2,0,0,1,0,1.923
Dias Angga,PSKC Cimahi,https://www.transfermarkt.us/dias-angga/profil/spieler/354935,https://img.a.transfermarkt.technology/portrait/small/354935-1627638059.png?lm=1,Angga,Unknown,Indonesia,id,PSKC Cimahi,Bandung,Dias Angga Putra,Defender - Right-Back,"1,69 m",06.05.1989,22,0,0,0,5,0,0,0,6,1.883
Ichsan Kurniawan,PSKC Cimahi,https://www.transfermarkt.us/ichsan-kurniawan/profil/spieler/506579,https://img.a.transfermarkt.technology/portrait/small/506579-1643690621.jpg?lm=1,Kurniawan,-,Indonesia,id,PSKC Cimahi,Ogan Komering Ulu Timur,Unknown,Midfield - Defensive Midfield,"1,69 m",24.12.1995,21,2,1,0,3,0,0,9,8,1.138
Achmad Faris,PSKC Cimahi,https://www.transfermarkt.us/achmad-faris/profil/spieler/506503,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Faris,Unknown,Indonesia,id,PSKC Cimahi,Gresik,Achmad Faris Ardiansyah,Defender - Centre-Back,"1,70 m",07.03.1993,20,1,1,0,1,0,0,0,1,1.764
Bhudiar Riza,PSKC Cimahi,https://www.transfermarkt.us/bhudiar-riza/profil/spieler/666830,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Riza,Unknown,Indonesia,id,PSKC Cimahi,Wonogiri,Bhudiar Muhammad Riza,Defender - Right-Back,"1,77 m",23.05.1995,20,0,0,0,1,0,0,4,7,1.390
Hambali Tholib,PSKC Cimahi,https://www.transfermarkt.us/hambali-tholib/profil/spieler/629369,https://img.a.transfermarkt.technology/portrait/small/629369-1640665407.jpg?lm=1,Tholib,29,Indonesia,id,PSKC Cimahi,Makassar,Muhammad Hambali Tolib,Midfield - Attacking Midfield,"1,70 m",20.06.2000,19,2,8,1,6,1,0,3,8,1.431
Aldo Claudio,PSKC Cimahi,https://www.transfermarkt.us/aldo-claudio/profil/spieler/875750,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Claudio,Unknown,Indonesia,id,PSKC Cimahi,Padang,Unknown,Defender - Centre-Back,"1,83 m",02.12.1997,19,0,0,0,4,0,0,13,2,700
