name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Rachmad Hidayat,PSMS Medan,https://www.transfermarkt.us/rachmad-hidayat/profil/spieler/506575,https://img.a.transfermarkt.technology/portrait/small/506575-1650945656.jpg?lm=1,Hidayat,Unknown,Indonesia,id,PSMS Medan,Medan,Unknown,Attack - Right Winger,"1,72 m",10.03.1991,61,21,10,0,22,0,0,3,33,4.636
Abdul Rohim,PSMS Medan,https://www.transfermarkt.us/abdul-rohim/profil/spieler/561224,https://img.a.transfermarkt.technology/portrait/small/561224-1648269399.jpg?lm=1,Rohim,Unknown,Indonesia,id,PSMS Medan,Labuhan Batu,Unknown,Goalkeeper,"1,80 m",06.04.1992,51,0,0,0,0,0,0,2,6,4.307
Legimin Raharjo,Retired,https://www.transfermarkt.us/legimin-raharjo/profil/spieler/561226,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Raharjo,Unknown,Indonesia,id,PSMS Medan,Medan,Unknown,Midfield - Defensive Midfield,"1,72 m",10.05.1981,41,5,5,0,4,0,0,8,7,3.063
Ikhsan Chan,PSMS Medan,https://www.transfermarkt.us/ikhsan-chan/profil/spieler/1050843,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Chan,Unknown,Indonesia,id,PSMS Medan,Medan,Muhammad Ikhsan Chan,Attack - Right Winger,"1,73 m",01.05.2004,39,3,5,0,0,0,0,10,19,2.643
Kurniawan Karman,PSMS Medan,https://www.transfermarkt.us/kurniawan-karman/profil/spieler/605165,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Karman,Unknown,Indonesia,id,PSMS Medan,Makassar,Unknown,Defender - Right-Back,"1,70 m",29.03.1991,37,0,2,0,1,0,0,4,5,2.936
Nico Malau,PSMS Medan,https://www.transfermarkt.us/nico-malau/profil/spieler/904491,https://img.a.transfermarkt.technology/portrait/small/904491-1632375912.jpg?lm=1,Malau,Unknown,Indonesia,id,PSMS Medan,Binjai,Yoseph Ostanika Malau,Attack - Centre-Forward,"1,70 m",19.03.1991,36,9,0,0,3,0,1,20,7,1.575
Ichsan Pratama,Semen Padang FC,https://www.transfermarkt.us/ichsan-pratama/profil/spieler/604854,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Pratama,Unknown,Indonesia,id,PSMS Medan,Sukabumi,Unknown,Midfield - Attacking Midfield,"1,71 m",09.10.1993,35,3,2,0,3,0,0,1,18,2.721
Abdul Aziz,PERSIS Solo,https://www.transfermarkt.us/abdul-aziz/profil/spieler/506145,https://img.a.transfermarkt.technology/portrait/small/506145-1615691656.jpg?lm=1,Aziz,Unknown,Indonesia,id,PSMS Medan,Bandung,Abdul Aziz Lutfi Akbar,Midfield - Central Midfield,"1,72 m",14.02.1994,34,0,2,0,2,0,0,6,9,2.524
Osas Saha,Persibo Bojonegoro,https://www.transfermarkt.us/osas-saha/profil/spieler/595635,https://img.a.transfermarkt.technology/portrait/small/595635-1658899012.jpg?lm=1,Osas Saha,11,Indonesia,id,PSMS Medan,Warri,Osas Marvelous Ikpefua,Attack - Centre-Forward,"1,80 m",08.10.1986,32,19,0,0,2,0,0,0,4,2.779
Novi Hendrawan,Retired,https://www.transfermarkt.us/novi-hendrawan/profil/spieler/1213765,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hendrawan,Unknown,Indonesia,id,PSMS Medan,Deli Serdang,Unknown,Defender - Centre-Back,"1,78 m",04.11.1986,30,1,0,0,3,0,1,1,1,2.586
