name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Mitsuru Maruoka,Bali United FC,https://www.transfermarkt.us/mitsuru-maruoka/profil/spieler/303412,https://img.a.transfermarkt.technology/portrait/small/303412-1737534600.png?lm=1,Maruoka,-,Japan,jp,RANS Nusantara FC,"Tokushima, Tokushima",丸岡 満,Midfield - Central Midfield,"1,70 m",06.01.1996,63,18,7,0,6,0,0,0,6,5.605
Hilmansyah,PSM Makassar,https://www.transfermarkt.us/hilmansyah/profil/spieler/558962,https://img.a.transfermarkt.technology/portrait/small/558962-1637571829.jpeg?lm=1,Hilmansyah,Unknown,Indonesia,id,RANS Nusantara FC,Jeneponto,Unknown,Goalkeeper,"1,83 m",25.05.1997,51,0,0,0,3,0,1,1,2,4.446
Ady Setiawan,Dewa United FC,https://www.transfermarkt.us/ady-setiawan/profil/spieler/574466,https://img.a.transfermarkt.technology/portrait/small/574466-1738846281.jpeg?lm=1,Setiawan,16,Indonesia,id,RANS Nusantara FC,Bima,Unknown,Defender - Right-Back,"1,67 m",10.09.1994,38,0,4,0,2,0,0,1,9,3.259
Saddam Tenang,Malut United FC,https://www.transfermarkt.us/saddam-tenang/profil/spieler/719104,https://img.a.transfermarkt.technology/portrait/small/719104-1646634867.jpg?lm=1,Tenang,Unknown,Indonesia,id,RANS Nusantara FC,Ternate,Saddam Hi Tenang,Defender - Left-Back,"1,69 m",02.02.1994,36,0,0,0,7,1,0,12,9,2.180
Makan Konate,Adhyaksa FC,https://www.transfermarkt.us/makan-konate/profil/spieler/354938,https://img.a.transfermarkt.technology/portrait/small/354938-1629104641.jpg?lm=1,Konate,-,Mali,ml,RANS Nusantara FC,Bamako,Makan Konaté,Midfield - Attacking Midfield,"1,78 m",10.11.1991,35,8,3,0,0,0,0,1,7,2.970
Fadilla Akbar,Persiraja Banda Aceh,https://www.transfermarkt.us/fadilla-akbar/profil/spieler/903323,https://img.a.transfermarkt.technology/portrait/small/903323-1738255898.png?lm=1,Akbar,-,Indonesia,id,RANS Nusantara FC,Medan,Unknown,Midfield - Defensive Midfield,"1,73 m",08.09.2001,34,0,0,1,9,0,0,10,14,2.054
Septian Bagaskara,Dewa United FC,https://www.transfermarkt.us/septian-bagaskara/profil/spieler/721914,https://img.a.transfermarkt.technology/portrait/small/721914-1739596843.png?lm=1,Bagaskara,17,Indonesia,id,RANS Nusantara FC,Kediri,Septian Satria Bagaskara,Attack - Centre-Forward,"1,83 m",26.09.1997,34,6,0,0,3,0,0,14,15,1.782
Arif Satria,Bhayangkara Presisi FC,https://www.transfermarkt.us/arif-satria/profil/spieler/575754,https://img.a.transfermarkt.technology/portrait/small/575754-1705463446.png?lm=1,Satria,2,Indonesia,id,RANS Nusantara FC,Musi Rawas,Unknown,Defender - Centre-Back,"1,83 m",17.09.1995,33,0,1,0,3,0,0,10,3,2.117
Paulo Sitanggang,PSS Sleman,https://www.transfermarkt.us/paulo-sitanggang/profil/spieler/505752,https://img.a.transfermarkt.technology/portrait/small/505752-1737699853.png?lm=1,Sitanggang,-,Indonesia,id,RANS Nusantara FC,Deli Serdang,Paulo Oktavianus Sitanggang,Midfield - Central Midfield,"1,68 m",17.10.1995,32,1,0,0,5,0,0,2,13,2.584
Evandro Brandão,Without Club,https://www.transfermarkt.us/evandro-brandao/profil/spieler/45306,https://img.a.transfermarkt.technology/portrait/small/45306-1508857545.jpg?lm=1,Brandão,19,Angola,ao,RANS Nusantara FC,Luanda,Evandro Elmer de Carvalho Brandão,Attack - Centre-Forward,"1,81 m",07.05.1991,31,6,3,0,3,0,0,4,6,2.516
