rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Dendy Sulistyawan,Unknown,186,27,20,10.807,N/A,Sulistyawan,22,11,0,Bhayangkara Presisi FC,Attack - Centre-Forward,"1,76 m",Indonesia,id,https://www.transfermarkt.us/dendy-sulistyawan/profil/spieler/506339,https://img.a.transfermarkt.technology/portrait/small/506339-1705465934.png?lm=1,N/A,12.10.1996,Lamongan,Bhayangkara Presisi FC
2,Wahyu Subo Seto,Wahyu Subo Seto,203,3,17,12.836,N/A,Subo Seto,22,34,0,Bhayangkara Presisi FC,Midfield - Attacking Midfield,"1,68 m",Indonesia,id,https://www.transfermarkt.us/wahyu-subo-seto/profil/spieler/506333,https://img.a.transfermarkt.technology/portrait/small/506333-1705465460.png?lm=1,N/A,16.07.1993,Surabaya,Bhayangkara Presisi FC
3,Muhammad Hargianto,Unknown,159,11,15,10.444,N/A,Hargianto,8,30,1,Bhayangkara Presisi FC,Midfield - Defensive Midfield,"1,68 m",Indonesia,id,https://www.transfermarkt.us/muhammad-hargianto/profil/spieler/506167,https://img.a.transfermarkt.technology/portrait/small/506167-1705465080.png?lm=1,N/A,24.07.1996,Tangerang,Bhayangkara Presisi FC
4,Sani Rizki,Unknown,147,16,15,8.390,N/A,Sani Rizki,-,17,1,Bhayangkara Presisi FC,Attack - Left Winger,"1,65 m",Indonesia,id,https://www.transfermarkt.us/sani-rizki/profil/spieler/575759,https://img.a.transfermarkt.technology/portrait/small/575759-1705465600.png?lm=1,N/A,07.01.1998,Sukabumi,Bhayangkara Presisi FC
5,Adam Alis,Adam Alis Setyano,75,9,15,5.023,N/A,Alis,17,10,0,Bhayangkara Presisi FC,Midfield - Central Midfield,"1,72 m",Indonesia,id,https://www.transfermarkt.us/adam-alis/profil/spieler/505890,https://img.a.transfermarkt.technology/portrait/small/505890-1737431465.png?lm=1,N/A,19.12.1993,Jakarta,PERSIB Bandung
6,Herman Dzumafo,Herman Dzumafo Epandi,85,29,14,4.721,N/A,Dzumafo,Unknown,5,0,Bhayangkara Presisi FC,Attack - Centre-Forward,"1,86 m",Indonesia,id,https://www.transfermarkt.us/herman-dzumafo/profil/spieler/560064,https://img.a.transfermarkt.technology/portrait/small/560064-1741020154.jpg?lm=1,N/A,21.11.1980,Douala,Persiba Balikpapan
7,Matías Mier,Henry Matías Mier Codina,59,25,14,5.007,N/A,Mier,Unknown,16,0,Bhayangkara Presisi FC,Attack - Left Winger,"1,82 m",Uruguay,uy,https://www.transfermarkt.us/matias-mier/profil/spieler/76716,https://img.a.transfermarkt.technology/portrait/small/76716-1616809479.jpg?lm=1,N/A,02.08.1990,Montevideo,PS Barito Putera
8,Paulo Sérgio,Unknown,59,19,13,5.213,N/A,Paulo Sérgio,16,13,0,Bhayangkara Presisi FC,Attack - Right Winger,"1,68 m",Portugal,pt,https://www.transfermarkt.us/paulo-sergio/profil/spieler/17328,https://img.a.transfermarkt.technology/portrait/small/17328-1696252381.jpg?lm=1,N/A,24.01.1984,Lisboa,Retired
9,Putu Gede,I Putu Gede Juni Antara,174,1,8,14.880,N/A,Putu Gede,2,44,1,Bhayangkara Presisi FC,Defender - Right-Back,"1,76 m",Indonesia,id,https://www.transfermarkt.us/putu-gede/profil/spieler/506326,https://img.a.transfermarkt.technology/portrait/small/506326-1699722848.png?lm=1,N/A,07.06.1995,Gianyar,Bhayangkara Presisi FC
10,Andik Vermansyah,Unknown,59,1,8,2.859,N/A,Vermansyah,21,7,0,Bhayangkara Presisi FC,Attack - Right Winger,"1,63 m",Indonesia,id,https://www.transfermarkt.us/andik-vermansyah/profil/spieler/252717,https://img.a.transfermarkt.technology/portrait/small/252717-1738255616.png?lm=1,N/A,23.11.1991,Jember,Persiraja Banda Aceh
11,Ruben Sanadi,Ruben Karel Sanadi,69,0,7,5.352,N/A,Sanadi,14,5,0,Bhayangkara Presisi FC,Defender - Left-Back,"1,70 m",Indonesia,id,https://www.transfermarkt.us/ruben-sanadi/profil/spieler/285478,https://img.a.transfermarkt.technology/portrait/small/285478-1640146814.JPG?lm=1,N/A,08.01.1987,Biak,Bhayangkara Presisi FC
12,Evan Dimas,Evan Dimas Darmono,53,4,7,4.035,N/A,Dimas,6,3,0,Bhayangkara Presisi FC,Midfield - Central Midfield,"1,67 m",Indonesia,id,https://www.transfermarkt.us/evan-dimas/profil/spieler/473377,https://img.a.transfermarkt.technology/portrait/small/473377-1699937213.jpeg?lm=1,N/A,13.03.1995,Surabaya,Without Club
13,Flávio Beck Junior,Unknown,16,5,6,1.204,N/A,Beck Junior,Unknown,0,0,Bhayangkara Presisi FC,Midfield - Central Midfield,"1,82 m",Brazil,br,https://www.transfermarkt.us/flavio-beck-junior/profil/spieler/45781,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.03.1987,Augusto Pestana,NK Rat Kuna Peljeska
14,Ilija Spasojević,Unknown,37,20,5,2.463,N/A,Spasojević,9,4,0,Bhayangkara Presisi FC,Attack - Centre-Forward,"1,87 m",Indonesia,id,https://www.transfermarkt.us/ilija-spasojevic/profil/spieler/48765,https://img.a.transfermarkt.technology/portrait/small/48765-1703148381.png?lm=1,N/A,11.09.1987,Bar,Bhayangkara Presisi FC
