rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Iuri,Unknown,22,0,4,1.980,N/A,Iuri,Unknown,6,0,Persekat Tegal,Defender - Centre-Back,"1,87 m",Brazil,br,https://www.transfermarkt.us/iuri/profil/spieler/874332,https://img.a.transfermarkt.technology/portrait/small/874332-1741705287.jpg?lm=1,N/A,23.03.1996,Rio de Janeiro,Persekat Tegal
2,Felipe Ryan,Unknown,15,5,3,1.350,N/A,Felipe Ryan,Unknown,2,0,Persekat Tegal,Midfield - Attacking Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/felipe-ryan/profil/spieler/556653,https://img.a.transfermarkt.technology/portrait/small/556653-1697828132.png?lm=1,N/A,28.04.1997,Unknown,Bhayangkara Presisi FC
3,Ibrahim Abou Dicko,Unknown,8,1,2,508.000,N/A,Dicko,21,2,0,Persekat Tegal,Attack - Centre-Forward,"1,78 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/ibrahim-abou-dicko/profil/spieler/600177,https://img.a.transfermarkt.technology/portrait/small/600177-1679586371.jpeg?lm=1,N/A,06.08.1998,Tankesse,Without Club
4,Eduard Mandosir,Eduard Rocky Mandosir,7,0,2,467.000,N/A,Mandosir,Unknown,2,0,Persekat Tegal,Midfield - Attacking Midfield,Unknown,Indonesia,id,https://www.transfermarkt.us/eduard-mandosir/profil/spieler/1352676,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.03.2004,Unknown,Persekat Tegal
5,Riki Dwi Saputro,Riki Dwi Saputro,17,1,2,561.000,N/A,Dwi Saputro,Unknown,-1,0,Persekat Tegal,Attack - Centre-Forward,"1,75 m",Indonesia,id,https://www.transfermarkt.us/riki-dwi-saputro/profil/spieler/724699,https://img.a.transfermarkt.technology/portrait/small/724699-1645079204.jpg?lm=1,N/A,20.02.1995,Siak,Persekat Tegal
6,Chrystna Bhagascara,Unknown,33,2,2,2.970,N/A,Bhagascara,Unknown,4,0,Persekat Tegal,Midfield - Central Midfield,"1,70 m",Indonesia,id,https://www.transfermarkt.us/chrystna-bhagascara/profil/spieler/662801,https://img.a.transfermarkt.technology/portrait/small/662801-1689735004.jpg?lm=1,N/A,22.06.1998,Bojonegoro,Persekat Tegal
7,Muhammad Ridwan,Unknown,18,1,2,898.000,N/A,Ridwan,Unknown,1,0,Persekat Tegal,Midfield - Attacking Midfield,"1,69 m",Indonesia,id,https://www.transfermarkt.us/muhammad-ridwan/profil/spieler/720588,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.08.1998,Tangerang,Persikas Subang
8,Felipe Ferreira,Unknown,8,4,2,416.000,N/A,Felipe Ferreira,Unknown,2,0,Persekat Tegal,Attack - Right Winger,"1,82 m",Brazil,br,https://www.transfermarkt.us/felipe-ferreira/profil/spieler/420159,https://img.a.transfermarkt.technology/portrait/small/420159-1598865399.jpg?lm=1,N/A,25.04.1994,Brasília,Persekat Tegal
9,Samsudin,Unknown,10,1,2,834.000,N/A,Samsudin,Unknown,0,0,Persekat Tegal,Attack - Right Winger,"1,67 m",Indonesia,id,https://www.transfermarkt.us/samsudin/profil/spieler/719102,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.03.1997,Unknown,Persikota Tangerang
10,Arbeta Rockyawan,Unknown,9,0,1,347.000,N/A,Rockyawan,Unknown,1,0,Persekat Tegal,Attack - Centre-Forward,"1,78 m",Indonesia,id,https://www.transfermarkt.us/arbeta-rockyawan/profil/spieler/723809,https://img.a.transfermarkt.technology/portrait/small/723809-1666159340.jpg?lm=1,N/A,13.09.1996,Klaten,Sriwijaya FC
11,Adilson Silva,Adilson Gancho Silva,10,2,1,782.000,N/A,Silva,Unknown,2,0,Persekat Tegal,Attack - Centre-Forward,"1,91 m",Portugal,pt,https://www.transfermarkt.us/adilson-silva/profil/spieler/614508,https://img.a.transfermarkt.technology/portrait/small/614508-1701283775.jpeg?lm=1,N/A,30.07.1997,Évora,Persekat Tegal
