rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Boaz Solossa,Boas Theofilius Erwin Solossa,16,8,2,1.386,N/A,Solossa,7,2,0,Persewar Waropen,Attack - Left Winger,"1,71 m",Indonesia,id,https://www.transfermarkt.us/boaz-solossa/profil/spieler/148088,https://img.a.transfermarkt.technology/portrait/small/148088-1629699646.jpg?lm=1,N/A,16.03.1986,Sorong,Persipura Jayapura
2,Victor Pae,Fiktor Pae,35,7,1,2.698,N/A,Pae,-,9,2,Persewar Waropen,Defender - Right-Back,"1,72 m",Indonesia,id,https://www.transfermarkt.us/victor-pae/profil/spieler/306334,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.02.1985,Jayapura,Persipal Palu FC
3,Daud Kararbo,Daud Irfan Kararbo,21,6,0,1.223,N/A,Kararbo,Unknown,2,0,Persewar Waropen,Attack - Left Winger,"1,62 m",Indonesia,id,https://www.transfermarkt.us/daud-kararbo/profil/spieler/721013,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.10.1998,Jayapura,Persewar Waropen
4,Yulyan Tjoe,Unknown,21,4,0,1.615,N/A,Tjoe,Unknown,9,0,Persewar Waropen,Defender - Centre-Back,Unknown,Indonesia,id,https://www.transfermarkt.us/yulyan-tjoe/profil/spieler/953641,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.02.1996,Unknown,Persewar Waropen
5,Mamadou Barry,Mamadou Hady Barry,10,4,3,757.000,N/A,Barry,Unknown,1,0,Persewar Waropen,Attack - Centre-Forward,"1,90 m",Indonesia,id,https://www.transfermarkt.us/mamadou-barry/profil/spieler/202010,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.05.1986,Conakry,Adhyaksa FC
6,Diop Wamu,Rezin Diop Wamu,11,3,1,823.000,N/A,Wamu,Unknown,0,0,Persewar Waropen,Midfield - Central Midfield,"1,59 m",Indonesia,id,https://www.transfermarkt.us/diop-wamu/profil/spieler/1141926,https://img.a.transfermarkt.technology/portrait/small/1141926-1737697770.png?lm=1,N/A,20.06.2002,Jayapura,PSS Sleman
7,Joshua Isir,Juscak Joshua Marthen Isir,16,3,1,1.350,N/A,Isir,Unknown,1,0,Persewar Waropen,Attack - Left Winger,"1,66 m",Indonesia,id,https://www.transfermarkt.us/joshua-isir/profil/spieler/928110,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.06.2001,Unknown,Persipal Palu FC
8,Jefron Sitawa,Unknown,18,3,0,1.006,N/A,Sitawa,Unknown,4,0,Persewar Waropen,Attack - Right Winger,"1,73 m",Indonesia,id,https://www.transfermarkt.us/jefron-sitawa/profil/spieler/953970,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.03.2000,Sarmi,Without Club
9,Kaka Youwei,Richardo Kaka Izecson Youwe,18,3,2,1.386,N/A,Youwei,Unknown,1,0,Persewar Waropen,Midfield - Attacking Midfield,"1,69 m",Indonesia,id,https://www.transfermarkt.us/kaka-youwei/profil/spieler/1048390,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.04.2004,Jayapura,Without Club
10,Melianus Maker,Melianus Piter Maker,12,3,0,390.000,N/A,Maker,Unknown,1,0,Persewar Waropen,Attack - Centre-Forward,Unknown,Indonesia,id,https://www.transfermarkt.us/melianus-maker/profil/spieler/942170,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.03.1996,Unknown,Persewar Waropen
11,Oskar Karisago,Oktovianus Oscar Karisago,9,3,1,688.000,N/A,Karisago,Unknown,2,0,Persewar Waropen,Attack - Centre-Forward,"1,74 m",Indonesia,id,https://www.transfermarkt.us/oskar-karisago/profil/spieler/942165,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.10.1993,Sorong,Without Club
12,Krismon Wombaibobo,Krismon Gustap Wombaibobo,7,3,1,630.000,N/A,Wombaibobo,Unknown,1,0,Persewar Waropen,Attack - Right Winger,"1,63 m",Indonesia,id,https://www.transfermarkt.us/krismon-wombaibobo/profil/spieler/721009,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.05.1998,Serui,Persemi Mimika
13,Samuel Balinsa,Samuel Gideon Balinsa,13,2,2,1.123,N/A,Balinsa,Unknown,1,0,Persewar Waropen,Midfield - Central Midfield,"1,79 m",Indonesia,id,https://www.transfermarkt.us/samuel-balinsa/profil/spieler/721008,https://img.a.transfermarkt.technology/portrait/small/721008-1737550856.png?lm=1,N/A,08.03.1999,Sorong,Arema FC
14,Yudistira Mambrasar,Unknown,20,2,2,838.000,N/A,Mambrasar,Unknown,4,0,Persewar Waropen,Attack - Left Winger,"1,61 m",Indonesia,id,https://www.transfermarkt.us/yudistira-mambrasar/profil/spieler/723973,https://img.a.transfermarkt.technology/portrait/small/723973-1613774274.jpg?lm=1,N/A,29.04.1994,Jayapura,Without Club
15,Arody Uopdana,Unknown,24,2,3,1.256,N/A,Uopdana,Unknown,0,0,Persewar Waropen,Attack - Left Winger,"1,65 m",Indonesia,id,https://www.transfermarkt.us/arody-uopdana/profil/spieler/952225,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.03.1998,Pegunungan Bintang,Persipura Jayapura
16,Rafiko Nawipa,Rafiko B. Nawipa,18,2,0,497.000,N/A,Nawipa,Unknown,2,0,Persewar Waropen,Attack - Left Winger,"1,57 m",Indonesia,id,https://www.transfermarkt.us/rafiko-nawipa/profil/spieler/1033917,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.03.1998,Pegunungan Bintang,Persewar Waropen
17,Marsel Kararbo,Marcel Alexander Kararbo,6,2,1,490.000,N/A,Kararbo,Unknown,0,1,Persewar Waropen,Attack - Left Winger,"1,64 m",Indonesia,id,https://www.transfermarkt.us/marsel-kararbo/profil/spieler/575751,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.10.1994,Jayapura,Without Club
18,Samuel Gwijangge,Samuel Viktor Gwijangge,9,1,2,705.000,N/A,Gwijangge,Unknown,0,0,Persewar Waropen,Attack - Centre-Forward,"1,68 m",Indonesia,id,https://www.transfermarkt.us/samuel-gwijangge/profil/spieler/1032147,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.11.2001,Jayapura,Persijap Jepara
19,Boas Isir,Habel Boas Inzaghi Isir,9,1,0,757.000,N/A,Isir,Unknown,2,0,Persewar Waropen,Defender - Centre-Back,"1,82 m",Indonesia,id,https://www.transfermarkt.us/boas-isir/profil/spieler/581913,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.06.1999,Unknown,Without Club
20,Nyoman Ansanay,Unknown,7,1,0,630.000,N/A,Nyoman Ansanay,Unknown,0,0,Persewar Waropen,Defender - Right-Back,"1,74 m",Indonesia,id,https://www.transfermarkt.us/nyoman-ansanay/profil/spieler/662954,https://img.a.transfermarkt.technology/portrait/small/662954-1737699502.png?lm=1,N/A,08.07.2001,Jayapura,PSS Sleman
21,James Wanena,Siegfried James Wanena,5,1,0,158.000,N/A,Wanena,Unknown,0,0,Persewar Waropen,Defender - Right-Back,"1,55 m",Indonesia,id,https://www.transfermarkt.us/james-wanena/profil/spieler/1022394,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.01.2000,Unknown,Persewar Waropen
22,Alfons Migau,Unknown,11,1,0,764.000,N/A,Migau,Unknown,3,0,Persewar Waropen,Midfield - Defensive Midfield,"1,70 m",Indonesia,id,https://www.transfermarkt.us/alfons-migau/profil/spieler/958351,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.12.1998,Pogapa,PSBS Biak
23,Friska Womsiwor,Friska Elisa Womsiwor,6,1,1,438.000,N/A,Womsiwor,Unknown,0,0,Persewar Waropen,Attack - Right Winger,"1,70 m",Indonesia,id,https://www.transfermarkt.us/friska-womsiwor/profil/spieler/505911,https://img.a.transfermarkt.technology/portrait/small/505911-1739711804.png?lm=1,N/A,03.05.1995,Ransiki,Nusantara United FC
24,Maikelgregorio Koro,Unknown,5,1,0,394.000,N/A,Koro,Unknown,0,0,Persewar Waropen,Midfield - Attacking Midfield,"1,55 m",Indonesia,id,https://www.transfermarkt.us/maikelgregorio-koro/profil/spieler/1361289,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.09.2003,Unknown,Persewar Waropen
25,Rudy Kurni,Unknown,13,1,1,605.000,N/A,Kurni,Unknown,1,0,Persewar Waropen,Midfield - Defensive Midfield,"1,73 m",Indonesia,id,https://www.transfermarkt.us/rudy-kurni/profil/spieler/721012,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.02.1994,Biak Numfor,Without Club
26,Rivaldo Wally,Richi Rivaldo Wally,36,1,1,1.917,N/A,Wally,Unknown,6,0,Persewar Waropen,Attack - Left Winger,"1,52 m",Indonesia,id,https://www.transfermarkt.us/rivaldo-wally/profil/spieler/1026620,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.08.1999,Unknown,Persewar Waropen
27,Elfis Harewan,Elfis Nuh Harewan,32,1,1,2.589,N/A,Harewan,Unknown,9,1,Persewar Waropen,Midfield - Defensive Midfield,"1,67 m",Indonesia,id,https://www.transfermarkt.us/elfis-harewan/profil/spieler/543580,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.06.1990,Yapen,Persipura Jayapura
28,Salvador Ayomi,Unknown,26,1,1,1.451,N/A,Ayomi,Unknown,3,0,Persewar Waropen,Attack - Right Winger,"1,55 m",Indonesia,id,https://www.transfermarkt.us/salvador-ayomi/profil/spieler/1031708,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.10.1999,Jayapura,Persewar Waropen
29,Alberto Yumame,Alberto Arius Yumame,16,1,1,935.000,N/A,Yumame,Unknown,3,0,Persewar Waropen,Midfield - Defensive Midfield,Unknown,Indonesia,id,https://www.transfermarkt.us/alberto-yumame/profil/spieler/1314334,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.08.1993,Unknown,Persewar Waropen
30,Izaac Wanggai,Izaac Yohanes Wanggai,16,1,0,1.319,N/A,Wanggai,Unknown,1,0,Persewar Waropen,Defender - Centre-Back,"1,70 m",Indonesia,id,https://www.transfermarkt.us/izaac-wanggai/profil/spieler/505901,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.05.1982,Manokwari,Retired
31,Imanuel Rumbiak,Unknown,2,0,0,98.000,N/A,Rumbiak,Unknown,0,1,Persewar Waropen,Defender - Right-Back,"1,67 m",Indonesia,id,https://www.transfermarkt.us/imanuel-rumbiak/profil/spieler/663275,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.11.1998,Biak,Without Club
32,Kevin Scheunemann,Kevin Joshua Scheunemann,4,0,0,137.000,N/A,Scheunemann,Unknown,0,0,Persewar Waropen,Midfield - Attacking Midfield,"1,72 m",Indonesia,id,https://www.transfermarkt.us/kevin-scheunemann/profil/spieler/721014,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.12.1991,Lüdenscheid,Without Club
33,Anselmus Kaibu,Unknown,4,0,0,105.000,N/A,Kaibu,Unknown,0,0,Persewar Waropen,Midfield - Central Midfield,Unknown,Indonesia,id,https://www.transfermarkt.us/anselmus-kaibu/profil/spieler/1048388,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.06.1997,Unknown,Without Club
34,Andi Kayoi,Andrias Alex Kayoi,4,0,0,124.000,N/A,Kayoi,Unknown,0,0,Persewar Waropen,Attack - Centre-Forward,Unknown,Indonesia,id,https://www.transfermarkt.us/andi-kayoi/profil/spieler/942167,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.02.1995,Unknown,Persewar Waropen
35,Toni Wanggober,Unknown,1,0,0,90.000,N/A,Wanggober,Unknown,0,0,Persewar Waropen,Goalkeeper,"1,75 m",Indonesia,id,https://www.transfermarkt.us/toni-wanggober/profil/spieler/1031709,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.09.1987,Unknown,Without Club
36,Hermando Walilo,Unknown,1,0,0,26.000,N/A,Walilo,Unknown,0,0,Persewar Waropen,Midfield - Defensive Midfield,"1,57 m",Indonesia,id,https://www.transfermarkt.us/hermando-walilo/profil/spieler/1031711,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.03.2001,Wamena,Without Club
