rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Wawan Febrianto,Unknown,97,16,21,6.772,N/A,Febrianto,7,8,0,Persikabo 1973,Attack - Left Winger,"1,67 m",Indonesia,id,https://www.transfermarkt.us/wawan-febrianto/profil/spieler/506129,https://img.a.transfermarkt.technology/portrait/small/506129-1741252231.png?lm=1,N/A,23.02.1994,Pati,Persela Lamongan
2,Dimas Drajad,Muhammad Dimas Drajad,101,28,18,7.029,N/A,Drajad,9,13,0,Persikabo 1973,Attack - Centre-Forward,"1,78 m",Indonesia,id,https://www.transfermarkt.us/dimas-drajad/profil/spieler/575532,https://img.a.transfermarkt.technology/portrait/small/575532-1737431902.png?lm=1,N/A,30.03.1997,Gresik,PERSIB Bandung
3,Ciro Alves,Unknown,74,37,15,6.519,N/A,Ciro Alves,-,11,0,Persikabo 1973,Attack - Right Winger,"1,75 m",Brazil,br,https://www.transfermarkt.us/ciro-alves/profil/spieler/81458,https://img.a.transfermarkt.technology/portrait/small/81458-1737431756.png?lm=1,N/A,18.04.1989,Salgueiro,PERSIB Bandung
4,Abduh Lestaluhu,Muhammad Abduh Lestaluhu,95,1,15,8.373,N/A,Lestaluhu,3,22,1,Persikabo 1973,Defender - Left-Back,"1,70 m",Indonesia,id,https://www.transfermarkt.us/abduh-lestaluhu/profil/spieler/506138,https://img.a.transfermarkt.technology/portrait/small/506138-1737700031.png?lm=1,N/A,16.10.1993,Ambon,PSS Sleman
5,Roni Sugeng,Roni Sugeng Ariyanto,165,6,14,9.462,N/A,Sugeng,Unknown,16,0,Persikabo 1973,Midfield - Attacking Midfield,"1,70 m",Indonesia,id,https://www.transfermarkt.us/roni-sugeng/profil/spieler/506133,https://img.a.transfermarkt.technology/portrait/small/506133-1641782943.jpg?lm=1,N/A,18.04.1998,Sragen,PSMS Medan
6,Pedrinho,Unknown,31,4,8,2.554,N/A,Pedrinho,Unknown,8,0,Persikabo 1973,Midfield - Attacking Midfield,"1,72 m",Brazil,br,https://www.transfermarkt.us/pedrinho/profil/spieler/390970,https://img.a.transfermarkt.technology/portrait/small/390970-1575577141.png?lm=1,N/A,18.06.1993,Barreiras,Mt Druitt Town Rangers FC
7,Ahmad Nufiandani,Unknown,74,8,7,3.906,N/A,Nufiandani,7,8,0,Persikabo 1973,Attack - Right Winger,"1,78 m",Indonesia,id,https://www.transfermarkt.us/ahmad-nufiandani/profil/spieler/506128,https://img.a.transfermarkt.technology/portrait/small/506128-1739596891.png?lm=1,N/A,20.11.1994,Kediri,Dewa United FC
8,Erwin Ramdani,Unknown,36,7,6,2.342,N/A,Ramdani,Unknown,5,0,Persikabo 1973,Attack - Left Winger,"1,69 m",Indonesia,id,https://www.transfermarkt.us/erwin-ramdani/profil/spieler/506127,https://img.a.transfermarkt.technology/portrait/small/506127-1615692329.jpg?lm=1,N/A,11.03.1993,Bandung,Nusantara United FC
9,Hendra Bayauw,Hendra Adi Bayauw,25,1,6,1.502,N/A,Bayauw,-,2,0,Persikabo 1973,Attack - Right Winger,"1,65 m",Indonesia,id,https://www.transfermarkt.us/hendra-bayauw/profil/spieler/506486,https://img.a.transfermarkt.technology/portrait/small/506486-1646635155.jpg?lm=1,N/A,23.03.1993,Tulehu,Without Club
10,Aleksandar Rakic,Александар Ракић,45,25,6,3.970,N/A,Rakic,Unknown,4,0,Persikabo 1973,Attack - Centre-Forward,"1,82 m",Serbia,rs,https://www.transfermarkt.us/aleksandar-rakic/profil/spieler/282220,https://img.a.transfermarkt.technology/portrait/small/282220-1596982214.jpg?lm=1,N/A,07.01.1987,Novi Sad,OFK Backa
11,Osas Saha,Osas Marvelous Ikpefua,31,14,5,2.548,N/A,Osas Saha,11,7,1,Persikabo 1973,Attack - Centre-Forward,"1,80 m",Indonesia,id,https://www.transfermarkt.us/osas-saha/profil/spieler/595635,https://img.a.transfermarkt.technology/portrait/small/595635-1658899012.jpg?lm=1,N/A,08.10.1986,Warri,Persibo Bojonegoro
12,Munadi,Unknown,61,1,5,2.766,N/A,Munadi,Unknown,9,0,Persikabo 1973,Midfield - Defensive Midfield,"1,69 m",Indonesia,id,https://www.transfermarkt.us/munadi/profil/spieler/663673,https://img.a.transfermarkt.technology/portrait/small/663673-1650945567.jpg?lm=1,N/A,25.01.1989,Bekasi,Without Club
13,Lucky Oktavianto,Unknown,63,2,5,3.965,N/A,Oktavianto,Unknown,18,0,Persikabo 1973,Defender - Right-Back,"1,65 m",Indonesia,id,https://www.transfermarkt.us/lucky-oktavianto/profil/spieler/721636,https://img.a.transfermarkt.technology/portrait/small/721636-1737729799.png?lm=1,N/A,05.10.1993,Jepara,PSIM Yogyakarta
14,Frengky Missa,Frengky Deaner Missa,23,1,4,1.795,N/A,Missa,3,2,0,Persikabo 1973,Defender - Left-Back,"1,68 m",Indonesia,id,https://www.transfermarkt.us/frengky-missa/profil/spieler/1021777,https://img.a.transfermarkt.technology/portrait/small/1021777-1693993573.png?lm=1,N/A,20.02.2004,Timor Tengah Selatan,Bhayangkara Presisi FC
15,Bruno Dybal,Bruno de Araújo Dybal,27,3,4,2.183,N/A,Dybal,-,3,0,Persikabo 1973,Midfield - Attacking Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/bruno-dybal/profil/spieler/210505,https://img.a.transfermarkt.technology/portrait/small/210505-1686494860.jpeg?lm=1,N/A,03.03.1994,São Paulo,Without Club
16,Komarodin,Unknown,24,1,4,1.667,N/A,Komarodin,Unknown,9,0,Persikabo 1973,Attack - Right Winger,"1,67 m",Indonesia,id,https://www.transfermarkt.us/komarodin/profil/spieler/506514,https://img.a.transfermarkt.technology/portrait/small/506514-1615955052.jpg?lm=1,N/A,19.07.1995,Kendal,Persipa Pati
17,Ryan Kurnia,Unknown,38,5,4,1.898,N/A,Kurnia,8,4,0,Persikabo 1973,Attack - Right Winger,"1,80 m",Indonesia,id,https://www.transfermarkt.us/ryan-kurnia/profil/spieler/663675,https://img.a.transfermarkt.technology/portrait/small/663675-1737431791.png?lm=1,N/A,28.06.1996,Bogor,PERSIB Bandung
18,Firza Andika,Unknown,31,2,3,2.352,N/A,Andika,3,5,0,Persikabo 1973,Defender - Left-Back,"1,69 m",Indonesia,id,https://www.transfermarkt.us/firza-andika/profil/spieler/576737,https://img.a.transfermarkt.technology/portrait/small/576737-1638776836.jpg?lm=1,N/A,11.05.1999,Medan,Persija Jakarta
19,Guntur Triaji,Muhamad Guntur Triaji,95,1,3,5.031,N/A,Triaji,Unknown,15,0,Persikabo 1973,Midfield - Central Midfield,"1,68 m",Indonesia,id,https://www.transfermarkt.us/guntur-triaji/profil/spieler/506120,https://img.a.transfermarkt.technology/portrait/small/506120-1737737830.png?lm=1,N/A,30.07.1993,Lampung Selatan,Gresik United FC
20,Uh-yeong Jeon,전우영,14,0,3,1.225,N/A,Jeon,Unknown,3,0,Persikabo 1973,Midfield - Defensive Midfield,"1,81 m","Korea, South",unknown,https://www.transfermarkt.us/uh-yeong-jeon/profil/spieler/180557,https://img.a.transfermarkt.technology/portrait/small/s_180557_3610_2013_03_23_1.jpg?lm=1,N/A,27.12.1987,Unknown,Amateur club (South Korea)
21,Louise Parfait,Louise Essengue Eloumou Parfait,35,3,3,3.051,N/A,Parfait,-,5,0,Persikabo 1973,Midfield,"1,75 m",Cameroon,cm,https://www.transfermarkt.us/louise-parfait/profil/spieler/112464,https://img.a.transfermarkt.technology/portrait/small/s_112464_4172_2014_02_02_1.jpg?lm=1,N/A,06.07.1990,Yaoundé,SS Villacidrese
22,Gustavo López,Gustavo Fabián López,13,2,3,903.000,N/A,López,Unknown,0,0,Persikabo 1973,Midfield - Attacking Midfield,"1,80 m",Argentina,ar,https://www.transfermarkt.us/gustavo-lopez/profil/spieler/68796,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.06.1986,Isidro Casanova,Retired
23,Tomoki Wada,和田 倫季,12,2,3,705.000,N/A,Wada,Unknown,2,0,Persikabo 1973,Midfield - Attacking Midfield,"1,72 m",Japan,jp,https://www.transfermarkt.us/tomoki-wada/profil/spieler/255617,https://img.a.transfermarkt.technology/portrait/small/255617-1715628570.png?lm=1,N/A,30.10.1994,"Kobe, Hyogo",Tanjong Pagar United
24,Rédouane Zerzouri,Unknown,12,0,2,994.000,N/A,Zerzouri,Unknown,4,0,Persikabo 1973,Midfield - Attacking Midfield,"1,80 m",France,fr,https://www.transfermarkt.us/redouane-zerzouri/profil/spieler/112041,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.04.1989,Colombes,Retired
