rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Matheus,Unknown,12,9,2,1.014,N/A,Matheus,Unknown,3,1,PSKC Cimahi,Attack - Centre-Forward,"1,93 m",Brazil,br,https://www.transfermarkt.us/matheus/profil/spieler/384560,https://img.a.transfermarkt.technology/portrait/small/384560-1694767915.png?lm=1,N/A,18.06.1997,Maringá,PSM Makassar
2,Afdal Yusra,Unknown,14,7,1,933.000,N/A,Yusra,Unknown,2,0,PSKC Cimahi,Attack - Centre-Forward,"1,78 m",Indonesia,id,https://www.transfermarkt.us/afdal-yusra/profil/spieler/940475,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.05.1998,Padang Panjang,Persikas Subang
3,Nyoman Sukarja,I Nyoman Sukarja,12,4,0,776.000,N/A,Sukarja,Unknown,2,0,PSKC Cimahi,Attack - Right Winger,"1,75 m",Indonesia,id,https://www.transfermarkt.us/nyoman-sukarja/profil/spieler/506461,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.08.1989,Badung,Persekat Tegal
4,Rishadi Fauzi,Unknown,15,3,0,754.000,N/A,Fauzi,Unknown,1,0,PSKC Cimahi,Attack - Centre-Forward,"1,80 m",Indonesia,id,https://www.transfermarkt.us/rishadi-fauzi/profil/spieler/506283,https://img.a.transfermarkt.technology/portrait/small/506283-1740033084.png?lm=1,N/A,04.07.1990,Tangerang,Deltras FC
5,Chencho Gyeltshen,Unknown,8,3,1,625.000,N/A,Gyeltshen,7,1,0,PSKC Cimahi,Attack - Left Winger,"1,73 m",Bhutan,bt,https://www.transfermarkt.us/chencho-gyeltshen/profil/spieler/364437,https://img.a.transfermarkt.technology/portrait/small/364437-1727190418.jpeg?lm=1,N/A,10.05.1996,"Shapa, Paro District",Lalitpur City FC
6,Adlin Cahya,Muhammad Adlin Cahya Prastya,30,2,0,1.835,N/A,Cahya,Unknown,4,0,PSKC Cimahi,Midfield - Central Midfield,"1,75 m",Indonesia,id,https://www.transfermarkt.us/adlin-cahya/profil/spieler/1172707,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.05.2004,Unknown,PSKC Cimahi
7,Gufroni Al Maruf,Unknown,16,2,3,961.000,N/A,Al Maruf,Unknown,5,0,PSKC Cimahi,Attack - Right Winger,"1,72 m",Indonesia,id,https://www.transfermarkt.us/gufroni-al-maruf/profil/spieler/506518,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.07.1997,Malang,PSKC Cimahi
8,Reksa Maulana,Unknown,11,2,1,672.000,N/A,Maulana,1,6,0,PSKC Cimahi,Midfield - Defensive Midfield,"1,71 m",Indonesia,id,https://www.transfermarkt.us/reksa-maulana/profil/spieler/607375,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.03.1999,Jakarta,Persikota Tangerang
9,Dheco Zacky,Dheco Hari Zacky,17,2,1,1.129,N/A,Zacky,Unknown,2,0,PSKC Cimahi,Attack - Left Winger,"1,65 m",Indonesia,id,https://www.transfermarkt.us/dheco-zacky/profil/spieler/1312952,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.02.2005,Palembang,PSKC Cimahi
10,Fareed Sadat,Unknown,13,2,4,990.000,N/A,Sadat,-,3,0,PSKC Cimahi,Attack - Centre-Forward,"1,85 m",Afghanistan,af,https://www.transfermarkt.us/fareed-sadat/profil/spieler/354246,https://img.a.transfermarkt.technology/portrait/small/354246-1731846708.jpg?lm=1,N/A,10.11.1998,Espoo,Bhayangkara Presisi FC
11,Joao Rodríguez,Joao Leandro Rodríguez González,6,2,0,527.000,N/A,Rodríguez,9,2,0,PSKC Cimahi,Attack - Left Winger,"1,80 m",Colombia,co,https://www.transfermarkt.us/joao-rodriguez/profil/spieler/253125,https://img.a.transfermarkt.technology/portrait/small/253125-1722808238.jpg?lm=1,N/A,19.05.1996,San José de Cúcuta,PSKC Cimahi
12,Hambali Tholib,Muhammad Hambali Tolib,19,2,8,1.431,N/A,Tholib,29,6,0,PSKC Cimahi,Midfield - Attacking Midfield,"1,70 m",Indonesia,id,https://www.transfermarkt.us/hambali-tholib/profil/spieler/629369,https://img.a.transfermarkt.technology/portrait/small/629369-1640665407.jpg?lm=1,N/A,20.06.2000,Makassar,PSKC Cimahi
