rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Mitsuru Maruoka,丸岡 満,63,18,7,5.605,N/A,Maruoka,-,6,0,RANS Nusantara FC,Midfield - Central Midfield,"1,70 m",Japan,jp,https://www.transfermarkt.us/mitsuru-maruoka/profil/spieler/303412,https://img.a.transfermarkt.technology/portrait/small/303412-1737534600.png?lm=1,N/A,06.01.1996,"Tokushima, Tokushima",Bali United FC
2,Edo Febriansyah,Mohammad Edo Febriansah,28,6,5,2.393,N/A,Febriansyah,17,6,0,RANS Nusantara FC,Defender - Left-Back,"1,73 m",Indonesia,id,https://www.transfermarkt.us/edo-febriansyah/profil/spieler/721908,https://img.a.transfermarkt.technology/portrait/small/721908-1737431038.png?lm=1,N/A,25.07.1997,Kediri,PERSIB Bandung
3,Cristian Gonzáles,Cristian Gérard Alfaro Gonzáles,16,8,4,955.000,N/A,Gonzáles,9,1,0,RANS Nusantara FC,Attack - Centre-Forward,"1,77 m",Indonesia,id,https://www.transfermarkt.us/cristian-gonzales/profil/spieler/206852,https://img.a.transfermarkt.technology/portrait/small/206852-1662706193.jpg?lm=1,N/A,30.08.1976,Montevideo,Retired
4,Rifal Lastori,Unknown,15,2,4,1.076,N/A,Lastori,Unknown,2,0,RANS Nusantara FC,Attack - Left Winger,"1,60 m",Indonesia,id,https://www.transfermarkt.us/rifal-lastori/profil/spieler/506155,https://img.a.transfermarkt.technology/portrait/small/506155-1618294782.jpg?lm=1,N/A,09.06.1997,Tidore Kepulauan,Malut United FC
5,Ady Setiawan,Unknown,38,0,4,3.259,N/A,Setiawan,16,2,0,RANS Nusantara FC,Defender - Right-Back,"1,67 m",Indonesia,id,https://www.transfermarkt.us/ady-setiawan/profil/spieler/574466,https://img.a.transfermarkt.technology/portrait/small/574466-1738846281.jpeg?lm=1,N/A,10.09.1994,Bima,Dewa United FC
6,Makan Konate,Makan Konaté,35,8,3,2.970,N/A,Konate,-,0,0,RANS Nusantara FC,Midfield - Attacking Midfield,"1,78 m",Mali,ml,https://www.transfermarkt.us/makan-konate/profil/spieler/354938,https://img.a.transfermarkt.technology/portrait/small/354938-1629104641.jpg?lm=1,N/A,10.11.1991,Bamako,Adhyaksa FC
7,Marckho Merauje,Marckho Sandy Merauje,25,0,3,1.749,N/A,Merauje,2,9,1,RANS Nusantara FC,Defender - Right-Back,"1,78 m",Indonesia,id,https://www.transfermarkt.us/marckho-merauje/profil/spieler/506572,https://img.a.transfermarkt.technology/portrait/small/506572-1626585870.jpg?lm=1,N/A,04.12.1994,Jayapura,PSBS Biak
8,Jujun Junaidi,Unknown,22,2,3,1.138,N/A,Junaidi,Unknown,2,0,RANS Nusantara FC,Attack - Right Winger,"1,75 m",Indonesia,id,https://www.transfermarkt.us/jujun-junaidi/profil/spieler/903331,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.12.1998,Bandung,Without Club
9,Tavinho,Unknown,31,6,3,2.427,N/A,Tavinho,Unknown,10,0,RANS Nusantara FC,Attack - Left Winger,"1,81 m",Portugal,pt,https://www.transfermarkt.us/tavinho/profil/spieler/203447,https://img.a.transfermarkt.technology/portrait/small/203447-1563988317.jpg?lm=1,N/A,04.09.1993,Loulé,LGC Moncarapachense
10,Ângelo Meneses,Unknown,21,2,3,1.792,N/A,Ângelo Meneses,13,2,0,RANS Nusantara FC,Defender - Centre-Back,"1,89 m",Portugal,pt,https://www.transfermarkt.us/angelo-meneses/profil/spieler/284741,https://img.a.transfermarkt.technology/portrait/small/284741-1739594297.png?lm=1,N/A,03.07.1993,Ribeirão,Dewa United FC
