name,club,periods
Wawan Sumadi,Dejan FC,2022-2025
Artem Serdyuk,Dejan FC,2025-2025
Jackson Tiwu,Dejan FC,2024-2025
Riski Ramadhan,Dejan FC,2023-2025
Boman Aimé,Dejan FC,2024-2024
Fajar Firdaus,Dejan FC,2024-2025
Rakha Shabir,Dejan FC,"2024-2024, 2024-2025"
Syahwal Ginting,Dejan FC,2024-2025
Guntur Triaji,Dejan FC,2024-2024
Boateng Prince,Dejan FC,2022-2025
Afif Fathoni,Dejan FC,"2022-2024, 2024-2025"
Reza Fahlevi,Dejan FC,2022-2025
Thiago Fernandes,Dejan FC,2024-2025
Sujarmin,Dejan FC,"2023-2024, 2024-2025"
Amadu Jalloh,Dejan FC,2024-2025
Fadil Redian,Dejan FC,2024-2025
Yadi Mulyadi,Dejan FC,2025-2025
Silvio Escobar,Dejan FC,2024-2024
Annas Fitranto,Dejan FC,2024-2024
Muhammad Roby,Dejan FC,2024-2024
Aray Suhendri,Dejan FC,2022-2025
Marvin Nugraha,Dejan FC,2024-2025
Aziz Fathahilah,Dejan FC,2024-2024
Valentino Telaubun,Dejan FC,2024-2025
Zaenuri Azhar,Dejan FC,2024-2025
Danila Sokirchenko,Dejan FC,2025-2025
Nabil Asyura,Dejan FC,2024-2025
Imus Wiranda,Dejan FC,2024-2025
Fikri Firdaus,Dejan FC,2023-2025
Ivan Julyandhy,Dejan FC,2024-2025
Ade Suryana,Dejan FC,2024-2025
Alfin Esa,Dejan FC,2024-2025
Donald Bissa,Dejan FC,2024-2025
Anan Lestaluhu,Dejan FC,2024-2025
Ganjar Mukti,Dejan FC,2024-2025
Salifii Diarra,Dejan FC,2024-2024
Tegar Dadi,Dejan FC,2024-2025
Andi Sopian,Dejan FC,2022-2025
Abdan Mustafa,Dejan FC,"2024-2024, 2024-2025"
