name,club,periods
Dwiki Mardiyanto,Deltras FC,2022-2025
Fakhrudin,Deltras FC,"2003-2005, 2011-2013"
Emerson Carioca,Deltras FC,2024-2025
Thaufan Hidayat,Deltras FC,2023-2025
Artur Vieira,Deltras FC,2024-2025
Sean Rooney,Deltras FC,2011-2012
Safitra Udu,Deltras FC,2024-2025
James Koko Lomell,Deltras FC,2012-2013
Amos Marah,Deltras FC,2011-2013
Ahmad Maulana,Deltras FC,2011-2013
Budi Sudarsono,Deltras FC,"2003-2004, 2011-2014"
Muhammad Afrizhan,Deltras FC,2022-2023
Rikza Syahwali,Deltras FC,"2022-2023, 2024-2025"
Rendi Irwan,Deltras FC,"2009-2010, 2022-2025"
Sekou Sylla,Deltras FC,2024-2025
Wisal El-Burji,Deltras FC,2023-2025
Januar Eka,Deltras FC,2023-2024
Bima Ragil,Deltras FC,2023-2025
Juan Revi,Deltras FC,"2008-2009, 2011-2014"
Hyun-joon Shin,Deltras FC,2011-2012
Amar Fadzillah,Deltras FC,"2023-2024, 2024-2025"
Mijo Dadic,Deltras FC,2011-2018
Crah Angger,Deltras FC,2022-2024
Rendra Teddy,Deltras FC,2023-2024
Patrich Wanggai,Deltras FC,2023-2024
Samsudin,Deltras FC,2022-2023
Martinus Novianto,Deltras FC,2021-2024
Supandi,Deltras FC,2011-2012
Thiago Fernandes,Deltras FC,2023-2024
José Hernández,Deltras FC,2023-2024
Walter Brizuela,Deltras FC,2011-2012
Khairil Anwar,Deltras FC,2022-2023
Rezky Renaldy,Deltras FC,"2017-2019, 2023-2024"
Dicki Agung,Deltras FC,2021-2023
Fery Bagus,Deltras FC,2023-2024
Hafit Ibrahim,Deltras FC,2022-2023
Dian Sasongko,Deltras FC,2023-2023
Aed Tri Oka,Deltras FC,2023-2024
Michael Singgih,Deltras FC,2024-2025
Faiz Iqbal,Deltras FC,2022-2023
Ronald Affrizal,Deltras FC,2024-2025
Sedek Tuakia,Deltras FC,2021-2023
Wahyu Adi Prianto,Deltras FC,2021-2023
Gary Setiawan,Deltras FC,2010-2013
Harminto,Deltras FC,2010-2012
Naufal Aji,Deltras FC,2021-2023
Julyano Pratama,Deltras FC,2024-2025
Indra Kahfi,Deltras FC,2011-2014
Nixon Guylherme,Deltras FC,2024-2025
Nugroho Fatchur,Deltras FC,2023-2023
Beny Ashar,Deltras FC,2022-2023
Denny Agus,Deltras FC,2023-2024
Deki Rolias,Deltras FC,2022-2023
Rasha Efendi,Deltras FC,2025-2025
Moch Bachrudin,Deltras FC,2008-2013
Askarbek Saliev,Deltras FC,2023-2023
Gilang Oktavana,Deltras FC,2021-2024
Yehezkiel Sawery,Deltras FC,2024-2025
Rishadi Fauzi,Deltras FC,2024-2025
Beny Wahyudi,Deltras FC,"2011-2012, 2022-2023"
Waluyo,Deltras FC,"2006-2008, 2011-2013"
Marsel Usemahu,Deltras FC,"2015-2016, 2022-2024, 2024-2025"
Indra Setiawan,Deltras FC,2009-2013
Khoirul Mashuda,Deltras FC,2009-2012
Purwaka Yudhi,Deltras FC,"2006-2008, 2009-2009, 2011-2012"
Alvin,Deltras FC,2022-2025
Muhammad Idris,Deltras FC,"2017-2018, 2023-2025"
Raka Cahyana,Deltras FC,2023-2024
Wahyu Jati,Deltras FC,2022-2025
Muhammad Yusuf,Deltras FC,"2007-2008, 2011-2014"
Wawan Hendrawan,Deltras FC,2011-2012
Bima Koto,Deltras FC,"2017-2018, 2022-2024"
Dodok Zuanto,Deltras FC,2009-2012
Wahyu Gunawan,Deltras FC,2008-2011
Sugiarto,Deltras FC,2008-2013
Nasir,Deltras FC,2024-2025
Hariono,Deltras FC,"2004-2008, 2024-2025"
Panggih Sambodo,Deltras FC,2024-2025
Ade Saihitua,Deltras FC,2024-2025
Amirul Fisabilillah,Deltras FC,2024-2025
Wahyudi,Deltras FC,2011-2012
Herman Batak,Deltras FC,2012-2015
Srecko Mitrovic,Deltras FC,2012-2013
Syaiful Indra,Deltras FC,2023-2024
Januarius Meka,Deltras FC,2023-2025
Alfin Rosadi,Deltras FC,2021-2023
