name,club,periods
Rosalvo,Persijap Jepara,2024-2025
Indra Arya,Persijap Jepara,2021-2025
Rizki Hidayat,Persijap Jepara,"2019-2021, 2022-2023, 2023-2024, 2024-2025"
Qischil Gandrum,Persijap Jepara,2022-2024
Prince Kallon,Persijap Jepara,"2023-2024, 2024-2025"
Iqmal Samsu,Persijap Jepara,"2021-2021, 2023-2024"
Ricki Ariansyah,Persijap Jepara,2021-2021
Fikron Afriyanto,Persijap Jepara,"2019-2020, 2022-2025"
Kervens Belfort,Persijap Jepara,2023-2024
Safna Delpi,Persijap Jepara,2024-2025
Claudinho,Persijap Jepara,2014-2015
Ardi Ardiana,Persijap Jepara,2024-2025
Danial,Persijap Jepara,2012-2014
Rendy Setiawan,Persijap Jepara,2022-2023
David Laly,Persijap Jepara,2024-2025
Crah Angger,Persijap Jepara,2021-2021
Noor Hadi,Persijap Jepara,2009-2014
Bhima Wibnu,Persijap Jepara,2023-2024
Fahmi Al-Ayyubi,Persijap Jepara,2023-2024
Elias,Persijap Jepara,2024-2025
Faldi Tama,Persijap Jepara,2019-2021
Rachmat Rivai,Persijap Jepara,2014-2014
Diva Tarkas,Persijap Jepara,"2012-2013, 2014-2014"
Haru Nakagaki,Persijap Jepara,2023-2023
Ahmad Nufiandani,Persijap Jepara,"2013-2014, 2014-2014"
Carlos Raúl Sciucatti,Persijap Jepara,"2008-2009, 2014-2015"
Busari,Persijap Jepara,2021-2022
Alan Sabilah,Persijap Jepara,2022-2023
Léo Lelis,Persijap Jepara,2025-2025
Alvin Nur Rizqi,Persijap Jepara,2022-2023
Kornelis Kaimu,Persijap Jepara,2014-2016
Dody Alfayed,Persijap Jepara,"2020-2022, 2025-2025"
Rendi Saepul,Persijap Jepara,2024-2025
Rakhmatsho Rakhmatzoda,Persijap Jepara,2024-2025
Irfan Afghoni,Persijap Jepara,"2022-2023, 2023-2024"
Figo Firmansyah,Persijap Jepara,2024-2025
Doni Sormin,Persijap Jepara,2024-2025
Fairuz Ohorella,Persijap Jepara,2025-2025
Arya Gerryan,Persijap Jepara,2021-2022
Fairuz Akram,Persijap Jepara,2023-2024
Christian Lenglolo,Persijap Jepara,2013-2015
Muhammad Ferdiansyah,Persijap Jepara,2023-2024
Lutfi Masrohan,Persijap Jepara,2022-2023
Dong-won Han,Persijap Jepara,2014-2015
Lucky Oktavianto,Persijap Jepara,"2015-2015, 2018-2019"
Dani Sormin,Persijap Jepara,2024-2025
Agung Mannan,Persijap Jepara,2021-2022
Andre Wibowo,Persijap Jepara,2022-2023
Ade Candra,Persijap Jepara,2022-2023
Cecep Mulyana,Persijap Jepara,2023-2023
Fitrah Ramadhan,Persijap Jepara,2021-2021
Zulham Zamrun,Persijap Jepara,2025-2025
Diego Banowo,Persijap Jepara,2014-2015
Iftiqar Rizal,Persijap Jepara,2024-2025
Ahmad Taufiq,Persijap Jepara,2010-2015
Handoyo Putro,Persijap Jepara,2022-2023
Ichsan Hari,Persijap Jepara,2023-2023
Faiz Iqbal,Persijap Jepara,2023-2023
Alan Nuri,Persijap Jepara,2023-2023
Hilmy Razan,Persijap Jepara,2022-2023
Abdullah Syafii,Persijap Jepara,2022-2023
Wiranto,Persijap Jepara,2021-2022
Mifathul Ikhsan,Persijap Jepara,"2021-2022, 2022-2023"
Aulia Perdana Zinda,Persijap Jepara,2021-2022
Rudy Foler,Persijap Jepara,2021-2022
Fauzi Panguripan,Persijap Jepara,2023-2023
Nugroho Santoso,Persijap Jepara,2024-2024
Achmad Afandi,Persijap Jepara,2023-2023
Galih Maulana,Persijap Jepara,2022-2023
Angga Wahid,Persijap Jepara,2022-2023
Wisnu Wardani,Persijap Jepara,2021-2022
Syafril Lestaluhu,Persijap Jepara,2023-2024
Rikza Syahwali,Persijap Jepara,2023-2024
Rifan Nahumarury,Persijap Jepara,2023-2023
Arifin Setyadi,Persijap Jepara,"2019-2020, 2023-2024"
Ridho Al Wafaa,Persijap Jepara,"2019-2020, 2021-2022, 2023-2025"
Sugiono,Persijap Jepara,2014-2014
Ahmad Buchori,Persijap Jepara,2014-2015
Faozan Musanef,Persijap Jepara,2023-2024
Ardi Maulana,Persijap Jepara,2023-2024
Basroh Alamsyah,Persijap Jepara,2023-2024
Cucu Hidayat,Persijap Jepara,2014-2016
Zahran Alamsah,Persijap Jepara,2022-2025
Dedi Haryanto,Persijap Jepara,2014-2014
Adam Aditya,Persijap Jepara,"2019-2021, 2022-2024"
Boy Jati Asmara,Persijap Jepara,2014-2015
Fathul Manan,Persijap Jepara,
Mojtaba Lotfi,Persijap Jepara,2023-2024
Evaldo Silva,Persijap Jepara,"2004-2012, 2013-2014"
Fauzan Jamal,Persijap Jepara,"2013-2014, 2017-2018"
Ichsas Baihaqi,Persijap Jepara,2024-2025
Hendri Satriadi,Persijap Jepara,"2021-2023, 2023-2024"
Sendri Johansah,Persijap Jepara,2024-2025
Rahmat Hidayat,Persijap Jepara,2024-2025
Rangga Widiansyah,Persijap Jepara,2024-2025
Restu Akbar,Persijap Jepara,2023-2025
Andriyas Francisco,Persijap Jepara,2023-2024
Harlan Suardi,Persijap Jepara,"2019-2021, 2022-2022"
