name,club,periods
Deri Corfe,Persiraja Banda Aceh,2024-2025
Assanur Rijal,Persiraja Banda Aceh,"2019-2021, 2022-2022, 2024-2025"
Miftahul Hamdi,Persiraja Banda Aceh,"2020-2021, 2024-2025"
Defri Rizki,Persiraja Banda Aceh,"2008-2009, 2011-2013, 2018-2022, 2023-2024"
Ramadhan,Persiraja Banda Aceh,"2020-2022, 2023-2024, 2024-2025"
Paulo Henrique,Persiraja Banda Aceh,2021-2022
Ferdinan Sinaga,Persiraja Banda Aceh,2023-2024
Andik Vermansyah,Persiraja Banda Aceh,2023-2025
Vivi Asrizal,Persiraja Banda Aceh,"2021-2021, 2022-2022, 2024-2025"
David Laly,Persiraja Banda Aceh,2023-2024
Islom Karimov,Persiraja Banda Aceh,2023-2024
Perda Rahman,Persiraja Banda Aceh,2022-2023
Matheus Machado,Persiraja Banda Aceh,2024-2025
Al Muzanni,Persiraja Banda Aceh,"2022-2024, 2024-2025"
Zamrony,Persiraja Banda Aceh,2018-2021
Patrick Ghigani,Persiraja Banda Aceh,2011-2013
Muammar Khadafi,Persiraja Banda Aceh,2023-2024
Léo Lelis,Persiraja Banda Aceh,2021-2022
Adam Maulana,Persiraja Banda Aceh,2023-2025
Ricardo Pires,Persiraja Banda Aceh,2023-2023
Andri Abu Bakar,Persiraja Banda Aceh,2018-2021
Fadilla Akbar,Persiraja Banda Aceh,2024-2025
Jabar Sharza,Persiraja Banda Aceh,2022-2022
Martunis BA,Persiraja Banda Aceh,2022-2023
Indra Rianto,Persiraja Banda Aceh,2024-2025
Imral Usman,Persiraja Banda Aceh,2012-2013
Akhirul Wadhan,Persiraja Banda Aceh,2021-2022
Rizky Nasution,Persiraja Banda Aceh,"2016-2017, 2018-2020, 2021-2022, 2023-2025"
Zikri Ferdiansyah,Persiraja Banda Aceh,2022-2024
Candra Rahmat,Persiraja Banda Aceh,2022-2023
Habil Akbar,Persiraja Banda Aceh,2024-2025
Mohammad Arjun,Persiraja Banda Aceh,2022-2025
Husnuzhon,Persiraja Banda Aceh,"2018-2021, 2023-2023"
Aliyah Alfuad,Persiraja Banda Aceh,2019-2022
Sultan Rizki,Persiraja Banda Aceh,2022-2023
Dedi Hartono,Persiraja Banda Aceh,2022-2022
Mario Londok,Persiraja Banda Aceh,2025-2025
Muharir,Persiraja Banda Aceh,2023-2024
Fahriza Dillah,Persiraja Banda Aceh,
Iksan Aiyub,Persiraja Banda Aceh,2022-2023
Mudasir,Persiraja Banda Aceh,2018-2022
Vanderlei,Persiraja Banda Aceh,2020-2021
Fahrizal Dillah,Persiraja Banda Aceh,"2009-2014, 2016-2019, 2022-2023"
Silvio Escobar,Persiraja Banda Aceh,2021-2021
Dadang Apridianto,Persiraja Banda Aceh,2024-2024
Tri Rahmad Priadi,Persiraja Banda Aceh,2019-2021
Riski Tangse,Persiraja Banda Aceh,2022-2023
Asep Budi,Persiraja Banda Aceh,"2018-2019, 2020-2021"
Muhammad Efendi,Persiraja Banda Aceh,2022-2023
Samir Ayass,Persiraja Banda Aceh,2020-2021
