name,club,periods
Hilton Moreira,Sriwijaya FC,"2011-2013, 2016-2018, 2019-2020"
Beto,Sriwijaya FC,"2016-2019, 2020-2020"
Keith Gumbs,Sriwijaya FC,2007-2013
Esteban Vizcarra,Sriwijaya FC,2017-2019
Chencho Gyeltshen,Sriwijaya FC,"2023-2024, 2024-2024"
Tantan,Sriwijaya FC,2013-2014
Muhammad Ridwan,Sriwijaya FC,"2010-2013, 2016-2017"
Boakay Foday,Sriwijaya FC,2012-2014
Thierry Gathuessi,Sriwijaya FC,"2010-2013, 2016-2016"
Manuchekhr Dzhalilov,Sriwijaya FC,2017-2019
Herman Dzumafo,Sriwijaya FC,2013-2013
Ramdani Lestaluhu,Sriwijaya FC,2013-2014
Lancine Kone,Sriwijaya FC,2014-2015
Habibi Jusuf,Sriwijaya FC,2022-2023
Firman Utina,Sriwijaya FC,"2010-2012, 2016-2017"
Dedi Hartono,Sriwijaya FC,2021-2022
Lewis Eric Weeks,Sriwijaya FC,2013-2014
Muhammad Fadly,Sriwijaya FC,2024-2025
Tijani Belaid,Sriwijaya FC,2017-2017
Airlangga Sucipto,Sriwijaya FC,"2016-2018, 2019-2020"
Rivaldi Bawuo,Sriwijaya FC,2023-2024
Nur Iskandar,Sriwijaya FC,"2017-2019, 2021-2022, 2022-2024"
Ponaryo Astaman,Sriwijaya FC,2009-2014
Achmad Jufriyanto,Sriwijaya FC,"2010-2013, 2016-2017"
Siswanto,Sriwijaya FC,"2011-2012, 2014-2014, 2019-2020"
Hamka Hamzah,Sriwijaya FC,2018-2018
Asri Akbar,Sriwijaya FC,2013-2016
Vendry Mofu,Sriwijaya FC,2014-2014
Marckho Merauje,Sriwijaya FC,2017-2019
Reyhan Firdaus,Sriwijaya FC,2024-2025
Yohanis Nabar,Sriwijaya FC,"2014-2017, 2019-2020"
Mahamadou N'Diaye,Sriwijaya FC,2017-2018
Syakir Sulaiman,Sriwijaya FC,2014-2016
Rizsky Ramadhana,Sriwijaya FC,"2011-2020, 2023-2024"
Meghon Valpoort,Sriwijaya FC,2024-2025
Yongki Aribowo,Sriwijaya FC,2019-2020
Slamet Budiono,Sriwijaya FC,"2017-2018, 2018-2019"
Afriansyah,Sriwijaya FC,2021-2022
Imam Witoyo,Sriwijaya FC,2024-2025
Patrich Wanggai,Sriwijaya FC,"2015-2016, 2018-2018"
Maurício Leal,Sriwijaya FC,2016-2017
Chris Rumbiak,Sriwijaya FC,2024-2025
Nova Arianto,Sriwijaya FC,2011-2012
Alan Henrique,Sriwijaya FC,2018-2019
Zah Rahan Krangar,Sriwijaya FC,2007-2010
Muhammad Rifqi,Sriwijaya FC,"2010-2011, 2023-2023"
Ali Koroy,Sriwijaya FC,2023-2024
Irwanto Bajo,Sriwijaya FC,2023-2024
Supardi,Sriwijaya FC,"2010-2013, 2016-2017"
Guy Junior,Sriwijaya FC,2022-2023
Azis Hutagalung,Sriwijaya FC,2022-2023
Riski Novriansyah,Sriwijaya FC,2011-2013
Ahmad Ihwan,Sriwijaya FC,2019-2020
Parfait Ngon,Sriwijaya FC,2008-2009
Tomi Darmawan,Sriwijaya FC,2022-2025
Ryan Wiradinata,Sriwijaya FC,"2019-2020, 2023-2024"
Fachri Alhayani,Sriwijaya FC,2025-2025
Valentino Telaubun,Sriwijaya FC,2021-2022
Amirul Mukminin,Sriwijaya FC,"2007-2010, 2022-2024"
Beni Oktovianto,Sriwijaya FC,2024-2025
Ichsan Kurniawan,Sriwijaya FC,"2011-2016, 2016-2019"
Yevgen Bokhashvili,Sriwijaya FC,2023-2024
Ikhwan Ciptady,Sriwijaya FC,2021-2022
Hari Habrian,Sriwijaya FC,2020-2022
Sunawan,Sriwijaya FC,2021-2022
Herwin Saputra,Sriwijaya FC,2023-2024
Fajar Zainul,Sriwijaya FC,2023-2024
Arbeta Rockyawan,Sriwijaya FC,2025-2025
Farhan Rahman,Sriwijaya FC,2024-2025
Imam Bagus,Sriwijaya FC,2020-2022
Diogo Rangel,Sriwijaya FC,"2012-2013, 2013-2014"
Adistya Wicaksana,Sriwijaya FC,"2018-2019, 2020-2020, 2021-2023"
Muhammad Ridwan,Sriwijaya FC,2017-2019
Budi Sudarsono,Sriwijaya FC,"2008-2009, 2010-2011"
Yogi Rahadian,Sriwijaya FC,"2018-2019, 2022-2023"
Yericho Christiantoko,Sriwijaya FC,2019-2020
Yanto Basna,Sriwijaya FC,"2013-2015, 2017-2018"
Masagus Zakaria,Sriwijaya FC,2025-2025
Fransiskus Alesandro,Sriwijaya FC,2022-2024
Muhammad Nasuha,Sriwijaya FC,2008-2010
Suandi,Sriwijaya FC,"2013-2016, 2020-2022"
Diano,Sriwijaya FC,2010-2011
Maldini Pali,Sriwijaya FC,2017-2017
Fakhrudin,Sriwijaya FC,2013-2014
Fandy Mochtar,Sriwijaya FC,2012-2014
Franck Ongfiang,Sriwijaya FC,2014-2018
Roby Andika,Sriwijaya FC,2018-2020
Hendra Sandi,Sriwijaya FC,2017-2017
Amabel Ramansyah,Sriwijaya FC,2023-2024
Jandia,Sriwijaya FC,2024-2025
Dendi Maulana,Sriwijaya FC,2024-2025
Dede Sulaiman,Sriwijaya FC,2007-2009
Muhammad Shobran,Sriwijaya FC,2011-2014
Vali Khorsandi,Sriwijaya FC,2014-2014
Syamsir Alam,Sriwijaya FC,2014-2015
Reza Erlangga,Sriwijaya FC,"2016-2019, 2022-2024"
Alvin Nasution,Sriwijaya FC,2022-2023
Eka Hera,Sriwijaya FC,2019-2019
Meru Kimura,Sriwijaya FC,2023-2024
