rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ezechiel Ndouasel,"Ezechiel Aliadjim Ndouasel, إيزيكييل ندواسل",17,10,2,1.278,2023-2024,Ndouasel,11,2,0,FC Bekasi City,Attack - Centre-Forward,"1,86 m",Chad,td,https://www.transfermarkt.us/ezechiel-ndouasel/profil/spieler/82364,https://img.a.transfermarkt.technology/portrait/small/82364-1631973120.png?lm=1,,22.04.1988,N'Djamena,Persela Lamongan
2,Saldi,Unknown,24,8,4,1.89,2022-2024,Saldi,Unknown,0,0,FC Bekasi City,Attack - Left Winger,"1,70 m",Indonesia,id,https://www.transfermarkt.us/saldi/profil/spieler/506282,https://img.a.transfermarkt.technology/portrait/small/506282-1737729666.png?lm=1,,09.03.1995,Bantaeng,PSIM Yogyakarta
3,Meghon Valpoort,Unknown,7,5,1,570.0,2025-2025,Valpoort,-,0,0,FC Bekasi City,Attack - Centre-Forward,"1,90 m",Curacao,unknown,https://www.transfermarkt.us/meghon-valpoort/profil/spieler/585316,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,31.07.2000,Delft,FC Bekasi City
4,Jhon Cley,Unknown,15,3,3,1.305,2024-2025,Jhon Cley,-,4,0,FC Bekasi City,Midfield - Attacking Midfield,"1,83 m",Brazil,br,https://www.transfermarkt.us/jhon-cley/profil/spieler/236772,https://img.a.transfermarkt.technology/portrait/small/236772-1663083205.jpg?lm=1,,09.03.1994,Brasília,PERSIS Solo
5,Indra Feri,Muhammad Indra Feri Faroni,23,3,3,1.889,2023-2025,Feri,Unknown,2,0,FC Bekasi City,Midfield - Central Midfield,"1,66 m",Indonesia,id,https://www.transfermarkt.us/indra-feri/profil/spieler/1183056,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,28.03.2001,Lombok,FC Bekasi City
6,Titan Agung,Titan Agung Bagus Fawwazi,7,3,1,348.0,2025-2025,Agung,18,1,0,FC Bekasi City,Attack - Centre-Forward,"1,76 m",Indonesia,id,https://www.transfermarkt.us/titan-agung/profil/spieler/742315,https://img.a.transfermarkt.technology/portrait/small/742315-1705466108.png?lm=1,,05.06.2001,Malang,FC Bekasi City
7,Saddam Gaffar,Saddam Emiruddin Gaffar,10,3,1,536.0,2024-2025,Gaffar,21,2,0,FC Bekasi City,Attack - Centre-Forward,"1,87 m",Indonesia,id,https://www.transfermarkt.us/saddam-gaffar/profil/spieler/746979,https://img.a.transfermarkt.technology/portrait/small/746979-1636787395.jpg?lm=1,,24.09.2001,Jepara,FC Bekasi City
8,Hambali Tholib,Muhammad Hambali Tolib,16,2,6,1.162,2023-2024,Tholib,29,6,0,FC Bekasi City,Midfield - Attacking Midfield,"1,70 m",Indonesia,id,https://www.transfermarkt.us/hambali-tholib/profil/spieler/629369,https://img.a.transfermarkt.technology/portrait/small/629369-1640665407.jpg?lm=1,,20.06.2000,Makassar,PSKC Cimahi
9,Yuda Risky,Yuda Risky Irawan,9,2,0,423.0,,Risky,Unknown,0,0,FC Bekasi City,Midfield - Defensive Midfield,"1,72 m",Indonesia,id,https://www.transfermarkt.us/yuda-risky/profil/spieler/724291,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,06.08.1998,Tembung,Sumut United FC
10,Hamka Hamzah,Unknown,7,2,0,630.0,2022-2023,Hamzah,-,0,0,FC Bekasi City,Defender - Centre-Back,"1,83 m",Indonesia,id,https://www.transfermarkt.us/hamka-hamzah/profil/spieler/206896,https://img.a.transfermarkt.technology/portrait/small/206896-1617851539.jpg?lm=1,,29.01.1984,Makassar,Retired
