rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Rosalvo,Unknown,22,10,1,1.82,2024-2025,Rosalvo,Unknown,1,0,Persijap Jepara,Attack - Centre-Forward,"1,90 m",Brazil,br,https://www.transfermarkt.us/rosalvo/profil/spieler/756040,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,28.12.1991,Unknown,Persijap Jepara
2,Indra Arya,Indra Arya Perceka Wiguna,47,7,2,3.293,2021-2025,Indra Arya,-,8,0,Persijap Jepara,Attack - Left Winger,"1,72 m",Indonesia,id,https://www.transfermarkt.us/indra-arya/profil/spieler/936172,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,01.07.2003,Bandung,Persijap Jepara
3,Rizki Hidayat,Unknown,42,5,8,3.403,"2019-2021, 2022-2023, 2023-2024, 2024-2025",Hidayat,Unknown,5,0,Persijap Jepara,Midfield - Attacking Midfield,"1,74 m",Indonesia,id,https://www.transfermarkt.us/rizki-hidayat/profil/spieler/903325,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,03.07.1997,Sumedang,Persijap Jepara
4,Qischil Gandrum,Qischil Gandrum Miny,23,5,0,824.0,2022-2024,Gandrum,Unknown,3,0,Persijap Jepara,Attack - Right Winger,"1,76 m",Indonesia,id,https://www.transfermarkt.us/qischil-gandrum/profil/spieler/667172,https://img.a.transfermarkt.technology/portrait/small/667172-1739711506.png?lm=1,,22.07.1987,Kediri,Nusantara United FC
5,Prince Kallon,Prince Patrick Kallon,29,5,0,645.0,"2023-2024, 2024-2025",Kallon,Unknown,1,0,Persijap Jepara,Attack - Right Winger,"1,74 m",Indonesia,id,https://www.transfermarkt.us/prince-kallon/profil/spieler/818625,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,03.02.2002,Tabanan,Persijap Jepara
6,Iqmal Samsu,Iqmal Nur Samsu,26,5,3,1.286,"2021-2021, 2023-2024",Samsu,Unknown,3,0,Persijap Jepara,Attack - Centre-Forward,"1,71 m",Indonesia,id,https://www.transfermarkt.us/iqmal-samsu/profil/spieler/721917,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,01.03.1997,Bandung,Perserang Serang
7,Ricki Ariansyah,Unknown,9,4,0,765.0,2021-2021,Ariansyah,Unknown,4,0,Persijap Jepara,Midfield - Defensive Midfield,"1,67 m",Indonesia,id,https://www.transfermarkt.us/ricki-ariansyah/profil/spieler/720584,https://img.a.transfermarkt.technology/portrait/small/720584-1702464229.png?lm=1,,10.06.1997,Medan,Semen Padang FC
8,Fikron Afriyanto,Unknown,43,3,0,3.844,"2019-2020, 2022-2025",Afriyanto,Unknown,5,0,Persijap Jepara,Defender - Centre-Back,"1,78 m",Indonesia,id,https://www.transfermarkt.us/fikron-afriyanto/profil/spieler/1050305,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,20.12.1998,Jepara,Persijap Jepara
9,Kervens Belfort,Kervens Fils Belfort,9,3,2,809.0,2023-2024,Belfort,9,1,0,Persijap Jepara,Attack - Centre-Forward,"1,89 m",Haiti,ht,https://www.transfermarkt.us/kervens-belfort/profil/spieler/93614,https://img.a.transfermarkt.technology/portrait/small/93614-1455725738.JPG?lm=1,,16.05.1992,Petit-Goâve,Lalitpur City FC
10,Safna Delpi,Safna Maula Delpi,14,2,0,215.0,2024-2025,Delpi,Unknown,1,0,Persijap Jepara,Midfield - Attacking Midfield,"1,71 m",Indonesia,id,https://www.transfermarkt.us/safna-delpi/profil/spieler/1313684,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,26.04.2002,Jepara,Persijap Jepara
