rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jajang Mulyana,Unknown,21,3,0,1.81,2024-2025,Mulyana,Unknown,2,1,Persiku Kudus,Defender - Centre-Back,"1,82 m",Indonesia,id,https://www.transfermarkt.us/jajang-mulyana/profil/spieler/506335,https://img.a.transfermarkt.technology/portrait/small/506335-1738389583.JPG?lm=1,,23.10.1988,Sumedang,Persiku Kudus
2,Antoni Nugroho,Antoni Putro Nugroho,24,2,0,1.665,2024-2025,Nugroho,8,1,0,Persiku Kudus,Attack - Right Winger,"1,68 m",Indonesia,id,https://www.transfermarkt.us/antoni-nugroho/profil/spieler/506334,https://img.a.transfermarkt.technology/portrait/small/506334-1738389106.JPG?lm=1,,25.02.1994,Bantul,Persiku Kudus
3,Ronny Maza,Ronny Jesús Maza Miranda,12,2,0,717.0,2024-2025,Maza,Unknown,2,0,Persiku Kudus,Attack - Centre-Forward,"1,82 m",Venezuela,ve,https://www.transfermarkt.us/ronny-maza/profil/spieler/308554,https://img.a.transfermarkt.technology/portrait/small/308554-1738384294.JPG?lm=1,,11.05.1997,"Maracaibo, Zulia",Mineros de Guayana
4,Richard Gadze,Unknown,10,2,0,889.0,2024-2025,Gadze,Unknown,1,0,Persiku Kudus,Attack - Centre-Forward,"1,73 m",Ghana,gh,https://www.transfermarkt.us/richard-gadze/profil/spieler/269128,https://img.a.transfermarkt.technology/portrait/small/269128-1738389448.JPG?lm=1,,23.08.1994,Accra,Persiku Kudus
5,Elvateeh Akhada,Elvateeh Varesia Akhada,8,1,0,638.0,2025-2025,Akhada,-,2,0,Persiku Kudus,Attack - Right Winger,"1,70 m",Indonesia,id,https://www.transfermarkt.us/elvateeh-akhada/profil/spieler/1339448,https://img.a.transfermarkt.technology/portrait/small/1339448-1738389765.JPG?lm=1,,20.04.2004,Demak,Persiku Kudus
6,Zola Anggoro,Unknown,10,1,2,454.0,"2022-2023, 2024-2025",Anggoro,Unknown,1,0,Persiku Kudus,Midfield - Attacking Midfield,Unknown,Indonesia,id,https://www.transfermarkt.us/zola-anggoro/profil/spieler/1306930,https://img.a.transfermarkt.technology/portrait/small/1306930-1738389009.JPG?lm=1,,01.03.2002,Kudus,Persiku Kudus
7,Crah Angger,Crah Eka Angger Iswanto,11,1,0,876.0,2024-2025,Crah Angger,Unknown,2,0,Persiku Kudus,Defender - Left-Back,"1,62 m",Indonesia,id,https://www.transfermarkt.us/crah-angger/profil/spieler/722682,https://img.a.transfermarkt.technology/portrait/small/722682-1738385311.JPG?lm=1,,09.01.1993,Bojonegoro,Persiku Kudus
8,Abi Defa,Abi Defa Marendra,11,1,0,571.0,2024-2025,Abi Defa,Unknown,1,0,Persiku Kudus,Midfield - Central Midfield,Unknown,Indonesia,id,https://www.transfermarkt.us/abi-defa/profil/spieler/940454,https://img.a.transfermarkt.technology/portrait/small/940454-1738388785.JPG?lm=1,,05.10.1999,Surakarta,Persiku Kudus
9,Kito Chandra,Chandra Waskito Kusumawardana,21,1,1,970.0,2024-2025,Chandra,Unknown,2,0,Persiku Kudus,Attack - Centre-Forward,"1,79 m",Indonesia,id,https://www.transfermarkt.us/kito-chandra/profil/spieler/663137,https://img.a.transfermarkt.technology/portrait/small/663137-1738388900.JPG?lm=1,,19.08.1994,Surakarta,Persiku Kudus
10,Sutan Zico,Sutan Diego Armando Ondriano Zico,3,0,0,74.0,2024-2025,Zico,-,1,0,Persiku Kudus,Attack - Centre-Forward,"1,69 m",Indonesia,id,https://www.transfermarkt.us/sutan-zico/profil/spieler/818592,https://img.a.transfermarkt.technology/portrait/small/818592-1738389322.JPG?lm=1,,07.04.2002,Jakarta,Persiku Kudus
11,Resa Aditya,Unknown,3,0,0,37.0,2024-2025,Resa Aditya,11,0,0,Persiku Kudus,Midfield - Central Midfield,"1,67 m",Indonesia,id,https://www.transfermarkt.us/resa-aditya/profil/spieler/929299,https://img.a.transfermarkt.technology/portrait/small/929299-1738383440.jpg?lm=1,,06.03.2004,Sragen,Persikota Tangerang
12,Akbar Rizky Awan,Unknown,2,0,0,40.0,"2018-2020, 2022-2025",Rizky Awan,Unknown,0,0,Persiku Kudus,Attack - Right Winger,Unknown,Indonesia,id,https://www.transfermarkt.us/akbar-rizky-awan/profil/spieler/1306929,https://img.a.transfermarkt.technology/portrait/small/1306929-1738388933.JPG?lm=1,,29.05.2000,Kudus,Persiku Kudus
13,Syahrul Mustofa,Unknown,7,0,0,502.0,2024-2025,Mustofa,Unknown,2,0,Persiku Kudus,Defender - Left-Back,"1,65 m",Indonesia,id,https://www.transfermarkt.us/syahrul-mustofa/profil/spieler/506504,https://img.a.transfermarkt.technology/portrait/small/506504-1738384422.JPG?lm=1,,10.09.1997,Tuban,Without Club
14,Rafli Mursalim,Muhammad Rafli Mursalim,3,0,0,101.0,2024-2025,Mursalim,9,0,0,Persiku Kudus,Attack - Centre-Forward,"1,76 m",Indonesia,id,https://www.transfermarkt.us/rafli-mursalim/profil/spieler/578860,https://img.a.transfermarkt.technology/portrait/small/578860-1738389820.JPG?lm=1,,05.03.1999,Tangerang,Persiku Kudus
15,Muhammad Afrizhan,Unknown,2,0,0,13.0,"2018-2018, 2024-2025",Afrizhan,Unknown,1,0,Persiku Kudus,Midfield - Defensive Midfield,"1,73 m",Indonesia,id,https://www.transfermarkt.us/muhammad-afrizhan/profil/spieler/902903,https://img.a.transfermarkt.technology/portrait/small/902903-1738389501.JPG?lm=1,,14.05.1996,Bogor,Persiku Kudus
16,Farhan Sopiulloh,Muhammad Farhan Sopiulloh,3,0,0,181.0,2024-2025,Sopiulloh,-,0,0,Persiku Kudus,Defender - Centre-Back,"1,75 m",Indonesia,id,https://www.transfermarkt.us/farhan-sopiulloh/profil/spieler/1281714,https://img.a.transfermarkt.technology/portrait/small/1281714-1738478436.jpg?lm=1,,10.05.2005,Ciamis,Persiku Kudus
17,Yoga Wahyu,Yoga Arif Wahyu Utomo,1,0,0,90.0,2023-2025,Wahyu,Unknown,1,0,Persiku Kudus,Goalkeeper,"1,80 m",Indonesia,id,https://www.transfermarkt.us/yoga-wahyu/profil/spieler/1305711,https://img.a.transfermarkt.technology/portrait/small/1305711-1738385185.JPG?lm=1,,29.01.1982,Unknown,Persiku Kudus
18,Satrio Azhar,Satrio Azhar Aisy Santoso,3,0,0,270.0,2024-2025,Azhar,-,0,0,Persiku Kudus,Goalkeeper,"1,77 m",Indonesia,id,https://www.transfermarkt.us/satrio-azhar/profil/spieler/1015868,https://img.a.transfermarkt.technology/portrait/small/1015868-1738389364.JPG?lm=1,,16.05.2001,Palangka Raya,Persiku Kudus
19,Akiel Aden,Muhammad Akiel Marjik Aden,4,0,0,115.0,2024-2025,Aden,Unknown,1,0,Persiku Kudus,Midfield - Attacking Midfield,Unknown,Indonesia,id,https://www.transfermarkt.us/akiel-aden/profil/spieler/1155618,https://img.a.transfermarkt.technology/portrait/small/1155618-1738384661.JPG?lm=1,,12.03.2004,Bekasi,Without Club
