name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Roberto Tricella,Retired,https://www.transfermarkt.us/roberto-tricella/profil/spieler/116745,https://img.a.transfermarkt.technology/portrait/small/116745-1653920284.jpg?lm=1,Tricella,-,Italy,it,Hellas Verona,Cernusco sul Naviglio,Unknown,Defender - Sweeper,"1,83 m",18.03.1959,324,5,1,1,4,0,0,3,10,28.849
Emiliano Mascetti,---,https://www.transfermarkt.us/emiliano-mascetti/profil/spieler/447924,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Mascetti,Unknown,Italy,it,Hellas Verona,Como,Unknown,Midfield,"1,80 m",11.03.1943,324,47,1,0,1,0,1,2,11,28.683
Rafael,Retired,https://www.transfermarkt.us/rafael/profil/spieler/84467,https://img.a.transfermarkt.technology/portrait/small/84467-1602506898.jpg?lm=1,Rafael,Unknown,Brazil,br,Hellas Verona,São Paulo,Unknown,Goalkeeper,"1,87 m",03.03.1982,308,0,2,0,8,0,4,0,1,27.580
Vincenzo Italiano,Retired,https://www.transfermarkt.us/vincenzo-italiano/profil/spieler/21865,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Italiano,Unknown,Italy,it,Hellas Verona,Karlsruhe,Unknown,Midfield - Central Midfield,"1,71 m",10.12.1977,260,25,1,0,50,3,2,27,65,20.198
Antonio Di Gennaro,Retired,https://www.transfermarkt.us/antonio-di-gennaro/profil/spieler/116756,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Di Gennaro,-,Italy,it,Hellas Verona,Firenze,Unknown,Midfield - Attacking Midfield,"1,77 m",05.10.1958,258,34,4,2,4,0,3,6,31,22.361
Sergio Maddè,Retired,https://www.transfermarkt.us/sergio-madde/profil/spieler/343678,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Maddè,Unknown,Italy,it,Hellas Verona,Dresano,Unknown,Midfield,N/A,01.08.1946,251,19,2,0,0,0,0,7,9,21.973
Giancarlo Savoia,Retired,https://www.transfermarkt.us/giancarlo-savoia/profil/spieler/478813,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Savoia,Unknown,Italy,it,Hellas Verona,Bussolengo,Unknown,Defender - Sweeper,"1,70 m",28.02.1944,243,11,0,1,0,0,0,0,0,21.870
Paolo Sirena,Retired,https://www.transfermarkt.us/paolo-sirena/profil/spieler/468893,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Sirena,Unknown,Italy,it,Hellas Verona,Treviso,Unknown,Defender - Left-Back,"1,86 m",11.09.1945,243,17,1,0,0,0,0,4,17,21.061
Domenico Volpati,Retired,https://www.transfermarkt.us/domenico-volpati/profil/spieler/221920,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Volpati,Unknown,Italy,it,Hellas Verona,Novara,Unknown,Midfield - Defensive Midfield,"1,79 m",19.08.1951,241,12,3,2,4,0,0,17,26,19.988
Pietro Fanna,Retired,https://www.transfermarkt.us/pietro-fanna/profil/spieler/227468,https://img.a.transfermarkt.technology/portrait/small/227468-1544092056.jpg?lm=1,Fanna,-,Italy,it,Hellas Verona,Grimacco,Unknown,Attack - Right Winger,"1,78 m",23.06.1958,233,24,7,0,11,1,1,29,81,17.632
Sergio Sega,---,https://www.transfermarkt.us/sergio-sega/profil/spieler/538553,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Sega,Unknown,Italy,it,Hellas Verona,Cavidavid,Unknown,Attack,Unknown,17.02.1927,224,72,2,0,0,0,0,0,0,20.160
Juanito Gómez,Virtusvecomp Verona,https://www.transfermarkt.us/juanito-gomez/profil/spieler/38592,https://img.a.transfermarkt.technology/portrait/small/38592-1449061592.jpg?lm=1,Gómez,Unknown,Argentina,ar,Hellas Verona,Santa Fe,Juan Ignacio Gómez Taleb,Attack - Left Winger,"1,78 m",20.05.1985,219,42,30,0,26,0,0,70,70,13.776
Alessandro Mazzola,Retired,https://www.transfermarkt.us/alessandro-mazzola/profil/spieler/21867,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Mazzola,Unknown,Italy,it,Hellas Verona,Varese,Unknown,Midfield - Defensive Midfield,"1,82 m",15.06.1969,216,4,0,0,39,2,2,27,38,16.488
Sante Begali,---,https://www.transfermarkt.us/sante-begali/profil/spieler/509174,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Begali,Unknown,Italy,it,Hellas Verona,Verona,Unknown,Defender,Unknown,21.08.1931,211,1,0,1,0,0,0,0,0,19.050
Alberto Comazzi,Retired,https://www.transfermarkt.us/alberto-comazzi/profil/spieler/21857,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Comazzi,Unknown,Italy,it,Hellas Verona,Novara,Unknown,Defender - Centre-Back,"1,83 m",16.04.1979,204,3,0,1,38,2,2,16,10,16.915
Walter Franzot,Retired,https://www.transfermarkt.us/walter-franzot/profil/spieler/436098,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Franzot,-,Italy,it,Hellas Verona,Cervignano,Unknown,Midfield,"1,72 m",22.11.1949,203,3,1,1,0,0,0,18,27,16.359
Erasmo Zamperlini,Retired,https://www.transfermarkt.us/erasmo-zamperlini/profil/spieler/509221,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zamperlini,Unknown,Italy,it,Hellas Verona,Ronco all'Adige,Unknown,Midfield,Unknown,22.06.1930,201,11,0,0,0,0,0,0,0,18.120
Gianluca Pegolo,Without Club,https://www.transfermarkt.us/gianluca-pegolo/profil/spieler/21872,https://img.a.transfermarkt.technology/portrait/small/21872-1695107566.jpg?lm=1,Pegolo,-,Italy,it,Hellas Verona,Bassano del Grappa,Unknown,Goalkeeper,"1,83 m",25.03.1981,198,0,0,0,20,0,0,1,1,17.690
Silvano Fontolan,Retired,https://www.transfermarkt.us/silvano-fontolan/profil/spieler/121090,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Fontolan,Unknown,Italy,it,Hellas Verona,Garbagnate,Unknown,Defender - Centre-Back,N/A,24.02.1955,197,9,0,3,3,0,1,0,12,17.670
Darko Lazović,Hellas Verona,https://www.transfermarkt.us/darko-lazovic/profil/spieler/70411,https://img.a.transfermarkt.technology/portrait/small/70411-1663671610.jpg?lm=1,Lazović,22,Serbia,rs,Hellas Verona,Čačak,Дарко Лазовић,Midfield - Left Midfield,"1,81 m",15.09.1990,197,16,33,0,10,0,1,28,80,14.709
Emil Hallfredsson,Retired,https://www.transfermarkt.us/emil-hallfredsson/profil/spieler/22673,https://img.a.transfermarkt.technology/portrait/small/22673-1449061127.jpg?lm=1,Hallfredsson,20,Iceland,is,Hellas Verona,Hafnarfjörður,Emil Hallfreðsson,Midfield - Central Midfield,"1,85 m",29.06.1984,196,17,34,0,46,1,0,11,68,15.735
Attilio Gregori,Retired,https://www.transfermarkt.us/attilio-gregori/profil/spieler/223467,https://img.a.transfermarkt.technology/portrait/small/s_223467_123_2012_12_12_1.jpg?lm=1,Gregori,-,Italy,it,Hellas Verona,Monterotondo,Unknown,Goalkeeper,"1,82 m",04.10.1965,193,0,0,0,2,0,0,1,5,17.165
Eros Fassetta,---,https://www.transfermarkt.us/eros-fassetta/profil/spieler/506769,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Fassetta,Unknown,Italy,it,Hellas Verona,Codogno,Unknown,Defender - Left-Back,Unknown,06.03.1936,191,2,0,2,0,0,0,0,0,17.220
Roberto Ranghino,---,https://www.transfermarkt.us/roberto-ranghino/profil/spieler/476708,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ranghino,Unknown,Italy,it,Hellas Verona,Omegna,Unknown,Defender - Right-Back,"1,74 m",11.05.1944,187,0,0,1,0,0,0,7,5,16.260
Auro Enzo Basiliani,Retired,https://www.transfermarkt.us/auro-enzo-basiliani/profil/spieler/373472,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Basiliani,Unknown,Italy,it,Hellas Verona,La Spezia,Unknown,Defender - Right-Back,Unknown,10.09.1934,182,13,0,2,0,0,0,0,0,16.380
Pierluigi Busatta,Retired,https://www.transfermarkt.us/pierluigi-busatta/profil/spieler/422206,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Busatta,Unknown,Italy,it,Hellas Verona,Marostica,Unknown,Midfield - Defensive Midfield,N/A,09.09.1947,182,17,1,2,0,0,0,1,11,15.976
Alessandro Manetti,Retired,https://www.transfermarkt.us/alessandro-manetti/profil/spieler/21846,https://img.a.transfermarkt.technology/portrait/small/s_21846_123_2012_12_11_1.jpg?lm=1,Manetti,-,Italy,it,Hellas Verona,Roma,Unknown,Midfield,"1,70 m",14.06.1972,182,9,2,0,13,0,0,67,42,11.068
Franco Nanni,Retired,https://www.transfermarkt.us/franco-nanni/profil/spieler/475533,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Nanni,Unknown,Italy,it,Hellas Verona,Riccione,Unknown,Defender - Right-Back,"1,79 m",27.08.1944,181,0,0,0,0,0,1,3,21,15.326
Livio Luppi,Retired,https://www.transfermarkt.us/livio-luppi/profil/spieler/456631,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Luppi,Unknown,Italy,it,Hellas Verona,Vallalta,Unknown,Attack - Centre-Forward,"1,77 m",25.02.1948,177,36,3,1,0,0,0,15,12,14.754
Adaílton,Retired,https://www.transfermarkt.us/adailton/profil/spieler/21853,https://img.a.transfermarkt.technology/portrait/small/21853-1671004860.jpg?lm=1,Adaílton,-,Brazil,br,Hellas Verona,Santiago,Adaílton Bolzan Martins,Attack - Second Striker,"1,72 m",24.01.1977,176,52,5,0,17,0,1,33,61,12.359
Paweł Dawidowicz,Hellas Verona,https://www.transfermarkt.us/pawel-dawidowicz/profil/spieler/248732,https://img.a.transfermarkt.technology/portrait/small/248732-1663671757.jpg?lm=1,Dawidowicz,18,Poland,pl,Hellas Verona,Olsztyn,Paweł Marek Dawidowicz,Defender - Centre-Back,"1,89 m",20.05.1995,173,4,1,1,38,1,3,36,30,11.931
Davide Faraoni,Hellas Verona,https://www.transfermarkt.us/davide-faraoni/profil/spieler/73926,https://img.a.transfermarkt.technology/portrait/small/73926-1663671695.jpg?lm=1,Faraoni,-,Italy,it,Hellas Verona,Bracciano,Marco Davide Faraoni,Defender - Right-Back,"1,80 m",25.10.1991,170,19,23,0,37,2,2,17,39,13.182
Giorgio Majoli,---,https://www.transfermarkt.us/giorgio-majoli/profil/spieler/478899,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Majoli,Unknown,Italy,it,Hellas Verona,Verona,Unknown,Midfield,"1,80 m",18.06.1940,164,24,0,0,0,0,0,9,7,14.112
Gianfranco Zigoni,Retired,https://www.transfermarkt.us/gianfranco-zigoni/profil/spieler/304938,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zigoni,-,Italy,it,Hellas Verona,Oderzo,Unknown,Attack - Left Winger,"1,76 m",25.11.1944,164,34,7,1,2,0,1,8,16,13.884
