name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Michele Lorusso,---,https://www.transfermarkt.us/michele-lorusso/profil/spieler/515351,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Lorusso,Unknown,Italy,it,US Lecce,Bari,Unknown,Defender - Right-Back,"1,67 m",01.02.1947,450,2,2,6,12,0,5,18,22,38.470
Carmelo Miceli,Retired,https://www.transfermarkt.us/carmelo-miceli/profil/spieler/227403,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Miceli,Unknown,Italy,it,US Lecce,Cosenza,Unknown,Defender,"1,81 m",20.08.1958,331,12,0,2,0,0,1,7,11,28.886
Guillermo Giacomazzi,Retired,https://www.transfermarkt.us/guillermo-giacomazzi/profil/spieler/6428,https://img.a.transfermarkt.technology/portrait/small/6428-1418133215.jpg?lm=1,Giacomazzi,-,Uruguay,uy,US Lecce,Montevideo,Guillermo Gonzalo Giacomazzi Suárez,Midfield - Central Midfield,"1,85 m",21.11.1977,330,44,41,1,65,6,3,28,69,26.444
Ruggiero Cannito,Retired,https://www.transfermarkt.us/ruggiero-cannito/profil/spieler/454390,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Cannito,Unknown,Italy,it,US Lecce,Barletta,Unknown,Midfield - Central Midfield,N/A,15.06.1955,280,11,7,3,3,0,4,54,27,20.668
Pedro Pasculli,Retired,https://www.transfermarkt.us/pedro-pasculli/profil/spieler/116734,https://img.a.transfermarkt.technology/portrait/small/116734-1630589135.jpg?lm=1,Pasculli,-,Argentina,ar,US Lecce,Santa Fe,Pedro Pablo Pasculli,Attack - Centre-Forward,"1,72 m",17.05.1960,249,61,2,0,13,0,2,13,35,21.074
Giuseppe Materazzi,Retired,https://www.transfermarkt.us/giuseppe-materazzi/profil/spieler/517087,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Materazzi,Unknown,Italy,it,US Lecce,Arborea,Unknown,Midfield - Defensive Midfield,N/A,05.01.1946,229,17,0,1,0,0,0,1,2,20.511
Salvatore Di Somma,Retired,https://www.transfermarkt.us/salvatore-di-somma/profil/spieler/335282,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Di Somma,Unknown,Italy,it,US Lecce,Castellammare di Stabia,Unknown,Defender - Sweeper,N/A,11.04.1948,224,4,0,0,3,0,1,0,0,20.070
Giorgio Enzo,Retired,https://www.transfermarkt.us/giorgio-enzo/profil/spieler/226444,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Enzo,Unknown,Italy,it,US Lecce,Maccarese,Unknown,Midfield,"1,86 m",19.01.1962,213,3,0,1,6,0,3,3,13,18.734
Luigi Piangerelli,Retired,https://www.transfermarkt.us/luigi-piangerelli/profil/spieler/6440,https://img.a.transfermarkt.technology/portrait/small/6440-1732269545.jpg?lm=1,Piangerelli,-,Italy,it,US Lecce,Porto Recanati,Unknown,Midfield - Defensive Midfield,"1,74 m",19.10.1973,212,7,8,0,58,1,4,21,15,17.280
Rodolfo Vanoli,Retired,https://www.transfermarkt.us/rodolfo-vanoli/profil/spieler/224605,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Vanoli,Unknown,Italy,it,US Lecce,Gavirate,Unknown,Midfield,"1,80 m",11.01.1963,193,4,0,0,10,0,2,13,22,15.927
Angelo Cesana,Retired,https://www.transfermarkt.us/angelo-cesana/profil/spieler/526732,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Cesana,Unknown,Italy,it,US Lecce,Carate Brianza,Unknown,Midfield,Unknown,05.01.1943,183,10,0,0,1,0,0,7,7,15.820
Marco Mancosu,Retired,https://www.transfermarkt.us/marco-mancosu/profil/spieler/51736,https://img.a.transfermarkt.technology/portrait/small/51736-1596031682.jpg?lm=1,Mancosu,-,Italy,it,US Lecce,Cagliari,Unknown,Midfield - Attacking Midfield,"1,77 m",22.08.1988,180,50,31,0,19,0,0,19,48,14.331
Francesco Moriero,Retired,https://www.transfermarkt.us/francesco-moriero/profil/spieler/108638,https://img.a.transfermarkt.technology/portrait/small/s_108638_123_2012_1.jpg?lm=1,Moriero,17,Italy,it,US Lecce,Lecce,Unknown,Attack - Right Winger,"1,73 m",31.03.1969,178,15,2,0,14,1,3,16,54,13.882
Juan Barbas,Retired,https://www.transfermarkt.us/juan-barbas/profil/spieler/135802,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Barbas,-,Argentina,ar,US Lecce,San Martín,Juan Alberto Barbas Martínez,Midfield - Central Midfield,N/A,23.08.1959,173,29,3,0,13,0,0,0,5,15.517
Ciro Pezzella,---,https://www.transfermarkt.us/ciro-pezzella/profil/spieler/390519,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Pezzella,Unknown,Italy,it,US Lecce,Ercolano,Unknown,Defender,"1,79 m",18.01.1954,173,2,0,1,7,0,3,11,4,14.656
Paolo Benedetti,Retired,https://www.transfermarkt.us/paolo-benedetti/profil/spieler/226114,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Benedetti,-,Italy,it,US Lecce,Pisa,Unknown,Midfield - Central Midfield,"1,77 m",01.04.1961,172,13,1,2,12,0,0,1,12,15.240
