rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Paolo Pulici,Unknown,431,170,7,36.772,N/A,Pulici,-,4,1,Torino FC,Attack - Centre-Forward,"1,77 m",Italy,it,https://www.transfermarkt.us/paolo-pulici/profil/spieler/135790,https://img.a.transfermarkt.technology/portrait/small/135790-1487854713.jpg?lm=1,N/A,27.04.1950,Roncello,Retired
2,Julio Libonatti,Unknown,240,157,0,21.600,N/A,Libonatti,-,0,0,Torino FC,Attack - Centre-Forward,"1,69 m",Italy,it,https://www.transfermarkt.us/julio-libonatti/profil/spieler/271846,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.07.1901,Rosario,---
3,Gino Rossetti,Unknown,223,138,0,20.100,N/A,Rossetti,-,0,0,Torino FC,Attack - Second Striker,,Italy,it,https://www.transfermarkt.us/gino-rossetti/profil/spieler/300661,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.11.1904,La Spezia,---
4,Marco Ferrante,Unknown,254,125,14,19.816,N/A,Ferrante,9,19,5,Torino FC,Attack - Centre-Forward,"1,76 m",Italy,it,https://www.transfermarkt.us/marco-ferrante/profil/spieler/21883,https://img.a.transfermarkt.technology/portrait/small/21883-1637682951.jpg?lm=1,N/A,04.02.1971,Velletri,Retired
5,Francesco Graziani,Unknown,288,122,8,25.683,N/A,Graziani,20,2,2,Torino FC,Attack - Centre-Forward,,Italy,it,https://www.transfermarkt.us/francesco-graziani/profil/spieler/128884,https://img.a.transfermarkt.technology/portrait/small/s_128884_123_2013_09_10_1.jpg?lm=1,N/A,16.12.1952,Subiaco,Retired
6,Andrea Belotti,Unknown,251,113,28,20.493,N/A,Belotti,9,26,0,Torino FC,Attack - Centre-Forward,"1,81 m",Italy,it,https://www.transfermarkt.us/andrea-belotti/profil/spieler/167727,https://img.a.transfermarkt.technology/portrait/small/167727-1663581136.jpg?lm=1,N/A,20.12.1993,Calcinate,SL Benfica
7,Guglielmo Gabetto,Unknown,199,107,2,17.910,N/A,Gabetto,-,0,0,Torino FC,Attack - Centre-Forward,"1,74 m",Italy,it,https://www.transfermarkt.us/guglielmo-gabetto/profil/spieler/300631,https://img.a.transfermarkt.technology/portrait/small/300631-1553876590.jpg?lm=1,N/A,24.02.1916,Torino,---
8,Valentino Mazzola,Unknown,175,102,4,15.750,N/A,Mazzola,-,0,0,Torino FC,Midfield - Attacking Midfield,"1,70 m",Italy,it,https://www.transfermarkt.us/valentino-mazzola/profil/spieler/291722,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.01.1919,Cassano d'Adda,---
9,Adolfo Baloncieri,Unknown,193,99,0,17.370,N/A,Baloncieri,-,0,0,Torino FC,Attack - Second Striker,Unknown,Italy,it,https://www.transfermarkt.us/adolfo-baloncieri/profil/spieler/233219,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.07.1897,Castelceriolo,---
10,Rolando Bianchi,Rolando Romano Beniamino Bianchi,180,77,7,13.733,N/A,Bianchi,-,19,1,Torino FC,Attack - Centre-Forward,"1,88 m",Italy,it,https://www.transfermarkt.us/rolando-bianchi/profil/spieler/20726,https://img.a.transfermarkt.technology/portrait/small/20726-1464098646.jpg?lm=1,N/A,15.02.1983,Lovere,Retired
11,Franco Ossola,Unknown,157,75,4,14.007,N/A,Ossola,-,0,1,Torino FC,Attack - Left Winger,Unknown,Italy,it,https://www.transfermarkt.us/franco-ossola/profil/spieler/502489,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.08.1921,Varese,---
12,Onesto Silano,Unknown,217,64,0,19.277,N/A,Silano,Unknown,0,5,Torino FC,Attack,Unknown,Italy,it,https://www.transfermarkt.us/onesto-silano/profil/spieler/545453,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.06.1911,Chieri,---
13,Ezio Loik,Unknown,165,61,3,14.850,N/A,Loik,-,0,0,Torino FC,Midfield - Central Midfield,"1,78 m",Italy,it,https://www.transfermarkt.us/ezio-loik/profil/spieler/301829,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.09.1919,Fiume,---
14,Fioravante Baldi,Unknown,240,54,2,20.972,N/A,Baldi,Unknown,0,8,Torino FC,Midfield,Unknown,Italy,it,https://www.transfermarkt.us/fioravante-baldi/profil/spieler/370772,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.01.1913,Basilea,---
15,Giorgio Ferrini,Unknown,556,54,0,49.124,N/A,Ferrini,-,6,1,Torino FC,Midfield - Central Midfield,"1,76 m",Italy,it,https://www.transfermarkt.us/giorgio-ferrini/profil/spieler/215895,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.08.1939,Trieste,---
16,Menti III,Unknown,133,50,2,11.925,N/A,Menti III,-,0,1,Torino FC,Attack - Right Winger,Unknown,Italy,it,https://www.transfermarkt.us/menti-iii/profil/spieler/301831,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.09.1919,Vicenza,---
17,Pietro Buscaglia,Unknown,96,47,0,8.730,N/A,Buscaglia,-,0,0,Torino FC,Midfield - Central Midfield,"1,68 m",Italy,it,https://www.transfermarkt.us/pietro-buscaglia/profil/spieler/177825,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.02.1911,Torino,---
18,Antonio Janni,Unknown,322,45,1,28.801,N/A,Janni,-,0,3,Torino FC,Midfield - Central Midfield,Unknown,Italy,it,https://www.transfermarkt.us/antonio-janni/profil/spieler/318623,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.09.1904,Santena,---
19,Mario Bo,Unknown,204,44,1,18.420,N/A,Bo,Unknown,0,0,Torino FC,Midfield,"1,66 m",Italy,it,https://www.transfermarkt.us/mario-bo/profil/spieler/396179,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.12.1912,Savona,---
20,Pietro Ferraris,Unknown,147,42,5,13.230,N/A,Ferraris,-,0,0,Torino FC,Attack - Left Winger,"1,74 m",Italy,it,https://www.transfermarkt.us/pietro-ferraris/profil/spieler/249437,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.02.1912,Vercelli,---
