rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Dennis Johnsen,Dennis Tørset Johnsen,124,14,20,7.274,N/A,Johnsen,18,13,1,Venezia FC,Attack - Left Winger,"1,85 m",Norway,no,https://www.transfermarkt.us/dennis-johnsen/profil/spieler/406042,https://img.a.transfermarkt.technology/portrait/small/406042-1613569074.jpg?lm=1,N/A,17.02.1998,Skien,US Cremonese
2,Agostino Garofalo,Unknown,87,3,17,7.233,N/A,Unknown,Unknown,13,1,Venezia FC,Unknown,Unknown,Italy,it,https://www.transfermarkt.us/agostino-garofalo/profil/spieler/21981,https://img.a.transfermarkt.technology/portrait/small/21981-1606482669.jpg?lm=1,N/A,29.09.1984,Unknown,Retired
3,Marcello Falzerano,Unknown,75,5,17,6.330,N/A,Falzerano,Unknown,8,2,Venezia FC,Midfield - Right Midfield,"1,67 m",Italy,it,https://www.transfermarkt.us/marcello-falzerano/profil/spieler/158548,https://img.a.transfermarkt.technology/portrait/small/158548-1632466523.jpg?lm=1,N/A,12.04.1991,Pagani,SS Monopoli 1966
4,Mattia Aramu,Unknown,105,30,17,7.361,N/A,Aramu,-,15,2,Venezia FC,Midfield - Attacking Midfield,"1,80 m",Italy,it,https://www.transfermarkt.us/mattia-aramu/profil/spieler/200188,https://img.a.transfermarkt.technology/portrait/small/200188-1630657150.jpg?lm=1,N/A,14.05.1995,Ciriè,Mantova 1911
5,Joel Pohjanpalo,Unknown,96,48,12,7.754,N/A,Pohjanpalo,11,5,0,Venezia FC,Attack - Centre-Forward,"1,86 m",Finland,fi,https://www.transfermarkt.us/joel-pohjanpalo/profil/spieler/173491,https://img.a.transfermarkt.technology/portrait/small/173491-1658913890.jpg?lm=1,N/A,13.09.1994,Helsinki,Palermo FC
6,Álvaro Recoba,Álvaro Alexandre Recoba Rivero,19,10,10,1.535,N/A,Recoba,10,0,0,Venezia FC,Attack - Second Striker,"1,79 m",Uruguay,uy,https://www.transfermarkt.us/alvaro-recoba/profil/spieler/5796,https://img.a.transfermarkt.technology/portrait/small/s_5796_866_2013_01_04_1.jpg?lm=1,N/A,17.03.1976,Montevideo,Retired
7,Álex Geijo,Alexandre Geijo Pazos,77,18,10,4.587,N/A,Geijo,Unknown,9,1,Venezia FC,Attack - Centre-Forward,"1,88 m",Spain,es,https://www.transfermarkt.us/alex-geijo/profil/spieler/15981,https://img.a.transfermarkt.technology/portrait/small/15981-1535524479.png?lm=1,N/A,11.03.1982,Genève,Retired
8,Simone Bentivoglio,Unknown,83,7,9,6.897,N/A,Bentivoglio,-,19,1,Venezia FC,Midfield - Central Midfield,"1,84 m",Italy,it,https://www.transfermarkt.us/simone-bentivoglio/profil/spieler/34909,https://img.a.transfermarkt.technology/portrait/small/34909-1452591112.jpg?lm=1,N/A,29.05.1985,Pinerolo,Retired
9,Francesco Di Mariano,Unknown,82,12,9,5.233,N/A,Unknown,Unknown,12,1,Venezia FC,Unknown,Unknown,Italy,it,https://www.transfermarkt.us/francesco-di-mariano/profil/spieler/238950,https://img.a.transfermarkt.technology/portrait/small/238950-1633102944.jpg?lm=1,N/A,20.04.1996,Unknown,Palermo FC
10,Francesco Zampano,Francesco Filippo Zampano,96,3,9,7.500,N/A,Zampano,-,16,0,Venezia FC,Defender - Right-Back,"1,77 m",Italy,it,https://www.transfermarkt.us/francesco-zampano/profil/spieler/216872,https://img.a.transfermarkt.technology/portrait/small/216872-1717660248.jpg?lm=1,N/A,30.09.1993,Genova,Venezia FC
11,Alessandro Capello,Unknown,55,8,8,3.848,N/A,Capello,-,7,0,Venezia FC,Attack - Centre-Forward,"1,83 m",Italy,it,https://www.transfermarkt.us/alessandro-capello/profil/spieler/200190,https://img.a.transfermarkt.technology/portrait/small/200190-1635892286.jpg?lm=1,N/A,12.12.1995,Bologna,SS Arezzo
12,Filippo Maniero,Unknown,128,59,8,10.073,N/A,Maniero,-,19,2,Venezia FC,Attack - Centre-Forward,"1,85 m",Italy,it,https://www.transfermarkt.us/filippo-maniero/profil/spieler/7275,https://img.a.transfermarkt.technology/portrait/small/7275-1715011591.jpg?lm=1,N/A,11.09.1972,Legnaro,Retired
13,Youssef Maleh,يوسف مالح,63,6,8,4.877,N/A,Maleh,8,20,1,Venezia FC,Midfield - Central Midfield,"1,79 m",Morocco,ma,https://www.transfermarkt.us/youssef-maleh/profil/spieler/324377,https://img.a.transfermarkt.technology/portrait/small/324377-1663592087.jpg?lm=1,N/A,22.08.1998,Castel San Pietro Terme,FC Empoli
14,Stefano Moreo,Unknown,61,16,8,4.032,N/A,Moreo,-,7,1,Venezia FC,Attack - Centre-Forward,"1,91 m",Italy,it,https://www.transfermarkt.us/stefano-moreo/profil/spieler/279823,https://img.a.transfermarkt.technology/portrait/small/279823-1613734333.jpg?lm=1,N/A,30.06.1993,Milano,Pisa Sporting Club
15,Nicholas Pierini,Unknown,82,11,8,3.886,N/A,Pierini,-,2,0,Venezia FC,Attack - Right Winger,"1,76 m",Italy,it,https://www.transfermarkt.us/nicholas-pierini/profil/spieler/372720,https://img.a.transfermarkt.technology/portrait/small/372720-1717659913.jpg?lm=1,N/A,06.08.1998,Parma,US Sassuolo
16,Magnus Kofod Andersen,Unknown,66,1,7,2.832,N/A,Andersen,-,3,0,Venezia FC,Midfield - Central Midfield,"1,70 m",Denmark,dk,https://www.transfermarkt.us/magnus-kofod-andersen/profil/spieler/488784,https://img.a.transfermarkt.technology/portrait/small/488784-1730186233.jpg?lm=1,N/A,10.05.1999,Hundested,AC Sparta Prague
17,Gianluca Busio,Gianluca Cristiano Busio,123,9,7,8.461,N/A,Busio,11,17,0,Venezia FC,Midfield - Central Midfield,"1,72 m",United States,us,https://www.transfermarkt.us/gianluca-busio/profil/spieler/504209,https://img.a.transfermarkt.technology/portrait/small/504209-1717660047.jpg?lm=1,N/A,28.05.2002,"Greensboro, North Carolina",Venezia FC
18,Francesco Pedone,Unknown,161,9,7,12.683,N/A,Pedone,Unknown,18,0,Venezia FC,Midfield - Right Midfield,"1,76 m",Italy,it,https://www.transfermarkt.us/francesco-pedone/profil/spieler/16900,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.06.1968,Milano,Retired
19,Mikael Egill Ellertsson,Unknown,82,6,7,4.821,N/A,Ellertsson,9,10,0,Venezia FC,Midfield - Central Midfield,"1,82 m",Iceland,is,https://www.transfermarkt.us/mikael-egill-ellertsson/profil/spieler/566615,https://img.a.transfermarkt.technology/portrait/small/566615-1730125923.jpg?lm=1,N/A,11.03.2002,Reykjavík,Venezia FC
20,Antonio Candela,Unknown,86,3,7,6.572,N/A,Candela,-,13,0,Venezia FC,Defender - Right-Back,"1,85 m",Italy,it,https://www.transfermarkt.us/antonio-candela/profil/spieler/392881,https://img.a.transfermarkt.technology/portrait/small/392881-1717659772.jpg?lm=1,N/A,27.04.2000,La Spezia,Real Valladolid CF
21,Tommaso Bellazzini,Unknown,35,11,6,2.918,N/A,Bellazzini,-,4,0,Venezia FC,Midfield - Attacking Midfield,"1,78 m",Italy,it,https://www.transfermarkt.us/tommaso-bellazzini/profil/spieler/102266,https://img.a.transfermarkt.technology/portrait/small/102266-1536479691.jpg?lm=1,N/A,23.12.1987,Pisa,Retired
22,Mario Renosto,Unknown,98,18,6,8.688,N/A,Renosto,Unknown,0,1,Venezia FC,Attack,Unknown,Italy,it,https://www.transfermarkt.us/mario-renosto/profil/spieler/514487,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.06.1929,Trieste,---
23,Ivone De Franceschi,Unknown,68,2,6,3.913,N/A,De Franceschi,Unknown,6,0,Venezia FC,Attack - Left Winger,"1,72 m",Italy,it,https://www.transfermarkt.us/ivone-de-franceschi/profil/spieler/5924,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.01.1974,Padova,Retired
24,Sergio Volpi,Sergio Tranquillo Volpi,57,2,6,4.789,N/A,Volpi,-,11,0,Venezia FC,Midfield - Central Midfield,"1,74 m",Italy,it,https://www.transfermarkt.us/sergio-volpi/profil/spieler/16908,https://img.a.transfermarkt.technology/portrait/small/16908-1716593768.jpg?lm=1,N/A,02.02.1974,Orzinuovi,Retired
25,Marco Modolo,Unknown,238,19,6,19.657,N/A,Modolo,Unknown,55,0,Venezia FC,Defender - Centre-Back,"1,86 m",Italy,it,https://www.transfermarkt.us/marco-modolo/profil/spieler/198873,https://img.a.transfermarkt.technology/portrait/small/198873-1630656798.jpg?lm=1,N/A,23.03.1989,San Donà di Piave,Retired
26,Marco Pinato,Unknown,61,4,6,3.957,N/A,Pinato,-,3,1,Venezia FC,Midfield - Central Midfield,"1,75 m",Italy,it,https://www.transfermarkt.us/marco-pinato/profil/spieler/164020,https://img.a.transfermarkt.technology/portrait/small/164020-1666354542.jpg?lm=1,N/A,09.01.1995,Monza,Benevento Calcio
27,Tanner Tessmann,Francis Tanner James Tessmann,99,10,5,7.084,N/A,Tessmann,-,13,1,Venezia FC,Midfield - Defensive Midfield,"1,88 m",United States,us,https://www.transfermarkt.us/tanner-tessmann/profil/spieler/670096,https://img.a.transfermarkt.technology/portrait/small/670096-1722196121.jpg?lm=1,N/A,24.09.2001,"Birmingham, Alabama",Olympique Lyon
28,Vittorio Fabris,Unknown,43,2,5,2.682,N/A,Fabris,Unknown,3,0,Venezia FC,Midfield - Central Midfield,"1,78 m",Italy,it,https://www.transfermarkt.us/vittorio-fabris/profil/spieler/167446,https://img.a.transfermarkt.technology/portrait/small/167446-1545929501.jpg?lm=1,N/A,23.03.1993,Valdobbiadene,Without Club
29,Fabian Natale Valtolina,Unknown,124,14,5,7.411,N/A,Valtolina,Unknown,23,1,Venezia FC,Attack - Left Winger,"1,72 m",Italy,it,https://www.transfermarkt.us/fabian-natale-valtolina/profil/spieler/16907,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.06.1971,Limbiate,Retired
30,Riccardo Bocalon,Unknown,112,34,5,7.401,N/A,Bocalon,Unknown,20,0,Venezia FC,Attack - Centre-Forward,"1,86 m",Italy,it,https://www.transfermarkt.us/riccardo-bocalon/profil/spieler/72491,https://img.a.transfermarkt.technology/portrait/small/72491-1630657385.jpg?lm=1,N/A,03.03.1989,Venezia,AC Renate
31,Hiroshi Nanami,名波 浩,31,2,5,1.952,N/A,Nanami,10,3,0,Venezia FC,Midfield - Left Midfield,"1,77 m",Japan,jp,https://www.transfermarkt.us/hiroshi-nanami/profil/spieler/27744,https://img.a.transfermarkt.technology/portrait/small/27744-1628120673.jpg?lm=1,N/A,28.11.1972,"Fujieda, Shizuoka",Retired
32,Nicola Ferrari,Unknown,38,10,5,1.904,N/A,Ferrari,Unknown,3,1,Venezia FC,Attack - Centre-Forward,"1,83 m",Italy,it,https://www.transfermarkt.us/nicola-ferrari/profil/spieler/38646,https://img.a.transfermarkt.technology/portrait/small/38646-1474110371.png?lm=1,N/A,15.07.1983,Tione di Trento,Retired
33,Federico Varano,Unknown,31,1,5,1.582,N/A,Varano,-,8,0,Venezia FC,Midfield - Attacking Midfield,"1,80 m",Italy,it,https://www.transfermarkt.us/federico-varano/profil/spieler/197484,https://img.a.transfermarkt.technology/portrait/small/197484-1443272048.jpg?lm=1,N/A,31.01.1995,Vigevano,Virtus Ciserano Bergamo 1909
34,Pietro Ceccaroni,Unknown,131,7,5,11.529,N/A,Ceccaroni,-,18,1,Venezia FC,Defender - Centre-Back,"1,88 m",Italy,it,https://www.transfermarkt.us/pietro-ceccaroni/profil/spieler/239099,https://img.a.transfermarkt.technology/portrait/small/239099-1613568492.jpg?lm=1,N/A,21.12.1995,Sarzana,Palermo FC
35,Giuseppe Greco,Unknown,30,9,5,1.910,N/A,Greco,-,9,0,Venezia FC,Attack - Centre-Forward,"1,81 m",Italy,it,https://www.transfermarkt.us/giuseppe-greco/profil/spieler/44137,https://img.a.transfermarkt.technology/portrait/small/s_44137_26789_2013_02_10_1.jpg?lm=1,N/A,06.08.1983,Palermo,S.S.D. A.R.L. PCS Sanmichelese
36,Fabrizio Perrotti,Unknown,81,10,4,6.698,N/A,Perrotti,Unknown,3,0,Venezia FC,Midfield,"1,78 m",Italy,it,https://www.transfermarkt.us/fabrizio-perrotti/profil/spieler/478235,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.09.1964,Roma,Retired
