rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Filippo Maniero,Unknown,128,59,8,10.073,N/A,Maniero,-,19,2,Venezia FC,Attack - Centre-Forward,"1,85 m",Italy,it,https://www.transfermarkt.us/filippo-maniero/profil/spieler/7275,https://img.a.transfermarkt.technology/portrait/small/7275-1715011591.jpg?lm=1,N/A,11.09.1972,Legnaro,Retired
2,Francesco Pernigo,Unknown,170,59,1,15.300,N/A,Pernigo,-,0,0,Venezia FC,Midfield,"1,68 m",Italy,it,https://www.transfermarkt.us/francesco-pernigo/profil/spieler/58158,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.06.1918,Verona,---
3,Juan Agostino Alberti,Unknown,141,54,0,12.600,N/A,Alberti,Unknown,0,1,Venezia FC,Attack,Unknown,Uruguay,uy,https://www.transfermarkt.us/juan-agostino-alberti/profil/spieler/562468,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.10.1916,Montevideo,---
4,Giovanni Calegari,Unknown,142,51,2,12.780,N/A,Calegari,Unknown,0,0,Venezia FC,Attack,Unknown,Italy,it,https://www.transfermarkt.us/giovanni-calegari/profil/spieler/445298,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.06.1932,Valnegra,---
5,Joel Pohjanpalo,Unknown,96,48,12,7.754,N/A,Pohjanpalo,11,5,0,Venezia FC,Attack - Centre-Forward,"1,86 m",Finland,fi,https://www.transfermarkt.us/joel-pohjanpalo/profil/spieler/173491,https://img.a.transfermarkt.technology/portrait/small/173491-1658913890.jpg?lm=1,N/A,13.09.1994,Helsinki,Palermo FC
6,Gino Raffin,Luigi Raffin,100,46,0,8.940,N/A,Raffin,Unknown,0,0,Venezia FC,Midfield - Left Midfield,Unknown,Italy,it,https://www.transfermarkt.us/gino-raffin/profil/spieler/496162,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.06.1936,Gonars,---
7,Paolo Poggi,Unknown,227,44,2,14.623,N/A,Poggi,Unknown,9,0,Venezia FC,Attack - Centre-Forward,"1,81 m",Italy,it,https://www.transfermarkt.us/paolo-poggi/profil/spieler/7432,https://img.a.transfermarkt.technology/portrait/small/s_7432_123_2012_12_03_1.jpg?lm=1,N/A,16.02.1971,Venezia,Retired
8,Raffaele Cerbone,Unknown,115,38,0,9.514,N/A,Cerbone,Unknown,0,0,Venezia FC,Midfield - Attacking Midfield,"1,74 m",Italy,it,https://www.transfermarkt.us/raffaele-cerbone/profil/spieler/227297,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.01.1969,Afragola,Retired
9,Adriano Zecca,Unknown,73,38,2,6.480,N/A,Zecca,Unknown,0,1,Venezia FC,Attack,Unknown,Italy,it,https://www.transfermarkt.us/adriano-zecca/profil/spieler/547579,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.04.1923,Genova,---
10,Riccardo Bocalon,Unknown,112,34,5,7.401,N/A,Bocalon,Unknown,20,0,Venezia FC,Attack - Centre-Forward,"1,86 m",Italy,it,https://www.transfermarkt.us/riccardo-bocalon/profil/spieler/72491,https://img.a.transfermarkt.technology/portrait/small/72491-1630657385.jpg?lm=1,N/A,03.03.1989,Venezia,AC Renate
11,Gianni Rossi,Unknown,134,32,0,11.970,N/A,Rossi,Unknown,0,0,Venezia FC,Attack - Right Winger,Unknown,Italy,it,https://www.transfermarkt.us/gianni-rossi/profil/spieler/493999,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.10.1936,Venezia,---
12,Silvano Mencacci,Unknown,132,31,0,11.940,N/A,Mencacci,Unknown,0,0,Venezia FC,Attack - Centre-Forward,"1,77 m",Italy,it,https://www.transfermarkt.us/silvano-mencacci/profil/spieler/487162,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.09.1938,Livorno,Retired
13,Mattia Aramu,Unknown,105,30,17,7.361,N/A,Aramu,-,15,2,Venezia FC,Midfield - Attacking Midfield,"1,80 m",Italy,it,https://www.transfermarkt.us/mattia-aramu/profil/spieler/200188,https://img.a.transfermarkt.technology/portrait/small/200188-1630657150.jpg?lm=1,N/A,14.05.1995,Ciriè,Mantova 1911
14,Marco Moro,Unknown,75,30,1,4.828,N/A,Moro,Unknown,11,0,Venezia FC,Attack - Centre-Forward,"1,80 m",Italy,it,https://www.transfermarkt.us/marco-moro/profil/spieler/61713,https://img.a.transfermarkt.technology/portrait/small/s_61713_13513_2014_01_06_1.jpg?lm=1,N/A,27.04.1984,Paese,Retired
15,Bruno Santon,Unknown,92,28,0,8.235,N/A,Unknown,Unknown,0,0,Venezia FC,Unknown,Unknown,Italy,it,https://www.transfermarkt.us/bruno-santon/profil/spieler/492109,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.05.1942,Unknown,---
16,Franco Dori,Unknown,96,25,0,8.655,N/A,Dori,Unknown,0,0,Venezia FC,Attack - Left Winger,"1,70 m",Italy,it,https://www.transfermarkt.us/franco-dori/profil/spieler/487160,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.06.1943,Chirignago,---
17,Emil Zubin,Unknown,31,24,0,2.499,N/A,Zubin,Unknown,0,0,Venezia FC,Attack - Centre-Forward,"1,86 m",Croatia,hr,https://www.transfermarkt.us/emil-zubin/profil/spieler/104750,https://img.a.transfermarkt.technology/portrait/small/s_104750_21331_2014_04_22_1.jpg?lm=1,N/A,18.09.1977,Koper,Retired
18,Francesco Canella,Unknown,72,22,0,6.435,N/A,Canella,Unknown,0,0,Venezia FC,Attack - Left Winger,"1,73 m",Italy,it,https://www.transfermarkt.us/francesco-canella/profil/spieler/448952,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.01.1939,Noventa di Piave,Retired
19,Sergio Vergazzola,Unknown,43,21,0,3.870,N/A,Vergazzola,Unknown,0,0,Venezia FC,Attack,Unknown,Italy,it,https://www.transfermarkt.us/sergio-vergazzola/profil/spieler/597722,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.12.1924,Fezzano,---
20,Pietro Broccini,Unknown,39,21,0,3.510,N/A,Broccini,Unknown,0,0,Venezia FC,Midfield - Central Midfield,Unknown,Italy,it,https://www.transfermarkt.us/pietro-broccini/profil/spieler/407617,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.02.1928,Porto Venere,---
21,Arturo Di Napoli,Unknown,70,21,0,3.683,N/A,Di Napoli,9,6,0,Venezia FC,Attack - Centre-Forward,,Italy,it,https://www.transfermarkt.us/arturo-di-napoli/profil/spieler/19123,https://img.a.transfermarkt.technology/portrait/small/s_19123_515_2012_1.jpg?lm=1,N/A,18.04.1974,Milano,Retired
22,Claudio Bellucci,Unknown,34,21,0,2.803,N/A,Bellucci,-,2,0,Venezia FC,Attack - Centre-Forward,"1,73 m",Italy,it,https://www.transfermarkt.us/claudio-bellucci/profil/spieler/6008,https://img.a.transfermarkt.technology/portrait/small/s_6008_123_2013_03_22_1.jpg?lm=1,N/A,31.05.1975,Roma,Retired
23,Matteo Serafini,Unknown,35,20,0,2.910,N/A,Serafini,Unknown,2,1,Venezia FC,Attack - Centre-Forward,"1,90 m",Italy,it,https://www.transfermarkt.us/matteo-serafini/profil/spieler/21698,https://img.a.transfermarkt.technology/portrait/small/21698-1478705701.jpg?lm=1,N/A,21.04.1978,Brescia,Retired
24,Valeriano Ottino,Unknown,60,20,1,5.310,N/A,Ottino,Unknown,0,1,Venezia FC,Attack,Unknown,Italy,it,https://www.transfermarkt.us/valeriano-ottino/profil/spieler/568967,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.04.1923,Vercelli,---
25,Manolo Gennari,Unknown,86,20,1,6.199,N/A,Unknown,Unknown,14,0,Venezia FC,Unknown,Unknown,Italy,it,https://www.transfermarkt.us/manolo-gennari/profil/spieler/296675,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.06.1972,Unknown,Retired
26,Mario Capelli,Unknown,71,20,1,6.390,N/A,Capelli,Unknown,0,0,Venezia FC,Attack,Unknown,Italy,it,https://www.transfermarkt.us/mario-capelli/profil/spieler/454418,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.04.1929,Novi Ligure,Retired
27,Stefan Schwoch,Unknown,56,19,0,4.615,N/A,Schwoch,Unknown,12,0,Venezia FC,Attack - Centre-Forward,"1,74 m",Italy,it,https://www.transfermarkt.us/stefan-schwoch/profil/spieler/22212,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.10.1969,Bolzano/Bozen,Retired
28,Denis Godeas,Unknown,35,19,0,2.898,N/A,Godeas,Unknown,5,0,Venezia FC,Attack - Centre-Forward,"1,88 m",Italy,it,https://www.transfermarkt.us/denis-godeas/profil/spieler/21926,https://img.a.transfermarkt.technology/portrait/small/s_21926_4271_2011_1.jpg?lm=1,N/A,25.07.1975,Cormons,Retired
29,Marco Modolo,Unknown,238,19,6,19.657,N/A,Modolo,Unknown,55,0,Venezia FC,Defender - Centre-Back,"1,86 m",Italy,it,https://www.transfermarkt.us/marco-modolo/profil/spieler/198873,https://img.a.transfermarkt.technology/portrait/small/198873-1630656798.jpg?lm=1,N/A,23.03.1989,San Donà di Piave,Retired
30,Mario Renosto,Unknown,98,18,6,8.688,N/A,Renosto,Unknown,0,1,Venezia FC,Attack,Unknown,Italy,it,https://www.transfermarkt.us/mario-renosto/profil/spieler/514487,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.06.1929,Trieste,---
31,Álex Geijo,Alexandre Geijo Pazos,77,18,10,4.587,N/A,Geijo,Unknown,9,1,Venezia FC,Attack - Centre-Forward,"1,88 m",Spain,es,https://www.transfermarkt.us/alex-geijo/profil/spieler/15981,https://img.a.transfermarkt.technology/portrait/small/15981-1535524479.png?lm=1,N/A,11.03.1982,Genève,Retired
32,Salvatore Campilongo,Unknown,58,18,0,4.744,N/A,Campilongo,Unknown,3,2,Venezia FC,Attack - Centre-Forward,"1,76 m",Italy,it,https://www.transfermarkt.us/salvatore-campilongo/profil/spieler/380098,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.09.1961,Napoli,Retired
33,Gaetano Salvemini,Unknown,85,17,0,7.635,N/A,Salvemini,Unknown,0,0,Venezia FC,Midfield - Left Midfield,,Italy,it,https://www.transfermarkt.us/gaetano-salvemini/profil/spieler/484432,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.01.1942,Molfetta,---
34,Francesco Forte,Unknown,54,17,2,3.697,N/A,Forte,-,7,0,Venezia FC,Attack - Centre-Forward,"1,87 m",Italy,it,https://www.transfermarkt.us/francesco-forte/profil/spieler/164534,https://img.a.transfermarkt.technology/portrait/small/164534-1550651454.jpg?lm=1,N/A,01.05.1993,Roma,Ascoli Calcio
35,Ezio Loik,Unknown,70,17,0,6.300,N/A,Loik,-,0,0,Venezia FC,Midfield - Central Midfield,"1,78 m",Italy,it,https://www.transfermarkt.us/ezio-loik/profil/spieler/301829,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.09.1919,Fiume,---
36,Fabio Lauria,Unknown,66,17,1,4.997,N/A,Lauria,-,4,0,Venezia FC,Attack - Second Striker,"1,66 m",Italy,it,https://www.transfermarkt.us/fabio-lauria/profil/spieler/38594,https://img.a.transfermarkt.technology/portrait/small/38594-1446235574.jpg?lm=1,N/A,30.08.1986,Napoli,Macomerese Calcio
37,Valentino Mazzola,Unknown,72,16,0,6.390,N/A,Mazzola,-,0,1,Venezia FC,Midfield - Attacking Midfield,"1,70 m",Italy,it,https://www.transfermarkt.us/valentino-mazzola/profil/spieler/291722,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.01.1919,Cassano d'Adda,---
