name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Seigo Narazaki,Retired,https://www.transfermarkt.us/seigo-narazaki/profil/spieler/27521,https://img.a.transfermarkt.technology/portrait/small/27521-1589468483.jpg?lm=1,Narazaki,-,Japan,jp,Nagoya Grampus,"Kashiba, Nara",楢崎 正剛,Goalkeeper,"1,87 m",15.04.1976,660,0,0,4,27,0,2,0,6,59.583
Naoshi Nakamura,Retired,https://www.transfermarkt.us/naoshi-nakamura/profil/spieler/83210,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Nakamura,-,Japan,jp,Nagoya Grampus,"Funabashi, Chiba",中村 直志,Midfield - Central Midfield,"1,76 m",27.01.1979,442,38,6,0,87,1,0,47,168,33.665
Yoshizumi Ogawa,Retired,https://www.transfermarkt.us/yoshizumi-ogawa/profil/spieler/83213,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ogawa,Unknown,Japan,jp,Nagoya Grampus,"Tokyo, Tokyo",小川 佳純,Midfield - Right Midfield,"1,73 m",25.08.1984,375,52,46,0,45,2,0,57,115,28.410
Tetsuya Okayama,Retired,https://www.transfermarkt.us/tetsuya-okayama/profil/spieler/210766,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Okayama,Unknown,Japan,jp,Nagoya Grampus,"Nagoya, Aichi",岡山 哲也,Midfield - Attacking Midfield,"1,73 m",27.08.1973,353,69,0,0,46,0,1,102,126,22.417
Keiji Tamada,Retired,https://www.transfermarkt.us/keiji-tamada/profil/spieler/27576,https://img.a.transfermarkt.technology/portrait/small/27576-1616059330.jpg?lm=1,Tamada,20,Japan,jp,Nagoya Grampus,"Urayasu, Chiba",玉田 圭司,Attack - Second Striker,"1,73 m",11.04.1980,351,89,30,0,16,0,0,53,175,25.692
Takahiro Masukawa,Retired,https://www.transfermarkt.us/takahiro-masukawa/profil/spieler/83208,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Masukawa,Unknown,Japan,jp,Nagoya Grampus,"Himeji, Hyogo",増川 隆洋,Defender - Centre-Back,"1,91 m",08.11.1979,315,15,4,2,37,1,1,27,15,26.168
Kensuke Nagai,Nagoya Grampus,https://www.transfermarkt.us/kensuke-nagai/profil/spieler/103305,https://img.a.transfermarkt.technology/portrait/small/103305-1616060532.jpg?lm=1,Nagai,11,Japan,jp,Nagoya Grampus,"Fukuyama, Hiroshima",永井 謙佑,Attack - Centre-Forward,"1,77 m",05.03.1989,309,78,47,0,34,1,0,69,114,21.644
Shohei Abe,Without Club,https://www.transfermarkt.us/shohei-abe/profil/spieler/83199,https://img.a.transfermarkt.technology/portrait/small/83199-1625088812.jpg?lm=1,Abe,-,Japan,jp,Nagoya Grampus,"---, Kanagawa",阿部 翔平,Defender - Left-Back,"1,71 m",01.12.1983,295,1,10,1,30,0,0,24,34,24.387
Masahiro Koga,Retired,https://www.transfermarkt.us/masahiro-koga/profil/spieler/82986,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Koga,-,Japan,jp,Nagoya Grampus,"Okawa, Fukuoka",古賀 正紘,Defender - Centre-Back,"1,85 m",08.09.1978,288,16,0,0,48,4,1,31,8,23.798
Mitchell Langerak,Melbourne Victory,https://www.transfermarkt.us/mitchell-langerak/profil/spieler/49347,https://img.a.transfermarkt.technology/portrait/small/49347-1501147341.jpg?lm=1,Langerak,18,Australia,au,Nagoya Grampus,"Emerald, Queensland",Mitchell James Langerak,Goalkeeper,"1,93 m",22.08.1988,287,0,0,0,8,0,0,0,3,25.816
