name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Kazuki Hiramoto,Retired,https://www.transfermarkt.us/kazuki-hiramoto/profil/spieler/83919,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hiramoto,-,Japan,jp,Tokyo Verdy,"Hachioji, Tokyo",平本 一樹,Attack - Centre-Forward,"1,80 m",18.08.1981,383,70,13,0,59,2,6,108,107,25.062
Tsuyoshi Kitazawa,Retired,https://www.transfermarkt.us/tsuyoshi-kitazawa/profil/spieler/157153,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Kitazawa,-,Japan,jp,Tokyo Verdy,"Machida, Tokyo",北澤豪,Midfield - Right Midfield,"1,70 m",10.08.1968,321,52,4,0,40,2,0,19,40,27.222
Kazunori Iio,Retired,https://www.transfermarkt.us/kazunori-iio/profil/spieler/83922,https://img.a.transfermarkt.technology/portrait/small/83922-1631476167.jpg?lm=1,Iio,-,Japan,jp,Tokyo Verdy,"Ninohe, Iwate",飯尾 一慶,Attack - Left Winger,"1,68 m",23.02.1982,306,33,14,0,43,1,2,104,157,17.455
Kentaro Hayashi,Retired,https://www.transfermarkt.us/kentaro-hayashi/profil/spieler/116234,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hayashi,-,Japan,jp,Tokyo Verdy,"Machida, Tokyo",林 健太郎,Midfield - Defensive Midfield,"1,82 m",29.08.1972,302,21,0,0,35,5,0,12,18,26.164
Takuya Yamada,Retired,https://www.transfermarkt.us/takuya-yamada/profil/spieler/131906,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Yamada,-,Japan,jp,Tokyo Verdy,"Machida, Tokyo",山田 卓也,Midfield - Right Midfield,"1,78 m",24.08.1974,287,28,1,0,31,1,0,10,20,25.266
Shinkichi Kikuchi,Retired,https://www.transfermarkt.us/shinkichi-kikuchi/profil/spieler/303136,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Kikuchi,-,Japan,jp,Tokyo Verdy,"Tono, Iwate",菊池 新吉,Goalkeeper,"1,82 m",12.04.1967,257,0,0,4,15,0,1,1,11,23.236
Ryota Kajikawa,Fujieda MYFC,https://www.transfermarkt.us/ryota-kajikawa/profil/spieler/194788,https://img.a.transfermarkt.technology/portrait/small/194788-1656155825.jpg?lm=1,Kajikawa,Unknown,Japan,jp,Tokyo Verdy,"Takasago, Hyogo",梶川 諒太,Midfield - Central Midfield,"1,64 m",17.04.1989,241,13,33,0,21,0,0,64,101,15.403
Akira Ibayashi,Kamatamare Sanuki,https://www.transfermarkt.us/akira-ibayashi/profil/spieler/235053,https://img.a.transfermarkt.technology/portrait/small/235053-1605265319.jpg?lm=1,Ibayashi,Unknown,Japan,jp,Tokyo Verdy,"Hiroshima, Hiroshima",井林 章,Defender - Centre-Back,"1,79 m",05.09.1990,239,12,9,2,16,0,0,5,3,21.137
Atsushi Yoneyama,Retired,https://www.transfermarkt.us/atsushi-yoneyama/profil/spieler/83222,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Yoneyama,-,Japan,jp,Tokyo Verdy,"Utsunomiya, Tochigi",米山 篤志,Defender - Centre-Back,"1,80 m",20.11.1976,238,12,0,0,23,1,1,3,15,21.235
Yukio Tsuchiya,Retired,https://www.transfermarkt.us/yukio-tsuchiya/profil/spieler/83938,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Tsuchiya,Unknown,Japan,jp,Tokyo Verdy,"Tokyo, Tokyo",土屋 征夫,Defender - Centre-Back,"1,77 m",31.07.1974,235,15,1,0,38,1,1,3,22,20.479
Yoshinari Takagi,Retired,https://www.transfermarkt.us/yoshinari-takagi/profil/spieler/83936,https://img.a.transfermarkt.technology/portrait/small/s_83936_1066_2012_1.jpg?lm=1,Takagi,Unknown,Japan,jp,Tokyo Verdy,"Tokyo, Tokyo",高木 義成,Goalkeeper,"1,87 m",20.05.1979,228,1,0,5,6,0,1,2,0,20.566
Tomohiro Taira,Zweigen Kanazawa,https://www.transfermarkt.us/tomohiro-taira/profil/spieler/260922,https://img.a.transfermarkt.technology/portrait/small/260922-1656155431.jpg?lm=1,Taira,Unknown,Japan,jp,Tokyo Verdy,"Gotemba, Shizuoka",平 智広,Defender - Centre-Back,"1,82 m",10.05.1990,225,16,7,1,9,0,0,22,15,18.250
Tetsuji Hashiratani,Retired,https://www.transfermarkt.us/tetsuji-hashiratani/profil/spieler/169615,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hashiratani,-,Japan,jp,Tokyo Verdy,"Kyoto, Kyoto",柱谷 哲二,Midfield - Defensive Midfield,N/A,15.07.1964,223,14,0,0,35,1,0,0,6,20.238
Junki Koike,Criacao Shinjuku,https://www.transfermarkt.us/junki-koike/profil/spieler/79359,https://img.a.transfermarkt.technology/portrait/small/79359-1656155870.jpg?lm=1,Koike,Unknown,Japan,jp,Tokyo Verdy,"Ranzan, Saitama",小池 純輝,Attack - Right Winger,"1,80 m",11.05.1987,218,51,26,0,8,0,0,54,88,14.363
Seitaro Tomisawa,Retired,https://www.transfermarkt.us/seitaro-tomisawa/profil/spieler/83937,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Tomisawa,-,Japan,jp,Tokyo Verdy,"Yokohama, Kanagawa",富澤 清太郎,Defender - Centre-Back,"1,81 m",08.07.1982,210,7,1,0,39,2,0,34,19,16.067
Tadashi Nakamura,Retired,https://www.transfermarkt.us/tadashi-nakamura/profil/spieler/269523,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Nakamura,-,Japan,jp,Tokyo Verdy,"Mizuho, Tokyo",中村 忠,Defender - Right-Back,"1,75 m",10.06.1971,209,4,0,0,29,2,0,11,19,18.169
Koki Morita,Tokyo Verdy,https://www.transfermarkt.us/koki-morita/profil/spieler/501275,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Morita,Unknown,Japan,jp,Tokyo Verdy,"---, Tokyo",森田 晃樹,Midfield - Defensive Midfield,"1,67 m",08.08.2000,202,11,12,1,10,0,0,53,55,13.679
Tomo Sugawara,Retired,https://www.transfermarkt.us/tomo-sugawara/profil/spieler/83934,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Sugawara,Unknown,Japan,jp,Tokyo Verdy,"Muroran, Hokkaido",菅原 智,Midfield - Defensive Midfield,"1,74 m",03.06.1976,193,3,0,0,32,1,2,36,40,13.714
