rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Hisashi Jogo,城後 寿,554,96,40,35.430,N/A,Jogo,Unknown,36,0,Avispa Fukuoka,Attack - Centre-Forward,"1,83 m",Japan,jp,https://www.transfermarkt.us/hisashi-jogo/profil/spieler/117013,https://img.a.transfermarkt.technology/portrait/small/117013-1611566684.jpg?lm=1,N/A,16.04.1986,"Kurume, Fukuoka",Avispa Fukuoka
2,Jun Suzuki,鈴木 惇,311,23,31,22.950,N/A,Suzuki,-,51,1,Avispa Fukuoka,Midfield - Defensive Midfield,"1,70 m",Japan,jp,https://www.transfermarkt.us/jun-suzuki/profil/spieler/120873,https://img.a.transfermarkt.technology/portrait/small/120873-1611565726.jpg?lm=1,N/A,22.04.1989,"Fukuoka, Fukuoka",Retired
3,Daisuke Ishizu,石津 大介,236,45,30,13.394,N/A,Ishizu,Unknown,12,0,Avispa Fukuoka,Attack - Second Striker,"1,73 m",Japan,jp,https://www.transfermarkt.us/daisuke-ishizu/profil/spieler/161993,https://img.a.transfermarkt.technology/portrait/small/161993-1628683594.jpg?lm=1,N/A,15.01.1990,"Fukuoka, Fukuoka",Retired
4,Toshiya Sueyoshi,末吉 隼也,179,9,27,14.659,N/A,Sueyoshi,Unknown,28,1,Avispa Fukuoka,Midfield - Defensive Midfield,"1,75 m",Japan,jp,https://www.transfermarkt.us/toshiya-sueyoshi/profil/spieler/137101,https://img.a.transfermarkt.technology/portrait/small/137101-1611566966.jpg?lm=1,N/A,18.11.1987,"Kitakyushu, Fukuoka",Retired
5,Takeshi Kanamori,金森 健志,294,39,25,16.277,N/A,Kanamori,11,26,0,Avispa Fukuoka,Attack - Second Striker,"1,71 m",Japan,jp,https://www.transfermarkt.us/takeshi-kanamori/profil/spieler/257110,https://img.a.transfermarkt.technology/portrait/small/257110-1626945271.jpg?lm=1,N/A,04.04.1994,"Fukuoka, Fukuoka",Avispa Fukuoka
6,Alex Melo,Unknown,196,40,24,16.661,N/A,Alex Melo,Unknown,36,1,Avispa Fukuoka,Midfield - Left Midfield,"1,72 m",Brazil,br,https://www.transfermarkt.us/alex-melo/profil/spieler/82968,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.04.1983,Diamantina,Retired
7,Seiji Koga,古賀誠史,143,23,24,10.261,N/A,Koga,Unknown,23,1,Avispa Fukuoka,Midfield - Left Midfield,"1,71 m",Japan,jp,https://www.transfermarkt.us/seiji-koga/profil/spieler/80845,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.08.1979,"Okawa, Fukuoka",Retired
8,Kiyokazu Kudo,久藤 清一,197,14,23,13.193,N/A,Kudo,-,40,0,Avispa Fukuoka,Midfield - Right Midfield,"1,73 m",Japan,jp,https://www.transfermarkt.us/kiyokazu-kudo/profil/spieler/88236,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.06.1974,"Amagasaki, Hyogo",Retired
9,Yusuke Tanaka,田中 佑昌,280,39,20,17.378,N/A,Tanaka,-,29,1,Avispa Fukuoka,Midfield - Right Midfield,"1,76 m",Japan,jp,https://www.transfermarkt.us/yusuke-tanaka/profil/spieler/117053,https://img.a.transfermarkt.technology/portrait/small/117053-1625088879.jpg?lm=1,N/A,03.02.1986,"Yame, Fukuoka",Retired
10,Wellington,Unknown,176,45,17,10.804,N/A,Wellington,Unknown,29,0,Avispa Fukuoka,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/wellington/profil/spieler/67207,https://img.a.transfermarkt.technology/portrait/small/67207-1611565971.jpg?lm=1,N/A,11.02.1988,Ourinhos (SP),Avispa Fukuoka
11,Emil Salomonsson,Karl Emil Salomonsson,73,5,16,5.916,N/A,Salomonsson,24,2,0,Avispa Fukuoka,Defender - Right-Back,"1,81 m",Sweden,se,https://www.transfermarkt.us/emil-salomonsson/profil/spieler/75429,https://img.a.transfermarkt.technology/portrait/small/75429-1446048561.jpg?lm=1,N/A,28.04.1989,Örkelljunga,Retired
