rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Hisato Sato,佐藤 寿人,478,218,43,37.146,N/A,Sato,-,14,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,70 m",Japan,jp,https://www.transfermarkt.us/hisato-sato/profil/spieler/77388,https://img.a.transfermarkt.technology/portrait/small/77388-1617982564.jpg?lm=1,N/A,12.03.1982,"Kasukabe, Saitama",Retired
2,Tatsuhiko Kubo,久保 竜彦,246,84,1,16.418,N/A,Kubo,9,29,1,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,81 m",Japan,jp,https://www.transfermarkt.us/tatsuhiko-kubo/profil/spieler/27575,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.06.1976,"Chikuzen, Fukuoka",Retired
3,Koji Morisaki,森崎 浩司,414,78,20,28.798,N/A,Morisaki,-,37,0,Sanfrecce Hiroshima,Midfield - Attacking Midfield,"1,77 m",Japan,jp,https://www.transfermarkt.us/koji-morisaki/profil/spieler/106271,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.05.1981,"Hiroshima, Hiroshima",Retired
4,Takuya Takagi,高木 琢也,176,63,3,15.247,N/A,Takagi,-,8,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,88 m",Japan,jp,https://www.transfermarkt.us/takuya-takagi/profil/spieler/165318,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.11.1967,"Minamishibara, Nagasaki",Retired
5,Yojiro Takahagi,高萩 洋次郎,293,43,58,21.566,N/A,Takahagi,8,25,0,Sanfrecce Hiroshima,Midfield - Defensive Midfield,"1,83 m",Japan,jp,https://www.transfermarkt.us/yojiro-takahagi/profil/spieler/106275,https://img.a.transfermarkt.technology/portrait/small/106275-1727907686.jpg?lm=1,N/A,02.08.1986,"Iwaki, Fukushima",Retired
6,Susumu Oki,大木 勉,221,43,0,12.463,N/A,Oki,-,11,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,77 m",Japan,jp,https://www.transfermarkt.us/susumu-oki/profil/spieler/92003,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.02.1976,"Matsuyama, Ehime",Retired
7,Douglas Vieira,Unknown,172,42,14,8.938,N/A,Douglas Vieira,Unknown,16,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,89 m",Brazil,br,https://www.transfermarkt.us/douglas-vieira/profil/spieler/373289,https://img.a.transfermarkt.technology/portrait/small/373289-1605263981.jpg?lm=1,N/A,12.11.1987,Volta Redonda (RJ),Without Club
8,Jeong-yun No,노정윤,150,37,0,12.975,N/A,No,18,15,2,Sanfrecce Hiroshima,Attack - Second Striker,"1,70 m","Korea, South",unknown,https://www.transfermarkt.us/jeong-yun-no/profil/spieler/101581,https://img.a.transfermarkt.technology/portrait/small/s_101581_123_2014_01_03_1.jpg?lm=1,N/A,28.03.1971,Incheon,Retired
9,Naoki Ishihara,石原 直樹,129,36,24,9.748,N/A,Ishihara,Unknown,9,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,73 m",Japan,jp,https://www.transfermarkt.us/naoki-ishihara/profil/spieler/110780,https://img.a.transfermarkt.technology/portrait/small/110780-1615027142.jpg?lm=1,N/A,14.08.1984,"Takasaki, Gunma",Retired
10,Ueslei,Unknown,68,35,0,5.784,N/A,Ueslei,Unknown,19,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,77 m",Brazil,br,https://www.transfermarkt.us/ueslei/profil/spieler/86199,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.04.1972,Salvador da Bahia,Retired
11,Patric,Unknown,72,35,6,4.987,N/A,Patric,Unknown,11,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,89 m",Brazil,br,https://www.transfermarkt.us/patric/profil/spieler/174947,https://img.a.transfermarkt.technology/portrait/small/174947-1614694012.jpg?lm=1,N/A,26.10.1987,Macapá,Zweigen Kanazawa
12,Kosei Shibasaki,柴崎 晃誠,306,34,40,18.794,N/A,Shibasaki,-,16,1,Sanfrecce Hiroshima,Midfield - Attacking Midfield,"1,77 m",Japan,jp,https://www.transfermarkt.us/kosei-shibasaki/profil/spieler/83930,https://img.a.transfermarkt.technology/portrait/small/83930-1629577713.jpg?lm=1,N/A,28.08.1984,"Kunimi, Nagasaki",Retired
13,Toshihiro Aoyama,青山 敏弘,596,33,48,45.992,N/A,Aoyama,17,80,0,Sanfrecce Hiroshima,Midfield - Defensive Midfield,"1,73 m",Japan,jp,https://www.transfermarkt.us/toshihiro-aoyama/profil/spieler/106035,https://img.a.transfermarkt.technology/portrait/small/106035-1605263587.jpg?lm=1,N/A,22.02.1986,"Kurashiki, Okayama",Retired
14,Yoshifumi Kashiwa,柏 好文,375,33,50,27.034,N/A,Kashiwa,Unknown,12,0,Sanfrecce Hiroshima,Midfield - Left Midfield,"1,68 m",Japan,jp,https://www.transfermarkt.us/yoshifumi-kashiwa/profil/spieler/141479,https://img.a.transfermarkt.technology/portrait/small/141479-1605263674.jpg?lm=1,N/A,28.07.1987,"Fujikawa, Yamanashi",Ventforet Kofu
15,Tadanari Lee,李 忠成,84,31,8,5.293,N/A,Lee,19,11,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,82 m",Japan,jp,https://www.transfermarkt.us/tadanari-lee/profil/spieler/81793,https://img.a.transfermarkt.technology/portrait/small/81793-1683619910.jpg?lm=1,N/A,19.12.1985,"Tanashi, Tokyo",Retired
16,Ivan Hasek,Ivan Hašek,58,30,0,4.709,N/A,Hasek,-,9,0,Sanfrecce Hiroshima,Midfield - Central Midfield,"1,71 m",Czech Republic,cz,https://www.transfermarkt.us/ivan-hasek/profil/spieler/107088,https://img.a.transfermarkt.technology/portrait/small/107088-1632236513.jpg?lm=1,N/A,06.09.1963,Městec Králové,Retired
17,Tsukasa Shiotani,塩谷 司,322,30,19,27.234,N/A,Shiotani,18,27,1,Sanfrecce Hiroshima,Defender - Centre-Back,"1,82 m",Japan,jp,https://www.transfermarkt.us/tsukasa-shiotani/profil/spieler/177521,https://img.a.transfermarkt.technology/portrait/small/177521-1617982203.jpg?lm=1,N/A,05.12.1988,"Komatsushima, Tokushima",Sanfrecce Hiroshima
18,Pavel Cerny,Pavel Černý,78,29,0,6.700,N/A,Cerny,-,11,0,Sanfrecce Hiroshima,Attack - Left Winger,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-cerny/profil/spieler/180459,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.10.1962,Nové Město nad Metují,Retired
19,Takuma Asano,浅野 拓磨,93,27,13,3.835,N/A,Asano,16,2,0,Sanfrecce Hiroshima,Attack - Right Winger,"1,73 m",Japan,jp,https://www.transfermarkt.us/takuma-asano/profil/spieler/245744,https://img.a.transfermarkt.technology/portrait/small/245744-1657284052.jpg?lm=1,N/A,10.11.1994,"Komono, Mie",RCD Mallorca
20,Yutaka Takahashi,高橋 泰,117,26,0,5.820,N/A,Takahashi,Unknown,2,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,74 m",Japan,jp,https://www.transfermarkt.us/yutaka-takahashi/profil/spieler/117052,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.09.1980,"Machida, Tokyo",Retired
21,Chikara Fujimoto,藤本 主税,131,26,0,9.380,N/A,Fujimoto,-,16,0,Sanfrecce Hiroshima,Midfield - Left Midfield,"1,68 m",Japan,jp,https://www.transfermarkt.us/chikara-fujimoto/profil/spieler/79693,https://img.a.transfermarkt.technology/portrait/small/79693-1628083869.jpg?lm=1,N/A,31.10.1977,"Ube, Yamaguchi",Retired
22,Douglas,Unknown,45,25,9,3.227,N/A,Douglas,Unknown,2,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/douglas/profil/spieler/99548,https://img.a.transfermarkt.technology/portrait/small/99548-1628111699.jpg?lm=1,N/A,30.12.1987,Morros,Retired
23,Kazuyuki Morisaki,森崎 和幸,594,25,7,50.153,N/A,Morisaki,-,74,0,Sanfrecce Hiroshima,Midfield - Defensive Midfield,"1,77 m",Japan,jp,https://www.transfermarkt.us/kazuyuki-morisaki/profil/spieler/106069,https://img.a.transfermarkt.technology/portrait/small/106069-1617982460.jpg?lm=1,N/A,09.05.1981,"Hiroshima, Hiroshima",Retired
24,Kenichi Uemura,上村 健一,284,25,0,24.585,N/A,Uemura,2,55,0,Sanfrecce Hiroshima,Defender - Centre-Back,"1,80 m",Japan,jp,https://www.transfermarkt.us/kenichi-uemura/profil/spieler/165098,https://img.a.transfermarkt.technology/portrait/small/s_165098_123_2013_10_10_1.jpg?lm=1,N/A,22.04.1974,"Yatsushiro, Kumamoto",Retired
25,Sho Sasaki,佐々木 翔,332,25,17,27.650,N/A,Sasaki,19,34,0,Sanfrecce Hiroshima,Defender - Centre-Back,"1,77 m",Japan,jp,https://www.transfermarkt.us/sho-sasaki/profil/spieler/213249,https://img.a.transfermarkt.technology/portrait/small/213249-1605263919.jpg?lm=1,N/A,02.10.1989,"Zama, Kanagawa",Sanfrecce Hiroshima
26,Makoto Mitsuta,満田 誠,124,25,33,8.832,N/A,Mitsuta,21,2,0,Sanfrecce Hiroshima,Midfield - Attacking Midfield,"1,70 m",Japan,jp,https://www.transfermarkt.us/makoto-mitsuta/profil/spieler/683327,https://img.a.transfermarkt.technology/portrait/small/683327-1653697046.jpg?lm=1,N/A,20.07.1999,"---, Kumamoto",Gamba Osaka
27,Tsukasa Morishima,森島 司,206,24,29,15.095,N/A,Morishima,8,12,0,Sanfrecce Hiroshima,Midfield - Attacking Midfield,"1,75 m",Japan,jp,https://www.transfermarkt.us/tsukasa-morishima/profil/spieler/351564,https://img.a.transfermarkt.technology/portrait/small/351564-1656426295.jpg?lm=1,N/A,25.04.1997,"Suzuka, Mie",Nagoya Grampus
28,Tomoaki Makino,槙野 智章,157,24,7,13.413,N/A,Makino,20,16,0,Sanfrecce Hiroshima,Defender - Centre-Back,"1,82 m",Japan,jp,https://www.transfermarkt.us/tomoaki-makino/profil/spieler/106064,https://img.a.transfermarkt.technology/portrait/small/106064-1523615620.jpg?lm=1,N/A,11.05.1987,"Hiroshima, Hiroshima",Retired
29,Gakuto Notsuda,野津田 岳人,216,23,33,12.165,N/A,Notsuda,7,15,0,Sanfrecce Hiroshima,Midfield - Central Midfield,"1,77 m",Japan,jp,https://www.transfermarkt.us/gakuto-notsuda/profil/spieler/218277,https://img.a.transfermarkt.technology/portrait/small/218277-1721645941.jpg?lm=1,N/A,06.06.1994,"Hiroshima, Hiroshima",BG Pathum United
30,Yosuke Kashiwagi,柏木 陽介,139,23,11,10.785,N/A,Kashiwagi,-,16,0,Sanfrecce Hiroshima,Midfield - Central Midfield,"1,76 m",Japan,jp,https://www.transfermarkt.us/yosuke-kashiwagi/profil/spieler/106056,https://img.a.transfermarkt.technology/portrait/small/106056-1613224878.jpg?lm=1,N/A,15.12.1987,"Kobe, Hyogo",Retired
31,Kota Hattori,服部 公太,529,23,19,45.182,N/A,Hattori,Unknown,47,0,Sanfrecce Hiroshima,Midfield - Left Midfield,"1,75 m",Japan,jp,https://www.transfermarkt.us/kota-hattori/profil/spieler/106053,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.11.1977,"Narashino, Chiba",Retired
32,Leandro Pereira,Unknown,38,22,4,2.470,N/A,Leandro Pereira,Unknown,4,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,90 m",Brazil,br,https://www.transfermarkt.us/leandro-pereira/profil/spieler/270414,https://img.a.transfermarkt.technology/portrait/small/270414-1614695052.jpg?lm=1,N/A,13.07.1991,Araçatuba,Paraná Clube
33,Peter Utaka,Maduabuchi Peter Utaka,39,21,8,3.004,N/A,Utaka,-,1,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,79 m",Nigeria,ng,https://www.transfermarkt.us/peter-utaka/profil/spieler/20360,https://img.a.transfermarkt.technology/portrait/small/20360-1606136815.jpg?lm=1,N/A,12.02.1984,Enugu,Tochigi City
34,Mutsuki Kato,加藤 陸次樹,72,20,10,5.838,N/A,Kato,-,0,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,80 m",Japan,jp,https://www.transfermarkt.us/mutsuki-kato/profil/spieler/407833,https://img.a.transfermarkt.technology/portrait/small/407833-1628005203.jpg?lm=1,N/A,06.08.1997,"Kumagaya, Saitama",Sanfrecce Hiroshima
35,Hajime Moriyasu,森保 一,259,19,0,20.684,N/A,Moriyasu,-,39,1,Sanfrecce Hiroshima,Midfield - Defensive Midfield,"1,74 m",Japan,jp,https://www.transfermarkt.us/hajime-moriyasu/profil/spieler/212429,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.08.1968,"Nagasaki, Nagasaki",Retired
36,Shunki Higashi,東 俊希,225,18,26,15.256,N/A,Higashi,2,6,0,Sanfrecce Hiroshima,Midfield - Left Midfield,"1,80 m",Japan,jp,https://www.transfermarkt.us/shunki-higashi/profil/spieler/577216,https://img.a.transfermarkt.technology/portrait/small/577216-1558618911.png?lm=1,N/A,28.07.2000,"Ozu, Ehime",Sanfrecce Hiroshima
37,Pieter Huistra,Pieter Egge Huistra,77,18,0,6.738,N/A,Huistra,-,9,0,Sanfrecce Hiroshima,Attack - Left Winger,"1,82 m",Netherlands,nl,https://www.transfermarkt.us/pieter-huistra/profil/spieler/152371,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.01.1967,Goënga,Retired
38,Pieros Sotiriou,Πιέρος Σωτηρίου,66,18,4,2.957,N/A,Sotiriou,9,7,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,84 m",Cyprus,cy,https://www.transfermarkt.us/pieros-sotiriou/profil/spieler/182392,https://img.a.transfermarkt.technology/portrait/small/182392-1622913647.png?lm=1,N/A,13.01.1993,Nicosia,APOEL Nicosia
39,Yuki Ohashi,Unknown,27,16,3,2.215,N/A,Unknown,Unknown,2,0,Sanfrecce Hiroshima,Unknown,Unknown,Japan,jp,https://www.transfermarkt.us/yuki-ohashi/profil/spieler/592116,https://img.a.transfermarkt.technology/portrait/small/592116-1636896403.jpg?lm=1,N/A,27.07.1996,Unknown,Blackburn Rovers
40,Tony Popovic,Unknown,100,16,0,8.898,N/A,Popovic,6,25,1,Sanfrecce Hiroshima,Defender - Centre-Back,"1,94 m",Australia,au,https://www.transfermarkt.us/tony-popovic/profil/spieler/14058,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.07.1973,Sydney,Retired
41,Takumu Kawamura,Unknown,84,15,6,6.123,N/A,Unknown,Unknown,8,0,Sanfrecce Hiroshima,Unknown,Unknown,Japan,jp,https://www.transfermarkt.us/takumu-kawamura/profil/spieler/515650,https://img.a.transfermarkt.technology/portrait/small/515650-1722524424.png?lm=1,N/A,28.08.1999,Unknown,Red Bull Salzburg
