rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Yoshinori Muto,武藤 嘉紀,133,37,32,10.436,N/A,Muto,10,7,0,Vissel Kobe,Attack - Centre-Forward,"1,79 m",Japan,jp,https://www.transfermarkt.us/yoshinori-muto/profil/spieler/230541,https://img.a.transfermarkt.technology/portrait/small/230541-1673011620.jpg?lm=1,N/A,15.07.1992,"Setagaya, Tokyo",Vissel Kobe
2,Ryo Hatsuse,初瀬 亮,195,4,29,13.528,N/A,Hatsuse,19,12,0,Vissel Kobe,Defender - Left-Back,"1,80 m",Japan,jp,https://www.transfermarkt.us/ryo-hatsuse/profil/spieler/414926,https://img.a.transfermarkt.technology/portrait/small/414926-1629880759.jpg?lm=1,N/A,10.07.1997,"Kishiwada, Osaka",Sheffield Wednesday
3,Ryota Morioka,森岡 亮太,163,28,28,10.384,N/A,Morioka,10,3,0,Vissel Kobe,Midfield - Attacking Midfield,"1,83 m",Japan,jp,https://www.transfermarkt.us/ryota-morioka/profil/spieler/140310,https://img.a.transfermarkt.technology/portrait/small/140310-1672594905.jpg?lm=1,N/A,12.04.1991,"Joyo, Kyoto",Vissel Kobe
4,Pedro Júnior,Unknown,93,35,27,7.169,N/A,Pedro Júnior,Unknown,15,0,Vissel Kobe,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/pedro-junior/profil/spieler/54161,https://img.a.transfermarkt.technology/portrait/small/54161-1617223066.jpg?lm=1,N/A,29.01.1987,Santana do Araguaia,Retired
5,Keijiro Ogawa,小川 慶治朗,283,49,26,17.992,N/A,Ogawa,-,12,1,Vissel Kobe,Attack - Right Winger,"1,70 m",Japan,jp,https://www.transfermarkt.us/keijiro-ogawa/profil/spieler/129691,https://img.a.transfermarkt.technology/portrait/small/129691-1620633606.jpg?lm=1,N/A,14.07.1992,"Sanda, Hyogo",Yokohama FC
6,Andrés Iniesta,Andrés Iniesta Luján,134,26,25,9.269,N/A,Iniesta,6,5,0,Vissel Kobe,Midfield - Central Midfield,"1,71 m",Spain,es,https://www.transfermarkt.us/andres-iniesta/profil/spieler/7600,https://img.a.transfermarkt.technology/portrait/small/7600-1685447666.jpg?lm=1,N/A,11.05.1984,Fuentealbilla,Retired
7,Yuya Osako,大迫 勇也,137,57,25,10.196,N/A,Osako,15,6,0,Vissel Kobe,Attack - Centre-Forward,"1,84 m",Japan,jp,https://www.transfermarkt.us/yuya-osako/profil/spieler/108650,https://img.a.transfermarkt.technology/portrait/small/108650-1701776188.jpg?lm=1,N/A,18.05.1990,"Kaseda, Kagoshima",Vissel Kobe
8,Gotoku Sakai,酒井 高徳,219,8,22,18.432,N/A,Sakai,21,12,0,Vissel Kobe,Defender - Right-Back,"1,76 m",Japan,jp,https://www.transfermarkt.us/gotoku-sakai/profil/spieler/103310,https://img.a.transfermarkt.technology/portrait/small/103310-1503914417.jpg?lm=1,N/A,14.03.1991,"New York City, New York",Vissel Kobe
9,Popó,Unknown,112,37,21,8.565,N/A,Popó,Unknown,17,1,Vissel Kobe,Attack - Centre-Forward,"1,68 m",Brazil,br,https://www.transfermarkt.us/popo/profil/spieler/82969,https://img.a.transfermarkt.technology/portrait/small/82969-1626946342.jpg?lm=1,N/A,01.09.1978,Andradina (São Paulo),Retired
10,Kazuma Watanabe,渡邉 千真,154,56,20,12.209,N/A,Watanabe,-,13,0,Vissel Kobe,Attack - Centre-Forward,"1,82 m",Japan,jp,https://www.transfermarkt.us/kazuma-watanabe/profil/spieler/110874,https://img.a.transfermarkt.technology/portrait/small/110874-1620633550.jpg?lm=1,N/A,10.08.1986,"Kunimi, Nagasaki",Shibuya City
11,Hideo Tanaka,田中 英雄,325,19,20,21.134,N/A,Tanaka,Unknown,39,2,Vissel Kobe,Midfield - Defensive Midfield,"1,72 m",Japan,jp,https://www.transfermarkt.us/hideo-tanaka/profil/spieler/80851,https://img.a.transfermarkt.technology/portrait/small/80851-1620633329.jpg?lm=1,N/A,01.03.1983,"Uki, Kumamoto",Retired
12,Hotaru Yamaguchi,山口 蛍,242,29,19,19.982,N/A,Yamaguchi,20,8,0,Vissel Kobe,Midfield - Defensive Midfield,"1,74 m",Japan,jp,https://www.transfermarkt.us/hotaru-yamaguchi/profil/spieler/118492,https://img.a.transfermarkt.technology/portrait/small/118492-1552385334.jpg?lm=1,N/A,06.10.1990,"Nabari, Mie",V-Varen Nagasaki
13,Koya Yuruki,汰木 康也,99,15,19,5.762,N/A,Yuruki,Unknown,4,0,Vissel Kobe,Attack - Left Winger,"1,83 m",Japan,jp,https://www.transfermarkt.us/koya-yuruki/profil/spieler/296471,https://img.a.transfermarkt.technology/portrait/small/296471-1628637697.jpg?lm=1,N/A,03.07.1995,"Yokohama, Kanagawa",Vissel Kobe
14,Kyogo Furuhashi,Unknown,111,49,18,8.513,N/A,Unknown,Unknown,8,0,Vissel Kobe,Unknown,Unknown,Japan,jp,https://www.transfermarkt.us/kyogo-furuhashi/profil/spieler/489463,https://img.a.transfermarkt.technology/portrait/small/489463-1671709799.jpg?lm=1,N/A,20.01.1995,Unknown,Stade Rennais FC
15,Naoyuki Fujita,藤田 直之,103,6,17,8.305,N/A,Fujita,8,15,0,Vissel Kobe,Midfield - Central Midfield,"1,75 m",Japan,jp,https://www.transfermarkt.us/naoyuki-fujita/profil/spieler/142009,https://img.a.transfermarkt.technology/portrait/small/142009-1648733217.jpg?lm=1,N/A,22.06.1987,"---, Fukuoka",Retired
16,Daigo Nishi,西 大伍,70,2,17,5.568,N/A,Nishi,22,9,0,Vissel Kobe,Defender - Right-Back,"1,76 m",Japan,jp,https://www.transfermarkt.us/daigo-nishi/profil/spieler/79923,https://img.a.transfermarkt.technology/portrait/small/79923-1617223304.jpg?lm=1,N/A,28.08.1987,"Sapporo, Hokkaido",Iwate Grulla Morioka
17,Kang-jo Park,박강조,298,35,16,22.045,N/A,Park,21,32,0,Vissel Kobe,Midfield - Right Midfield,"1,66 m","Korea, South",unknown,https://www.transfermarkt.us/kang-jo-park/profil/spieler/80849,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.01.1980,"Amagasaki, Hyogo",Retired
18,Takahito Soma,相馬 崇人,140,7,16,10.699,N/A,Soma,Unknown,20,1,Vissel Kobe,Defender - Left-Back,,Japan,jp,https://www.transfermarkt.us/takahito-soma/profil/spieler/79365,https://img.a.transfermarkt.technology/portrait/small/79365-1626946095.jpg?lm=1,N/A,10.12.1981,"Kawasaki, Kanagawa",Retired
19,Botti,Unknown,161,11,15,12.537,N/A,Botti,Unknown,18,0,Vissel Kobe,Midfield - Attacking Midfield,"1,71 m",Brazil,br,https://www.transfermarkt.us/botti/profil/spieler/80841,https://img.a.transfermarkt.technology/portrait/small/s_80841_4064_2012_1.jpg?lm=1,N/A,23.02.1981,Juiz de Fora,Retired
20,Junya Tanaka,田中 順也,124,25,15,5.793,N/A,Tanaka,8,3,0,Vissel Kobe,Attack - Centre-Forward,"1,81 m",Japan,jp,https://www.transfermarkt.us/junya-tanaka/profil/spieler/123252,https://img.a.transfermarkt.technology/portrait/small/123252-1445432444.jpg?lm=1,N/A,15.07.1987,"Tokyo, Tokyo",Retired
21,Daiju Sasaki,佐々木 大樹,188,28,15,9.760,N/A,Sasaki,-,8,0,Vissel Kobe,Midfield - Attacking Midfield,"1,80 m",Japan,jp,https://www.transfermarkt.us/daiju-sasaki/profil/spieler/515653,https://img.a.transfermarkt.technology/portrait/small/515653-1534328565.jpg?lm=1,N/A,17.09.1999,"Hamada, Shimane",Vissel Kobe
22,Woo-young Jung,정우영,91,7,14,8.023,N/A,Jung,-,15,0,Vissel Kobe,Midfield - Defensive Midfield,"1,86 m","Korea, South",unknown,https://www.transfermarkt.us/woo-young-jung/profil/spieler/171935,https://img.a.transfermarkt.technology/portrait/small/171935-1716230933.png?lm=1,N/A,14.12.1989,Ulsan,Ulsan HD FC
23,Daisuke Ishizu,石津 大介,81,10,12,3.669,N/A,Ishizu,Unknown,3,0,Vissel Kobe,Attack - Second Striker,"1,73 m",Japan,jp,https://www.transfermarkt.us/daisuke-ishizu/profil/spieler/161993,https://img.a.transfermarkt.technology/portrait/small/161993-1628683594.jpg?lm=1,N/A,15.01.1990,"Fukuoka, Fukuoka",Retired
24,Shunki Takahashi,高橋 峻希,153,7,12,12.685,N/A,Takahashi,-,15,1,Vissel Kobe,Defender - Right-Back,"1,70 m",Japan,jp,https://www.transfermarkt.us/shunki-takahashi/profil/spieler/79384,https://img.a.transfermarkt.technology/portrait/small/79384-1628683393.jpg?lm=1,N/A,04.05.1990,"Asaka, Saitama",Yokohama Sports & Culture Club
25,Lukas Podolski,Łukasz Józef Podolski,60,17,12,4.835,N/A,Podolski,10,13,1,Vissel Kobe,Attack - Centre-Forward,"1,82 m",Germany,de,https://www.transfermarkt.us/lukas-podolski/profil/spieler/15185,https://img.a.transfermarkt.technology/portrait/small/15185-1670769304.png?lm=1,N/A,04.06.1985,Gliwice,Górnik Zabrze
26,Yuzo Tashiro,田代 有三,77,15,10,4.071,N/A,Tashiro,-,2,0,Vissel Kobe,Attack - Centre-Forward,"1,81 m",Japan,jp,https://www.transfermarkt.us/yuzo-tashiro/profil/spieler/83013,https://img.a.transfermarkt.technology/portrait/small/83013-1626946153.jpg?lm=1,N/A,22.07.1982,"Fukuoka, Fukuoka",Retired
27,Wellington,Unknown,59,21,10,4.026,N/A,Wellington,Unknown,5,0,Vissel Kobe,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/wellington/profil/spieler/67207,https://img.a.transfermarkt.technology/portrait/small/67207-1611565971.jpg?lm=1,N/A,11.02.1988,Ourinhos (SP),Avispa Fukuoka
28,Marquinhos,Unknown,58,19,9,4.603,N/A,Marquinhos,Unknown,5,0,Vissel Kobe,Attack - Centre-Forward,"1,74 m",Brazil,br,https://www.transfermarkt.us/marquinhos/profil/spieler/82972,https://img.a.transfermarkt.technology/portrait/small/82972-1620307576.jpg?lm=1,N/A,23.03.1976,Bataguassu,Retired
29,Mazinho,Unknown,39,10,9,3.053,N/A,Mazinho,Unknown,1,0,Vissel Kobe,Attack - Left Winger,"1,65 m",Brazil,br,https://www.transfermarkt.us/mazinho/profil/spieler/148661,https://img.a.transfermarkt.technology/portrait/small/148661-1626946418.jpg?lm=1,N/A,16.10.1987,Barboza Ferraz,Unknown
30,Leandro,Unknown,124,54,7,10.334,N/A,Leandro,Unknown,18,0,Vissel Kobe,Attack - Centre-Forward,"1,76 m",Brazil,br,https://www.transfermarkt.us/leandro/profil/spieler/111071,https://img.a.transfermarkt.technology/portrait/small/111071-1628683679.jpg?lm=1,N/A,12.02.1985,São Paulo,Retired
31,Sergi Samper,Sergi Samper Montaña,107,1,7,7.756,N/A,Samper,-,22,0,Vissel Kobe,Midfield - Defensive Midfield,"1,81 m",Spain,es,https://www.transfermarkt.us/sergi-samper/profil/spieler/181112,https://img.a.transfermarkt.technology/portrait/small/181112-1408005221.jpg?lm=1,N/A,20.01.1995,Barcelona,Motor Lublin
32,Ryo Okui,奥井 諒,113,4,7,9.082,N/A,Okui,-,14,0,Vissel Kobe,Defender - Right-Back,"1,69 m",Japan,jp,https://www.transfermarkt.us/ryo-okui/profil/spieler/212167,https://img.a.transfermarkt.technology/portrait/small/212167-1619164963.jpg?lm=1,N/A,07.03.1990,"Toyonaka, Osaka",Tochigi City
33,Yuta Goke,郷家 友太,146,13,7,8.976,N/A,Goke,10,7,1,Vissel Kobe,Midfield - Attacking Midfield,"1,83 m",Japan,jp,https://www.transfermarkt.us/yuta-goke/profil/spieler/486185,https://img.a.transfermarkt.technology/portrait/small/486185-1558618545.png?lm=1,N/A,10.06.1999,"Tagajo, Miyagi",Vegalta Sendai
34,Douglas,Unknown,57,18,7,3.867,N/A,Douglas,Unknown,5,0,Vissel Kobe,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/douglas/profil/spieler/99548,https://img.a.transfermarkt.technology/portrait/small/99548-1628111699.jpg?lm=1,N/A,30.12.1987,Morros,Retired
35,Yoshito Okubo,大久保 嘉人,170,56,7,13.696,N/A,Okubo,13,46,3,Vissel Kobe,Attack - Centre-Forward,,Japan,jp,https://www.transfermarkt.us/yoshito-okubo/profil/spieler/27439,https://img.a.transfermarkt.technology/portrait/small/27439-1614428231.jpg?lm=1,N/A,09.06.1982,"Kanda, Fukuoka",Retired
