name,club,periods
Hisashi Jogo,Avispa Fukuoka,2005-2025
Daisuke Ishizu,Avispa Fukuoka,"2010-2011, 2011-2012, 2012-2014, 2017-2022"
Wellington,Avispa Fukuoka,"2015-2018, 2023-2025"
Alex Melo,Avispa Fukuoka,2003-2008
Tetsuya Okubo,Avispa Fukuoka,"2008-2008, 2009-2011"
Takeshi Kanamori,Avispa Fukuoka,"2012-2013, 2013-2017, 2021-2025"
Yusuke Tanaka,Avispa Fukuoka,2004-2012
Yuya Yamagishi,Avispa Fukuoka,2020-2024
Yoshiteru Yamashita,Avispa Fukuoka,"1996-2002, 2003-2004"
Daisuke Sakata,Avispa Fukuoka,2012-2018
Bentinho,Avispa Fukuoka,2003-2005
Seiji Koga,Avispa Fukuoka,"2002-2007, 2007-2008"
Yusaku Ueno,Avispa Fukuoka,1996-1999
Jun Suzuki,Avispa Fukuoka,"2008-2013, 2015-2017, 2018-2021"
Kohei Miyazaki,Avispa Fukuoka,2002-2008
Juanma Delgado,Avispa Fukuoka,2020-2023
Hiroyuki Hayashi,Avispa Fukuoka,"2002-2006, 2006-2008"
Yutaka Takahashi,Avispa Fukuoka,2009-2013
Gláucio,Avispa Fukuoka,2005-2006
Abraão Lincoln,Avispa Fukuoka,2007-2008
Hideya Okamoto,Avispa Fukuoka,"2009-2009, 2010-2012"
Riki Matsuda,Avispa Fukuoka,2017-2020
Noriyoshi Sakai,Avispa Fukuoka,2014-2016
Tomoji Eguchi,Avispa Fukuoka,2000-2004
Hokuto Nakamura,Avispa Fukuoka,"2004-2009, 2015-2018"
Kyohei Yamagata,Avispa Fukuoka,2004-2008
Kiyotaka Ishimaru,Avispa Fukuoka,1996-2001
Genki Nagasato,Avispa Fukuoka,2010-2011
Kiyokazu Kudo,Avispa Fukuoka,"1998-1998, 2006-2011"
Mitsuru Chiyotanda,Avispa Fukuoka,"1998-1998, 2003-2007"
Kosuke Nakamachi,Avispa Fukuoka,2010-2012
Lukian,Avispa Fukuoka,2022-2024
David Bisconti,Avispa Fukuoka,2000-2002
Kazuya Konno,Avispa Fukuoka,2023-2025
Takanori Nunobe,Avispa Fukuoka,2006-2009
Jordy Croux,Avispa Fukuoka,2021-2023
Wagner Lopes,Avispa Fukuoka,2001-2003
Pedro Troglio,Avispa Fukuoka,
Ryota Arimitsu,Avispa Fukuoka,2003-2007
Daisuke Nakaharai,Avispa Fukuoka,"1996-2002, 2002-2003, 2008-2010"
Daiya Tono,Avispa Fukuoka,2020-2021
Mike Obiku,Avispa Fukuoka,1996-1998
Tatsunori Hisanaga,Avispa Fukuoka,"1996-2002, 2002-2004, 2006-2010"
Shahab Zahedi,Avispa Fukuoka,"2024-2024, 2025-2025"
Dong-hyen Yang,Avispa Fukuoka,2019-2020
Dudú,Avispa Fukuoka,2018-2019
Shoki Hirai,Avispa Fukuoka,2014-2017
Keisuke Ota,Avispa Fukuoka,2002-2006
Ryoga Sato,Avispa Fukuoka,2023-2025
Yoshiyuki Shinoda,Avispa Fukuoka,
Alen Avdic,Avispa Fukuoka,
Sho Naruoka,Avispa Fukuoka,2011-2013
Toshiya Sueyoshi,Avispa Fukuoka,"2010-2013, 2015-2018"
Takayuki Nakahara,Avispa Fukuoka,2015-2018
Eduardo Bustos Montoya,Avispa Fukuoka,2000-2000
Hiroshi Fukushima,Avispa Fukuoka,"2001-2005, 2006-2007"
Go Nishida,Avispa Fukuoka,2012-2014
Koji Yamase,Avispa Fukuoka,2017-2019
Pavel Badea,Avispa Fukuoka,2000-2001
John Mary,Avispa Fukuoka,"2021-2021, 2022-2023"
Takayuki Morimoto,Avispa Fukuoka,2018-2020
Chikara Fujimoto,Avispa Fukuoka,1996-1999
Jeong-yun No,Avispa Fukuoka,2001-2003
Osmar,Avispa Fukuoka,"2012-2013, 2013-2014"
Mike Havenaar,Avispa Fukuoka,2008-2009
Hideaki Mori,Avispa Fukuoka,1996-2000
Reiju Tsuruno,Avispa Fukuoka,"2023-2025, 2026-2025"
Itsuki Oda,Avispa Fukuoka,2023-2025
Roberto,Avispa Fukuoka,2004-2007
Shinya Kawashima,Avispa Fukuoka,2002-2008
Koki Kido,Avispa Fukuoka,2018-2021
Douglas Grolli,Avispa Fukuoka,2020-2025
Hiroyuki Mae,Avispa Fukuoka,2020-2025
Mizuki Hamada,Avispa Fukuoka,2015-2018
Teruaki Kurobe,Avispa Fukuoka,2008-2010
Mitsunori Yabuta,Avispa Fukuoka,2006-2007
Asahi Masuyama,Avispa Fukuoka,2020-2021
Daiki Watari,Avispa Fukuoka,2021-2023
Juan Carlos Villamayor,Avispa Fukuoka,1998-1999
Takahiro Masukawa,Avispa Fukuoka,2003-2005
Emil Salomonsson,Avispa Fukuoka,"2020-2021, 2021-2022"
Shunsuke Tsutsumi,Avispa Fukuoka,2012-2019
Toru Miyamoto,Avispa Fukuoka,"2001-2009, 2009-2010"
Ufuk Talay,Avispa Fukuoka,2008-2009
Yuta Mishima,Avispa Fukuoka,2013-2018
Yasutoshi Miura,Avispa Fukuoka,1999-2002
Yuki Saneto,Avispa Fukuoka,2016-2020
Keisuke Iwashita,Avispa Fukuoka,"2017-2019, 2020-2020"
Takashi Hirajima,Avispa Fukuoka,2000-2007
Daiki Miya,Avispa Fukuoka,2021-2025
Léo Mineiro,Avispa Fukuoka,2018-2019
Satoru Noda,Avispa Fukuoka,1999-2003
Daiki Niwa,Avispa Fukuoka,2008-2012
Takahiro Kunimoto,Avispa Fukuoka,2015-2017
Daiki Matsuoka,Avispa Fukuoka,2024-2025
Yuki Matsushita,Avispa Fukuoka,"2004-2005, 2005-2006, 2007-2007"
Yuji Kitajima,Avispa Fukuoka,"2019-2023, 2024-2025"
