name,club,periods
Lucas Severino,FC Tokyo,"2004-2008, 2011-2014"
Diego Oliveira,FC Tokyo,"2018-2018, 2019-2025"
Amaral,FC Tokyo,
Naohiro Ishikawa,FC Tokyo,2002-2018
Sota Hirayama,FC Tokyo,2006-2017
Masato Morishige,FC Tokyo,2010-2025
Adaílton,FC Tokyo,2020-2024
Yasuyuki Konno,FC Tokyo,2004-2012
Kelly Guimarães,FC Tokyo,2002-2004
Shingo Akamine,FC Tokyo,"2006-2010, 2011-2011"
Kazuma Watanabe,FC Tokyo,2012-2015
Yohei Kajiyama,FC Tokyo,"2004-2013, 2013-2013, 2014-2018, 2019-2019"
Leandro Moura,FC Tokyo,"2020-2021, 2021-2023"
Kensuke Nagai,FC Tokyo,2017-2022
Mitsuhiro Toda,FC Tokyo,2000-2007
Yoshinori Muto,FC Tokyo,2014-2015
Keigo Higashi,FC Tokyo,2013-2025
Yoshiro Abe,FC Tokyo,"2002-2005, 2005-2007, 2007-2008"
Caboré,FC Tokyo,2008-2009
Ryoichi Maeda,FC Tokyo,2015-2019
Hiroki Kawano,FC Tokyo,2012-2017
Norio Suzuki,FC Tokyo,2002-2008
Tuto,FC Tokyo,2000-2000
Hideto Takahashi,FC Tokyo,2010-2017
Edú,FC Tokyo,2014-2015
Yukihiko Sato,FC Tokyo,"1999-1999, 2000-2003, 2003-2004"
Hirotaka Mita,FC Tokyo,"2013-2016, 2017-2017, 2019-2023"
Yuta Baba,FC Tokyo,2002-2008
Jean,FC Tokyo,2002-2007
Kosuke Ota,FC Tokyo,"2012-2016, 2017-2019"
Yohei Otake,FC Tokyo,"2008-2011, 2012-2013, 2014-2014"
Masashi Miyazawa,FC Tokyo,2001-2007
Shoya Nakajima,FC Tokyo,"2014-2014, 2014-2017, 2018-2018"
Ryoma Watanabe,FC Tokyo,2021-2024
Shuto Abe,FC Tokyo,"2019-2020, 2020-2023"
Masamitsu Kobayashi,FC Tokyo,
Sotan Tanabe,FC Tokyo,"2009-2013, 2015-2019"
Teruhito Nakagawa,FC Tokyo,2023-2025
Aria Jasuru Hasegawa,FC Tokyo,2012-2014
Tatsuya Yazawa,FC Tokyo,2011-2012
Naotake Hanyu,FC Tokyo,"2008-2013, 2014-2017"
Peter Utaka,FC Tokyo,2017-2017
Kyosuke Tagawa,FC Tokyo,"2019-2022, 2023-2023"
Roberto,FC Tokyo,"2011-2012, 2012-2013, 2013-2014"
Takuji Yonemoto,FC Tokyo,2009-2019
Nemanja Vucicevic,FC Tokyo,2012-2014
Tatsuya Suzuki,FC Tokyo,"2008-2010, 2010-2012"
Yoshito Okubo,FC Tokyo,2017-2018
Yuhei Tokunaga,FC Tokyo,"2003-2005, 2006-2018"
Hyun-soo Jang,FC Tokyo,"2012-2014, 2017-2019"
Masashi Oguro,FC Tokyo,2010-2011
Yuto Nagatomo,FC Tokyo,"2007-2008, 2008-2010, 2011-2011, 2021-2025"
Kuryu Matsuki,FC Tokyo,2022-2024
Takashi Fukunishi,FC Tokyo,2007-2008
Ryotaro Araki,FC Tokyo,2024-2025
Yusuke Kondo,FC Tokyo,"2003-2006, 2007-2010"
Ryoichi Kurisawa,FC Tokyo,"2005-2008, 2009-2009"
Tsuyoshi Watanabe,FC Tokyo,"2018-2019, 2019-2022"
Fumitake Miura,FC Tokyo,2001-2007
Soma Anzai,FC Tokyo,2024-2025
Takuma Abe,FC Tokyo,2016-2017
Koki Tsukagawa,FC Tokyo,"2022-2024, 2025-2025"
Takefusa Kubo,FC Tokyo,"2015-2018, 2019-2019"
Keita Endo,FC Tokyo,"2024-2024, 2024-2025"
Yojiro Takahagi,FC Tokyo,"2017-2022, 2023-2023"
Ryoya Ogawa,FC Tokyo,"2015-2022, 2023-2023, 2024-2024"
Santiago Salcedo,FC Tokyo,2005-2006
Kenji Fukuda,FC Tokyo,2001-2003
Sei Muroya,FC Tokyo,2016-2020
Riki Harakawa,FC Tokyo,"2023-2024, 2024-2025"
Hokuto Nakamura,FC Tokyo,2009-2014
Nathan Burns,FC Tokyo,2015-2017
Hideki Sahara,FC Tokyo,2008-2009
Émerson Paulista,FC Tokyo,2008-2009
Kota Mizunuma,FC Tokyo,"2016-2017, 2018-2018"
Jo Kanazawa,FC Tokyo,2003-2009
Kentaro Shigematsu,FC Tokyo,"2010-2011, 2012-2012, 2013-2013, 2014-2014"
Kota Tawaratsumida,FC Tokyo,2023-2025
Sandro,FC Tokyo,
Kenta Mukuhara,FC Tokyo,"2008-2013, 2014-2015"
Yohei Hayashi,FC Tokyo,"2012-2014, 2014-2014, 2014-2017"
Bruno Quadros,FC Tokyo,2008-2010
Cayman Togashi,FC Tokyo,2018-2019
Henrique Trevisan,FC Tokyo,2022-2025
Nobuo Kawaguchi,FC Tokyo,2006-2009
Taichi Hara,FC Tokyo,2018-2021
Takahiro Ko,FC Tokyo,2024-2025
Yasuki Kimoto,FC Tokyo,2022-2025
Kashif Bangnagande,FC Tokyo,2020-2025
Kazuya Konno,FC Tokyo,2020-2023
Sang-ho Na,FC Tokyo,"2019-2020, 2020-2021"
Hotaka Nakamura,FC Tokyo,2020-2025
Teppei Oka,FC Tokyo,2024-2025
