name,club,periods
Cristiano,Kashiwa Reysol,"2015-2015, 2016-2022"
Masato Kudo,Kashiwa Reysol,2009-2016
Hideaki Kitajima,Kashiwa Reysol,"1997-2003, 2003-2004, 2006-2012, 2012-2013"
Junya Tanaka,Kashiwa Reysol,"2009-2010, 2010-2014, 2016-2016"
Nozomu Kato,Kashiwa Reysol,
Mao Hosoya,Kashiwa Reysol,2020-2025
Matheus Savio,Kashiwa Reysol,"2019-2019, 2020-2025"
Hidekazu Otani,Kashiwa Reysol,2003-2023
Harutaka Ono,Kashiwa Reysol,"1997-2003, 2003-2004, 2004-2006"
Takeshi Watanabe,Kashiwa Reysol,1995-2005
Mitsuteru Watanabe,Kashiwa Reysol,1997-2004
Tomonori Hirayama,Kashiwa Reysol,1996-2008
Tomokazu Myojin,Kashiwa Reysol,1996-2006
Naoya Kondo,Kashiwa Reysol,2002-2016
Akimi Barada,Kashiwa Reysol,2010-2017
Tatsuya Masushima,Kashiwa Reysol,"2011-2017, 2018-2018, 2020-2020"
Wataru Hashimoto,Kashiwa Reysol,2009-2015
Shigenori Hagimura,Kashiwa Reysol,1997-2004
Taiyo Koga,Kashiwa Reysol,"2017-2018, 2019-2025"
Takahiro Shimotaira,Kashiwa Reysol,"1994-2001, 2003-2005"
Ryoichi Kurisawa,Kashiwa Reysol,"2008-2009, 2009-2019"
Yuzo Kobayashi,Kashiwa Reysol,2004-2011
Norihiro Satsukawa,Kashiwa Reysol,1999-2006
Takanori Sugeno,Kashiwa Reysol,2008-2016
Yuta Minami,Kashiwa Reysol,1998-2010
