name,club,periods
Paulinho,Kyoto Sanga,2005-2009
Teruaki Kurobe,Kyoto Sanga,"2000-2005, 2005-2006, 2006-2007"
Takumi Miyayoshi,Kyoto Sanga,"2009-2014, 2015-2016, 2019-2025"
Peter Utaka,Kyoto Sanga,2020-2023
Masashi Oguro,Kyoto Sanga,"2014-2014, 2015-2016, 2017-2018, 2019-2019"
Yutaka Tahara,Kyoto Sanga,"2002-2003, 2003-2009"
Atsushi Yanagisawa,Kyoto Sanga,2008-2011
Hiroki Nakayama,Kyoto Sanga,2004-2015
Kazuyoshi Miura,Kyoto Sanga,1999-2001
Tomoya Koyamatsu,Kyoto Sanga,2017-2020
Keiya Sento,Kyoto Sanga,"2017-2020, 2020-2021"
Daisuke Nakaharai,Kyoto Sanga,"2002-2002, 2003-2008"
Yuya Kubo,Kyoto Sanga,2012-2013
Koji Yamase,Kyoto Sanga,2013-2017
Diego Souza,Kyoto Sanga,"2009-2011, 2011-2012"
Atsutaka Nakamura,Kyoto Sanga,2009-2013
Yuta Toyokawa,Kyoto Sanga,2022-2025
Yong-soo Choi,Kyoto Sanga,2004-2004
Tulio,Kyoto Sanga,2017-2020
Hisashi Kurosaki,Kyoto Sanga,1998-2000
Kazuki Hara,Kyoto Sanga,"2012-2013, 2013-2014"
André Pinto,Kyoto Sanga,2006-2008
Kazunari Ichimi,Kyoto Sanga,"2019-2020, 2023-2024"
Yoshiaki Komai,Kyoto Sanga,2011-2016
Daisuke Matsui,Kyoto Sanga,2000-2004
Kazushi Mitsuhira,Kyoto Sanga,2013-2015
Edmílson,Kyoto Sanga,"1995-1997, 1998-1999"
Taichi Hara,Kyoto Sanga,2023-2025
Makoto Atsuta,Kyoto Sanga,"1999-2003, 2004-2005"
Silas,Kyoto Sanga,1998-2001
Koki Arita,Kyoto Sanga,"2014-2015, 2015-2017"
Rafael Elias,Kyoto Sanga,"2024-2024, 2025-2025"
Hiroshi Noguchi,Kyoto Sanga,1994-2003
Jun Ando,Kyoto Sanga,"2006-2007, 2007-2014, 2019-2021"
Júnior Dutra,Kyoto Sanga,2010-2012
Kohei Kudo,Kyoto Sanga,2011-2015
Ji-sung Park,Kyoto Sanga,2000-2003
Shingo Suzuki,Kyoto Sanga,"2002-2003, 2010-2012"
Renzo López,Kyoto Sanga,2018-2018
Shigeru Yokotani,Kyoto Sanga,"2013-2014, 2014-2015"
Daigo Watanabe,Kyoto Sanga,2003-2011
Shinji Fujiyoshi,Kyoto Sanga,1996-2000
Yong-jae Lee,Kyoto Sanga,2016-2018
Masatoshi Matsuda,Kyoto Sanga,2005-2007
Patric,Kyoto Sanga,2023-2024
Yusaku Ueno,Kyoto Sanga,2001-2003
Atsushi Mio,Kyoto Sanga,"2002-2003, 2003-2008"
Yasuhito Endo,Kyoto Sanga,1999-2001
Sota Kawasaki,Kyoto Sanga,2020-2025
Yosuke Ishibitsu,Kyoto Sanga,2014-2021
Takaaki Tokushige,Kyoto Sanga,2007-2009
Hyo-yeon An,Kyoto Sanga,2001-2003
Yuta Ito,Kyoto Sanga,"2011-2013, 2014-2016"
Teruo Iwamoto,Kyoto Sanga,1998-1999
Ryogo Yamasaki,Kyoto Sanga,2022-2024
Nobuhiro Takeda,Kyoto Sanga,1997-1998
Shimpei Fukuoka,Kyoto Sanga,2019-2025
Takenori Hayashi,Kyoto Sanga,"2006-2007, 2007-2010"
Makoto Kakuda,Kyoto Sanga,"2002-2004, 2006-2007, 2007-2011"
Shinya Tomita,Kyoto Sanga,1999-2006
Temma Matsuda,Kyoto Sanga,2021-2025
Daisuke Saito,Kyoto Sanga,"1999-2008, 2008-2009"
Yuki Horigome,Kyoto Sanga,2016-2017
Jordy Buijs,Kyoto Sanga,2020-2022
Daniel,Kyoto Sanga,1997-1998
Régis Pitbull,Kyoto Sanga,2000-2001
Ricardo,Kyoto Sanga,2005-2007
Daniel Lovinho,Kyoto Sanga,2015-2017
Daisuke Hoshi,Kyoto Sanga,2005-2008
Marco Túlio,Kyoto Sanga,2024-2025
Kevin Oris,Kyoto Sanga,2017-2018
Michitaka Akimoto,Kyoto Sanga,2010-2014
Sergio Ariel Escudero,Kyoto Sanga,"2016-2018, 2018-2020"
Daishi Kato,Kyoto Sanga,2004-2009
Shinnosuke Fukuda,Kyoto Sanga,2023-2025
Hiroki Mizumoto,Kyoto Sanga,2008-2011
Fuki Yamada,Kyoto Sanga,"2020-2024, 2024-2025, 2025-2025"
Takuya Shigehiro,Kyoto Sanga,2018-2020
Kazuki Kuranuki,Kyoto Sanga,"2007-2008, 2012-2014"
Raudnei,Kyoto Sanga,1996-1997
Sidiclei,Kyoto Sanga,"1998-2000, 2008-2010"
Yohei Ono,Kyoto Sanga,"2017-2020, 2021-2021"
Ismaila Origbaajo,Kyoto Sanga,"2021-2023, 2023-2023, 2023-2024"
Kiyotaka Ishimaru,Kyoto Sanga,2001-2005
Genki Omae,Kyoto Sanga,2022-2023
Jeong-soo Lee,Kyoto Sanga,2009-2010
Kazuki Teshima,Kyoto Sanga,"1999-2006, 2006-2010"
Juninho,Kyoto Sanga,"2018-2018, 2019-2021"
Douglas,Kyoto Sanga,2014-2014
Yuto Sato,Kyoto Sanga,2008-2010
Andrei Girotto,Kyoto Sanga,2016-2016
Yasumasa Nishino,Kyoto Sanga,2007-2011
Yuki Honda,Kyoto Sanga,2016-2023
Takashi Nagata,Kyoto Sanga,1995-1998
Kaio,Kyoto Sanga,2018-2019
Ryunosuke Noda,Kyoto Sanga,2020-2022
