name,club,periods
Yuya Osako,Vissel Kobe,2021-2025
Kazuma Watanabe,Vissel Kobe,2015-2018
Yoshito Okubo,Vissel Kobe,"2007-2009, 2009-2013"
Leandro,Vissel Kobe,"2007-2009, 2015-2018"
Kyogo Furuhashi,Vissel Kobe,2018-2021
Keijiro Ogawa,Vissel Kobe,"2011-2018, 2019-2021"
Akihiro Nagashima,Vissel Kobe,1995-2000
Yoshinori Muto,Vissel Kobe,2021-2025
Popó,Vissel Kobe,"2010-2012, 2013-2014"
Kang-jo Park,Vissel Kobe,2003-2013
Pedro Júnior,Vissel Kobe,2014-2017
Takayuki Yoshida,Vissel Kobe,2008-2014
Ryuji Bando,Vissel Kobe,"2002-2002, 2003-2006"
Kazuyoshi Miura,Vissel Kobe,2001-2005
Hotaru Yamaguchi,Vissel Kobe,2019-2025
Keisuke Kurihara,Vissel Kobe,2005-2009
Daiju Sasaki,Vissel Kobe,"2018-2018, 2019-2025"
Ryota Morioka,Vissel Kobe,"2010-2016, 2024-2025"
Do-hoon Kim,Vissel Kobe,1998-1999
Mitsutoshi Watada,Vissel Kobe,"1998-2002, 2003-2006"
Andrés Iniesta,Vissel Kobe,2018-2023
Junya Tanaka,Vissel Kobe,2017-2022
Oséas,Vissel Kobe,2002-2004
Wellington,Vissel Kobe,2018-2020
Atsuhiro Miura,Vissel Kobe,2005-2007
Hiroyuki Komoto,Vissel Kobe,"2004-2012, 2013-2015"
Hideo Tanaka,Vissel Kobe,"2005-2014, 2014-2018"
Marquinhos,Vissel Kobe,2014-2016
Hiroto Mogi,Vissel Kobe,2006-2015
Taisei Miyashiro,Vissel Kobe,2024-2025
Douglas,Vissel Kobe,2020-2022
Yusuke Kondo,Vissel Kobe,2006-2007
Sidiclei,Vissel Kobe,2001-2004
Lukas Podolski,Vissel Kobe,2017-2020
Kunie Kitamoto,Vissel Kobe,2000-2019
Takanori Nunobe,Vissel Kobe,1998-2001
Ken Tokura,Vissel Kobe,2010-2014
Koya Yuruki,Vissel Kobe,2022-2025
Yuzo Tashiro,Vissel Kobe,2012-2015
David Villa,Vissel Kobe,2019-2020
Yuya Nakasaka,Vissel Kobe,"2016-2018, 2018-2019, 2020-2025"
Yuta Goke,Vissel Kobe,2018-2023
Koji Yoshimura,Vissel Kobe,1997-2004
Pavel Horvath,Vissel Kobe,2004-2006
Ryuho Kikuchi,Vissel Kobe,2020-2025
Mitsunori Yabuta,Vissel Kobe,2000-2006
Yukio Tsuchiya,Vissel Kobe,1999-2005
Botti,Vissel Kobe,"2007-2008, 2009-2012"
Seok-ju Ha,Vissel Kobe,1999-2001
Mazinho,Vissel Kobe,2013-2013
Hirotaka Mita,Vissel Kobe,2018-2019
Daisuke Ishizu,Vissel Kobe,2014-2017
Daniel,Vissel Kobe,2000-2003
Jean Patric,Vissel Kobe,2023-2025
Yosuke Ishibitsu,Vissel Kobe,2006-2012
Noriaki Fujimoto,Vissel Kobe,"2019-2021, 2022-2023"
Tomoyuki Hirase,Vissel Kobe,2004-2008
Michiyasu Osada,Vissel Kobe,1999-2001
Takuya Iwanami,Vissel Kobe,"2012-2018, 2024-2025"
Lincoln,Vissel Kobe,"2021-2022, 2022-2024"
Gotoku Sakai,Vissel Kobe,2019-2025
Masatoshi Mihara,Vissel Kobe,"2007-2009, 2010-2014, 2015-2019, 2020-2020"
Asahi Masuyama,Vissel Kobe,"2015-2017, 2018-2020, 2021-2021"
Takahito Soma,Vissel Kobe,2011-2017
Woo-young Jung,Vissel Kobe,"2014-2016, 2018-2018"
Shunki Takahashi,Vissel Kobe,2014-2019
Keiji Kaimoto,Vissel Kobe,1995-2001
Shuhei Otsuki,Vissel Kobe,2017-2019
Haruya Ide,Vissel Kobe,2023-2025
Naoyuki Fujita,Vissel Kobe,2016-2019
Harison,Vissel Kobe,2003-2004
Takuya Nozawa,Vissel Kobe,2012-2013
Kotaro Omori,Vissel Kobe,2017-2018
Masayuki Okano,Vissel Kobe,2001-2004
Ziad Tlemcani,Vissel Kobe,1995-1997
Seigo Kobayashi,Vissel Kobe,"2016-2018, 2019-2019"
Hisashi Kurosaki,Vissel Kobe,2000-2001
Mike Havenaar,Vissel Kobe,"2017-2018, 2019-2019, 2020-2020"
Roger Machado,Vissel Kobe,2004-2006
Kyohei Sugiura,Vissel Kobe,"2013-2014, 2014-2015"
Nílton,Vissel Kobe,2016-2018
Ryosuke Matsuoka,Vissel Kobe,2007-2012
Tetsushi Yamakawa,Vissel Kobe,2020-2025
Naoto Matsuo,Vissel Kobe,"1998-1998, 1999-2002, 2004-2006"
Marcel,Vissel Kobe,2009-2009
Takuya Yasui,Vissel Kobe,2017-2021
Ryo Hatsuse,Vissel Kobe,"2019-2019, 2020-2025"
Ryo Matsumura,Vissel Kobe,"2013-2015, 2016-2017, 2018-2018"
Ryo Okui,Vissel Kobe,2012-2016
Thuler,Vissel Kobe,"2022-2022, 2023-2025"
Kwang-seon Lee,Vissel Kobe,2012-2013
Tomoji Eguchi,Vissel Kobe,1996-2000
Hideo Hashimoto,Vissel Kobe,2012-2015
Hiromi Kojima,Vissel Kobe,2003-2006
Hirofumi Watanabe,Vissel Kobe,2017-2021
Seiji Koga,Vissel Kobe,"2007-2007, 2008-2010"
Yuta Abe,Vissel Kobe,1998-2001
Shoji Jo,Vissel Kobe,2002-2003
Leo Osaki,Vissel Kobe,2018-2024
Fábio Simplício,Vissel Kobe,2014-2015
