rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Koji Noguchi,野口 幸司,153,62,0,13.036,1989-1997,Noguchi,-,8,0,Shonan Bellmare,Attack,"1,77 m",Japan,jp,https://www.transfermarkt.us/koji-noguchi/profil/spieler/303499,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,05.06.1970,"---, Chiba",Retired
2,Betinho,Unknown,137,61,0,12.141,1993-1997,Betinho,-,9,0,Shonan Bellmare,Midfield - Right Midfield,"1,73 m",Brazil,br,https://www.transfermarkt.us/betinho/profil/spieler/412393,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,14.06.1966,Ipiranga,Retired
3,Koji Sakamoto,坂本 紘司,471,60,5,36.926,2000-2013,Sakamoto,Unknown,73,0,Shonan Bellmare,Midfield - Attacking Midfield,"1,75 m",Japan,jp,https://www.transfermarkt.us/koji-sakamoto/profil/spieler/135577,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,03.12.1978,"Yasu, Shiga",Retired
4,Adiel,Unknown,192,51,9,15.949,2006-2012,Adiel,-,29,1,Shonan Bellmare,Midfield - Attacking Midfield,"1,66 m",Brazil,br,https://www.transfermarkt.us/adiel/profil/spieler/114217,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,13.08.1980,Cubatão,Retired
5,Naoki Ishihara,石原 直樹,205,50,2,14.156,"2003-2009, 2020-2022",Ishihara,Unknown,17,0,Shonan Bellmare,Attack - Centre-Forward,"1,73 m",Japan,jp,https://www.transfermarkt.us/naoki-ishihara/profil/spieler/110780,https://img.a.transfermarkt.technology/portrait/small/110780-1615027142.jpg?lm=1,,14.08.1984,"Takasaki, Gunma",Retired
6,Wagner Lopes,呂比須 ワグナー,62,44,0,5.456,1997-1999,Lopes,12,5,1,Shonan Bellmare,Attack - Centre-Forward,"1,82 m",Japan,jp,https://www.transfermarkt.us/wagner-lopes/profil/spieler/164703,https://img.a.transfermarkt.technology/portrait/small/164703-1628120588.jpg?lm=1,,29.01.1969,Franca,Retired
7,Yasunori Takada,高田保則,246,42,0,19.856,1997-2005,Takada,-,28,0,Shonan Bellmare,Attack,"1,76 m",Japan,jp,https://www.transfermarkt.us/yasunori-takada/profil/spieler/143436,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,22.02.1979,"Yokohama, Kanagawa",Retired
8,Kaoru Takayama,髙山 薫,231,38,13,17.041,"2011-2014, 2015-2019",Takayama,Unknown,19,0,Shonan Bellmare,Midfield - Right Midfield,"1,74 m",Japan,jp,https://www.transfermarkt.us/kaoru-takayama/profil/spieler/181574,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,08.07.1988,"Kawasaki, Kanagawa",Taichung Futuro
9,Wellington,Unknown,125,32,8,8.18,"2013-2015, 2020-2023",Wellington,Unknown,18,0,Shonan Bellmare,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/wellington/profil/spieler/67207,https://img.a.transfermarkt.technology/portrait/small/67207-1611565971.jpg?lm=1,,11.02.1988,Ourinhos (SP),Avispa Fukuoka
10,Nozomu Kato,加藤 望,175,30,1,12.416,2005-2009,Kato,-,14,1,Shonan Bellmare,Midfield,"1,70 m",Japan,jp,https://www.transfermarkt.us/nozomu-kato/profil/spieler/158789,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,07.10.1969,"---, Miyagi",Retired
