rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Kazuyoshi Miura,三浦 知良,187,110,2,16.666,1995-1999,Miura,-,12,0,Tokyo Verdy,Attack - Centre-Forward,"1,77 m",Japan,jp,https://www.transfermarkt.us/kazuyoshi-miura/profil/spieler/112589,https://img.a.transfermarkt.technology/portrait/small/112589-1484147101.jpg?lm=1,,26.02.1967,"Shizuoka, Shizuoka",Atletico Suzuka Club
2,Nobuhiro Takeda,武田修宏,179,71,2,13.33,"1997-1997, 2000-2000, 2001-2001",Takeda,-,8,0,Tokyo Verdy,Attack - Centre-Forward,"1,77 m",Japan,jp,https://www.transfermarkt.us/nobuhiro-takeda/profil/spieler/232452,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,10.05.1967,"Hamamatsu, Shizuoka",Retired
3,Kazuki Hiramoto,平本 一樹,383,70,13,25.062,"2000-2007, 2008-2012, 2013-2013, 2014-2018",Hiramoto,-,59,6,Tokyo Verdy,Attack - Centre-Forward,"1,80 m",Japan,jp,https://www.transfermarkt.us/kazuki-hiramoto/profil/spieler/83919,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,18.08.1981,"Hachioji, Tokyo",Retired
4,Bismarck,Unknown,171,54,1,15.686,1993-1997,Bismarck,-,23,0,Tokyo Verdy,Midfield - Attacking Midfield,"1,77 m",Brazil,br,https://www.transfermarkt.us/bismarck/profil/spieler/258050,https://img.a.transfermarkt.technology/portrait/small/s_258050_123_2013_03_22_1.jpg?lm=1,,17.09.1969,São Gonçalo (RJ),Retired
5,Tsuyoshi Kitazawa,北澤豪,321,52,4,27.222,,Kitazawa,-,40,0,Tokyo Verdy,Midfield - Right Midfield,"1,70 m",Japan,jp,https://www.transfermarkt.us/tsuyoshi-kitazawa/profil/spieler/157153,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,10.08.1968,"Machida, Tokyo",Retired
6,Junki Koike,小池 純輝,218,51,26,14.363,"2012-2014, 2019-2024",Koike,Unknown,8,0,Tokyo Verdy,Attack - Right Winger,"1,80 m",Japan,jp,https://www.transfermarkt.us/junki-koike/profil/spieler/79359,https://img.a.transfermarkt.technology/portrait/small/79359-1656155870.jpg?lm=1,,11.05.1987,"Ranzan, Saitama",Criacao Shinjuku
7,Kazunori Iio,飯尾 一慶,306,33,14,17.455,"2000-2002, 2003-2005, 2006-2006, 2007-2014",Iio,-,43,2,Tokyo Verdy,Attack - Left Winger,"1,68 m",Japan,jp,https://www.transfermarkt.us/kazunori-iio/profil/spieler/83922,https://img.a.transfermarkt.technology/portrait/small/83922-1631476167.jpg?lm=1,,23.02.1982,"Ninohe, Iwate",Retired
8,Alan Pinheiro,Alan Lopes Pinheiro,130,30,9,7.339,"2015-2015, 2016-2019",Pinheiro,Unknown,21,0,Tokyo Verdy,Attack - Right Winger,"1,80 m",Brazil,br,https://www.transfermarkt.us/alan-pinheiro/profil/spieler/223556,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,13.05.1992,Brumado,Without Club
9,Takuya Yamada,山田 卓也,287,28,1,25.266,1997-2006,Yamada,-,31,0,Tokyo Verdy,Midfield - Right Midfield,"1,78 m",Japan,jp,https://www.transfermarkt.us/takuya-yamada/profil/spieler/131906,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,24.08.1974,"Machida, Tokyo",Retired
10,Naoto Sakurai,Unknown,137,27,0,8.067,1999-2005,Sakurai,Unknown,33,1,Tokyo Verdy,Attack - Centre-Forward,"1,70 m",Japan,jp,https://www.transfermarkt.us/naoto-sakurai/profil/spieler/155850,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,02.09.1975,"Saitama, Saitama",Retired
11,Yoshiaki Takagi,高木 善朗,141,24,14,8.401,"2011-2011, 2015-2017, 2017-2018",Takagi,-,21,0,Tokyo Verdy,Midfield - Attacking Midfield,"1,68 m",Japan,jp,https://www.transfermarkt.us/yoshiaki-takagi/profil/spieler/129696,https://img.a.transfermarkt.technology/portrait/small/129696-1620308630.jpg?lm=1,,09.12.1992,"Yokohama, Kanagawa",Albirex Niigata
12,Hiroki Kawano,河野 広貴,141,21,15,8.671,,Kawano,-,20,1,Tokyo Verdy,Midfield - Right Midfield,"1,68 m",Japan,jp,https://www.transfermarkt.us/hiroki-kawano/profil/spieler/83925,https://img.a.transfermarkt.technology/portrait/small/83925-1616077730.JPG?lm=1,,30.03.1990,"Sagamihara, Kanagawa",Without Club
13,Hideki Nagai,永井 秀樹,192,21,2,8.546,"1992-1995, 1997-1998, 2001-2003, 2006-2008, 2014-2016",Nagai,Unknown,16,0,Tokyo Verdy,Midfield - Attacking Midfield,"1,74 m",Japan,jp,https://www.transfermarkt.us/hideki-nagai/profil/spieler/149105,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,26.01.1971,"---, Oita",Retired
14,Kentaro Hayashi,林 健太郎,302,21,0,26.164,"1995-1998, 1998-2006",Hayashi,-,35,0,Tokyo Verdy,Midfield - Defensive Midfield,"1,82 m",Japan,jp,https://www.transfermarkt.us/kentaro-hayashi/profil/spieler/116234,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,29.08.1972,"Machida, Tokyo",Retired
15,Keiji Ishizuka,石塚 啓次,123,17,0,7.542,"1993-1997, 1998-2003",Ishizuka,Unknown,11,0,Tokyo Verdy,Midfield,"1,84 m",Japan,jp,https://www.transfermarkt.us/keiji-ishizuka/profil/spieler/380964,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,26.08.1974,"---, Kyoto",Retired
16,Yuhei Sato,佐藤 優平,135,16,23,9.703,2018-2022,Sato,Unknown,9,1,Tokyo Verdy,Midfield - Attacking Midfield,"1,72 m",Japan,jp,https://www.transfermarkt.us/yuhei-sato/profil/spieler/248850,https://img.a.transfermarkt.technology/portrait/small/248850-1619365926.jpg?lm=1,,29.10.1990,"Yokohama, Kanagawa",Lambton Jaffas FC
17,Tomohiro Taira,平 智広,225,16,7,18.25,2016-2024,Taira,Unknown,9,0,Tokyo Verdy,Defender - Centre-Back,"1,82 m",Japan,jp,https://www.transfermarkt.us/tomohiro-taira/profil/spieler/260922,https://img.a.transfermarkt.technology/portrait/small/260922-1656155431.jpg?lm=1,,10.05.1990,"Gotemba, Shizuoka",Zweigen Kanazawa
18,Yoshiyuki Kobayashi,小林 慶行,185,15,0,14.28,1999-2006,Kobayashi,Unknown,19,0,Tokyo Verdy,Midfield - Defensive Midfield,"1,78 m",Japan,jp,https://www.transfermarkt.us/yoshiyuki-kobayashi/profil/spieler/79701,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,27.01.1978,"Yono, Saitama",Retired
19,Yukio Tsuchiya,土屋 征夫,235,15,1,20.479,"1997-1999, 2007-2013",Tsuchiya,Unknown,38,1,Tokyo Verdy,Defender - Centre-Back,"1,77 m",Japan,jp,https://www.transfermarkt.us/yukio-tsuchiya/profil/spieler/83938,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,31.07.1974,"Tokyo, Tokyo",Retired
20,Ryuji Sugimoto,杉本 竜士,149,15,7,7.671,"2012-2013, 2014-2017, 2021-2023, 2024-2024",Sugimoto,Unknown,10,0,Tokyo Verdy,Midfield - Left Midfield,"1,64 m",Japan,jp,https://www.transfermarkt.us/ryuji-sugimoto/profil/spieler/186518,https://img.a.transfermarkt.technology/portrait/small/186518-1656155528.jpg?lm=1,,01.06.1993,"Fuchu, Tokyo",Retired
21,Tetsuji Hashiratani,柱谷 哲二,223,14,0,20.238,1992-1999,Hashiratani,-,35,0,Tokyo Verdy,Midfield - Defensive Midfield,,Japan,jp,https://www.transfermarkt.us/tetsuji-hashiratani/profil/spieler/169615,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,15.07.1964,"Kyoto, Kyoto",Retired
22,Ruy Ramos,ラモス 瑠偉,155,13,3,13.262,1997-1997,Ramos,-,23,2,Tokyo Verdy,Midfield - Attacking Midfield,"1,81 m",Japan,jp,https://www.transfermarkt.us/ruy-ramos/profil/spieler/132086,https://img.a.transfermarkt.technology/portrait/small/132086-1589457721.jpg?lm=1,,09.02.1957,Rio de Janeiro,Retired
23,Ryota Kajikawa,梶川 諒太,241,13,33,15.403,"2011-2012, 2012-2013, 2017-2020, 2021-2022, 2022-2024",Kajikawa,Unknown,21,0,Tokyo Verdy,Midfield - Central Midfield,"1,64 m",Japan,jp,https://www.transfermarkt.us/ryota-kajikawa/profil/spieler/194788,https://img.a.transfermarkt.technology/portrait/small/194788-1656155825.jpg?lm=1,,17.04.1989,"Takasago, Hyogo",Fujieda MYFC
24,Daigo Kobayashi,小林 大悟,136,12,1,9.689,2001-2006,Kobayashi,-,20,0,Tokyo Verdy,Midfield - Attacking Midfield,"1,78 m",Japan,jp,https://www.transfermarkt.us/daigo-kobayashi/profil/spieler/63754,https://img.a.transfermarkt.technology/portrait/small/63754-1582357570.jpg?lm=1,,19.02.1983,"Fuji, Shizuoka",Retired
25,Atsushi Yoneyama,米山 篤志,238,12,0,21.235,1998-2006,Yoneyama,-,23,1,Tokyo Verdy,Defender - Centre-Back,"1,80 m",Japan,jp,https://www.transfermarkt.us/atsushi-yoneyama/profil/spieler/83222,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,20.11.1976,"Utsunomiya, Tochigi",Retired
26,Akira Ibayashi,井林 章,239,12,9,21.137,2013-2019,Ibayashi,Unknown,16,0,Tokyo Verdy,Defender - Centre-Back,"1,79 m",Japan,jp,https://www.transfermarkt.us/akira-ibayashi/profil/spieler/235053,https://img.a.transfermarkt.technology/portrait/small/235053-1605265319.jpg?lm=1,,05.09.1990,"Hiroshima, Hiroshima",Kamatamare Sanuki
27,Kosei Shibasaki,柴崎 晃誠,129,11,6,9.776,"2007-2011, 2012-2013",Shibasaki,-,24,0,Tokyo Verdy,Midfield - Attacking Midfield,"1,77 m",Japan,jp,https://www.transfermarkt.us/kosei-shibasaki/profil/spieler/83930,https://img.a.transfermarkt.technology/portrait/small/83930-1629577713.jpg?lm=1,,28.08.1984,"Kunimi, Nagasaki",Retired
28,Masaki Chugo,中後 雅喜,148,11,13,11.054,2012-2018,Chugo,Unknown,18,1,Tokyo Verdy,Midfield - Defensive Midfield,"1,78 m",Japan,jp,https://www.transfermarkt.us/masaki-chugo/profil/spieler/82966,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,16.05.1982,"Chiba, Chiba",Retired
29,Koki Morita,森田 晃樹,202,11,12,13.679,2019-2025,Morita,Unknown,10,0,Tokyo Verdy,Midfield - Defensive Midfield,"1,67 m",Japan,jp,https://www.transfermarkt.us/koki-morita/profil/spieler/501275,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,08.08.2000,"---, Tokyo",Tokyo Verdy
30,Shohei Takahashi,高橋 祥平,145,11,1,11.99,"2010-2013, 2020-2021",Takahashi,-,19,1,Tokyo Verdy,Defender - Centre-Back,"1,80 m",Japan,jp,https://www.transfermarkt.us/shohei-takahashi/profil/spieler/114279,https://img.a.transfermarkt.technology/portrait/small/114279-1625088037.jpg?lm=1,,27.10.1991,"Higashiyamato, Tokyo",Matsumoto Yamaga
31,Pereira,Luiz Carlos Pereira,154,10,0,14.206,,Pereira,Unknown,23,0,Tokyo Verdy,Defender - Centre-Back,"1,85 m",Brazil,br,https://www.transfermarkt.us/pereira/profil/spieler/112590,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,06.03.1960,"Timburi, São Paulo",Retired
32,Naoto Sawai,澤井 直人,118,9,8,7.603,"2014-2018, 2019-2021",Sawai,Unknown,16,0,Tokyo Verdy,Attack - Right Winger,"1,76 m",Japan,jp,https://www.transfermarkt.us/naoto-sawai/profil/spieler/311010,https://img.a.transfermarkt.technology/portrait/small/311010-1628110843.jpg?lm=1,,03.04.1995,"---, Chiba",Criacao Shinjuku
33,Seitaro Tomisawa,富澤 清太郎,210,7,1,16.067,"2001-2005, 2006-2012, 2021-2022",Tomisawa,-,39,0,Tokyo Verdy,Defender - Centre-Back,"1,81 m",Japan,jp,https://www.transfermarkt.us/seitaro-tomisawa/profil/spieler/83937,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,08.07.1982,"Yokohama, Kanagawa",Retired
34,Kazuki Anzai,安在 和樹,161,7,13,13.168,"2013-2018, 2021-2022",Anzai,50,21,0,Tokyo Verdy,Defender - Left-Back,"1,72 m",Japan,jp,https://www.transfermarkt.us/kazuki-anzai/profil/spieler/246193,https://img.a.transfermarkt.technology/portrait/small/246193-1628110407.jpg?lm=1,,07.08.1994,"Kunitachi, Tokyo",Without Club
35,Shion Inoue,井上 潮音,126,7,11,8.65,2016-2021,Inoue,-,3,0,Tokyo Verdy,Midfield - Central Midfield,"1,69 m",Japan,jp,https://www.transfermarkt.us/shion-inoue/profil/spieler/422338,https://img.a.transfermarkt.technology/portrait/small/422338-1619883784.jpg?lm=1,,03.08.1997,"---, Kanagawa",Sanfrecce Hiroshima
36,Koki Anzai,安西 幸輝,153,6,15,12.119,2014-2018,Anzai,20,14,0,Tokyo Verdy,Defender - Left-Back,"1,72 m",Japan,jp,https://www.transfermarkt.us/koki-anzai/profil/spieler/310822,https://img.a.transfermarkt.technology/portrait/small/310822-1563455333.jpg?lm=1,,31.05.1995,"Kawaguchi, Saitama",Kashima Antlers
37,Yusuke Mori,森 勇介,122,5,10,9.931,"1999-2001, 2011-2014, 2015-2015",Mori,Unknown,14,0,Tokyo Verdy,Defender - Right-Back,"1,75 m",Japan,jp,https://www.transfermarkt.us/yusuke-mori/profil/spieler/79478,https://img.a.transfermarkt.technology/portrait/small/79478-1631476079.jpg?lm=1,,24.07.1980,"Shimizu, Shizuoka",Retired
38,Yuta Narawa,奈良輪 雄太,149,4,9,10.776,"2018-2019, 2019-2024",Narawa,Unknown,6,0,Tokyo Verdy,Defender - Left-Back,"1,72 m",Japan,jp,https://www.transfermarkt.us/yuta-narawa/profil/spieler/161683,https://img.a.transfermarkt.technology/portrait/small/161683-1619366003.jpg?lm=1,,29.08.1987,"Yokohama, Kanagawa",Retired
39,Tadashi Nakamura,中村 忠,209,4,0,18.169,,Nakamura,-,29,0,Tokyo Verdy,Defender - Right-Back,"1,75 m",Japan,jp,https://www.transfermarkt.us/tadashi-nakamura/profil/spieler/269523,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,10.06.1971,"Mizuho, Tokyo",Retired
40,Naoya Tamura,田村 直也,165,3,6,12.761,2014-2020,Tamura,Unknown,18,0,Tokyo Verdy,Defender - Right-Back,"1,75 m",Japan,jp,https://www.transfermarkt.us/naoya-tamura/profil/spieler/126405,https://img.a.transfermarkt.technology/portrait/small/126405-1619365838.jpg?lm=1,,20.11.1984,"---, Tokyo",Retired
41,Tomo Sugawara,菅原 智,193,3,0,13.714,"1995-1999, 2006-2012",Sugawara,Unknown,32,2,Tokyo Verdy,Midfield - Defensive Midfield,"1,74 m",Japan,jp,https://www.transfermarkt.us/tomo-sugawara/profil/spieler/83934,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,03.06.1976,"Muroran, Hokkaido",Retired
42,Ko Ishikawa,石川 巧,182,2,0,15.518,1992-1998,Ishikawa,-,35,0,Tokyo Verdy,Defender - Right-Back,"1,70 m",Japan,jp,https://www.transfermarkt.us/ko-ishikawa/profil/spieler/556348,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,10.03.1970,Santa Cruz de la Sierre,Retired
43,Kenta Togawa,戸川 健太,117,2,0,9.598,"2004-2008, 2009-2009",Togawa,Unknown,9,0,Tokyo Verdy,Defender - Centre-Back,"1,80 m",Japan,jp,https://www.transfermarkt.us/kenta-togawa/profil/spieler/116926,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,23.06.1981,"Itabashi, Tokyo",Retired
44,Kensuke Fukuda,福田 健介,117,2,4,8.855,2007-2012,Fukuda,Unknown,6,0,Tokyo Verdy,Midfield - Right Midfield,"1,74 m",Japan,jp,https://www.transfermarkt.us/kensuke-fukuda/profil/spieler/83915,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,24.07.1984,"---, Kanagawa",Retired
45,Yoshinari Takagi,高木 義成,228,1,0,20.566,2000-2010,Takagi,Unknown,6,1,Tokyo Verdy,Goalkeeper,"1,87 m",Japan,jp,https://www.transfermarkt.us/yoshinari-takagi/profil/spieler/83936,https://img.a.transfermarkt.technology/portrait/small/s_83936_1066_2012_1.jpg?lm=1,,20.05.1979,"Tokyo, Tokyo",Retired
46,Yoichi Doi,土肥 洋一,137,0,0,12.33,2008-2013,Doi,-,4,0,Tokyo Verdy,Goalkeeper,"1,84 m",Japan,jp,https://www.transfermarkt.us/yoichi-doi/profil/spieler/27574,https://img.a.transfermarkt.technology/portrait/small/s_27574_123_2013_12_11_1.jpg?lm=1,,25.07.1973,"Kumamoto, Kumamoto",Retired
47,Takahiro Shibasaki,柴崎 貴広,152,0,1,13.588,"2001-2004, 2005-2005, 2007-2013, 2014-2022",Shibasaki,Unknown,6,0,Tokyo Verdy,Goalkeeper,"1,89 m",Japan,jp,https://www.transfermarkt.us/takahiro-shibasaki/profil/spieler/83931,https://img.a.transfermarkt.technology/portrait/small/83931-1628110357.jpg?lm=1,,23.05.1982,"Yokosuka, Kanagawa",Retired
48,Matheus Vidotto,Matheus Caldeira Vidotto de Oliveria,184,0,1,16.53,2020-2025,Vidotto,-,1,0,Tokyo Verdy,Goalkeeper,"1,90 m",Brazil,br,https://www.transfermarkt.us/matheus-vidotto/profil/spieler/218119,https://img.a.transfermarkt.technology/portrait/small/218119-1708112737.jpg?lm=1,,10.04.1993,São Paulo,Tokyo Verdy
49,Yuya Sato,佐藤 優也,120,0,0,10.8,2013-2016,Sato,Unknown,4,0,Tokyo Verdy,Goalkeeper,"1,86 m",Japan,jp,https://www.transfermarkt.us/yuya-sato/profil/spieler/79895,https://img.a.transfermarkt.technology/portrait/small/79895-1631475887.jpg?lm=1,,10.02.1986,"Ichikawa, Chiba",Roasso Kumamoto
