rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Shinzo Koroki,興梠 慎三,420,156,32,28.953,"2013-2022, 2023-2025",Koroki,-,16,1,Urawa Red Diamonds,Attack - Centre-Forward,"1,75 m",Japan,jp,https://www.transfermarkt.us/shinzo-koroki/profil/spieler/82988,https://img.a.transfermarkt.technology/portrait/small/82988-1615026073.jpg?lm=1,,31.07.1986,"Miyazaki, Miyazaki",Retired
2,Masahiro Fukuda,福田正博,281,110,2,22.215,,Fukuda,-,22,0,Urawa Red Diamonds,Attack - Centre-Forward,"1,76 m",Japan,jp,https://www.transfermarkt.us/masahiro-fukuda/profil/spieler/112592,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,27.12.1966,"Yokohama, Kanagawa",Retired
3,Emerson,Unknown,129,94,5,11.295,2001-2005,Emerson,-,29,3,Urawa Red Diamonds,Attack - Left Winger,"1,71 m",Qatar,qa,https://www.transfermarkt.us/emerson/profil/spieler/57159,https://img.a.transfermarkt.technology/portrait/small/57159-1543928565.jpg?lm=1,,06.12.1978,Nova Iguaçu,Retired
4,Yuichiro Nagai,永井 雄一郎,366,80,22,23.695,"1997-1998, 1999-2009",Nagai,-,41,1,Urawa Red Diamonds,Attack - Centre-Forward,"1,84 m",Japan,jp,https://www.transfermarkt.us/yuichiro-nagai/profil/spieler/77386,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,14.02.1979,"Tokyo, Tokyo",Retired
5,Tatsuya Tanaka,田中 達也,295,78,16,17.785,2001-2013,Tanaka,-,23,0,Urawa Red Diamonds,Attack - Second Striker,"1,67 m",Japan,jp,https://www.transfermarkt.us/tatsuya-tanaka/profil/spieler/61897,https://img.a.transfermarkt.technology/portrait/small/61897-1620308887.jpg?lm=1,,27.11.1982,"Shunan, Yamaguchi",Retired
6,Edmílson,Unknown,141,61,20,11.913,,Edmílson,Unknown,13,1,Urawa Red Diamonds,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/edmilson/profil/spieler/79376,https://img.a.transfermarkt.technology/portrait/small/s_79376_978_2012_2.jpg?lm=1,,15.09.1982,Salvador,Retired
7,Washington,Unknown,75,59,8,6.521,2006-2008,Washington,21,20,0,Urawa Red Diamonds,Attack - Centre-Forward,"1,89 m",Brazil,br,https://www.transfermarkt.us/washington/profil/spieler/7080,https://img.a.transfermarkt.technology/portrait/small/s_7080_123_2012_1.jpg?lm=1,,01.04.1975,Brasília,Retired
8,Yuki Muto,武藤 雄樹,269,53,35,19.007,2015-2021,Muto,18,15,0,Urawa Red Diamonds,Attack - Second Striker,"1,70 m",Japan,jp,https://www.transfermarkt.us/yuki-muto/profil/spieler/164165,https://img.a.transfermarkt.technology/portrait/small/164165-1624983465.jpg?lm=1,,07.11.1988,"Zama, Kanagawa",SC Sagamihara
9,Yuki Abe,阿部 勇樹,502,52,21,41.614,"2007-2010, 2012-2022",Abe,-,34,1,Urawa Red Diamonds,Midfield - Defensive Midfield,"1,78 m",Japan,jp,https://www.transfermarkt.us/yuki-abe/profil/spieler/27765,https://img.a.transfermarkt.technology/portrait/small/27765-1636889352.jpg?lm=1,,06.09.1981,"Ichikawa, Chiba",Retired
10,Yosuke Kashiwagi,柏木 陽介,409,49,110,33.736,2010-2021,Kashiwagi,-,36,0,Urawa Red Diamonds,Midfield - Central Midfield,"1,76 m",Japan,jp,https://www.transfermarkt.us/yosuke-kashiwagi/profil/spieler/106056,https://img.a.transfermarkt.technology/portrait/small/106056-1613224878.jpg?lm=1,,15.12.1987,"Kobe, Hyogo",Retired
11,Robson Ponté,Unknown,197,47,48,16.019,2005-2011,Ponté,Unknown,40,0,Urawa Red Diamonds,Midfield - Attacking Midfield,"1,73 m",Brazil,br,https://www.transfermarkt.us/robson-ponte/profil/spieler/85,https://img.a.transfermarkt.technology/portrait/small/85-1619170713.jpg?lm=1,,06.11.1976,São Paulo,Retired
12,Tadanari Lee,李 忠成,188,42,25,9.445,2014-2019,Lee,19,15,0,Urawa Red Diamonds,Attack - Centre-Forward,"1,82 m",Japan,jp,https://www.transfermarkt.us/tadanari-lee/profil/spieler/81793,https://img.a.transfermarkt.technology/portrait/small/81793-1683619910.jpg?lm=1,,19.12.1985,"Tanashi, Tokyo",Retired
13,Tulio,田中 マルクス 闘莉王,213,42,21,18.489,2004-2010,Tulio,4,36,0,Urawa Red Diamonds,Defender - Centre-Back,"1,85 m",Japan,jp,https://www.transfermarkt.us/tulio/profil/spieler/59324,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,24.04.1981,"Palmeira d'Oeste, Sao Paulo",Retired
14,Masayuki Okano,岡野雅行,335,42,8,17.716,"1994-2001, 2004-2009",Okano,14,17,0,Urawa Red Diamonds,Attack - Right Winger,"1,75 m",Japan,jp,https://www.transfermarkt.us/masayuki-okano/profil/spieler/79382,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,25.07.1972,"Yokohama, Kanagawa",Retired
15,Tomoaki Makino,槙野 智章,418,42,11,35.78,"2012-2012, 2013-2022",Makino,20,37,2,Urawa Red Diamonds,Defender - Centre-Back,"1,82 m",Japan,jp,https://www.transfermarkt.us/tomoaki-makino/profil/spieler/106064,https://img.a.transfermarkt.technology/portrait/small/106064-1523615620.jpg?lm=1,,11.05.1987,"Hiroshima, Hiroshima",Retired
16,Genki Haraguchi,原口 元気,220,41,32,15.073,"2009-2014, 2024-2025",Haraguchi,8,12,0,Urawa Red Diamonds,Midfield - Attacking Midfield,"1,78 m",Japan,jp,https://www.transfermarkt.us/genki-haraguchi/profil/spieler/79377,https://img.a.transfermarkt.technology/portrait/small/79377-1691999344.jpg?lm=1,,09.05.1991,"Kumagaya, Saitama",Urawa Red Diamonds
17,Takahiro Sekine,関根 貴大,371,38,50,23.954,"2014-2017, 2019-2025",Sekine,17,38,0,Urawa Red Diamonds,Midfield - Left Midfield,"1,67 m",Japan,jp,https://www.transfermarkt.us/takahiro-sekine/profil/spieler/296787,https://img.a.transfermarkt.technology/portrait/small/296787-1624983567.jpg?lm=1,,19.04.1995,"Tsurugashima, Saitama",Urawa Red Diamonds
18,Shinji Ono,小野 伸二,155,38,5,11.701,"1998-2001, 2006-2008",Ono,21,13,0,Urawa Red Diamonds,Midfield - Attacking Midfield,"1,75 m",Japan,jp,https://www.transfermarkt.us/shinji-ono/profil/spieler/4379,https://img.a.transfermarkt.technology/portrait/small/4379-1620634811.jpg?lm=1,,27.09.1979,"Numazu, Shizuoka",Retired
19,Nobuhisa Yamada,山田 暢久,699,36,22,57.653,1994-2014,Yamada,-,111,1,Urawa Red Diamonds,Midfield - Right Midfield,"1,75 m",Japan,jp,https://www.transfermarkt.us/nobuhisa-yamada/profil/spieler/79373,https://img.a.transfermarkt.technology/portrait/small/79373-1619170952.jpg?lm=1,,10.09.1975,"Fujieda, Shizuoka",Retired
20,Kenji Oshiba,大柴 健二,144,34,0,8.503,1996-2001,Oshiba,Unknown,9,1,Urawa Red Diamonds,Attack,"1,76 m",Japan,jp,https://www.transfermarkt.us/kenji-oshiba/profil/spieler/569852,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,19.11.1973,"---, Yamanashi",Retired
