name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Terens Puhiri,Borneo FC Samarinda,https://www.transfermarkt.us/terens-puhiri/profil/spieler/506154,https://img.a.transfermarkt.technology/portrait/small/506154-1737545775.png?lm=1,Puhiri,6,Indonesia,id,Borneo FC Samarinda,Jayapura,Terens Owang Friska Puhiri,Attack - Right Winger,"1,57 m",13.10.1996,207,29,37,0,13,0,0,30,84,14.871
Diego Michiels,Borneo FC Samarinda,https://www.transfermarkt.us/diego-michiels/profil/spieler/112583,https://img.a.transfermarkt.technology/portrait/small/112583-1737545345.png?lm=1,Michiels,15,Indonesia,id,Borneo FC Samarinda,Deventer,Diego Robbie Michiels,Defender - Right-Back,"1,80 m",08.08.1990,146,4,4,0,28,2,3,23,36,10.692
Muhammad Sihran,Borneo FC Samarinda,https://www.transfermarkt.us/muhammad-sihran/profil/spieler/517090,https://img.a.transfermarkt.technology/portrait/small/517090-1737546334.png?lm=1,Sihran,Unknown,Indonesia,id,Borneo FC Samarinda,Ternate,Muhammad Sihran Amarullah,Attack - Left Winger,"1,58 m",08.03.1999,144,11,12,0,10,2,0,83,40,6.468
Leo Guntara,Borneo FC Samarinda,https://www.transfermarkt.us/leo-guntara/profil/spieler/662817,https://img.a.transfermarkt.technology/portrait/small/662817-1737545094.png?lm=1,Guntara,Unknown,Indonesia,id,Borneo FC Samarinda,Padang,Unknown,Defender - Left-Back,"1,71 m",17.08.1994,132,2,7,0,25,0,1,21,49,9.531
Hendro Siswanto,Without Club,https://www.transfermarkt.us/hendro-siswanto/profil/spieler/505888,https://img.a.transfermarkt.technology/portrait/small/505888-1737545020.png?lm=1,Siswanto,6,Indonesia,id,Borneo FC Samarinda,Tuban,Unknown,Midfield - Defensive Midfield,"1,72 m",12.03.1990,117,1,2,0,11,1,0,32,33,7.820
Nadeo Argawinata,Borneo FC Samarinda,https://www.transfermarkt.us/nadeo-argawinata/profil/spieler/506141,https://img.a.transfermarkt.technology/portrait/small/506141-1737545403.png?lm=1,Argawinata,1,Indonesia,id,Borneo FC Samarinda,Kediri,Unknown,Goalkeeper,"1,88 m",09.03.1997,115,0,0,0,9,0,3,1,3,10.053
Fajar Fathurrahman,Borneo FC Samarinda,https://www.transfermarkt.us/fajar-fathurrahman/profil/spieler/817895,https://img.a.transfermarkt.technology/portrait/small/817895-1737546059.png?lm=1,Fajar Fathurrahman,-,Indonesia,id,Borneo FC Samarinda,Manokwari,Muhammad Fajar Fathur Rahman,Defender - Right-Back,"1,70 m",29.05.2002,115,2,11,0,7,0,0,14,34,8.881
Kei Hirose,Borneo FC Samarinda,https://www.transfermarkt.us/kei-hirose/profil/spieler/417972,https://img.a.transfermarkt.technology/portrait/small/417972-1737544880.png?lm=1,Hirose,Unknown,Japan,jp,Borneo FC Samarinda,Unknown,廣瀬 慧,Midfield - Central Midfield,"1,72 m",20.11.1995,114,2,13,0,11,1,2,8,22,9.276
Sultan Samma,Retired,https://www.transfermarkt.us/sultan-samma/profil/spieler/506149,https://img.a.transfermarkt.technology/portrait/small/506149-1630515825.jpg?lm=1,Samma,Unknown,Indonesia,id,Borneo FC Samarinda,Samarinda,Unknown,Midfield - Central Midfield,"1,75 m",13.04.1986,109,9,8,0,14,1,0,59,36,5.301
Stefano Lilipaly,Borneo FC Samarinda,https://www.transfermarkt.us/stefano-lilipaly/profil/spieler/195271,https://img.a.transfermarkt.technology/portrait/small/195271-1737545052.png?lm=1,Lilipaly,7,Indonesia,id,Borneo FC Samarinda,Arnhem,Stefano Jantje Lilipaly,Attack - Left Winger,"1,75 m",10.01.1990,105,27,36,0,7,0,1,5,47,8.413
Lerby,PSPS Pekanbaru,https://www.transfermarkt.us/lerby/profil/spieler/473380,https://img.a.transfermarkt.technology/portrait/small/473380-1627639121.png?lm=1,Lerby,12,Indonesia,id,Borneo FC Samarinda,Samarinda,Lerby Eliandry Pong Babu,Attack - Centre-Forward,"1,80 m",21.11.1991,101,38,9,0,4,0,0,34,22,6.467
Wahyudi Hamisi,PSS Sleman,https://www.transfermarkt.us/wahyudi-hamisi/profil/spieler/506148,https://img.a.transfermarkt.technology/portrait/small/506148-1737699364.png?lm=1,Hamisi,Unknown,Indonesia,id,Borneo FC Samarinda,Kotamobagu,Wahyudi Setiawan Hamisi,Midfield - Defensive Midfield,"1,66 m",28.07.1997,100,2,3,0,29,1,2,32,46,5.324
Javlon Guseynov,Persita Tangerang,https://www.transfermarkt.us/javlon-guseynov/profil/spieler/522870,https://img.a.transfermarkt.technology/portrait/small/522870-1737701577.png?lm=1,Guseynov,Unknown,Uzbekistan,uz,Borneo FC Samarinda,Akkurgan,Гусейнов Джавлан,Defender - Centre-Back,"1,85 m",24.06.1991,93,4,1,0,16,1,1,0,1,8.344
Wildansyah,Persikota Tangerang,https://www.transfermarkt.us/wildansyah/profil/spieler/506016,https://img.a.transfermarkt.technology/portrait/small/506016-1630515281.jpg?lm=1,Wildansyah,Unknown,Indonesia,id,Borneo FC Samarinda,Bandung,Unknown,Defender - Centre-Back,"1,73 m",03.01.1987,92,5,1,0,11,0,0,11,25,6.881
Abdul Rachman,Persiba Balikpapan,https://www.transfermarkt.us/abdul-rachman/profil/spieler/473374,https://img.a.transfermarkt.technology/portrait/small/473374-1688187961.jpg?lm=1,Rachman,4,Indonesia,id,Borneo FC Samarinda,Penajam Paser Utara,Unknown,Defender - Left-Back,"1,69 m",30.01.1988,91,1,3,0,21,1,0,7,12,7.484
Ambrizal Umanailo,Persita Tangerang,https://www.transfermarkt.us/ambrizal-umanailo/profil/spieler/506166,https://img.a.transfermarkt.technology/portrait/small/506166-1737701236.png?lm=1,Umanailo,Unknown,Indonesia,id,Borneo FC Samarinda,Ternate,Unknown,Attack - Right Winger,"1,66 m",12.06.1996,76,3,7,0,13,0,0,10,43,5.178
