rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Marko Simic,Marko Šimić,162,89,9,12.281,N/A,Simic,9,13,0,Persija Jakarta,Attack - Centre-Forward,"1,87 m",Croatia,hr,https://www.transfermarkt.us/marko-simic/profil/spieler/46650,https://img.a.transfermarkt.technology/portrait/small/46650-1677230554.jpg?lm=1,N/A,23.01.1988,Pakrac,Persija Jakarta
2,Ramdani Lestaluhu,Rizki Ramdani Lestaluhu,161,29,6,11.250,N/A,Lestaluhu,16,22,0,Persija Jakarta,Midfield - Attacking Midfield,"1,67 m",Indonesia,id,https://www.transfermarkt.us/ramdani-lestaluhu/profil/spieler/506164,https://img.a.transfermarkt.technology/portrait/small/506164-1738384512.JPG?lm=1,N/A,05.11.1991,Tulehu,Without Club
3,Bambang Pamungkas,Unknown,107,24,5,5.848,N/A,Pamungkas,-,1,0,Persija Jakarta,Attack - Centre-Forward,"1,70 m",Indonesia,id,https://www.transfermarkt.us/bambang-pamungkas/profil/spieler/192480,https://img.a.transfermarkt.technology/portrait/small/192480-1721145553.jpeg?lm=1,N/A,10.06.1980,Semarang,Retired
4,Pedro Velázquez,Pedro Javier Velázquez Insfrán,44,22,0,3.662,N/A,Velázquez,Unknown,5,0,Persija Jakarta,Attack - Centre-Forward,"1,81 m",Paraguay,py,https://www.transfermarkt.us/pedro-velazquez/profil/spieler/202224,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.05.1983,Paraguari,Retired
5,Gustavo,Unknown,36,20,1,2.722,N/A,Gustavo,Unknown,7,1,Persija Jakarta,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/gustavo/profil/spieler/686044,https://img.a.transfermarkt.technology/portrait/small/686044-1680375322.jpeg?lm=1,N/A,25.07.1996,São Paulo,Persija Jakarta
6,Ryo Matsumura,松村 亮,63,17,17,4.864,N/A,Matsumura,Unknown,6,0,Persija Jakarta,Midfield - Attacking Midfield,"1,66 m",Japan,jp,https://www.transfermarkt.us/ryo-matsumura/profil/spieler/226697,https://img.a.transfermarkt.technology/portrait/small/226697-1646503562.JPG?lm=1,N/A,15.06.1994,"Uji, Kyoto",Persija Jakarta
7,Emmanuel Kenmogne,Unknown,17,14,0,1.318,N/A,Kenmogne,Unknown,0,0,Persija Jakarta,Attack - Centre-Forward,"1,74 m",Cameroon,cm,https://www.transfermarkt.us/emmanuel-kenmogne/profil/spieler/12948,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.09.1980,Bafoussam,Retired
8,Bruno Matos,Unknown,23,14,6,1.844,N/A,Bruno Matos,Unknown,2,0,Persija Jakarta,Midfield - Attacking Midfield,"1,82 m",Brazil,br,https://www.transfermarkt.us/bruno-matos/profil/spieler/163555,https://img.a.transfermarkt.technology/portrait/small/163555-1638173590.jpg?lm=1,N/A,05.06.1990,Barra do Rio Grande,Sousa EC
9,Rohit Chand,रोहित चन्द,173,13,11,14.834,N/A,Chand,32,16,0,Persija Jakarta,Midfield - Defensive Midfield,"1,78 m",Nepal,np,https://www.transfermarkt.us/rohit-chand/profil/spieler/191021,https://img.a.transfermarkt.technology/portrait/small/191021-1702284770.jpeg?lm=1,N/A,01.03.1992,Dailekh,Persik Kediri
10,Riko Simanjuntak,Unknown,207,12,67,15.719,N/A,Simanjuntak,22,19,0,Persija Jakarta,Attack - Right Winger,"1,58 m",Indonesia,id,https://www.transfermarkt.us/riko-simanjuntak/profil/spieler/505793,https://img.a.transfermarkt.technology/portrait/small/505793-1737697958.png?lm=1,N/A,26.01.1992,Pematangsiantar,PSS Sleman
11,Rachmat Afandi,Unknown,72,12,0,4.076,N/A,Afandi,Unknown,5,0,Persija Jakarta,Attack - Centre-Forward,"1,72 m",Indonesia,id,https://www.transfermarkt.us/rachmat-afandi/profil/spieler/321279,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.04.1984,Jakarta,Retired
12,Novri Setiawan,Unknown,136,11,10,10.095,N/A,Setiawan,2,21,1,Persija Jakarta,Defender - Right-Back,"1,73 m",Indonesia,id,https://www.transfermarkt.us/novri-setiawan/profil/spieler/506161,https://img.a.transfermarkt.technology/portrait/small/506161-1737535230.png?lm=1,N/A,11.11.1993,Padang,Bali United FC
13,Bruno Lopes,Bruno da Silva Lopes,29,10,4,2.463,N/A,Lopes,Unknown,5,0,Persija Jakarta,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/bruno-lopes/profil/spieler/155469,https://img.a.transfermarkt.technology/portrait/small/155469-1411640158.jpg?lm=1,N/A,19.08.1986,Curitiba,Unknown
14,Michael Krmencik,Michael Krmenčík,23,10,1,1.585,N/A,Krmencik,11,4,0,Persija Jakarta,Attack - Centre-Forward,"1,91 m",Czech Republic,cz,https://www.transfermarkt.us/michael-krmencik/profil/spieler/178469,https://img.a.transfermarkt.technology/portrait/small/178469-1601031072.jpg?lm=1,N/A,15.03.1993,Kraslice,1.FC Slovacko
15,Fabiano Beltrame,Unknown,78,10,0,6.944,N/A,Fabiano Beltrame,Unknown,18,1,Persija Jakarta,Defender - Centre-Back,"1,84 m",Indonesia,id,https://www.transfermarkt.us/fabiano-beltrame/profil/spieler/505647,https://img.a.transfermarkt.technology/portrait/small/505647-1663741395.png?lm=1,N/A,29.08.1982,Foz do Iguaçu,PSBS Biak
16,Robertino Pugliara,Robertino Gabriel Pugliara,58,9,0,4.778,N/A,Pugliara,Unknown,5,0,Persija Jakarta,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/robertino-pugliara/profil/spieler/537530,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.02.1984,Buenos Aires,Retired
17,Yusuf,Unknown,17,9,1,1.247,N/A,Unknown,Unknown,4,0,Persija Jakarta,Unknown,Unknown,Bahrain,bh,https://www.transfermarkt.us/yusuf/profil/spieler/351181,https://img.a.transfermarkt.technology/portrait/small/351181-1702842333.png?lm=1,N/A,12.06.1993,Unknown,Bohemians Prague 1905
18,Maciej Gajos,Unknown,57,8,11,4.484,N/A,Gajos,-,10,1,Persija Jakarta,Midfield - Attacking Midfield,"1,74 m",Poland,pl,https://www.transfermarkt.us/maciej-gajos/profil/spieler/236891,https://img.a.transfermarkt.technology/portrait/small/236891-1669218242.png?lm=1,N/A,19.03.1991,Blachownia,Persija Jakarta
19,Jaime,Unknown,36,7,0,3.008,N/A,Jaime,Unknown,6,0,Persija Jakarta,Defender - Centre-Back,"1,87 m",Brazil,br,https://www.transfermarkt.us/jaime/profil/spieler/124784,https://img.a.transfermarkt.technology/portrait/small/124784-1689561687.jpg?lm=1,N/A,26.02.1990,Guarulhos,Bali United FC
20,Hanif Sjahbandi,Hanif Abdurrauf Sjahbandi,86,7,4,5.653,N/A,Sjahbandi,16,22,1,Persija Jakarta,Midfield - Defensive Midfield,"1,81 m",Indonesia,id,https://www.transfermarkt.us/hanif-sjahbandi/profil/spieler/505892,https://img.a.transfermarkt.technology/portrait/small/505892-1615477575.jpg?lm=1,N/A,07.04.1997,Bandung,Persija Jakarta
21,Makan Konate,Makan Konaté,14,7,2,1.254,N/A,Konate,-,3,0,Persija Jakarta,Midfield - Attacking Midfield,"1,78 m",Mali,ml,https://www.transfermarkt.us/makan-konate/profil/spieler/354938,https://img.a.transfermarkt.technology/portrait/small/354938-1629104641.jpg?lm=1,N/A,10.11.1991,Bamako,Adhyaksa FC
22,Rezaldi Hehanussa,Muhammad Rezaldi Hehanussa,94,6,9,6.973,N/A,Hehanussa,24,17,0,Persija Jakarta,Defender - Left-Back,"1,78 m",Indonesia,id,https://www.transfermarkt.us/rezaldi-hehanussa/profil/spieler/506162,https://img.a.transfermarkt.technology/portrait/small/506162-1737431083.png?lm=1,N/A,07.11.1995,Jakarta,PERSIB Bandung
