rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Wiljan Pluim,Willem Jan Pluim,178,47,51,15.236,N/A,Pluim,Unknown,31,1,PSM Makassar,Midfield - Attacking Midfield,"1,94 m",Netherlands,nl,https://www.transfermarkt.us/wiljan-pluim/profil/spieler/81497,https://img.a.transfermarkt.technology/portrait/small/81497-1662955754.jpg?lm=1,N/A,04.01.1989,Zwolle,SV Epe
2,Yakob Sayuri,Unknown,105,25,16,8.061,N/A,Sayuri,24,16,0,PSM Makassar,Attack - Right Winger,"1,71 m",Indonesia,id,https://www.transfermarkt.us/yakob-sayuri/profil/spieler/663274,https://img.a.transfermarkt.technology/portrait/small/663274-1672621754.jpg?lm=1,N/A,22.09.1997,Kepulauan Yapen,Malut United FC
3,Rizky Eka Pratama,Unknown,165,5,15,8.126,N/A,Eka Pratama,Unknown,5,0,PSM Makassar,Attack - Right Winger,"1,71 m",Indonesia,id,https://www.transfermarkt.us/rizky-eka-pratama/profil/spieler/697701,https://img.a.transfermarkt.technology/portrait/small/697701-1645078508.jpg?lm=1,N/A,24.12.1999,Bone,PSM Makassar
4,Rahmat,Muhammad Rahmat Syamsuddin Leo,124,22,15,8.201,N/A,Rahmat,28,6,0,PSM Makassar,Attack - Left Winger,"1,73 m",Indonesia,id,https://www.transfermarkt.us/rahmat/profil/spieler/252685,https://img.a.transfermarkt.technology/portrait/small/252685-1737536599.png?lm=1,N/A,28.05.1988,Takalar,Bali United FC
5,Marc Klok,Marc Anthony Klok,102,17,12,8.888,N/A,Klok,23,28,0,PSM Makassar,Midfield - Central Midfield,"1,77 m",Indonesia,id,https://www.transfermarkt.us/marc-klok/profil/spieler/272708,https://img.a.transfermarkt.technology/portrait/small/272708-1737431380.png?lm=1,N/A,20.04.1993,Amsterdam,PERSIB Bandung
6,Muhammad Arfan,Muhammad Arfan,196,2,11,13.496,N/A,Arfan,-,36,1,PSM Makassar,Midfield - Defensive Midfield,"1,70 m",Indonesia,id,https://www.transfermarkt.us/muhammad-arfan/profil/spieler/505765,https://img.a.transfermarkt.technology/portrait/small/505765-1640664629.jpg?lm=1,N/A,22.01.1998,Makassar,PSM Makassar
7,Rasyid Bakri,Rasyid Assyahid Bakri,169,8,11,8.503,N/A,Bakri,-,16,0,PSM Makassar,Midfield - Central Midfield,"1,64 m",Indonesia,id,https://www.transfermarkt.us/rasyid-bakri/profil/spieler/252711,https://img.a.transfermarkt.technology/portrait/small/252711-1643695791.jpg?lm=1,N/A,17.01.1991,Makassar,PSM Makassar
8,Zulham Zamrun,Zulham Malik Zamrun,75,25,10,4.601,N/A,Zamrun,10,14,0,PSM Makassar,Attack - Right Winger,"1,72 m",Indonesia,id,https://www.transfermarkt.us/zulham-zamrun/profil/spieler/207107,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.02.1988,Ternate,Persijap Jepara
9,Ferdinan Sinaga,Ferdinan Alfred Sinaga,126,47,9,7.069,N/A,Sinaga,6,7,1,PSM Makassar,Attack - Centre-Forward,"1,69 m",Indonesia,id,https://www.transfermarkt.us/ferdinan-sinaga/profil/spieler/206997,https://img.a.transfermarkt.technology/portrait/small/206997-1617769072.jpg?lm=1,N/A,18.09.1988,Kota Bengkulu,Without Club
10,Everton,Unknown,61,14,8,4.593,N/A,Everton,Unknown,8,0,PSM Makassar,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/everton/profil/spieler/430121,https://img.a.transfermarkt.technology/portrait/small/430121-1737536780.png?lm=1,N/A,03.07.1993,Maceió (AL),Bali United FC
11,Yuran Fernandes,Unknown,101,14,8,8.955,N/A,Unknown,Unknown,20,1,PSM Makassar,Unknown,Unknown,Cape Verde,unknown,https://www.transfermarkt.us/yuran-fernandes/profil/spieler/655080,https://img.a.transfermarkt.technology/portrait/small/655080-1742304582.jpeg?lm=1,N/A,19.10.1994,Unknown,PSM Makassar
12,Yance Sayuri,Unknown,94,7,8,6.532,N/A,Sayuri,22,4,1,PSM Makassar,Defender - Left-Back,"1,65 m",Indonesia,id,https://www.transfermarkt.us/yance-sayuri/profil/spieler/875177,https://img.a.transfermarkt.technology/portrait/small/875177-1648268787.jpg?lm=1,N/A,22.09.1997,Kepulauan Yapen,Malut United FC
13,Taufik Hidayat,Muhammad Taufik Hidayat,33,0,7,2.599,N/A,Hidayat,Unknown,4,0,PSM Makassar,Defender - Left-Back,"1,67 m",Indonesia,id,https://www.transfermarkt.us/taufik-hidayat/profil/spieler/558959,https://img.a.transfermarkt.technology/portrait/small/558959-1639196295.jpeg?lm=1,N/A,20.03.1993,Demak,Madura United FC
14,Ricky Pratama,Unknown,75,1,7,2.412,N/A,Pratama,27,10,0,PSM Makassar,Attack - Centre-Forward,"1,78 m",Indonesia,id,https://www.transfermarkt.us/ricky-pratama/profil/spieler/989222,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.05.2003,Sidoarjo,PSM Makassar
15,Victor Luiz,Unknown,32,0,7,2.638,N/A,Victor Luiz,-,5,0,PSM Makassar,Defender - Left-Back,"1,77 m",Brazil,br,https://www.transfermarkt.us/victor-luiz/profil/spieler/445102,https://img.a.transfermarkt.technology/portrait/small/445102-1713627323.jpg?lm=1,N/A,05.12.1997,Belo Horizonte,PSM Makassar
16,Rizky Pellu,Rizky Ahmad Sanjaya Pellu,121,16,7,9.136,N/A,Pellu,19,16,0,PSM Makassar,Midfield - Central Midfield,"1,77 m",Indonesia,id,https://www.transfermarkt.us/rizky-pellu/profil/spieler/323534,https://img.a.transfermarkt.technology/portrait/small/323534-1737702272.png?lm=1,N/A,26.06.1992,Tulehu,Persita Tangerang
17,Bayu Gatra,Bayu Gatra Sanggiawan,19,2,6,752.000,N/A,Gatra,18,1,0,PSM Makassar,Attack - Right Winger,"1,67 m",Indonesia,id,https://www.transfermarkt.us/bayu-gatra/profil/spieler/323546,https://img.a.transfermarkt.technology/portrait/small/323546-1702464872.png?lm=1,N/A,12.11.1991,Jember,Persela Lamongan
18,Zulkifli Syukur,Zulkifli,86,1,5,7.152,N/A,Syukur,-,17,0,PSM Makassar,Defender - Right-Back,"1,75 m",Indonesia,id,https://www.transfermarkt.us/zulkifli-syukur/profil/spieler/185408,https://img.a.transfermarkt.technology/portrait/small/185408-1646635436.jpg?lm=1,N/A,03.05.1984,Makassar,Retired
19,Saldi,Unknown,44,4,5,1.803,N/A,Saldi,Unknown,1,0,PSM Makassar,Attack - Left Winger,"1,70 m",Indonesia,id,https://www.transfermarkt.us/saldi/profil/spieler/506282,https://img.a.transfermarkt.technology/portrait/small/506282-1737729666.png?lm=1,N/A,09.03.1995,Bantaeng,PSIM Yogyakarta
20,Kenzo Nambu,南部 健造,74,23,5,4.819,N/A,Nambu,Unknown,6,0,PSM Makassar,Midfield - Attacking Midfield,"1,73 m",Japan,jp,https://www.transfermarkt.us/kenzo-nambu/profil/spieler/380177,https://img.a.transfermarkt.technology/portrait/small/380177-1737533676.png?lm=1,N/A,22.08.1992,"Hachioji, Tokyo",Borneo FC Samarinda
21,Akbar Tanjung,Akbar Tanjung,110,1,5,9.022,N/A,Tanjung,Unknown,15,0,PSM Makassar,Midfield - Defensive Midfield,"1,86 m",Indonesia,id,https://www.transfermarkt.us/akbar-tanjung/profil/spieler/674025,https://img.a.transfermarkt.technology/portrait/small/674025-1639196492.jpeg?lm=1,N/A,16.05.1993,Jakarta,PSM Makassar
22,Asnawi Mangkualam,Asnawi Mangkualam Bahar,60,2,5,4.059,N/A,Mangkualam,14,19,0,PSM Makassar,Defender - Right-Back,"1,74 m",Indonesia,id,https://www.transfermarkt.us/asnawi-mangkualam/profil/spieler/505764,https://img.a.transfermarkt.technology/portrait/small/505764-1730333722.png?lm=1,N/A,04.10.1999,Makassar,Port FC
23,Guy Junior,Unknown,54,13,4,3.345,N/A,Guy Junior,Unknown,3,0,PSM Makassar,Attack - Centre-Forward,"1,80 m",Indonesia,id,https://www.transfermarkt.us/guy-junior/profil/spieler/201919,https://img.a.transfermarkt.technology/portrait/small/201919-1630516477.jpg?lm=1,N/A,30.08.1986,Douala,Persikota Tangerang
24,Reva Adi,Reva Adi Utama,50,1,4,4.162,N/A,Adi,Unknown,8,0,PSM Makassar,Defender - Left-Back,"1,72 m",Indonesia,id,https://www.transfermarkt.us/reva-adi/profil/spieler/505763,https://img.a.transfermarkt.technology/portrait/small/505763-1739594734.png?lm=1,N/A,01.09.1996,Makassar,Dewa United FC
25,Victor Dethan,Victor Jonson Benjamin Dethan,62,4,4,2.278,N/A,Dethan,-,-1,0,PSM Makassar,Attack - Right Winger,"1,74 m",Indonesia,id,https://www.transfermarkt.us/victor-dethan/profil/spieler/1010073,https://img.a.transfermarkt.technology/portrait/small/1010073-1733472858.jpeg?lm=1,N/A,11.07.2004,Kupang,PSM Makassar
26,Latyr Fall,Unknown,34,4,3,2.673,N/A,Fall,Unknown,3,0,PSM Makassar,Midfield - Central Midfield,"1,82 m",Senegal,sn,https://www.transfermarkt.us/latyr-fall/profil/spieler/292740,https://img.a.transfermarkt.technology/portrait/small/292740-1668161881.png?lm=1,N/A,19.06.1994,A. Saint Louis,PSM Makassar
27,Daisuke Sakai,坂井 大将,26,4,3,1.984,N/A,Sakai,-,1,0,PSM Makassar,Attack - Right Winger,"1,67 m",Japan,jp,https://www.transfermarkt.us/daisuke-sakai/profil/spieler/275568,https://img.a.transfermarkt.technology/portrait/small/275568-1712159498.png?lm=1,N/A,18.01.1997,"Nagasaki, Nagasaki",PSM Makassar
28,Beny Wahyudi,Unknown,44,0,3,3.548,N/A,Wahyudi,2,6,0,PSM Makassar,Defender - Right-Back,"1,70 m",Indonesia,id,https://www.transfermarkt.us/beny-wahyudi/profil/spieler/185410,https://img.a.transfermarkt.technology/portrait/small/185410-1639196394.jpeg?lm=1,N/A,28.03.1986,Malang,Without Club
29,Adilson Silva,Adilson Gancho Silva,54,11,3,3.214,N/A,Silva,Unknown,5,0,PSM Makassar,Attack - Centre-Forward,"1,91 m",Portugal,pt,https://www.transfermarkt.us/adilson-silva/profil/spieler/614508,https://img.a.transfermarkt.technology/portrait/small/614508-1701283775.jpeg?lm=1,N/A,30.07.1997,Évora,Persekat Tegal
30,Titus Bonai,Titus John Londoouw Bonai,22,4,3,958.000,N/A,Bonai,24,4,0,PSM Makassar,Attack - Centre-Forward,"1,71 m",Indonesia,id,https://www.transfermarkt.us/titus-bonai/profil/spieler/264237,https://img.a.transfermarkt.technology/portrait/small/264237-1613432537.jpg?lm=1,N/A,04.03.1989,Jayapura,Without Club
31,Victor Mansaray,Victor Mansaray Nabay,16,4,3,1.423,N/A,Mansaray,-,4,0,PSM Makassar,Attack - Centre-Forward,"1,85 m",United States,us,https://www.transfermarkt.us/victor-mansaray/profil/spieler/349133,https://img.a.transfermarkt.technology/portrait/small/349133-1524862621.JPG?lm=1,N/A,22.02.1997,Freetown,FC Chitwan
32,Dzaky Asraf,Muhammad Dzaky Asraf Huwaidi Syam,69,0,3,3.550,N/A,Asraf,2,5,0,PSM Makassar,Attack - Right Winger,"1,70 m",Indonesia,id,https://www.transfermarkt.us/dzaky-asraf/profil/spieler/1010072,https://img.a.transfermarkt.technology/portrait/small/1010072-1696505950.jpeg?lm=1,N/A,06.02.2003,Polewali Mamasa,PSM Makassar
