rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Yevgen Bokhashvili,Бохашвілі Євген Олександрович,60,23,7,4.617,N/A,Bokhashvili,-,7,0,PSS Sleman,Attack - Centre-Forward,"1,85 m",Ukraine,ua,https://www.transfermarkt.us/yevgen-bokhashvili/profil/spieler/58933,https://img.a.transfermarkt.technology/portrait/small/58933-1548535805.png?lm=1,N/A,05.01.1993,Dnipropetrovsk,Without Club
2,Irkham Mila,Irkham Zahrul Mila,113,12,10,5.753,N/A,Mila,18,7,0,PSS Sleman,Attack - Right Winger,"1,68 m",Indonesia,id,https://www.transfermarkt.us/irkham-mila/profil/spieler/644074,https://img.a.transfermarkt.technology/portrait/small/644074-1640748641.jpg?lm=1,N/A,02.05.1998,Tegal,Semen Padang FC
3,Gustavo Tocantins,Unknown,27,11,4,2.191,N/A,Gustavo Tocantins,Unknown,1,0,PSS Sleman,Attack - Centre-Forward,"1,79 m",Brazil,br,https://www.transfermarkt.us/gustavo-tocantins/profil/spieler/346767,https://img.a.transfermarkt.technology/portrait/small/346767-1739159080.jpg?lm=1,N/A,11.01.1996,Gurupi,PSS Sleman
4,Kim Kurniawan,Kim Jeffrey Kurniawan,99,10,5,7.979,N/A,Kurniawan,-,5,0,PSS Sleman,Midfield - Central Midfield,"1,68 m",Indonesia,id,https://www.transfermarkt.us/kim-kurniawan/profil/spieler/76548,https://img.a.transfermarkt.technology/portrait/small/76548-1737698008.png?lm=1,N/A,23.03.1990,Mühlacker,PSS Sleman
5,Brian Ferreira,Brian Federico Ferreira,23,10,5,1.919,N/A,Ferreira,10,9,0,PSS Sleman,Midfield - Attacking Midfield,"1,80 m",Argentina,ar,https://www.transfermarkt.us/brian-ferreira/profil/spieler/189426,https://img.a.transfermarkt.technology/portrait/small/189426-1692663105.png?lm=1,N/A,24.05.1994,Buenos Aires,Without Club
6,Ricky Cawor,Ricky Ricardo Cawor,50,10,1,2.256,N/A,Cawor,Unknown,5,1,PSS Sleman,Attack - Left Winger,"1,65 m",Indonesia,id,https://www.transfermarkt.us/ricky-cawor/profil/spieler/952266,https://img.a.transfermarkt.technology/portrait/small/952266-1737545847.png?lm=1,N/A,26.01.1998,Merauke,Borneo FC Samarinda
7,Riki Dwi Saputro,Riki Dwi Saputro,53,9,7,2.932,N/A,Dwi Saputro,Unknown,2,0,PSS Sleman,Attack - Centre-Forward,"1,75 m",Indonesia,id,https://www.transfermarkt.us/riki-dwi-saputro/profil/spieler/724699,https://img.a.transfermarkt.technology/portrait/small/724699-1645079204.jpg?lm=1,N/A,20.02.1995,Siak,Persekat Tegal
8,Irfan Jaya,Unknown,18,8,4,1.579,N/A,Irfan Jaya,21,3,0,PSS Sleman,Attack - Right Winger,"1,62 m",Indonesia,id,https://www.transfermarkt.us/irfan-jaya/profil/spieler/561250,https://img.a.transfermarkt.technology/portrait/small/561250-1737535635.png?lm=1,N/A,01.05.1996,Bantaeng,Bali United FC
9,Esteban Vizcarra,Esteban Gabriel Vizcarra,32,7,0,2.024,N/A,Vizcarra,7,4,0,PSS Sleman,Attack - Left Winger,"1,75 m",Indonesia,id,https://www.transfermarkt.us/esteban-vizcarra/profil/spieler/311681,https://img.a.transfermarkt.technology/portrait/small/311681-1615692141.jpg?lm=1,N/A,11.04.1986,Belén de Escobar,Persela Lamongan
10,Hokky Caraka,Hokky Caraka Bintang Brilliant,62,7,4,3.505,N/A,Caraka,9,15,0,PSS Sleman,Attack - Centre-Forward,"1,80 m",Indonesia,id,https://www.transfermarkt.us/hokky-caraka/profil/spieler/912420,https://img.a.transfermarkt.technology/portrait/small/912420-1737697586.png?lm=1,N/A,21.08.2004,Gunungkidul,PSS Sleman
11,Haris Tuharea,Unknown,42,7,5,2.850,N/A,Tuharea,Unknown,10,0,PSS Sleman,Attack - Left Winger,"1,72 m",Indonesia,id,https://www.transfermarkt.us/haris-tuharea/profil/spieler/648130,https://img.a.transfermarkt.technology/portrait/small/648130-1640748749.jpg?lm=1,N/A,22.11.1994,Maluku Tengah,PSKC Cimahi
12,Nicolao Cardoso,Nicolao Manuel Dumitru Cardoso,23,6,2,1.406,N/A,Cardoso,-,3,1,PSS Sleman,Attack - Left Winger,"1,84 m",Italy,it,https://www.transfermarkt.us/nicolao-cardoso/profil/spieler/87052,https://img.a.transfermarkt.technology/portrait/small/87052-1737699049.png?lm=1,N/A,12.10.1991,Nacka,PSS Sleman
13,Jihad Ayoub,Unknown,46,6,6,3.731,N/A,Unknown,Unknown,22,0,PSS Sleman,Unknown,Unknown,Lebanon,lb,https://www.transfermarkt.us/jihad-ayoub/profil/spieler/718770,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.03.1995,Unknown,Safa Beirut SC
14,Jonathan Bustos,Jonathan Ezequiel Bustos,29,6,7,2.394,N/A,Bustos,Unknown,6,0,PSS Sleman,Midfield - Attacking Midfield,"1,74 m",Argentina,ar,https://www.transfermarkt.us/jonathan-bustos/profil/spieler/587776,https://img.a.transfermarkt.technology/portrait/small/587776-1626586286.jpg?lm=1,N/A,29.06.1994,Buenos Aires,Malut United FC
15,Juninho,Unknown,18,6,2,1.419,N/A,Juninho,Unknown,5,0,PSS Sleman,Midfield - Attacking Midfield,"1,70 m",Brazil,br,https://www.transfermarkt.us/juninho/profil/spieler/333602,https://img.a.transfermarkt.technology/portrait/small/333602-1543845184.jpg?lm=1,N/A,03.09.1995,Rio das Pedras,Ferroviária
16,KH Yudo,Unknown,33,6,4,1.631,N/A,KH Yudo,9,7,0,PSS Sleman,Attack - Left Winger,"1,73 m",Indonesia,id,https://www.transfermarkt.us/kh-yudo/profil/spieler/506527,https://img.a.transfermarkt.technology/portrait/small/506527-1615477809.jpg?lm=1,N/A,16.07.1993,Malang,PSPS Pekanbaru
17,Wander Luiz,Unknown,16,5,0,1.338,N/A,Wander Luiz,Unknown,0,0,PSS Sleman,Attack - Centre-Forward,"1,90 m",Brazil,br,https://www.transfermarkt.us/wander-luiz/profil/spieler/559679,https://img.a.transfermarkt.technology/portrait/small/559679-1615692477.jpg?lm=1,N/A,17.02.1992,Espírito Santo,Gokulam Kerala FC
18,Ajak Riak,Unknown,14,5,0,847.000,N/A,Unknown,Unknown,2,0,PSS Sleman,Unknown,Unknown,Southern Sudan,unknown,https://www.transfermarkt.us/ajak-riak/profil/spieler/983840,https://img.a.transfermarkt.technology/portrait/small/983840-1740127844.png?lm=1,N/A,12.12.2000,Unknown,FC OKMK Olmaliq
19,Mario Maslac,Марио Маслаћ,33,4,0,2.819,N/A,Maslac,-,8,0,PSS Sleman,Defender - Centre-Back,"1,90 m",Serbia,rs,https://www.transfermarkt.us/mario-maslac/profil/spieler/75808,https://img.a.transfermarkt.technology/portrait/small/75808-1601403285.jpg?lm=1,N/A,09.09.1990,Novi Sad,Foshan Nanshi
20,Dave Mustaine,Unknown,56,4,4,3.541,N/A,Mustaine,Unknown,14,0,PSS Sleman,Midfield - Central Midfield,"1,80 m",Indonesia,id,https://www.transfermarkt.us/dave-mustaine/profil/spieler/506526,https://img.a.transfermarkt.technology/portrait/small/506526-1615477686.jpg?lm=1,N/A,16.11.1992,Sidoarjo,FC Bekasi City
21,Cleberson,Unknown,26,3,1,2.284,N/A,Cleberson,Unknown,1,0,PSS Sleman,Defender - Centre-Back,"1,85 m",Brazil,br,https://www.transfermarkt.us/cleberson/profil/spieler/209163,https://img.a.transfermarkt.technology/portrait/small/209163-1737697364.png?lm=1,N/A,17.08.1992,Macatuba,PSS Sleman
22,Thales,Unknown,30,3,0,2.484,N/A,Thales,Unknown,6,0,PSS Sleman,Defender - Centre-Back,"1,88 m",Brazil,br,https://www.transfermarkt.us/thales/profil/spieler/290500,https://img.a.transfermarkt.technology/portrait/small/290500-1737550174.png?lm=1,N/A,06.04.1993,Porto Alegre,Arema FC
23,Nemanja Kojic,Heмaњa Kojић,11,3,3,811.000,N/A,Kojic,17,3,0,PSS Sleman,Attack - Centre-Forward,"1,85 m",Serbia,rs,https://www.transfermarkt.us/nemanja-kojic/profil/spieler/60126,https://img.a.transfermarkt.technology/portrait/small/60126-1679077696.jpg?lm=1,N/A,03.02.1990,Loznica,Retired
24,Saddam Gaffar,Saddam Emiruddin Gaffar,23,3,1,682.000,N/A,Gaffar,21,4,0,PSS Sleman,Attack - Centre-Forward,"1,87 m",Indonesia,id,https://www.transfermarkt.us/saddam-gaffar/profil/spieler/746979,https://img.a.transfermarkt.technology/portrait/small/746979-1636787395.jpg?lm=1,N/A,24.09.2001,Jepara,FC Bekasi City
25,Dominikus Dion,Dominikus Dion Oktawian Wibowo,23,2,1,1.488,N/A,Dion,Unknown,4,0,PSS Sleman,Attack - Left Winger,"1,66 m",Indonesia,id,https://www.transfermarkt.us/dominikus-dion/profil/spieler/1141925,https://img.a.transfermarkt.technology/portrait/small/1141925-1737699817.png?lm=1,N/A,14.10.2004,Sleman,PSS Sleman
26,Tallysson,Unknown,11,2,1,977.000,N/A,Tallysson,Unknown,4,0,PSS Sleman,Defender - Centre-Back,"1,83 m",Brazil,br,https://www.transfermarkt.us/tallysson/profil/spieler/862333,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.07.1995,Nascimento,Without Club
