name,club,periods
Matheus Pato,Borneo FC Samarinda,"2022-2023, 2025-2025"
Terens Puhiri,Borneo FC Samarinda,2018-2025
Stefano Lilipaly,Borneo FC Samarinda,2022-2025
Matías Conti,Borneo FC Samarinda,2018-2020
Francisco Torres,Borneo FC Samarinda,"2020-2020, 2021-2022"
Felipe Cadenazzi,Borneo FC Samarinda,2023-2024
Renan Silva,Borneo FC Samarinda,2019-2020
Léo Gaúcho,Borneo FC Samarinda,2024-2025
Jonathan Bustos,Borneo FC Samarinda,2021-2023
Muhammad Sihran,Borneo FC Samarinda,2017-2025
Adam Alis,Borneo FC Samarinda,"2023-2024, 2024-2025"
Titus Bonai,Borneo FC Samarinda,"2018-2019, 2020-2020, 2020-2021"
Wawan Febrianto,Borneo FC Samarinda,2021-2022
Habibi Jusuf,Borneo FC Samarinda,2023-2025
Marlon Silva,Borneo FC Samarinda,2018-2018
Mariano Peralta,Borneo FC Samarinda,2024-2025
Wildansyah,Borneo FC Samarinda,"2018-2018, 2019-2023"
Ahmad Nur Hardianto,Borneo FC Samarinda,2022-2024
Wiljan Pluim,Borneo FC Samarinda,2023-2024
Berguinho,Borneo FC Samarinda,2024-2025
Diego Michiels,Borneo FC Samarinda,2022-2025
Agung Prasetyo,Borneo FC Samarinda,2022-2024
Javlon Guseynov,Borneo FC Samarinda,2019-2023
Léo Lelis,Borneo FC Samarinda,2023-2024
Boaz Solossa,Borneo FC Samarinda,2021-2022
Christophe Nduwarugira,Borneo FC Samarinda,2024-2025
Julien Faubert,Borneo FC Samarinda,2018-2018
Asri Akbar,Borneo FC Samarinda,2019-2019
Srdjan Lopicic,Borneo FC Samarinda,2017-2018
Jepri Kurniawan,Borneo FC Samarinda,2017-2017
Ambrizal Umanailo,Borneo FC Samarinda,"2017-2020, 2023-2023"
Ikhsanul Zikrak,Borneo FC Samarinda,2023-2025
Gabriel Furtado,Borneo FC Samarinda,2024-2025
Andy Harjito,Borneo FC Samarinda,"2022-2023, 2024-2024, 2025-2025"
Riswan Yusman,Borneo FC Samarinda,2018-2019
Dwiky Hardiansyah,Borneo FC Samarinda,2024-2025
Gavin Kwan,Borneo FC Samarinda,2024-2025
Guy Junior,Borneo FC Samarinda,2020-2021
Febri Hamzah,Borneo FC Samarinda,2017-2019
Renan Alves,Borneo FC Samarinda,2018-2019
Leo Guntara,Borneo FC Samarinda,2021-2025
Kei Hirose,Borneo FC Samarinda,2021-2025
Nurdiansyah,Borneo FC Samarinda,"2018-2020, 2021-2022, 2023-2023"
Rifal Lastori,Borneo FC Samarinda,"2017-2018, 2018-2020, 2020-2021, 2022-2022, 2023-2023"
Silvério,Borneo FC Samarinda,2023-2024
Fajar Fathurrahman,Borneo FC Samarinda,2020-2025
Dika Kuswardani,Borneo FC Samarinda,2024-2025
Juan Alsina,Borneo FC Samarinda,2019-2020
Mohammadou Alhadji,Borneo FC Samarinda,2018-2018
Hendro Siswanto,Borneo FC Samarinda,2021-2025
Tijani Belaid,Borneo FC Samarinda,2018-2018
Abdul Rachman,Borneo FC Samarinda,"2023-2023, 2024-2024"
Billy Keraf,Borneo FC Samarinda,2018-2018
Alfharezzi Buffon,Borneo FC Samarinda,2023-2025
Rizky Dwi,Borneo FC Samarinda,2023-2024
Komang Teguh,Borneo FC Samarinda,2020-2025
Ronaldo Rodrigues,Borneo FC Samarinda,2024-2025
Amer Bekic,Borneo FC Samarinda,2021-2022
Kenzo Nambu,Borneo FC Samarinda,2025-2025
Aulia Hidayat,Borneo FC Samarinda,2018-2019
Rizdjar Nurviat,Borneo FC Samarinda,2023-2025
Fathul Rahman,Borneo FC Samarinda,2019-2019
Zulvin Zamrun,Borneo FC Samarinda,2018-2019
Diogo Campos,Borneo FC Samarinda,2020-2021
Lucas Salinas,Borneo FC Samarinda,2024-2025
Serdhy Ephyfano,Borneo FC Samarinda,"2021-2022, 2022-2022, 2023-2023"
Dwi Kuswanto,Borneo FC Samarinda,2022-2023
Hambali Tholib,Borneo FC Samarinda,2022-2023
Rabbani Tasnim,Borneo FC Samarinda,"2021-2023, 2024-2024"
Michael Orah,Borneo FC Samarinda,2017-2018
Kevin Gomes,Borneo FC Samarinda,2020-2021
Imanuel Wanggai,Borneo FC Samarinda,"2020-2020, 2020-2021"
Ari Maring,Borneo FC Samarinda,"2024-2024, 2025-2025"
Muhammad Ilham,Borneo FC Samarinda,"2021-2021, 2021-2021, 2022-2022"
Arthur Irawan,Borneo FC Samarinda,2017-2017
Ahmad Surahman,Borneo FC Samarinda,"2021-2021, 2022-2022"
Tegar Islami,Borneo FC Samarinda,"2024-2024, 2025-2025"
Shahar Ginanjar,Borneo FC Samarinda,2022-2023
Andika Kurniawan,Borneo FC Samarinda,"2020-2021, 2022-2022"
Daffa Fasya,Borneo FC Samarinda,2023-2025
Ulul Azmi,Borneo FC Samarinda,2019-2021
