name,club,periods
Flávio Silva,Persik Kediri,2023-2024
Youssef Ezzejjari,Persik Kediri,2021-2022
Mohammad Khanafi,Persik Kediri,2023-2025
Renan Silva,Persik Kediri,2022-2024
Faris Aditama,Persik Kediri,"2010-2016, 2019-2025"
Guy Bertrand Ngon Mamoun,Persik Kediri,2014-2015
Riyatno Abiyoso,Persik Kediri,"2022-2023, 2024-2025"
Septian Bagaskara,Persik Kediri,"2017-2018, 2018-2022"
Zé Valente,Persik Kediri,2023-2024
Bayu Otto,Persik Kediri,2017-2025
Ramiro Fergonzi,Persik Kediri,2024-2025
Hamra Hehanussa,Persik Kediri,2023-2025
Jeam Kelly Sroyer,Persik Kediri,2022-2024
Anderson,Persik Kediri,2023-2024
Yohanes Pahabol,Persik Kediri,2022-2024
Udo Fortune,Persik Kediri,2014-2015
Risna Prahalabenta,Persik Kediri,"2017-2018, 2018-2020, 2021-2022"
Majed Osman,Persik Kediri,2024-2025
Andri Ibo,Persik Kediri,2020-2022
Syaiful Indra,Persik Kediri,"2011-2012, 2014-2014"
Antoni Nugroho,Persik Kediri,2020-2022
Yusuf Meilana,Persik Kediri,"2017-2018, 2018-2025"
Rohit Chand,Persik Kediri,2022-2025
Mario Yagalo,Persik Kediri,2020-2025
Fitra Ridwan,Persik Kediri,2022-2024
Jefinho,Persik Kediri,2023-2024
Iqmal Samsu,Persik Kediri,2019-2020
Ezra Walian,Persik Kediri,2024-2025
Adi Eko,Persik Kediri,"2018-2018, 2018-2025"
Qischil Gandrum,Persik Kediri,"2005-2008, 2009-2010, 2014-2015"
Rendi Irwan,Persik Kediri,2014-2015
Rifqi Ray,Persik Kediri,2024-2025
Brendon Lucas,Persik Kediri,2024-2025
Fakhrudin,Persik Kediri,2014-2016
Joanderson,Persik Kediri,2022-2023
Arthur Irawan,Persik Kediri,2021-2024
Rendy Juliansyah,Persik Kediri,"2022-2023, 2024-2024"
Arsyad Yusgiantoro,Persik Kediri,2022-2023
Tamsil Sijaya,Persik Kediri,2014-2015
Michael Onwatuegwu,Persik Kediri,2014-2014
Supriadi,Persik Kediri,2023-2025
Gaspar Vega,Persik Kediri,2020-2020
Dimas Galih,Persik Kediri,2013-2015
Sandrian Tuslin,Persik Kediri,2018-2020
Miftahul Hamdi,Persik Kediri,2023-2024
Arif Yanggi,Persik Kediri,"2017-2018, 2019-2020"
Dionatan Machado,Persik Kediri,2021-2022
Muhammad Ridwan,Persik Kediri,"2021-2023, 2023-2023"
Arthur Félix,Persik Kediri,2021-2023
Simen Lyngbø,Persik Kediri,2023-2024
Jean Paul Boumsong,Persik Kediri,2014-2014
Sofyan Efendi,Persik Kediri,2014-2015
Ibrahim Bahsoun,Persik Kediri,2021-2021
Khokok Roniarto,Persik Kediri,"2008-2010, 2014-2017"
Beni Oktovianto,Persik Kediri,"2017-2018, 2022-2023"
Paulo Sitanggang,Persik Kediri,2020-2020
Juan Revi,Persik Kediri,2019-2020
Dicky Firasat,Persik Kediri,2014-2015
Ante Bakmaz,Persik Kediri,2020-2020
Yudha Febrian,Persik Kediri,2021-2022
Jefferson Formigão,Persik Kediri,2020-2021
Evan Dimas,Persik Kediri,2024-2025
Sutan Zico,Persik Kediri,2022-2023
Raia Irvanza,Persik Kediri,
Usman Pribadi,Persik Kediri,2014-2015
Syaiful Amar,Persik Kediri,2019-2020
Husna Al Malik,Persik Kediri,2024-2025
Jordan Zamorano,Persik Kediri,"2020-2022, 2023-2023, 2023-2023, 2024-2024"
Braif Fatari,Persik Kediri,2023-2023
Rudy Foler,Persik Kediri,2019-2020
Bijahil Chalwa,Persik Kediri,2019-2019
Fahad Abdullah,Persik Kediri,"2017-2020, 2023-2023"
Gunawan Dwi Cahyo,Persik Kediri,"2009-2010, 2023-2023"
Obet Choiri,Persik Kediri,2019-2020
Mahir Radja,Persik Kediri,2023-2023
Wahyudi,Persik Kediri,"2008-2011, 2012-2015"
Fatkhur Dani,Persik Kediri,2019-2020
Alfian Prastyo,Persik Kediri,"2017-2018, 2018-2020"
Suswanto,Persik Kediri,
Miswar Saputra,Persik Kediri,2023-2024
Eko Saputro,Persik Kediri,"2018-2019, 2023-2025"
Fandry Imbiri,Persik Kediri,"2022-2023, 2023-2023"
Dimas Galih,Persik Kediri,2020-2021
Nikola Asceric,Persik Kediri,2020-2020
Ramadhan Saputra,Persik Kediri,2014-2014
Didik Wahyu,Persik Kediri,2024-2025
Eka Sama,Persik Kediri,"2018-2018, 2018-2022"
Bagas Satrio,Persik Kediri,"2021-2022, 2023-2023, 2024-2024"
Oky Kharisma,Persik Kediri,"2023-2023, 2024-2024"
Sandy Firmansyah,Persik Kediri,2014-2015
Junaidi,Persik Kediri,2019-2021
Doe Sackie Teah,Persik Kediri,2020-2021
Hugo Samir,Persik Kediri,2024-2025
Slamet Sampurno,Persik Kediri,"2010-2012, 2013-2016, 2016-2018"
Hariyanto Panto,Persik Kediri,2021-2022
Dede Sapari,Persik Kediri,2024-2025
Rendy Saputra,Persik Kediri,2014-2015
Harianto,Persik Kediri,"2001-2010, 2012-2015"
