name,club,periods
Ramiro Fergonzi,Persita Tangerang,2022-2024
Sirvi Arvani,Persita Tangerang,"2013-2015, 2016-2021, 2022-2024"
Ezequiel Vidal,Persita Tangerang,2022-2024
Cristian Carrasco,Persita Tangerang,2010-2015
Irsyad Maulana,Persita Tangerang,"2021-2022, 2023-2025"
Marios Ogboe,Persita Tangerang,2024-2025
Esal Sahrul,Persita Tangerang,2023-2025
Kenji Adachihara,Persita Tangerang,2014-2016
Wildan Ramdhani,Persita Tangerang,2022-2023
Rifky Dwi Septiawan,Persita Tangerang,2021-2025
Harrison,Persita Tangerang,2021-2022
Ahmad Nur Hardianto,Persita Tangerang,"2021-2022, 2024-2025"
Kito Chandra,Persita Tangerang,2018-2021
Luis Edmundo,Persita Tangerang,2009-2015
Sin-young Bae,Persita Tangerang,2021-2025
Ade Jantra,Persita Tangerang,"2009-2015, 2017-2022"
Edo Febriansyah,Persita Tangerang,2020-2022
Taylon,Persita Tangerang,2022-2022
Christian Rontini,Persita Tangerang,2023-2024
Andre Agustiar,Persita Tangerang,2021-2022
Elisa Basna,Persita Tangerang,"2020-2021, 2022-2023"
Dong-chan Kim,Persita Tangerang,2013-2014
Éber Bessa,Persita Tangerang,2025-2025
Javlon Guseynov,Persita Tangerang,2023-2025
Fahreza Sudin,Persita Tangerang,2022-2025
Mohcine Hassan,Persita Tangerang,2023-2024
Kasim Botan,Persita Tangerang,2021-2022
Aldi Al Achya,Persita Tangerang,"2012-2016, 2016-2016, 2017-2022"
Jalwandi Jamal,Persita Tangerang,2014-2017
Ryuji Utomo,Persita Tangerang,2024-2025
Rizky Pora,Persita Tangerang,2010-2013
Charisma Fathoni,Persita Tangerang,2022-2025
Ricki Ariansyah,Persita Tangerang,2021-2022
Agustín Cattáneo,Persita Tangerang,2022-2023
Arianto,Persita Tangerang,2019-2020
Muhammad Toha,Persita Tangerang,2017-2025
Fairuz Ohorella,Persita Tangerang,2023-2024
Fabricio Bastos,Persita Tangerang,2013-2013
Dibyo Previan Caesario,Persita Tangerang,2014-2015
Zikri Akbar,Persita Tangerang,"2013-2015, 2019-2021"
Herwin Saputra,Persita Tangerang,2021-2022
Alex Gonçalves,Persita Tangerang,2021-2021
Raphael Maitimo,Persita Tangerang,2020-2021
Osas Saha,Persita Tangerang,2022-2023
Sandro Embaló,Persita Tangerang,2024-2025
Henry Rivaldi,Persita Tangerang,2015-2021
Valentino Telaubun,Persita Tangerang,2014-2014
Firdaus Ramadhan,Persita Tangerang,"2010-2011, 2012-2014"
Aji Kusuma,Persita Tangerang,2024-2025
Paulo Sitanggang,Persita Tangerang,2022-2023
Yohanes Kandaimu,Persita Tangerang,2022-2023
Dhika Bayangkara,Persita Tangerang,"2021-2022, 2022-2023"
Rishadi Fauzi,Persita Tangerang,"2009-2014, 2015-2016, 2022-2022"
Badrian Ilham,Persita Tangerang,2023-2025
Jack Brown,Persita Tangerang,2021-2025
Taufiq Febriyanto,Persita Tangerang,2020-2022
Hanis Saghara,Persita Tangerang,2023-2024
Abu Rizal Maulana,Persita Tangerang,2022-2024
Agung Prasetyo,Persita Tangerang,2021-2022
Yardan Yafi,Persita Tangerang,"2023-2023, 2024-2025"
Tamsil Sijaya,Persita Tangerang,2017-2019
Rizky Darmawan,Persita Tangerang,"2018-2018, 2022-2023"
Israel Wamiau,Persita Tangerang,2022-2023
Handi Ramdhan,Persita Tangerang,2015-2015
Try Hamdani,Persita Tangerang,2020-2022
FX Yanuar,Persita Tangerang,2014-2014
Gian Zola,Persita Tangerang,2024-2025
Oskar Karisago,Persita Tangerang,2022-2022
Duta Atapelwa,Persita Tangerang,2021-2023
Sukron Makmun,Persita Tangerang,2012-2013
George Brown,Persita Tangerang,2024-2025
Marcelo Barbosa,Persita Tangerang,2024-2024
Yusuf Bachtiar,Persita Tangerang,2011-2013
Cakra Yudha,Persita Tangerang,2023-2024
Fandry Imbiri,Persita Tangerang,2023-2023
Imam Zakiri,Persita Tangerang,2022-2023
Diego Banowo,Persita Tangerang,2018-2020
Habibie,Persita Tangerang,2019-2019
Ayom Majok,Persita Tangerang,2024-2025
Flavio Cameron,Persita Tangerang,2021-2024
Asep Budi,Persita Tangerang,2019-2020
Hari Novian,Persita Tangerang,2014-2015
Saiful Hidayatullah,Persita Tangerang,
Achmad Faris,Persita Tangerang,2022-2022
Azka Fauzi,Persita Tangerang,2019-2020
Irvan Febrianto,Persita Tangerang,2022-2023
Samsul Arif,Persita Tangerang,2020-2021
Mohammad Afganiladin,Persita Tangerang,2022-2025
Rahmanuddin,Persita Tangerang,2021-2021
Eldar Hasanovic,Persita Tangerang,2020-2021
Yevgen Budnik,Persita Tangerang,2020-2021
Hamka Hamzah,Persita Tangerang,2020-2021
Dede Sulaiman,Persita Tangerang,2022-2023
Rendy Juliansyah,Persita Tangerang,2023-2024
Dallen Doke,Persita Tangerang,"2020-2022, 2022-2022"
Wijay,Persita Tangerang,2014-2014
Billy Keraf,Persita Tangerang,2021-2021
Obet Choiri,Persita Tangerang,2022-2022
Dany Saputra,Persita Tangerang,2023-2024
Muhammad Iqbal,Persita Tangerang,2022-2022
