name,club,periods
Yevgen Bokhashvili,PSS Sleman,"2019-2021, 2023-2023"
Irkham Mila,PSS Sleman,2018-2025
Gustavo Tocantins,PSS Sleman,2024-2025
Kim Kurniawan,PSS Sleman,2021-2025
Brian Ferreira,PSS Sleman,2019-2020
Ricky Cawor,PSS Sleman,2023-2025
Riki Dwi Saputro,PSS Sleman,"2021-2022, 2022-2024"
Irfan Jaya,PSS Sleman,2021-2022
Esteban Vizcarra,PSS Sleman,2023-2024
Hokky Caraka,PSS Sleman,2022-2025
Haris Tuharea,PSS Sleman,"2019-2020, 2023-2024"
Nicolao Cardoso,PSS Sleman,2024-2025
Jihad Ayoub,PSS Sleman,2022-2024
Jonathan Bustos,PSS Sleman,2023-2024
Juninho,PSS Sleman,2021-2022
KH Yudo,PSS Sleman,2019-2020
Wander Luiz,PSS Sleman,2022-2023
Ajak Riak,PSS Sleman,2023-2024
Mario Maslac,PSS Sleman,2021-2022
Dave Mustaine,PSS Sleman,"2016-2017, 2017-2020, 2021-2023"
Cleberson,PSS Sleman,2024-2025
Thales,PSS Sleman,2023-2024
Nemanja Kojic,PSS Sleman,2021-2021
Saddam Gaffar,PSS Sleman,2019-2024
Dominikus Dion,PSS Sleman,"2023-2023, 2024-2025"
Tallysson,PSS Sleman,2022-2023
Irfan Bachdim,PSS Sleman,2020-2021
Vico,PSS Sleman,2025-2025
Danilo Alves,PSS Sleman,2024-2025
Zé Valente,PSS Sleman,2022-2023
Kei Sano,PSS Sleman,"2023-2023, 2024-2024"
Rangga Muslim,PSS Sleman,2018-2020
Aaron Evans,PSS Sleman,2020-2022
Ocvian Chanigio,PSS Sleman,2019-2022
Todd Ferre,PSS Sleman,2022-2024
Wahyudi Hamisi,PSS Sleman,2023-2025
Jepri Kurniawan,PSS Sleman,2019-2022
Eeng Supriyadi,PSS Sleman,2021-2022
Phil Ofosu-Ayeh,PSS Sleman,2024-2025
Kevin Gomes,PSS Sleman,2023-2025
Nicolás Vélez,PSS Sleman,2021-2021
Ifan Nanda,PSS Sleman,"2020-2023, 2024-2025"
Fandi Utomo,PSS Sleman,2022-2023
Boaz Solossa,PSS Sleman,2022-2023
Sidik Saimima,PSS Sleman,2019-2020
Fachruddin Aryanto,PSS Sleman,"2007-2013, 2024-2025"
Asyraq Gufron,PSS Sleman,2018-2022
Jonathan Cantillana,PSS Sleman,2023-2023
Rifky Suryawan,PSS Sleman,2022-2023
Dhika Bayangkara,PSS Sleman,2019-2019
Riko Simanjuntak,PSS Sleman,2025-2025
Nerius Alom,PSS Sleman,2019-2019
Arlan,PSS Sleman,2022-2024
Fandry Imbiri,PSS Sleman,2021-2022
Marcelo Cirino,PSS Sleman,2025-2025
Rachmad Hidayat,PSS Sleman,2023-2023
Relosa Rivan,PSS Sleman,2024-2025
Rizky Darmawan,PSS Sleman,2022-2022
Jayus Hariono,PSS Sleman,2025-2025
Bagus Prasetiyo,PSS Sleman,2021-2022
Muhammad Fariz,PSS Sleman,"2022-2023, 2024-2024, 2025-2025"
Adi Satryo,PSS Sleman,2021-2022
Dimas Fani,PSS Sleman,2020-2024
Bagas Umar,PSS Sleman,"2020-2022, 2023-2023"
Miftahul Hamdi,PSS Sleman,2022-2023
Alex Dusay,PSS Sleman,2022-2022
Diop Wamu,PSS Sleman,"2023-2023, 2024-2025"
Junius Bate,PSS Sleman,2019-2019
Syahroni,PSS Sleman,2021-2022
Jandia,PSS Sleman,2022-2023
Zidan Arrosyid,PSS Sleman,2024-2025
Zah Rahan Krangar,PSS Sleman,2020-2021
Mahdi Albaar,PSS Sleman,2022-2022
Ardan Aras,PSS Sleman,2019-2020
Yudha Alkanza,PSS Sleman,2019-2020
Antoni Nugroho,PSS Sleman,2019-2020
Samuel Simanjuntak,PSS Sleman,2019-2020
Hambali Tholib,PSS Sleman,"2022-2022, 2023-2023"
Rafi Angga,PSS Sleman,"2021-2021, 2022-2022"
Imam Mahmudi,PSS Sleman,2021-2022
Fabiano Beltrame,PSS Sleman,2021-2021
Dia Syayid,PSS Sleman,2025-2025
Dendi Maulana,PSS Sleman,2020-2022
Dedy Gusmawan,PSS Sleman,2022-2023
Ramdani Lestaluhu,PSS Sleman,2022-2022
Rivaldi Bawuo,PSS Sleman,2022-2022
Betinho,PSS Sleman,2024-2025
Misbakus Solikin,PSS Sleman,2020-2022
Purwaka Yudhi,PSS Sleman,"2019-2020, 2022-2023"
Anthony Pinthus,PSS Sleman,2023-2024
Alan,PSS Sleman,2024-2025
Miswar Saputra,PSS Sleman,2021-2022
Marckho Merauje,PSS Sleman,2022-2023
Guilherme Batata,PSS Sleman,2019-2021
Nurdiansyah,PSS Sleman,"2022-2023, 2023-2024"
Muhammad Ridwan,PSS Sleman,2022-2024
Ibrahim Sanjaya,PSS Sleman,2022-2024
Arsyad Yusgiantoro,PSS Sleman,2019-2022
Abduh Lestaluhu,PSS Sleman,2023-2025
Wahyu Sukarta,PSS Sleman,2016-2023
