rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Marko Simic,Marko ?imic,162,89,9,12.281,"2017-2022, 2023-2025",Simic,9,13,0,Persija Jakarta,Attack - Centre-Forward,"1,87 m",Croatia,hr,https://www.transfermarkt.us/marko-simic/profil/spieler/46650,https://img.a.transfermarkt.technology/portrait/small/46650-1677230554.jpg?lm=1,N/A,23.01.1988,Pakrac,Persija Jakarta
2,Ramdani Lestaluhu,Rizki Ramdani Lestaluhu,161,29,6,11.25,"2007-2013, 2014-2022, 2022-2022",Lestaluhu,16,22,0,Persija Jakarta,Midfield - Attacking Midfield,"1,67 m",Indonesia,id,https://www.transfermarkt.us/ramdani-lestaluhu/profil/spieler/506164,https://img.a.transfermarkt.technology/portrait/small/506164-1738384512.JPG?lm=1,N/A,05.11.1991,Tulehu,Without Club
3,Bambang Pamungkas,Unknown,107,24,5,5.848,"1999-2000, 2002-2005, 2007-2013, 2014-2020",Pamungkas,-,1,0,Persija Jakarta,Attack - Centre-Forward,"1,70 m",Indonesia,id,https://www.transfermarkt.us/bambang-pamungkas/profil/spieler/192480,https://img.a.transfermarkt.technology/portrait/small/192480-1721145553.jpeg?lm=1,N/A,10.06.1980,Semarang,Retired
4,Pedro Velázquez,Pedro Javier Velázquez Insfrán,44,22,0,3.662,2011-2013,Velázquez,Unknown,5,0,Persija Jakarta,Attack - Centre-Forward,"1,81 m",Paraguay,py,https://www.transfermarkt.us/pedro-velazquez/profil/spieler/202224,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.05.1983,Paraguari,Retired
5,Gustavo,Unknown,36,20,1,2.722,"2023-2024, 2024-2025",Gustavo,Unknown,7,1,Persija Jakarta,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/gustavo/profil/spieler/686044,https://img.a.transfermarkt.technology/portrait/small/686044-1680375322.jpeg?lm=1,N/A,25.07.1996,São Paulo,Persija Jakarta
6,Ryo Matsumura,?? ?,63,17,17,4.864,2023-2025,Matsumura,Unknown,6,0,Persija Jakarta,Midfield - Attacking Midfield,"1,66 m",Japan,jp,https://www.transfermarkt.us/ryo-matsumura/profil/spieler/226697,https://img.a.transfermarkt.technology/portrait/small/226697-1646503562.JPG?lm=1,N/A,15.06.1994,"Uji, Kyoto",Persija Jakarta
7,Emmanuel Kenmogne,Unknown,17,14,0,1.318,"2013-2014, 2015-2017",Kenmogne,Unknown,0,0,Persija Jakarta,Attack - Centre-Forward,"1,74 m",Cameroon,cm,https://www.transfermarkt.us/emmanuel-kenmogne/profil/spieler/12948,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.09.1980,Bafoussam,Retired
8,Bruno Matos,Unknown,23,14,6,1.844,2019-2019,Bruno Matos,Unknown,2,0,Persija Jakarta,Midfield - Attacking Midfield,"1,82 m",Brazil,br,https://www.transfermarkt.us/bruno-matos/profil/spieler/163555,https://img.a.transfermarkt.technology/portrait/small/163555-1638173590.jpg?lm=1,N/A,05.06.1990,Barra do Rio Grande,Sousa EC
9,Rohit Chand,????? ????,173,13,11,14.834,"2013-2016, 2017-2022",Chand,32,16,0,Persija Jakarta,Midfield - Defensive Midfield,"1,78 m",Nepal,np,https://www.transfermarkt.us/rohit-chand/profil/spieler/191021,https://img.a.transfermarkt.technology/portrait/small/191021-1702284770.jpeg?lm=1,N/A,01.03.1992,Dailekh,Persik Kediri
10,Riko Simanjuntak,Unknown,207,12,67,15.719,"2018-2025, 2025-2025",Simanjuntak,22,19,0,Persija Jakarta,Attack - Right Winger,"1,58 m",Indonesia,id,https://www.transfermarkt.us/riko-simanjuntak/profil/spieler/505793,https://img.a.transfermarkt.technology/portrait/small/505793-1737697958.png?lm=1,N/A,26.01.1992,Pematangsiantar,PSS Sleman
11,Rachmat Afandi,Unknown,72,12,0,4.076,"2002-2003, 2011-2018",Afandi,Unknown,5,0,Persija Jakarta,Attack - Centre-Forward,"1,72 m",Indonesia,id,https://www.transfermarkt.us/rachmat-afandi/profil/spieler/321279,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.04.1984,Jakarta,Retired
12,Novri Setiawan,Unknown,136,11,10,10.095,2014-2022,Setiawan,2,21,1,Persija Jakarta,Defender - Right-Back,"1,73 m",Indonesia,id,https://www.transfermarkt.us/novri-setiawan/profil/spieler/506161,https://img.a.transfermarkt.technology/portrait/small/506161-1737535230.png?lm=1,N/A,11.11.1993,Padang,Bali United FC
13,Bruno Lopes,Bruno da Silva Lopes,29,10,4,2.463,2017-2017,Lopes,Unknown,5,0,Persija Jakarta,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/bruno-lopes/profil/spieler/155469,https://img.a.transfermarkt.technology/portrait/small/155469-1411640158.jpg?lm=1,N/A,19.08.1986,Curitiba,Unknown
14,Michael Krmencik,Michael Krmencík,23,10,1,1.585,2022-2023,Krmencik,11,4,0,Persija Jakarta,Attack - Centre-Forward,"1,91 m",Czech Republic,cz,https://www.transfermarkt.us/michael-krmencik/profil/spieler/178469,https://img.a.transfermarkt.technology/portrait/small/178469-1601031072.jpg?lm=1,N/A,15.03.1993,Kraslice,1.FC Slovacko
15,Fabiano Beltrame,Unknown,78,10,0,6.944,2011-2015,Fabiano Beltrame,Unknown,18,1,Persija Jakarta,Defender - Centre-Back,"1,84 m",Indonesia,id,https://www.transfermarkt.us/fabiano-beltrame/profil/spieler/505647,https://img.a.transfermarkt.technology/portrait/small/505647-1663741395.png?lm=1,N/A,29.08.1982,Foz do Iguaçu,PSBS Biak
16,Robertino Pugliara,Robertino Gabriel Pugliara,58,9,0,4.778,"2007-2009, 2011-2014",Pugliara,Unknown,5,0,Persija Jakarta,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/robertino-pugliara/profil/spieler/537530,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.02.1984,Buenos Aires,Retired
17,Yusuf,Unknown,17,9,1,1.247,2022-2023,Unknown,Unknown,4,0,Persija Jakarta,Unknown,Unknown,Bahrain,bh,https://www.transfermarkt.us/yusuf/profil/spieler/351181,https://img.a.transfermarkt.technology/portrait/small/351181-1702842333.png?lm=1,N/A,12.06.1993,Unknown,Bohemians Prague 1905
18,Maciej Gajos,Unknown,57,8,11,4.484,2023-2025,Gajos,-,10,1,Persija Jakarta,Midfield - Attacking Midfield,"1,74 m",Poland,pl,https://www.transfermarkt.us/maciej-gajos/profil/spieler/236891,https://img.a.transfermarkt.technology/portrait/small/236891-1669218242.png?lm=1,N/A,19.03.1991,Blachownia,Persija Jakarta
19,Jaime,Unknown,36,7,0,3.008,"2017-2019, 2019-2019",Jaime,Unknown,6,0,Persija Jakarta,Defender - Centre-Back,"1,87 m",Brazil,br,https://www.transfermarkt.us/jaime/profil/spieler/124784,https://img.a.transfermarkt.technology/portrait/small/124784-1689561687.jpg?lm=1,N/A,26.02.1990,Guarulhos,Bali United FC
