rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ramiro Fergonzi,Ramiro Ezequiel Fergonzi,68,23,13,5.954,2022-2024,Fergonzi,Unknown,12,0,Persita Tangerang,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/ramiro-fergonzi/profil/spieler/132508,https://img.a.transfermarkt.technology/portrait/small/132508-1645078832.jpg?lm=1,N/A,14.05.1989,Buenos Aires,Persik Kediri
2,Sirvi Arvani,Unknown,69,19,1,4.155,"2013-2015, 2016-2021, 2022-2024",Arvani,Unknown,2,0,Persita Tangerang,Attack - Right Winger,"1,72 m",Indonesia,id,https://www.transfermarkt.us/sirvi-arvani/profil/spieler/728353,https://img.a.transfermarkt.technology/portrait/small/728353-1617805361.jpg?lm=1,N/A,11.05.1992,Ciruas,Persikota Tangerang
3,Ezequiel Vidal,Norberto Ezequiel Vidal,63,17,14,5.359,2022-2024,Vidal,Unknown,17,0,Persita Tangerang,Midfield - Attacking Midfield,"1,68 m",Argentina,ar,https://www.transfermarkt.us/ezequiel-vidal/profil/spieler/267655,https://img.a.transfermarkt.technology/portrait/small/267655-1742323242.jpg?lm=1,N/A,02.08.1995,Bahía Blanca,Punjab FC
4,Cristian Carrasco,Cristian Eduardo Carrasco González,46,15,0,3.413,2010-2015,Carrasco,Unknown,3,0,Persita Tangerang,Attack - Centre-Forward,"1,8 m",Indonesia,id,https://www.transfermarkt.us/cristian-carrasco/profil/spieler/1116792,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.07.1978,Santiago,Retired
5,Irsyad Maulana,Unknown,77,10,7,4.349,"2021-2022, 2023-2025",Maulana,-,10,1,Persita Tangerang,Attack - Left Winger,"1,77 m",Indonesia,id,https://www.transfermarkt.us/irsyad-maulana/profil/spieler/505796,https://img.a.transfermarkt.technology/portrait/small/505796-1737702528.png?lm=1,N/A,27.09.1993,Batusangkar,Persita Tangerang
6,Marios Ogboe,?????? ???µp?e,23,8,0,1.8,2024-2025,Ogboe,Unknown,2,0,Persita Tangerang,Attack - Centre-Forward,"1,88 m",Greece,gr,https://www.transfermarkt.us/marios-ogboe/profil/spieler/446302,https://img.a.transfermarkt.technology/portrait/small/446302-1737701343.png?lm=1,N/A,10.10.1994,Athens,Persita Tangerang
7,Esal Sahrul,Esal Sahrul Muhrom,36,8,4,1.437,2023-2025,Sahrul,20,5,0,Persita Tangerang,Attack - Left Winger,"1,75 m",Indonesia,id,https://www.transfermarkt.us/esal-sahrul/profil/spieler/1115704,https://img.a.transfermarkt.technology/portrait/small/1115704-1737702726.png?lm=1,N/A,14.03.2002,Unknown,Persita Tangerang
8,Kenji Adachihara,??? ??,19,7,0,1.652,2014-2016,Adachihara,Unknown,3,0,Persita Tangerang,Attack,"1,75 m",Japan,jp,https://www.transfermarkt.us/kenji-adachihara/profil/spieler/208096,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.11.1984,"Sagamihara, Kanagawa",Retired
9,Wildan Ramdhani,Mochammad Wildan Ramdhani Nugraha,31,7,1,1.498,2022-2023,Ramdhani,Unknown,1,0,Persita Tangerang,Attack - Centre-Forward,"1,70 m",Indonesia,id,https://www.transfermarkt.us/wildan-ramdhani/profil/spieler/594819,https://img.a.transfermarkt.technology/portrait/small/594819-1737436204.png?lm=1,N/A,24.12.1998,Bandung,PSIS Semarang
10,Rifky Dwi Septiawan,Unknown,61,7,3,3.799,2021-2025,Septiawan,23,16,0,Persita Tangerang,Midfield - Defensive Midfield,"1,72 m",Indonesia,id,https://www.transfermarkt.us/rifky-dwi-septiawan/profil/spieler/875238,https://img.a.transfermarkt.technology/portrait/small/875238-1737701999.png?lm=1,N/A,03.02.2002,Tangerang,Persita Tangerang
11,Harrison,Unknown,23,7,7,1.569,2021-2022,Harrison,Unknown,3,0,Persita Tangerang,Midfield - Attacking Midfield,"1,63 m",Brazil,br,https://www.transfermarkt.us/harrison/profil/spieler/221609,https://img.a.transfermarkt.technology/portrait/small/s_221609_679_2010_1.jpg?lm=1,N/A,09.07.1992,Caraguatatuba,AD Jequié
12,Ahmad Nur Hardianto,Ahmad Nur Hardianto,47,7,1,2.512,"2021-2022, 2024-2025",Nur Hardianto,-,6,0,Persita Tangerang,Attack - Centre-Forward,"1,78 m",Indonesia,id,https://www.transfermarkt.us/ahmad-nur-hardianto/profil/spieler/506315,https://img.a.transfermarkt.technology/portrait/small/506315-1737701298.png?lm=1,N/A,06.03.1995,Lamongan,Persita Tangerang
13,Kito Chandra,Chandra Waskito Kusumawardana,24,6,2,1.286,2018-2021,Chandra,Unknown,0,0,Persita Tangerang,Attack - Centre-Forward,"1,79 m",Indonesia,id,https://www.transfermarkt.us/kito-chandra/profil/spieler/663137,https://img.a.transfermarkt.technology/portrait/small/663137-1738388900.JPG?lm=1,N/A,19.08.1994,Surakarta,Persiku Kudus
14,Luis Edmundo,Luis Edmundo Durán Riquelme,46,5,0,4.042,2009-2015,Luis Edmundo,Unknown,7,0,Persita Tangerang,Defender,"1,82 m",Chile,cl,https://www.transfermarkt.us/luis-edmundo/profil/spieler/1258132,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.06.1979,Valdivia,Retired
15,Sin-young Bae,???,118,5,10,10.116,2021-2025,Bae,Unknown,21,0,Persita Tangerang,Midfield - Defensive Midfield,"1,80 m","Korea, South",unknown,https://www.transfermarkt.us/sin-young-bae/profil/spieler/389153,https://img.a.transfermarkt.technology/portrait/small/389153-1737702034.png?lm=1,N/A,11.06.1992,"Gimcheon, Gyeongbuk",Persita Tangerang
16,Ade Jantra,Unknown,58,5,3,4.151,"2009-2015, 2017-2022",Ade Jantra,Unknown,1,0,Persita Tangerang,Midfield - Attacking Midfield,"1,72 m",Indonesia,id,https://www.transfermarkt.us/ade-jantra/profil/spieler/603128,https://img.a.transfermarkt.technology/portrait/small/603128-1617805164.jpg?lm=1,N/A,03.01.1990,Tangerang,Persela Lamongan
17,Edo Febriansyah,Mohammad Edo Febriansah,28,4,0,2.373,2020-2022,Febriansyah,17,7,0,Persita Tangerang,Defender - Left-Back,"1,73 m",Indonesia,id,https://www.transfermarkt.us/edo-febriansyah/profil/spieler/721908,https://img.a.transfermarkt.technology/portrait/small/721908-1737431038.png?lm=1,N/A,25.07.1997,Kediri,PERSIB Bandung
18,Taylon,Taylon Nicolas Correa Marcolino,14,4,1,938,2022-2022,Taylon,Unknown,0,0,Persita Tangerang,Attack,"1,85 m",Brazil,br,https://www.transfermarkt.us/taylon/profil/spieler/607379,https://img.a.transfermarkt.technology/portrait/small/607379-1559638861.png?lm=1,N/A,16.03.1995,Carmo de Minas,Al-Shoulla FC
19,Christian Rontini,Christian Mangaron Rontini,29,3,1,2.378,2023-2024,Rontini,18,5,0,Persita Tangerang,Defender - Centre-Back,"1,86 m",Philippines,ph,https://www.transfermarkt.us/christian-rontini/profil/spieler/464924,https://img.a.transfermarkt.technology/portrait/small/464924-1732499776.jpg?lm=1,N/A,20.07.1999,Bagno a Ripoli,Nongbua Pitchaya FC
20,Andre Agustiar,Andre Agustiar Prakoso,24,3,2,1.136,2021-2022,Agustiar,Unknown,2,0,Persita Tangerang,Attack - Right Winger,"1,72 m",Indonesia,id,https://www.transfermarkt.us/andre-agustiar/profil/spieler/506494,https://img.a.transfermarkt.technology/portrait/small/506494-1645078240.jpg?lm=1,N/A,24.04.1996,Kediri,Inter Pemuda Kediri
