name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Daniel Osorno,Retired,https://www.transfermarkt.us/daniel-osorno/profil/spieler/53034,https://img.a.transfermarkt.technology/portrait/small/s_53034_123_2013_10_10_1.jpg?lm=1,Osorno,11,Mexico,mx,Atlas Guadalajara,Guadalajara,Daniel Osorno Calvillo,Attack - Left Winger,"1,74 m",16.03.1979,318,69,9,1,38,0,2,81,118,21.086
Luis Robles,Retired,https://www.transfermarkt.us/luis-robles/profil/spieler/53046,https://img.a.transfermarkt.technology/portrait/small/53046-1469547510.png?lm=1,Robles,-,Mexico,mx,Atlas Guadalajara,Ciudad Guzmán,Luis Enrique Robles Ramírez,Midfield - Defensive Midfield,"1,80 m",22.09.1986,272,4,8,0,41,1,2,50,36,19.980
Juan Carlos Medina,Retired,https://www.transfermarkt.us/juan-carlos-medina/profil/spieler/53023,https://img.a.transfermarkt.technology/portrait/small/53023-1506525248.jpg?lm=1,Medina,-,Mexico,mx,Atlas Guadalajara,Torreón,Juan Carlos Medina Alonzo,Midfield - Central Midfield,"1,70 m",22.08.1983,246,20,21,1,62,0,0,24,56,19.531
Mario Méndez,Retired,https://www.transfermarkt.us/mario-mendez/profil/spieler/31354,https://img.a.transfermarkt.technology/portrait/small/31354-1720395026.jpg?lm=1,Méndez,16,Mexico,mx,Atlas Guadalajara,Guadalajara,Mario Méndez Olague,Midfield - Right Midfield,"1,77 m",01.06.1979,223,11,4,0,51,0,7,3,17,19.336
Erubey Cabuto,Retired,https://www.transfermarkt.us/erubey-cabuto/profil/spieler/152630,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Cabuto,-,Mexico,mx,Atlas Guadalajara,Tepic,Erubey Cabuto García,Goalkeeper,"1,80 m",06.09.1975,222,0,0,0,16,0,0,0,2,19.920
Hugo Nervo,Atlas Guadalajara,https://www.transfermarkt.us/hugo-nervo/profil/spieler/107503,https://img.a.transfermarkt.technology/portrait/small/107503-1672427406.jpg?lm=1,Nervo,4,Argentina,ar,Atlas Guadalajara,San Nicolás,Martín Hugo Nervo,Defender - Centre-Back,"1,83 m",06.01.1991,219,4,2,1,23,0,5,1,0,19.545
Gerardo Torres,Retired,https://www.transfermarkt.us/gerardo-torres/profil/spieler/71514,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Torres,-,Mexico,mx,Atlas Guadalajara,Mérida,Gerardo Joaquín Torres Herrera,Midfield,"1,69 m",14.03.1977,219,10,0,0,24,0,3,52,63,14.968
Camilo Vargas,Atlas Guadalajara,https://www.transfermarkt.us/camilo-vargas/profil/spieler/74113,https://img.a.transfermarkt.technology/portrait/small/74113-1719976171.jpg?lm=1,Vargas,1,Colombia,co,Atlas Guadalajara,Bogotá,Camilo Andrés Vargas Gil,Goalkeeper,"1,85 m",09.03.1989,216,0,0,1,20,0,1,0,0,19.386
Juan Pablo Rodríguez,Retired,https://www.transfermarkt.us/juan-pablo-rodriguez/profil/spieler/20136,https://img.a.transfermarkt.technology/portrait/small/20136-1452003783.jpg?lm=1,Rodríguez,15,Mexico,mx,Atlas Guadalajara,Zapopan,Juan Pablo Rodríguez Guerrero,Midfield - Central Midfield,"1,68 m",07.08.1979,210,60,3,1,50,0,9,27,17,16.542
Luis Reyes,CF Monterrey,https://www.transfermarkt.us/luis-reyes/profil/spieler/264133,https://img.a.transfermarkt.technology/portrait/small/264133-1497614769.jpg?lm=1,Reyes,-,Mexico,mx,Atlas Guadalajara,Monterrey,Luis Ricardo Reyes Moreno,Defender - Left-Back,"1,80 m",03.04.1991,203,9,19,0,27,2,1,14,30,16.845
Édgar Zaldívar,Atlas Guadalajara,https://www.transfermarkt.us/edgar-zaldivar/profil/spieler/427203,https://img.a.transfermarkt.technology/portrait/small/427203-1469548525.png?lm=1,Zaldívar,Unknown,Mexico,mx,Atlas Guadalajara,San Luis Potosí,Édgar Zaldívar Valverde,Midfield - Defensive Midfield,"1,72 m",17.10.1996,199,8,4,0,36,0,0,76,72,11.092
Fernando Salazar,Retired,https://www.transfermarkt.us/fernando-salazar/profil/spieler/52613,https://img.a.transfermarkt.technology/portrait/small/s_52613_5623_2012_1.jpg?lm=1,Salazar,2,Mexico,mx,Atlas Guadalajara,Guadalajara,Fernando Salazar Lomelí,Defender - Right-Back,"1,78 m",13.07.1979,178,5,1,2,43,1,8,21,20,13.926
