name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Germán Villa,Retired,https://www.transfermarkt.us/german-villa/profil/spieler/43721,https://img.a.transfermarkt.technology/portrait/small/s_43721_123_2013_10_02_1.jpg?lm=1,Villa,14,Mexico,mx,CF América,Mexico City,Germán Villa Castañeda,Midfield - Defensive Midfield,"1,71 m",02.04.1973,442,15,7,2,170,3,12,27,59,36.116
Guillermo Ochoa,Avs Futebol,https://www.transfermarkt.us/guillermo-ochoa/profil/spieler/29559,https://img.a.transfermarkt.technology/portrait/small/29559-1668452843.jpg?lm=1,Ochoa,13,Mexico,mx,CF América,Guadalajara,Francisco Guillermo Ochoa Magaña,Goalkeeper,"1,85 m",13.07.1985,424,0,1,0,16,0,0,0,0,38.250
Duilio Davino,Retired,https://www.transfermarkt.us/duilio-davino/profil/spieler/29563,https://img.a.transfermarkt.technology/portrait/small/s_29563_123_2013_10_10_1.jpg?lm=1,Davino,3,Mexico,mx,CF América,León de los Aldama,Duilio César Jean Pierre Davino Rodríguez,Defender - Centre-Back,"1,80 m",21.03.1976,387,13,0,4,73,3,12,3,22,33.783
Pável Pardo,Retired,https://www.transfermarkt.us/pavel-pardo/profil/spieler/29579,https://img.a.transfermarkt.technology/portrait/small/29579-1720393766.jpg?lm=1,Pardo,8,Mexico,mx,CF América,Guadalajara,Pável Pardo Segura,Midfield - Defensive Midfield,N/A,26.07.1976,385,32,27,0,108,0,5,10,34,32.988
Paul Aguilar,Retired,https://www.transfermarkt.us/paul-aguilar/profil/spieler/52606,https://img.a.transfermarkt.technology/portrait/small/52606-1565160590.png?lm=1,Aguilar,22,Mexico,mx,CF América,Concordia,Paul Nicolás Aguilar Rojas,Defender - Right-Back,"1,79 m",06.03.1986,357,14,31,1,83,2,4,4,28,31.230
Óscar Rojas,Retired,https://www.transfermarkt.us/oscar-rojas/profil/spieler/43718,https://img.a.transfermarkt.technology/portrait/small/s_43718_5662_2013_11_13_1.jpg?lm=1,Rojas,-,Mexico,mx,CF América,Mexico City,Óscar Adrián Rojas Castillón,Defender - Right-Back,"1,72 m",02.08.1981,315,10,13,0,53,1,3,13,21,26.879
José Antonio Castro,Retired,https://www.transfermarkt.us/jose-antonio-castro/profil/spieler/35787,https://img.a.transfermarkt.technology/portrait/small/35787-1720394843.jpg?lm=1,Castro,15,Mexico,mx,CF América,Mexico City,José Antonio Castro González,Defender - Right-Back,"1,75 m",11.08.1980,299,4,2,1,58,1,3,11,36,25.196
Henry Martin,CF América,https://www.transfermarkt.us/henry-martin/profil/spieler/286339,https://img.a.transfermarkt.technology/portrait/small/286339-1565165533.png?lm=1,Martin,9,Mexico,mx,CF América,Mérida,Henry Josué Martin Mex,Attack - Centre-Forward,"1,77 m",18.11.1992,294,115,56,0,10,0,0,80,114,19.210
Cuauhtémoc Blanco,Retired,https://www.transfermarkt.us/cuauhtemoc-blanco/profil/spieler/28066,https://img.a.transfermarkt.technology/portrait/small/28066-1593522573.jpg?lm=1,Blanco,10,Mexico,mx,CF América,Mexico City,Cuauhtémoc Blanco Bravo,Attack - Second Striker,"1,77 m",17.01.1973,291,138,16,0,106,1,7,26,31,24.146
Ricardo Rojas,Retired,https://www.transfermarkt.us/ricardo-rojas/profil/spieler/40432,https://img.a.transfermarkt.technology/portrait/small/40432-1542022491.jpg?lm=1,Rojas,4,Chile,cl,CF América,Vallenar,Ricardo Francisco Rojas Trujillo,Defender - Centre-Back,"1,78 m",07.05.1974,284,8,0,1,60,0,7,5,18,24.487
Miguel Layún,Retired,https://www.transfermarkt.us/miguel-layun/profil/spieler/58576,https://img.a.transfermarkt.technology/portrait/small/58576-1445516135.jpg?lm=1,Layún,19,Mexico,mx,CF América,Córdoba,Miguel Arturo Layún Prado,Defender - Right-Back,"1,80 m",25.06.1988,235,20,23,0,26,1,2,60,39,15.930
Bruno Valdez,Club Cerro Porteño,https://www.transfermarkt.us/bruno-valdez/profil/spieler/335768,https://img.a.transfermarkt.technology/portrait/small/335768-1565160240.png?lm=1,Valdez,18,Paraguay,py,CF América,Fernando de la Mora,Bruno Amílcar Valdez Rojas,Defender - Centre-Back,"1,81 m",06.10.1992,227,27,8,2,39,3,3,8,17,19.216
Oribe Peralta,Retired,https://www.transfermarkt.us/oribe-peralta/profil/spieler/53563,https://img.a.transfermarkt.technology/portrait/small/53563-1497615119.jpg?lm=1,Peralta,19,Mexico,mx,CF América,Torreón,Oribe Peralta Morones,Attack - Centre-Forward,"1,78 m",12.01.1984,216,73,27,0,37,0,1,26,61,16.940
