name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Héctor Reynoso,Retired,https://www.transfermarkt.us/hector-reynoso/profil/spieler/50950,https://img.a.transfermarkt.technology/portrait/small/50950-1415280855.png?lm=1,Reynoso,-,Mexico,mx,Deportivo Guadalajara,Mexico City,Héctor Reynoso López,Defender - Centre-Back,"1,86 m",03.10.1980,449,28,6,1,115,3,10,20,37,38.119
Omar Bravo,Retired,https://www.transfermarkt.us/omar-bravo/profil/spieler/31425,https://img.a.transfermarkt.technology/portrait/small/31425-1720395883.jpg?lm=1,Bravo,7,Mexico,mx,Deportivo Guadalajara,Los Mochis,Omar Bravo Tordecillas,Attack - Centre-Forward,"1,74 m",04.03.1980,439,156,27,0,120,1,6,67,111,33.218
Ramón Morales,Retired,https://www.transfermarkt.us/ramon-morales/profil/spieler/29577,https://img.a.transfermarkt.technology/portrait/small/29577-1720394226.jpg?lm=1,Morales,11,Mexico,mx,Deportivo Guadalajara,La Piedad de Cabadas,Ramón Morales Higuera,Attack - Left Winger,"1,68 m",10.10.1975,429,73,39,0,41,0,3,24,165,33.846
Alberto Medina,Retired,https://www.transfermarkt.us/alberto-medina/profil/spieler/29576,https://img.a.transfermarkt.technology/portrait/small/29576-1425288959.jpg?lm=1,Medina,-,Mexico,mx,Deportivo Guadalajara,Culiacán,Alberto Medina Briseño,Attack - Right Winger,"1,73 m",29.05.1983,382,58,42,0,54,0,3,127,89,24.958
Jesús Sánchez,Retired,https://www.transfermarkt.us/jesus-sanchez/profil/spieler/108825,https://img.a.transfermarkt.technology/portrait/small/108825-1579697985.png?lm=1,Sánchez,Unknown,Mexico,mx,Deportivo Guadalajara,San Luis Río Colorado,Jesús Enrique Sánchez García,Defender - Right-Back,"1,68 m",31.08.1989,340,6,20,0,76,1,4,53,109,24.245
Isaác Brizuela,Deportivo Guadalajara,https://www.transfermarkt.us/isaac-brizuela/profil/spieler/121166,https://img.a.transfermarkt.technology/portrait/small/121166-1579697544.png?lm=1,Brizuela,11,Mexico,mx,Deportivo Guadalajara,"San Jose, California",Isaác Brizuela Muñoz,Attack - Right Winger,"1,71 m",28.08.1990,336,25,34,0,39,0,1,84,93,22.780
Patricio Araujo,Retired,https://www.transfermarkt.us/patricio-araujo/profil/spieler/50972,https://img.a.transfermarkt.technology/portrait/small/50972-1414572018.jpg?lm=1,Araujo,26,Mexico,mx,Deportivo Guadalajara,Colima,Patricio Gabriel Araujo Vázquez,Midfield - Defensive Midfield,"1,76 m",30.01.1988,332,6,1,1,82,3,4,50,39,25.338
Luis Michel,Retired,https://www.transfermarkt.us/luis-michel/profil/spieler/50970,https://img.a.transfermarkt.technology/portrait/small/50970-1496233871.png?lm=1,Michel,-,Mexico,mx,Deportivo Guadalajara,Guadalajara,Luis Ernesto Michel Vergara,Goalkeeper,"1,83 m",21.07.1979,307,0,0,0,16,0,1,1,2,27.503
Miguel Ponce,Retired,https://www.transfermarkt.us/miguel-ponce/profil/spieler/147632,https://img.a.transfermarkt.technology/portrait/small/s_147632_6711_2013_07_26_1.jpg?lm=1,Ponce,16,Mexico,mx,Deportivo Guadalajara,"Sacramento, California",Miguel Ángel Ponce Briseño,Defender - Left-Back,"1,76 m",12.04.1989,292,9,15,0,51,3,4,38,47,22.220
Oswaldo Sánchez,Retired,https://www.transfermarkt.us/oswaldo-sanchez/profil/spieler/29561,https://img.a.transfermarkt.technology/portrait/small/29561-1720389720.jpg?lm=1,Sánchez,-,Mexico,mx,Deportivo Guadalajara,Guadalajara,Oswaldo Javier Sánchez Ibarra,Goalkeeper,"1,84 m",21.09.1973,282,0,1,0,61,0,5,0,2,25.338
