name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Sinha,Retired,https://www.transfermarkt.us/sinha/profil/spieler/31351,https://img.a.transfermarkt.technology/portrait/small/31351-1720393532.jpg?lm=1,Sinha,-,Mexico,mx,Deportivo Toluca,Itajá,Unknown,Midfield - Attacking Midfield,"1,63 m",23.05.1976,587,70,80,0,153,2,6,102,183,43.248
Carlos Esquivel,Retired,https://www.transfermarkt.us/carlos-esquivel/profil/spieler/52991,https://img.a.transfermarkt.technology/portrait/small/52991-1506685931.png?lm=1,Esquivel,16,Mexico,mx,Deportivo Toluca,Tlalpujahua,Carlos Esquivel Silva,Attack - Right Winger,"1,74 m",10.04.1982,512,57,50,0,20,0,1,115,144,35.900
Alfredo Talavera,Retired,https://www.transfermarkt.us/alfredo-talavera/profil/spieler/50965,https://img.a.transfermarkt.technology/portrait/small/50965-1668452910.jpg?lm=1,Talavera,1,Mexico,mx,Deportivo Toluca,La Barca,Alfredo Talavera Díaz,Goalkeeper,"1,88 m",18.09.1982,426,1,0,0,55,1,3,1,6,37.943
Antonio Ríos,Retired,https://www.transfermarkt.us/antonio-rios/profil/spieler/103402,https://img.a.transfermarkt.technology/portrait/small/103402-1580381664.jpg?lm=1,Ríos,-,Mexico,mx,Deportivo Toluca,Arcelia,Antonio Ríos Martínez,Midfield - Defensive Midfield,"1,75 m",24.10.1988,424,15,16,0,68,2,0,46,95,32.688
Paulo da Silva,Retired,https://www.transfermarkt.us/paulo-da-silva/profil/spieler/38800,https://img.a.transfermarkt.technology/portrait/small/38800-1687212101.jpg?lm=1,da Silva,14,Paraguay,py,Deportivo Toluca,Asunción,Paulo César da Silva Barrios,Defender - Centre-Back,"1,84 m",01.02.1980,418,35,6,7,80,1,3,5,4,37.290
Hernán Cristante,Retired,https://www.transfermarkt.us/hernan-cristante/profil/spieler/52987,https://img.a.transfermarkt.technology/portrait/small/s_52987_23505_2010_1.jpg?lm=1,Cristante,-,Argentina,ar,Deportivo Toluca,Buenos Aires,Rolando Hernán Cristante Mandarino,Goalkeeper,"1,80 m",16.09.1969,393,1,0,3,60,0,3,1,6,35.202
Édgar Dueñas,Retired,https://www.transfermarkt.us/edgar-duenas/profil/spieler/52989,https://img.a.transfermarkt.technology/portrait/small/52989-1425286488.jpg?lm=1,Dueñas,-,Mexico,mx,Deportivo Toluca,Guadalajara,Édgar Esteban Dueñas Peñaflor,Defender - Centre-Back,"1,85 m",05.03.1983,347,16,5,2,90,4,5,14,22,29.398
José Cardozo,Retired,https://www.transfermarkt.us/jose-cardozo/profil/spieler/38788,https://img.a.transfermarkt.technology/portrait/small/s_38788_123_2013_12_11_1.jpg?lm=1,Cardozo,20,Paraguay,py,Deportivo Toluca,Nueva Italia,José Saturnino Cardozo Otazú,Attack - Centre-Forward,"1,84 m",19.03.1971,302,229,2,0,61,0,3,19,36,25.421
Manuel de la Torre,Retired,https://www.transfermarkt.us/manuel-de-la-torre/profil/spieler/53081,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,de la Torre,Unknown,Mexico,mx,Deportivo Toluca,Mexico City,Manuel Alejandro de la Torre Urbina,Defender - Left-Back,"1,71 m",13.06.1980,288,9,6,0,20,0,2,25,29,23.540
Vicente Sánchez,Retired,https://www.transfermarkt.us/vicente-sanchez/profil/spieler/53060,https://img.a.transfermarkt.technology/portrait/small/53060-1489693904.JPG?lm=1,Sánchez,14,Uruguay,uy,Deportivo Toluca,Montevideo,Vicente Martín Sánchez Bragunde,Attack - Left Winger,"1,70 m",07.12.1979,265,96,11,0,61,0,7,13,82,21.914
Israel López,Retired,https://www.transfermarkt.us/israel-lopez/profil/spieler/53184,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,López,-,Mexico,mx,Deportivo Toluca,Mexico City,Israel López Hernández,Midfield - Central Midfield,"1,66 m",29.09.1974,230,28,13,0,60,0,7,9,21,19.491
Francisco Gamboa,Retired,https://www.transfermarkt.us/francisco-gamboa/profil/spieler/52997,https://img.a.transfermarkt.technology/portrait/small/52997-1469115782.png?lm=1,Gamboa,5,Mexico,mx,Deportivo Toluca,Guadalajara,Francisco Gamboa Gómez,Defender - Centre-Back,"1,77 m",20.07.1985,215,1,3,1,28,1,2,40,25,16.051
Sergio Ponce,Retired,https://www.transfermarkt.us/sergio-ponce/profil/spieler/53040,https://img.a.transfermarkt.technology/portrait/small/53040-1416995718.jpg?lm=1,Ponce,16,Mexico,mx,Deportivo Toluca,Tepic,Sergio Amaury Ponce Villegas,Defender - Right-Back,"1,79 m",13.08.1981,207,20,12,1,31,0,1,73,39,12.787
Rafael García,Retired,https://www.transfermarkt.us/rafael-garcia/profil/spieler/28151,https://img.a.transfermarkt.technology/portrait/small/28151-1720396074.jpg?lm=1,García,20,Mexico,mx,Deportivo Toluca,Mexico City,José Rafael García Torres,Midfield - Defensive Midfield,"1,76 m",14.08.1974,204,25,3,0,19,0,2,20,65,15.692
Érik Espinosa,Retired,https://www.transfermarkt.us/erik-espinosa/profil/spieler/52990,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Espinosa,-,Mexico,mx,Deportivo Toluca,Guadalajara,Érik Osbaldo Espinosa Delgadillo,Defender,"1,78 m",13.01.1980,203,7,0,1,31,1,5,34,49,14.547
David Rangel,Retired,https://www.transfermarkt.us/david-rangel/profil/spieler/224408,https://img.a.transfermarkt.technology/portrait/small/s_224408_123_2013_10_10_1.jpg?lm=1,Rangel,-,Mexico,mx,Deportivo Toluca,San Luis Potosí,José David Rangel Torres,Midfield,N/A,12.11.1969,196,2,0,0,48,0,4,4,24,16.716
José Cruzalta,Retired,https://www.transfermarkt.us/jose-cruzalta/profil/spieler/52988,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Cruzalta,Unknown,Mexico,mx,Deportivo Toluca,Tenancingo,José Manuel Cruzalta Cruz,Defender - Right-Back,N/A,08.04.1978,196,2,1,0,34,1,3,30,53,13.842
Salvador Carmona,Retired,https://www.transfermarkt.us/salvador-carmona/profil/spieler/31347,https://img.a.transfermarkt.technology/portrait/small/s_31347_123_2013_10_02_1.jpg?lm=1,Carmona,18,Mexico,mx,Deportivo Toluca,Mexico City,José Salvador Carmona Álvarez,Defender - Centre-Back,"1,72 m",22.08.1975,191,15,1,0,49,2,6,2,15,16.629
José Manuel Abundis,Retired,https://www.transfermarkt.us/jose-manuel-abundis/profil/spieler/44730,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Abundis,9,Mexico,mx,Deportivo Toluca,Guadalajara,José Manuel Abundis Sandoval,Attack - Centre-Forward,"1,79 m",06.11.1973,186,56,2,0,32,0,5,65,70,11.528
Isaác Brizuela,Deportivo Guadalajara,https://www.transfermarkt.us/isaac-brizuela/profil/spieler/121166,https://img.a.transfermarkt.technology/portrait/small/121166-1579697544.png?lm=1,Brizuela,11,Mexico,mx,Deportivo Toluca,"San Jose, California",Isaác Brizuela Muñoz,Attack - Right Winger,"1,71 m",28.08.1990,183,16,8,0,7,0,0,103,39,8.824
Martín Romagnoli,Retired,https://www.transfermarkt.us/martin-romagnoli/profil/spieler/55943,https://img.a.transfermarkt.technology/portrait/small/55943-1417079868.jpg?lm=1,Romagnoli,-,Argentina,ar,Deportivo Toluca,Córdoba,Martín Andrés Romagnoli,Midfield - Central Midfield,"1,70 m",30.01.1977,182,0,12,1,29,0,0,1,8,16.293
Emilio Viades,Retired,https://www.transfermarkt.us/emilio-viades/profil/spieler/53068,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Viades,Unknown,Mexico,mx,Deportivo Toluca,Mexiko-Stadt,Emilio Hassan Viades Slim,Defender,"1,76 m",10.01.1978,180,2,0,3,52,2,3,18,25,14.287
Omar Blanco,Retired,https://www.transfermarkt.us/omar-blanco/profil/spieler/446272,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Blanco,-,Mexico,mx,Deportivo Toluca,Guadalajara,Héctor Omar Blanco Gómez,Defender,"1,76 m",17.07.1975,178,5,0,1,22,0,4,10,11,15.113
Osvaldo González,Universidad de Concepción,https://www.transfermarkt.us/osvaldo-gonzalez/profil/spieler/76391,https://img.a.transfermarkt.technology/portrait/small/76391-1506685397.png?lm=1,González,4,Chile,cl,Deportivo Toluca,Concepción,Osvaldo Alexis González Sepúlveda,Defender - Centre-Back,"1,82 m",10.08.1984,172,9,1,0,35,3,3,6,6,14.802
Víctor Ruiz,Retired,https://www.transfermarkt.us/victor-ruiz/profil/spieler/224412,https://img.a.transfermarkt.technology/portrait/small/s_224412_123_2013_10_02_1.jpg?lm=1,Ruiz,20,Mexico,mx,Deportivo Toluca,Zempoala,Víctor Ruiz del Valle,Midfield,"1,73 m",07.06.1969,171,34,1,0,24,0,1,42,15,12.354
Diego de la Torre,Retired,https://www.transfermarkt.us/diego-de-la-torre/profil/spieler/53080,https://img.a.transfermarkt.technology/portrait/small/53080-1488310586.jpg?lm=1,de la Torre,Unknown,Mexico,mx,Deportivo Toluca,San Luis Potosí,Diego Javier de la Torre Muciño,Midfield - Central Midfield,"1,79 m",05.02.1984,165,11,7,0,18,0,0,96,47,7.203
Enrique Alfaro,Retired,https://www.transfermarkt.us/enrique-alfaro/profil/spieler/203872,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Alfaro,-,Mexico,mx,Deportivo Toluca,Mexico City,Enrique Alfaro Rojas,Midfield,"1,74 m",11.12.1974,163,21,3,0,24,0,2,30,84,10.763
Carlos Morales,Retired,https://www.transfermarkt.us/carlos-morales/profil/spieler/72584,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Morales,-,Uruguay,uy,Deportivo Toluca,Montevideo,Carlos María Morales Maeso,Attack - Centre-Forward,"1,76 m",01.03.1970,162,63,0,0,23,0,1,33,68,10.905
Alexis Canelo,CA Lanús,https://www.transfermarkt.us/alexis-canelo/profil/spieler/249789,https://img.a.transfermarkt.technology/portrait/small/249789-1720466354.png?lm=1,Canelo,Unknown,Argentina,ar,Deportivo Toluca,San Miguel de Tucumán,Pedro Alexis Canelo,Attack - Centre-Forward,"1,78 m",03.02.1992,161,56,13,0,16,1,0,37,43,11.355
Diego Novaretti,Retired,https://www.transfermarkt.us/diego-novaretti/profil/spieler/87493,https://img.a.transfermarkt.technology/portrait/small/s_87493_398_2013_09_20_1.jpg?lm=1,Novaretti,Unknown,Argentina,ar,Deportivo Toluca,La Palestina,Diego Martín Novaretti,Defender - Centre-Back,"1,93 m",09.05.1985,160,8,2,2,21,4,4,1,12,13.732
Néstor Calderón,Retired,https://www.transfermarkt.us/nestor-calderon/profil/spieler/88393,https://img.a.transfermarkt.technology/portrait/small/88393-1469098443.png?lm=1,Calderón,-,Mexico,mx,Deportivo Toluca,Guadalajara,Néstor Calderón Enríquez,Attack - Left Winger,"1,74 m",14.02.1989,154,24,19,0,18,1,2,26,101,9.959
Mario Méndez,Retired,https://www.transfermarkt.us/mario-mendez/profil/spieler/31354,https://img.a.transfermarkt.technology/portrait/small/31354-1720395026.jpg?lm=1,Méndez,16,Mexico,mx,Deportivo Toluca,Guadalajara,Mario Méndez Olague,Midfield - Right Midfield,"1,77 m",01.06.1979,152,6,4,1,39,0,0,13,31,12.107
Claudio Baeza,CA Vélez Sarsfield,https://www.transfermarkt.us/claudio-baeza/profil/spieler/248346,https://img.a.transfermarkt.technology/portrait/small/248346-1579704061.png?lm=1,Baeza,20,Chile,cl,Deportivo Toluca,Los Ángeles,Claudio Andrés Baeza Baeza,Midfield - Defensive Midfield,"1,71 m",23.12.1993,150,1,6,0,46,1,1,13,60,11.569
Miguel Almazán,Retired,https://www.transfermarkt.us/miguel-almazan/profil/spieler/52959,https://img.a.transfermarkt.technology/portrait/small/52959-1471528072.png?lm=1,Almazán,Unknown,Mexico,mx,Deportivo Toluca,Mexico City,Miguel Ángel Almazán Quiroz,Defender - Centre-Back,"1,79 m",06.05.1982,149,6,1,0,28,2,4,40,17,10.061
Rodrigo Salinas,Retired,https://www.transfermarkt.us/rodrigo-salinas/profil/spieler/83330,https://img.a.transfermarkt.technology/portrait/small/83330-1580381436.jpg?lm=1,Salinas,-,Mexico,mx,Deportivo Toluca,Puebla de Zaragoza,Rodrigo Salinas Dorantes,Defender - Right-Back,"1,79 m",09.05.1988,143,8,10,0,36,0,2,10,15,11.832
Adrián García Arias,Retired,https://www.transfermarkt.us/adrian-garcia-arias/profil/spieler/53810,https://img.a.transfermarkt.technology/portrait/small/s_53810_4961_2013_03_03_1.jpg?lm=1,García Arias,-,Mexico,mx,Deportivo Toluca,Mexico City,Adrián Israel García Arias,Defender - Centre-Back,"1,82 m",06.12.1975,143,0,0,0,35,0,5,17,20,11.111
Edgar Benítez,Club Rubio Ñú (Asunción),https://www.transfermarkt.us/edgar-benitez/profil/spieler/90147,https://img.a.transfermarkt.technology/portrait/small/90147-1652212896.jpg?lm=1,Benítez,-,Paraguay,py,Deportivo Toluca,Repatriación,Edgar Milciades Benítez Santander,Attack - Left Winger,"1,76 m",08.11.1987,135,34,17,0,16,1,2,46,39,8.610
Alberto Macías,Retired,https://www.transfermarkt.us/alberto-macias/profil/spieler/438630,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Macías,-,Mexico,mx,Deportivo Toluca,Guadalajara,Alberto Macías Hernández,Defender,"1,89 m",28.12.1969,133,13,0,1,28,0,3,0,7,11.722
Enrique Triverio,The Strongest La Paz,https://www.transfermarkt.us/enrique-triverio/profil/spieler/282265,https://img.a.transfermarkt.technology/portrait/small/282265-1687959879.JPG?lm=1,Triverio,Unknown,Argentina,ar,Deportivo Toluca,Aldao,Enrique Luis Triverio,Attack - Centre-Forward,"1,83 m",31.12.1988,133,41,9,1,22,1,2,47,34,8.142
Raúl Nava,Without Club,https://www.transfermarkt.us/raul-nava/profil/spieler/93193,https://img.a.transfermarkt.technology/portrait/small/93193-1425978644.png?lm=1,Nava,-,Mexico,mx,Deportivo Toluca,Mexico City,Raúl Nava López,Attack - Centre-Forward,"1,79 m",17.09.1990,132,25,4,0,2,0,0,89,21,4.814
Rubens Sambueza,CASD Camioneros,https://www.transfermarkt.us/rubens-sambueza/profil/spieler/26268,https://img.a.transfermarkt.technology/portrait/small/26268-1579700915.jpg?lm=1,Sambueza,-,Argentina,ar,Deportivo Toluca,Zapala,Rubens Omar Óscar Sambueza,Attack - Right Winger,"1,77 m",01.01.1984,127,21,39,0,38,1,3,14,15,10.315
Alexis Vega,Deportivo Toluca,https://www.transfermarkt.us/alexis-vega/profil/spieler/424689,https://img.a.transfermarkt.technology/portrait/small/424689-1666538728.jpg?lm=1,Vega,10,Mexico,mx,Deportivo Toluca,Mexico City,Ernesto Alexis Vega Rojas,Attack - Left Winger,"1,73 m",25.11.1997,127,32,23,0,17,1,1,27,63,8.573
Gerardo Rodríguez,Retired,https://www.transfermarkt.us/gerardo-rodriguez/profil/spieler/52622,https://img.a.transfermarkt.technology/portrait/small/52622-1469115944.png?lm=1,Rodríguez,-,Mexico,mx,Deportivo Toluca,Culiacán Rosales,Carlos Gerardo Rodríguez Serrano,Defender - Left-Back,"1,80 m",16.04.1985,125,11,7,0,25,0,2,5,7,10.546
Fernando Uribe,Retired,https://www.transfermarkt.us/fernando-uribe/profil/spieler/119030,https://img.a.transfermarkt.technology/portrait/small/119030-1547648332.jpg?lm=1,Uribe,-,Colombia,co,Deportivo Toluca,Pereira,Fernando Uribe Hincapié,Attack - Centre-Forward,"1,82 m",01.01.1988,119,61,12,0,14,0,1,27,43,8.060
Maximiliano Cuberas,Retired,https://www.transfermarkt.us/maximiliano-cuberas/profil/spieler/92979,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Cuberas,Unknown,Argentina,ar,Deportivo Toluca,Villada,Maximiliano Pablo Cuberas Escalas,Defender - Centre-Back,"1,81 m",16.08.1973,118,2,0,0,30,0,1,9,18,9.487
Luis García,Deportivo Toluca,https://www.transfermarkt.us/luis-garcia/profil/spieler/236710,https://img.a.transfermarkt.technology/portrait/small/236710-1580380474.jpg?lm=1,García,Unknown,Mexico,mx,Deportivo Toluca,Talpa de Allende,Luis Manuel García Palomera,Goalkeeper,"1,83 m",31.12.1992,117,0,0,3,14,0,0,2,2,10.300
Fabián Estay,Retired,https://www.transfermarkt.us/fabian-estay/profil/spieler/133848,https://img.a.transfermarkt.technology/portrait/small/133848-1697469986.jpg?lm=1,Estay,20,Chile,cl,Deportivo Toluca,Santiago de Chile,Fabián Raphael Estay Silva,Midfield - Attacking Midfield,"1,69 m",05.10.1968,114,24,3,0,8,0,1,10,16,9.251
Marcel Ruiz,Deportivo Toluca,https://www.transfermarkt.us/marcel-ruiz/profil/spieler/597728,https://img.a.transfermarkt.technology/portrait/small/597728-1691602112.jpg?lm=1,Ruiz,-,Mexico,mx,Deportivo Toluca,Mérida,Marcel Alejandro Ruiz Suárez,Midfield - Central Midfield,"1,82 m",26.10.2000,113,13,12,1,28,0,1,8,47,8.901
Ariel Rosada,Retired,https://www.transfermarkt.us/ariel-rosada/profil/spieler/26471,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Rosada,Unknown,Argentina,ar,Deportivo Toluca,Campana,Javier Ariel Rosada,Midfield - Defensive Midfield,"1,81 m",11.04.1978,112,3,0,0,41,1,3,6,14,9.261
Antonio Taboada,Retired,https://www.transfermarkt.us/antonio-taboada/profil/spieler/949206,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Taboada,-,Mexico,mx,Deportivo Toluca,Mexico City,Antonio de Jesús Taboada Herrera,Midfield,"1,74 m",11.09.1967,112,4,0,0,11,0,0,40,20,6.679
Tiago Volpi,Grêmio Foot-Ball Porto Alegrense,https://www.transfermarkt.us/tiago-volpi/profil/spieler/227671,https://img.a.transfermarkt.technology/portrait/small/227671-1547634654.jpg?lm=1,Volpi,Unknown,Brazil,br,Deportivo Toluca,Blumenau,Tiago Luis Volpi,Goalkeeper,"1,89 m",19.12.1990,108,15,1,0,9,0,0,0,0,9.750
Óscar Ricardo Rojas,Retired,https://www.transfermarkt.us/oscar-ricardo-rojas/profil/spieler/70837,https://img.a.transfermarkt.technology/portrait/small/70837-1506685539.png?lm=1,Rojas,Unknown,Mexico,mx,Deportivo Toluca,Mexico City,Óscar Ricardo Rojas García,Defender - Right-Back,"1,70 m",05.02.1988,108,4,5,0,25,1,2,7,34,8.213
Héctor Mancilla,Retired,https://www.transfermarkt.us/hector-mancilla/profil/spieler/44920,https://img.a.transfermarkt.technology/portrait/small/s_44920_5623_2013_11_06_1.jpg?lm=1,Mancilla,-,Chile,cl,Deportivo Toluca,Purranque,Héctor Raúl Mancilla Garcés,Attack - Centre-Forward,"1,80 m",12.11.1980,106,64,10,0,26,1,1,3,47,8.798
Aarón Galindo,Retired,https://www.transfermarkt.us/aaron-galindo/profil/spieler/28150,https://img.a.transfermarkt.technology/portrait/small/28150-1469115674.png?lm=1,Galindo,4,Mexico,mx,Deportivo Toluca,Mexico City,Aarón Galindo Rubio,Defender - Centre-Back,N/A,08.05.1982,106,1,2,2,17,0,0,10,9,8.519
Pablo Barrientos,Retired,https://www.transfermarkt.us/pablo-barrientos/profil/spieler/19946,https://img.a.transfermarkt.technology/portrait/small/s_19946_1627_2013_09_20_1.jpg?lm=1,Barrientos,-,Argentina,ar,Deportivo Toluca,Comodoro Rivadavia,Pablo César Barrientos,Attack - Right Winger,"1,76 m",17.01.1985,105,16,16,0,20,4,1,22,36,7.326
Edy Brambila,Retired,https://www.transfermarkt.us/edy-brambila/profil/spieler/52607,https://img.a.transfermarkt.technology/portrait/small/52607-1564642453.jpg?lm=1,Brambila,Unknown,Mexico,mx,Deportivo Toluca,Tepic,Edy Germán Brambila Rosales,Attack - Right Winger,"1,70 m",15.01.1986,98,6,8,0,7,1,1,66,19,3.761
Erbín Trejo,Without Club,https://www.transfermarkt.us/erbin-trejo/profil/spieler/121171,https://img.a.transfermarkt.technology/portrait/small/121171-1469116239.png?lm=1,Trejo,-,Mexico,mx,Deportivo Toluca,Mexico City,Erbín Alejandro Trejo Macías,Midfield - Attacking Midfield,"1,71 m",03.06.1990,93,10,9,0,14,2,0,30,26,5.657
Josué Castillejos,Retired,https://www.transfermarkt.us/josue-castillejos/profil/spieler/52984,https://img.a.transfermarkt.technology/portrait/small/52984-1415281210.png?lm=1,Castillejos,Unknown,Mexico,mx,Deportivo Toluca,Toluca de Lerdo,Josué Castillejos Toledo,Midfield,"1,80 m",14.04.1981,92,2,0,0,12,0,1,51,17,4.101
Wilson Matías,Retired,https://www.transfermarkt.us/wilson-matias/profil/spieler/54872,https://img.a.transfermarkt.technology/portrait/small/54872-1487319746.jpg?lm=1,Matías,Unknown,Brazil,br,Deportivo Toluca,Limeira,Wilson Tiago Matías,Midfield - Central Midfield,"1,86 m",14.09.1983,91,8,5,0,11,0,0,4,13,7.587
Jean Meneses,Clube de Regatas Vasco da Gama,https://www.transfermarkt.us/jean-meneses/profil/spieler/217228,https://img.a.transfermarkt.technology/portrait/small/217228-1558355189.png?lm=1,Unknown,Unknown,Chile,cl,Deportivo Toluca,Unknown,Unknown,Unknown,Unknown,16.03.1993,89,15,17,0,9,2,1,11,49,6.527
Brian García,Deportivo Toluca,https://www.transfermarkt.us/brian-garcia/profil/spieler/471988,https://img.a.transfermarkt.technology/portrait/small/471988-1671214577.jpg?lm=1,Unknown,Unknown,Mexico,mx,Deportivo Toluca,Unknown,Unknown,Unknown,Unknown,31.10.1997,86,6,7,0,15,0,1,11,30,6.536
Carlos Morales,Retired,https://www.transfermarkt.us/carlos-morales/profil/spieler/53029,https://img.a.transfermarkt.technology/portrait/small/53029-1506524861.jpg?lm=1,Morales,-,Mexico,mx,Deportivo Toluca,La Piedad de Cabadas,Carlos Adrián Morales Higuera,Defender - Left-Back,"1,75 m",06.09.1979,84,10,5,0,16,0,2,37,31,4.179
Edgar González,Retired,https://www.transfermarkt.us/edgar-gonzalez/profil/spieler/53002,https://img.a.transfermarkt.technology/portrait/small/53002-1415282303.png?lm=1,González,Unknown,Mexico,mx,Deportivo Toluca,Otzolotepec,Edgar González Franco,Attack - Centre-Forward,"1,77 m",03.07.1980,84,4,1,0,8,0,0,60,19,2.763
Jordan Silva,OFI Crete FC,https://www.transfermarkt.us/jordan-silva/profil/spieler/334538,https://img.a.transfermarkt.technology/portrait/small/334538-1739291769.jpg?lm=1,Silva,3,Mexico,mx,Deportivo Toluca,Matehuala,Jordan Jesús Silva Díaz,Defender - Centre-Back,"1,90 m",30.07.1994,83,2,0,0,5,0,0,9,2,6.843
Valber Huerta,CD Universidad Católica,https://www.transfermarkt.us/valber-huerta/profil/spieler/226306,https://img.a.transfermarkt.technology/portrait/small/226306-1691602019.jpg?lm=1,Huerta,18,Chile,cl,Deportivo Toluca,Melipilla,Valber Robert Huerta Jerez,Defender - Centre-Back,"1,85 m",26.08.1993,82,6,3,1,8,0,0,2,4,7.150
Kevin Castañeda,Club Tijuana,https://www.transfermarkt.us/kevin-castaneda/profil/spieler/599732,https://img.a.transfermarkt.technology/portrait/small/599732-1580383081.jpg?lm=1,Castañeda,-,Mexico,mx,Deportivo Toluca,Guadalajara,Kevin Castañeda Vargas,Midfield - Attacking Midfield,"1,70 m",28.10.1999,82,13,6,0,11,0,0,39,36,4.099
Iván López,Deportivo Toluca,https://www.transfermarkt.us/ivan-lopez/profil/spieler/370861,https://img.a.transfermarkt.technology/portrait/small/370861-1670618683.jpg?lm=1,López,7,Mexico,mx,Deportivo Toluca,Tijuana,Édgar Iván López Rodríguez,Attack - Centre-Forward,"1,80 m",21.04.1999,82,12,4,0,4,0,0,44,30,3.659
Raúl López,Tampico Madero,https://www.transfermarkt.us/raul-lopez/profil/spieler/270035,https://img.a.transfermarkt.technology/portrait/small/270035-1691602471.jpg?lm=1,López,-,Mexico,mx,Deportivo Toluca,Zapopan,Raúl López Gómez,Defender - Right-Back,"1,84 m",23.02.1993,80,4,3,0,7,0,0,16,16,5.586
Carlos Orrantía,Atlas Guadalajara,https://www.transfermarkt.us/carlos-orrantia/profil/spieler/124788,https://img.a.transfermarkt.technology/portrait/small/124788-1581590744.png?lm=1,Orrantía,-,Mexico,mx,Deportivo Toluca,Mexico City,Carlos Emilio Orrantía Treviño,Defender - Right-Back,"1,74 m",01.02.1991,74,3,5,0,3,0,0,36,18,3.585
William,Retired,https://www.transfermarkt.us/william/profil/spieler/53365,https://img.a.transfermarkt.technology/portrait/small/53365-1580381871.jpg?lm=1,William,Unknown,Brazil,br,Deportivo Toluca,São Paulo,Unknown,Midfield - Central Midfield,"1,75 m",20.11.1986,73,8,4,0,20,0,1,5,30,5.600
Jesús Angulo,Deportivo Toluca,https://www.transfermarkt.us/jesus-angulo/profil/spieler/411709,https://img.a.transfermarkt.technology/portrait/small/411709-1579697816.png?lm=1,Angulo,21,Mexico,mx,Deportivo Toluca,Culiacán Rosales,Jesús Ricardo Angulo Uriarte,Midfield - Attacking Midfield,"1,72 m",20.02.1997,72,17,9,0,3,0,0,29,35,3.833
