rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Luis Montes,Luis Arturo Montes Jiménez,409,56,66,31.022,N/A,Montes,10,84,3,Club León FC,Midfield - Attacking Midfield,"1,66 m",Mexico,mx,https://www.transfermarkt.us/luis-montes/profil/spieler/52618,https://img.a.transfermarkt.technology/portrait/small/52618-1558355072.png?lm=1,N/A,15.05.1986,Ciudad Juárez,Without Club
2,Elías Hernández,Elías Hernán Hernández Jacuinde,304,44,64,19.984,N/A,Hernández,11,10,0,Club León FC,Attack - Right Winger,"1,71 m",Mexico,mx,https://www.transfermarkt.us/elias-hernandez/profil/spieler/71433,https://img.a.transfermarkt.technology/portrait/small/71433-1580830549.jpg?lm=1,N/A,29.04.1988,Morelia,Atlético La Paz
3,Ángel Mena,Unknown,208,80,47,15.385,N/A,Unknown,Unknown,26,0,Club León FC,Unknown,Unknown,Ecuador,ec,https://www.transfermarkt.us/angel-mena/profil/spieler/123609,https://img.a.transfermarkt.technology/portrait/small/123609-1668498789.jpg?lm=1,N/A,21.01.1988,Unknown,Orense SC
4,Fernando Navarro,Fernando Navarro Morán,259,21,28,19.723,N/A,Navarro,19,43,2,Club León FC,Midfield - Central Midfield,"1,65 m",Mexico,mx,https://www.transfermarkt.us/fernando-navarro/profil/spieler/71468,https://img.a.transfermarkt.technology/portrait/small/71468-1582819497.jpg?lm=1,N/A,18.04.1989,Mexico City,Retired
5,Hernán Burbano,Hernán Darío Burbano,169,19,24,11.165,N/A,Burbano,Unknown,30,0,Club León FC,Attack - Left Winger,"1,69 m",Colombia,co,https://www.transfermarkt.us/hernan-burbano/profil/spieler/176255,https://img.a.transfermarkt.technology/portrait/small/176255-1425392635.jpg?lm=1,N/A,05.03.1988,Santander de Quilichao,Retired
6,Jean Meneses,Unknown,152,22,22,11.189,N/A,Unknown,Unknown,10,1,Club León FC,Unknown,Unknown,Chile,cl,https://www.transfermarkt.us/jean-meneses/profil/spieler/217228,https://img.a.transfermarkt.technology/portrait/small/217228-1558355189.png?lm=1,N/A,16.03.1993,Unknown,Clube de Regatas Vasco da Gama
7,Mauro Boselli,Unknown,221,130,17,17.689,N/A,Boselli,-,17,1,Club León FC,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/mauro-boselli/profil/spieler/40822,https://img.a.transfermarkt.technology/portrait/small/40822-1425462626.jpg?lm=1,N/A,22.05.1985,Buenos Aires,Retired
8,Víctor Dávila,Víctor Alejandro Dávila Zavala,106,33,13,7.472,N/A,Dávila,7,13,2,Club León FC,Attack - Centre-Forward,"1,74 m",Chile,cl,https://www.transfermarkt.us/victor-davila/profil/spieler/366143,https://img.a.transfermarkt.technology/portrait/small/366143-1692736569.png?lm=1,N/A,04.11.1997,Iquique,CF América
9,Osvaldo Rodríguez,Osvaldo Rodríguez del Portal,204,6,13,14.401,N/A,Rodríguez,15,33,2,Club León FC,Defender - Left-Back,"1,75 m",Mexico,mx,https://www.transfermarkt.us/osvaldo-rodriguez/profil/spieler/295426,https://img.a.transfermarkt.technology/portrait/small/295426-1582819628.jpg?lm=1,N/A,10.09.1996,San Luis Potosí,Tigres UANL
10,Yairo Moreno,Yairo Yesid Moreno Berrío,122,11,13,7.584,N/A,Moreno,8,13,0,Club León FC,Midfield - Left Midfield,"1,84 m",Colombia,co,https://www.transfermarkt.us/yairo-moreno/profil/spieler/331756,https://img.a.transfermarkt.technology/portrait/small/331756-1714416733.JPG?lm=1,N/A,04.04.1995,Necoclí,Without Club
11,Andrés Andrade,Andrés Felipe Andrade Torres,72,10,11,4.510,N/A,Andrade,7,14,0,Club León FC,Attack - Left Winger,"1,83 m",Colombia,co,https://www.transfermarkt.us/andres-andrade/profil/spieler/120093,https://img.a.transfermarkt.technology/portrait/small/120093-1722351795.jpg?lm=1,N/A,23.02.1989,Santiago de Cali,Atlético Bucaramanga
