rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jesús Isijara,Jesús Antonio Isijara Rodríguez,216,32,17,12.840,N/A,Isijara,-,28,2,Club Necaxa,Attack - Right Winger,"1,80 m",Mexico,mx,https://www.transfermarkt.us/jesus-isijara/profil/spieler/103790,https://img.a.transfermarkt.technology/portrait/small/103790-1469552328.png?lm=1,N/A,26.09.1989,Navolato,Without Club
2,Luis Felipe Gallegos,Luis Felipe Gallegos Leiva,188,17,16,13.866,N/A,Gallegos,-,28,4,Club Necaxa,Midfield - Central Midfield,"1,73 m",Chile,cl,https://www.transfermarkt.us/luis-felipe-gallegos/profil/spieler/155054,https://img.a.transfermarkt.technology/portrait/small/155054-1469552434.png?lm=1,N/A,03.12.1991,Copiapó,Auckland FC
3,Ricardo Monreal,Ricardo Saúl Monreal Morales,90,9,12,3.896,N/A,Monreal,-,13,1,Club Necaxa,Attack - Centre-Forward,"1,82 m",Mexico,mx,https://www.transfermarkt.us/ricardo-monreal/profil/spieler/532240,https://img.a.transfermarkt.technology/portrait/small/532240-1579706564.png?lm=1,N/A,10.02.2001,Zacatecas,Club Necaxa
4,Martín Barragán,Martín Barragán Negrete,99,19,10,4.877,N/A,Barragán,-,4,1,Club Necaxa,Attack - Centre-Forward,"1,78 m",Mexico,mx,https://www.transfermarkt.us/martin-barragan/profil/spieler/264126,https://img.a.transfermarkt.technology/portrait/small/264126-1415368484.jpg?lm=1,N/A,14.07.1991,Tizapán El Alto,Celaya FC
5,Gerardo Galindo,Gerardo Gabriel Galindo Martínez,85,1,9,7.340,N/A,Galindo,-,30,2,Club Necaxa,Midfield - Defensive Midfield,,Mexico,mx,https://www.transfermarkt.us/gerardo-galindo/profil/spieler/53316,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.05.1978,Cuernavaca,Retired
6,Álex Aguinaga,Álex Darío Aguinaga Garzón,229,40,9,17.862,N/A,Aguinaga,10,46,6,Club Necaxa,Midfield - Attacking Midfield,,Ecuador,ec,https://www.transfermarkt.us/alex-aguinaga/profil/spieler/80438,https://img.a.transfermarkt.technology/portrait/small/80438-1640004217.jpg?lm=1,N/A,09.07.1969,Ibarra,Retired
7,Diéter Villalpando,Diéter Daniel Villalpando Pérez,74,5,8,5.200,N/A,Villalpando,22,12,2,Club Necaxa,Midfield - Central Midfield,"1,72 m",Mexico,mx,https://www.transfermarkt.us/dieter-villalpando/profil/spieler/308477,https://img.a.transfermarkt.technology/portrait/small/308477-1564488710.png?lm=1,N/A,04.08.1991,Mexico City,FC Juárez
8,Brayan Garnica,Brayan Eduardo Garnica Cortés,90,5,8,6.539,N/A,Garnica,Unknown,11,1,Club Necaxa,Attack - Right Winger,"1,67 m",Mexico,mx,https://www.transfermarkt.us/brayan-garnica/profil/spieler/401311,https://img.a.transfermarkt.technology/portrait/small/401311-1671215226.jpg?lm=1,N/A,27.05.1996,Chimalhuacán,Puebla FC
9,Heriberto Jurado,Heriberto de Jesús Jurado Flores,84,2,7,3.759,N/A,Jurado,-,6,2,Club Necaxa,Attack - Left Winger,"1,73 m",Mexico,mx,https://www.transfermarkt.us/heriberto-jurado/profil/spieler/950874,https://img.a.transfermarkt.technology/portrait/small/950874-1660074499.jpg?lm=1,N/A,03.01.2005,Mexico City,Cercle Brugge
10,Everaldo Barbosa,Everaldo Vergne de Assis Barbosa,220,10,6,16.676,N/A,Barbosa,Unknown,83,5,Club Necaxa,Midfield - Defensive Midfield,"1,78 m",Brazil,br,https://www.transfermarkt.us/everaldo-barbosa/profil/spieler/53358,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.09.1975,Salvador,Retired
11,Xavier Báez,Xavier Iván Báez Gamiño,79,1,6,5.868,N/A,Báez,Unknown,17,0,Club Necaxa,Midfield - Defensive Midfield,"1,71 m",Mexico,mx,https://www.transfermarkt.us/xavier-baez/profil/spieler/50945,https://img.a.transfermarkt.technology/portrait/small/50945-1637864710.jpg?lm=1,N/A,22.07.1987,Reynosa,Retired
12,Maximiliano Salas,Maximiliano Nahuel Salas,87,11,6,4.065,N/A,Salas,Unknown,13,0,Club Necaxa,Attack - Centre-Forward,"1,74 m",Argentina,ar,https://www.transfermarkt.us/maximiliano-salas/profil/spieler/442231,https://img.a.transfermarkt.technology/portrait/small/442231-1724348343.png?lm=1,N/A,01.12.1997,Curuzú Cuatiá,Racing Club
13,Fernando González,Fernando Rubén González Pineda,90,2,5,7.399,N/A,González,Unknown,14,1,Club Necaxa,Midfield - Defensive Midfield,"1,75 m",Mexico,mx,https://www.transfermarkt.us/fernando-gonzalez/profil/spieler/274963,https://img.a.transfermarkt.technology/portrait/small/274963-1565164823.png?lm=1,N/A,27.01.1994,Mexico City,Deportivo Guadalajara
14,Juan Carlos Mosqueda,Juan Carlos Mosqueda Andrade,96,4,5,5.978,N/A,Mosqueda,Unknown,10,0,Club Necaxa,Midfield - Attacking Midfield,"1,70 m",Mexico,mx,https://www.transfermarkt.us/juan-carlos-mosqueda/profil/spieler/43713,https://img.a.transfermarkt.technology/portrait/small/s_43713_1146_2013_03_17_1.jpg?lm=1,N/A,17.04.1985,Mexico City,Retired
15,Sergio Vázquez,Sergio Marcelo Vázquez Robledo,121,35,5,9.294,N/A,Vázquez,-,17,1,Club Necaxa,Midfield - Attacking Midfield,"1,76 m",Uruguay,uy,https://www.transfermarkt.us/sergio-vazquez/profil/spieler/262179,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.10.1972,Trinidad,Retired
16,Jorge Sánchez,Jorge Alberto Sánchez López,74,5,5,5.584,N/A,Sánchez,Unknown,7,0,Club Necaxa,Midfield - Central Midfield,"1,76 m",Mexico,mx,https://www.transfermarkt.us/jorge-sanchez/profil/spieler/209460,https://img.a.transfermarkt.technology/portrait/small/209460-1469552226.png?lm=1,N/A,14.02.1993,Celaya,Real Estelí FC
17,Fabiano,Unknown,99,24,4,7.965,N/A,Fabiano,-,24,4,Club Necaxa,Midfield - Central Midfield,"1,81 m",Brazil,br,https://www.transfermarkt.us/fabiano/profil/spieler/15695,https://img.a.transfermarkt.technology/portrait/small/s_15695_2035_2010_2.jpg?lm=1,N/A,06.04.1978,Marília,Retired
18,Jairo González,Jairo Daniel González Fajardo,65,1,4,5.391,N/A,González,-,18,0,Club Necaxa,Defender - Left-Back,"1,70 m",Mexico,mx,https://www.transfermarkt.us/jairo-gonzalez/profil/spieler/131066,https://img.a.transfermarkt.technology/portrait/small/131066-1579703523.jpg?lm=1,N/A,27.02.1992,Guadalajara,Without Club
19,Michael García,Michael Gibrant García García,179,7,4,14.431,N/A,García,Unknown,29,1,Club Necaxa,Midfield - Defensive Midfield,"1,70 m",Mexico,mx,https://www.transfermarkt.us/michael-garcia/profil/spieler/124734,https://img.a.transfermarkt.technology/portrait/small/124734-1469552317.png?lm=1,N/A,27.08.1986,Mexico City,Retired
20,Joaquín Martínez,José Joaquín Martínez Valadez,114,5,3,8.253,N/A,Martínez,Unknown,16,0,Club Necaxa,Defender - Right-Back,"1,77 m",Mexico,mx,https://www.transfermarkt.us/joaquin-martinez/profil/spieler/58586,https://img.a.transfermarkt.technology/portrait/small/58586-1453724145.png?lm=1,N/A,22.02.1987,Mexico City,Retired
21,Brayan Beckeles,Brayan Antonio Beckeles,126,2,3,10.520,N/A,Beckeles,21,23,0,Club Necaxa,Defender - Centre-Back,"1,82 m",Honduras,hn,https://www.transfermarkt.us/brayan-beckeles/profil/spieler/171043,https://img.a.transfermarkt.technology/portrait/small/171043-1583666721.jpg?lm=1,N/A,28.11.1985,La Ceiba,CD Victoria La Ceiba
22,Agustín Oliveros,Agustín Oliveros Cano,111,3,3,9.544,N/A,Oliveros,4,15,0,Club Necaxa,Defender - Centre-Back,"1,83 m",Uruguay,uy,https://www.transfermarkt.us/agustin-oliveros/profil/spieler/589363,https://img.a.transfermarkt.technology/portrait/small/589363-1623093589.jpg?lm=1,N/A,17.08.1998,Montevideo,Club Necaxa
23,José Higareda,José María Higareda Gálvez,163,1,3,13.416,N/A,Higareda,-,35,1,Club Necaxa,Defender - Right-Back,"1,73 m",Mexico,mx,https://www.transfermarkt.us/jose-higareda/profil/spieler/262169,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.06.1968,Guadalajara,Retired
24,Zaguinho,Unknown,104,24,3,6.711,N/A,Zaguinho,-,22,2,Club Necaxa,Attack - Centre-Forward,"1,90 m",Mexico,mx,https://www.transfermarkt.us/zaguinho/profil/spieler/102519,https://img.a.transfermarkt.technology/portrait/small/102519-1589985332.jpg?lm=1,N/A,23.05.1967,Mexico City,Retired
25,Víctor Lojero,Víctor Hugo Lojero Alexanderson,154,87,2,11.864,N/A,Lojero,Unknown,16,0,Club Necaxa,Attack - Centre-Forward,"1,72 m",Mexico,mx,https://www.transfermarkt.us/victor-lojero/profil/spieler/67185,https://img.a.transfermarkt.technology/portrait/small/67185-1443624514.png?lm=1,N/A,17.11.1984,Mexico City,Chapulineros de Oaxaca
26,Sergio Zárate,Sergio Fabián Zárate Riga,70,23,2,5.414,N/A,Zárate,-,10,2,Club Necaxa,Attack - Centre-Forward,,Argentina,ar,https://www.transfermarkt.us/sergio-zarate/profil/spieler/17984,https://img.a.transfermarkt.technology/portrait/small/17984-1513157080.jpg?lm=1,N/A,14.01.1969,Buenos Aires,Retired
27,Alexis Peña,Unknown,133,3,2,11.281,N/A,Unknown,Unknown,18,1,Club Necaxa,Unknown,Unknown,Mexico,mx,https://www.transfermarkt.us/alexis-pena/profil/spieler/397680,https://img.a.transfermarkt.technology/portrait/small/397680-1579698167.png?lm=1,N/A,13.01.1996,Unknown,Club Necaxa
28,Mario Pérez,Mario Pérez Zúñiga,182,7,2,15.075,N/A,Pérez,-,42,3,Club Necaxa,Defender - Left-Back,"1,79 m",Mexico,mx,https://www.transfermarkt.us/mario-perez/profil/spieler/53267,https://img.a.transfermarkt.technology/portrait/small/s_53267_1146_2013_03_17_1.jpg?lm=1,N/A,17.06.1982,Mexico City,Retired
29,Fernando Arce,Fernando David Arce Juárez,78,5,2,5.317,N/A,Arce,15,16,1,Club Necaxa,Midfield - Defensive Midfield,"1,85 m",United States,us,https://www.transfermarkt.us/fernando-arce/profil/spieler/349150,https://img.a.transfermarkt.technology/portrait/small/349150-1579703957.png?lm=1,N/A,27.11.1996,"Chula Vista, California",Club Necaxa
30,Carlos Hurtado,Carlos Alberto Hurtado Arteaga,172,5,2,9.340,N/A,Hurtado,Unknown,28,3,Club Necaxa,Attack - Second Striker,"1,62 m",Mexico,mx,https://www.transfermarkt.us/carlos-hurtado/profil/spieler/71437,https://img.a.transfermarkt.technology/portrait/small/s_71437_1146_2013_03_17_1.jpg?lm=1,N/A,22.01.1984,Zacatepec de Hidalgo,Retired
31,Luis Pérez,Luis Ernesto Pérez Martínez,190,10,2,13.743,N/A,Pérez,-,59,2,Club Necaxa,Midfield - Defensive Midfield,"1,75 m",Mexico,mx,https://www.transfermarkt.us/luis-perez/profil/spieler/118646,https://img.a.transfermarkt.technology/portrait/small/118646-1579704012.png?lm=1,N/A,15.03.1989,Moctezuma,Without Club
32,Mario de Luna,Mario Humberto de Luna Saucedo,114,1,2,9.351,N/A,de Luna,Unknown,12,0,Club Necaxa,Defender - Centre-Back,"1,80 m",Mexico,mx,https://www.transfermarkt.us/mario-de-luna/profil/spieler/67712,https://img.a.transfermarkt.technology/portrait/small/67712-1544358673.png?lm=1,N/A,05.01.1988,Aguascalientes,Without Club
33,Pablo Quattrocchi,Pablo Javier Quattrocchi,184,14,1,16.334,N/A,Quattrocchi,Unknown,43,1,Club Necaxa,Defender - Centre-Back,"1,88 m",Argentina,ar,https://www.transfermarkt.us/pablo-quattrocchi/profil/spieler/2990,https://img.a.transfermarkt.technology/portrait/small/s_2990_123_2013_10_30_1.jpg?lm=1,N/A,19.01.1974,Quilmes,Retired
34,Diego Martínez,Diego Alfonso Martínez Balderas,147,15,1,12.219,N/A,Martínez,-,42,6,Club Necaxa,Defender - Right-Back,"1,83 m",Mexico,mx,https://www.transfermarkt.us/diego-martinez/profil/spieler/50936,https://img.a.transfermarkt.technology/portrait/small/s_50936_4961_2013_03_03_1.jpg?lm=1,N/A,15.02.1981,Mexiko-Stadt,Retired
35,Jaime Hernández,Jaime Hernández Ramírez,85,0,1,5.603,N/A,Hernández,Unknown,14,1,Club Necaxa,Defender,"1,77 m",Mexico,mx,https://www.transfermarkt.us/jaime-hernandez/profil/spieler/991160,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.12.1972,Mexico City,Retired
36,Hugo González,Hugo Alfonso González Durán,82,0,1,7.295,N/A,González,24,10,0,Club Necaxa,Goalkeeper,"1,84 m",Mexico,mx,https://www.transfermarkt.us/hugo-gonzalez/profil/spieler/129031,https://img.a.transfermarkt.technology/portrait/small/129031-1523620371.jpg?lm=1,N/A,01.08.1990,San Luis Potosí,Mazatlán FC
37,Alejandro Castillo,Alejandro Castillo Castillo,82,11,1,3.195,N/A,Castillo,Unknown,8,2,Club Necaxa,Attack - Centre-Forward,"1,85 m",Mexico,mx,https://www.transfermarkt.us/alejandro-castillo/profil/spieler/71395,https://img.a.transfermarkt.technology/portrait/small/s_71395_5138_2013_03_20_1.jpg?lm=1,N/A,15.07.1987,Mexico City,Retired
38,Luis Padilla,Luis Alberto Padilla Ponce,197,7,1,16.065,N/A,Padilla,Unknown,30,2,Club Necaxa,Defender - Centre-Back,"1,84 m",Mexico,mx,https://www.transfermarkt.us/luis-padilla/profil/spieler/53266,https://img.a.transfermarkt.technology/portrait/small/53266-1443623847.png?lm=1,N/A,24.02.1985,Guadalajara,Retired
39,Horacio Cervantes,Horacio Javier Cervantes Chávez,71,4,1,6.142,N/A,Cervantes,Unknown,20,0,Club Necaxa,Defender - Centre-Back,"1,92 m",Mexico,mx,https://www.transfermarkt.us/horacio-cervantes/profil/spieler/53307,https://img.a.transfermarkt.technology/portrait/small/53307-1469975933.png?lm=1,N/A,17.10.1981,Mexico City,Retired
40,Paulo César Chávez,Paulo César Chávez Quirarte,70,4,1,6.242,N/A,Chávez,-,16,1,Club Necaxa,Midfield - Central Midfield,"1,76 m",Mexico,mx,https://www.transfermarkt.us/paulo-cesar-chavez/profil/spieler/71400,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.01.1976,Guadalajara,Retired
41,Alfredo Moreno,Alfredo David Moreno Rojas,182,60,1,12.995,N/A,Moreno,Unknown,39,5,Club Necaxa,Attack - Centre-Forward,"1,79 m",Argentina,ar,https://www.transfermarkt.us/alfredo-moreno/profil/spieler/53337,https://img.a.transfermarkt.technology/portrait/small/53337-1471527111.png?lm=1,N/A,12.01.1980,Santiago del Estero,---
42,Salvador Cabrera,Salvador Cabrera Aguirre,238,8,1,19.091,N/A,Cabrera,-,60,10,Club Necaxa,Defender - Centre-Back,"1,73 m",Mexico,mx,https://www.transfermarkt.us/salvador-cabrera/profil/spieler/53303,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.08.1973,Mexico City,Retired
43,Ezequiel Orozco,Ezequiel Francisco Orozco Padilla,95,11,1,4.793,N/A,Orozco,Unknown,6,0,Club Necaxa,Attack - Centre-Forward,"1,76 m",Mexico,mx,https://www.transfermarkt.us/ezequiel-orozco/profil/spieler/103792,https://img.a.transfermarkt.technology/portrait/small/103792-1521362978.jpg?lm=1,N/A,23.11.1988,Los Mochis,---
