rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,André-Pierre Gignac,André-Pierre Christian Gignac,407,219,53,34.398,N/A,Gignac,10,82,0,Tigres UANL,Attack - Centre-Forward,"1,87 m",France,fr,https://www.transfermarkt.us/andre-pierre-gignac/profil/spieler/43907,https://img.a.transfermarkt.technology/portrait/small/43907-1714769320.jpeg?lm=1,N/A,05.12.1985,Martigues,Tigres UANL
2,Walter Gaitán,Walter Nicolás Gaitán Sayavedra,192,77,2,15.677,N/A,Gaitán,Unknown,32,7,Tigres UANL,Midfield - Attacking Midfield,"1,84 m",Argentina,ar,https://www.transfermarkt.us/walter-gaitan/profil/spieler/53751,https://img.a.transfermarkt.technology/portrait/small/53751-1583083331.jpg?lm=1,N/A,13.03.1977,La Rioja,Retired
3,Lucas Lobos,Lucas Armando Lobos Mack,232,68,55,19.389,N/A,Lobos,-,32,2,Tigres UANL,Attack - Second Striker,"1,75 m",Mexico,mx,https://www.transfermarkt.us/lucas-lobos/profil/spieler/30787,https://img.a.transfermarkt.technology/portrait/small/30787-1441958962.png?lm=1,N/A,03.08.1981,La Plata,Retired
4,Andrés Silvera,Néstor Andrés Silvera,96,51,0,7.525,N/A,Silvera,Unknown,18,4,Tigres UANL,Attack - Centre-Forward,"1,86 m",Argentina,ar,https://www.transfermarkt.us/andres-silvera/profil/spieler/54494,https://img.a.transfermarkt.technology/portrait/small/54494-1705345131.JPG?lm=1,N/A,14.03.1977,Comodoro Rivadavia,Retired
5,Eduardo Vargas,Eduardo Jesús Vargas Rojas,153,42,18,9.264,N/A,Vargas,-,16,0,Tigres UANL,Attack - Centre-Forward,"1,74 m",Chile,cl,https://www.transfermarkt.us/eduardo-vargas/profil/spieler/89718,https://img.a.transfermarkt.technology/portrait/small/89718-1718987860.jpg?lm=1,N/A,20.11.1989,Renca,Club Nacional
6,Alan Pulido,Alan Pulido Izaguirre,125,40,12,6.567,N/A,Pulido,9,3,0,Tigres UANL,Attack - Centre-Forward,"1,76 m",Mexico,mx,https://www.transfermarkt.us/alan-pulido/profil/spieler/143045,https://img.a.transfermarkt.technology/portrait/small/143045-1709930012.jpg?lm=1,N/A,08.03.1991,Ciudad Victoria,Deportivo Guadalajara
7,Juninho,Unknown,328,38,9,28.770,N/A,Juninho,Unknown,62,1,Tigres UANL,Defender - Centre-Back,"1,82 m",Brazil,br,https://www.transfermarkt.us/juninho/profil/spieler/52697,https://img.a.transfermarkt.technology/portrait/small/52697-1471449405.png?lm=1,N/A,16.09.1982,Wenceslau Braz,Retired
8,Claudio Núñez,Claudio Patricio Núñez Caamaño,101,38,3,7.181,N/A,Núñez,-,9,2,Tigres UANL,Attack - Centre-Forward,"1,73 m",Chile,cl,https://www.transfermarkt.us/claudio-nunez/profil/spieler/80490,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.10.1975,Valparaíso,Retired
9,Jesús Olalde,Jesús Javier Olalde Ortiz,141,35,0,10.330,N/A,Olalde,-,12,3,Tigres UANL,Attack - Centre-Forward,"1,70 m",Mexico,mx,https://www.transfermarkt.us/jesus-olalde/profil/spieler/29578,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.05.1974,Mexico City,Retired
10,Enner Valencia,Unknown,118,34,14,7.894,N/A,Unknown,Unknown,2,0,Tigres UANL,Unknown,Unknown,Ecuador,ec,https://www.transfermarkt.us/enner-valencia/profil/spieler/139503,https://img.a.transfermarkt.technology/portrait/small/139503-1665590120.png?lm=1,N/A,04.11.1989,Unknown,Sport Club Internacional
11,Luis Hernández,Luis Arturo Hernández Carreón,59,32,2,5.050,N/A,Hernández,-,11,2,Tigres UANL,Attack - Centre-Forward,"1,75 m",Mexico,mx,https://www.transfermarkt.us/luis-hernandez/profil/spieler/80014,https://img.a.transfermarkt.technology/portrait/small/80014-1589144242.jpg?lm=1,N/A,22.12.1968,Poza Rica,Retired
12,Javier Aquino,Javier Ignacio Aquino Carmona,408,30,56,33.014,N/A,Aquino,34,37,6,Tigres UANL,Defender - Right-Back,"1,67 m",Mexico,mx,https://www.transfermarkt.us/javier-aquino/profil/spieler/111082,https://img.a.transfermarkt.technology/portrait/small/111082-1671122157.jpg?lm=1,N/A,11.02.1990,Oaxaca,Tigres UANL
