name,club,periods
Víctor Lojero,Club Necaxa,"2011-2016, 2016-2016, 2016-2017"
Alfredo Moreno,Club Necaxa,"2001-2001, 2003-2004, 2004-2007, 2009-2009"
Álex Aguinaga,Club Necaxa,1989-2003
Agustín Delgado,Club Necaxa,1999-2002
Sergio Vázquez,Club Necaxa,1997-2000
Jesús Isijara,Club Necaxa,2011-2018
Zaguinho,Club Necaxa,2000-2003
Fabiano,Club Necaxa,2004-2008
Braulio Luna,Club Necaxa,2002-2004
Sergio Zárate,Club Necaxa,"1995-1997, 1998-1999"
Martín Barragán,Club Necaxa,"2017-2018, 2018-2019, 2020-2021"
Fabián Peña,Club Necaxa,"2000-2002, 2003-2006"
Luis Felipe Gallegos,Club Necaxa,"2014-2015, 2015-2020"
Ángel Sosa,Club Necaxa,2001-2004
Pablo Quattrocchi,Club Necaxa,2007-2012
Luis Pérez,Club Necaxa,1999-2003
Sergio Almaguer,Club Necaxa,1997-2001
Ezequiel Orozco,Club Necaxa,"2008-2009, 2010-2013, 2013-2015"
Maximiliano Salas,Club Necaxa,2019-2022
Rodolfo Espinoza,Club Necaxa,"2001-2006, 2007-2008, 2008-2009, 2010-2010, 2011-2011, 2012-2012, 2013-2013, 2014-2014"
Alejandro Castillo,Club Necaxa,"2007-2011, 2011-2013, 2013-2013, 2014-2014"
Luis Pérez,Club Necaxa,"2010-2015, 2016-2016, 2017-2020"
Everaldo Barbosa,Club Necaxa,"2007-2009, 2009-2012, 2013-2015"
Carlos González,Club Necaxa,2001-2006
Ricardo Monreal,Club Necaxa,"2019-2020, 2021-2021, 2022-2025"
Miguel Acosta,Club Necaxa,"1999-2005, 2007-2009"
Daniel Cervantes,Club Necaxa,"2010-2013, 2013-2015"
Salvador Cabrera,Club Necaxa,"1993-1996, 1997-2001, 2002-2003, 2005-2007"
Luis Padilla,Club Necaxa,"2005-2007, 2009-2016"
Mario Pérez,Club Necaxa,"2003-2004, 2005-2007, 2008-2009, 2010-2011, 2011-2011, 2012-2014"
Michael García,Club Necaxa,2012-2017
Carlos Hurtado,Club Necaxa,"2007-2008, 2009-2011, 2011-2015"
Brayan Garnica,Club Necaxa,2022-2025
José Milián,Club Necaxa,"1997-2002, 2003-2004"
Diéter Villalpando,Club Necaxa,"2017-2018, 2018-2019, 2022-2023"
Marcos González,Club Necaxa,2015-2017
Luis Omar Hernández,Club Necaxa,"2005-2010, 2011-2013, 2014-2015, 2015-2015, 2017-2018"
Fernando Arce,Club Necaxa,"2020-2022, 2023-2025"
Joaquín Martínez,Club Necaxa,2012-2015
Jorge Sánchez,Club Necaxa,2014-2017
Horacio Cervantes,Club Necaxa,"2007-2007, 2012-2013"
Edson Alvarado,Club Necaxa,"1994-1998, 2002-2003"
Paulo César Chávez,Club Necaxa,2009-2011
Juan Carlos Mosqueda,Club Necaxa,"2010-2011, 2011-2013, 2014-2014"
Ventura Alvarado,Club Necaxa,"2013-2014, 2018-2020"
José Luis Montes de Oca,Club Necaxa,1996-2002
Pierre Ibarra,Club Necaxa,"2009-2010, 2011-2012"
Alexis Peña,Club Necaxa,"2019-2020, 2022-2022, 2023-2025"
Agustín Oliveros,Club Necaxa,2021-2025
Fernando González,Club Necaxa,"2018-2019, 2021-2022"
Markus López,Club Necaxa,"1998-1999, 2000-2002"
Iván Vázquez Mellado,Club Necaxa,"2002-2003, 2003-2004, 2004-2012, 2013-2014"
Marvin de la Cruz,Club Necaxa,"2007-2009, 2010-2011, 2011-2015"
Brayan Beckeles,Club Necaxa,2015-2019
Juan Reynoso,Club Necaxa,2002-2005
Heriberto Jurado,Club Necaxa,2022-2025
Jairo González,Club Necaxa,"2016-2018, 2019-2021"
José Higareda,Club Necaxa,"1994-2001, 2003-2005"
Gerardo Galindo,Club Necaxa,"2006-2008, 2010-2010, 2011-2011"
Octavio Becerril,Club Necaxa,1994-2000
Mario de Luna,Club Necaxa,"2016-2018, 2020-2021"
Arturo Ledesma,Club Necaxa,2009-2011
Xavier Báez,Club Necaxa,"2016-2016, 2016-2018"
Edgar Solano,Club Necaxa,"1997-2000, 2001-2003, 2009-2009"
Adolfo Ríos,Club Necaxa,1997-1999
Alexandro Álvarez,Club Necaxa,"1997-2002, 2006-2008, 2008-2009, 2013-2013, 2013-2014"
Jaime Hernández,Club Necaxa,1998-2002
Luis Malagón,Club Necaxa,2020-2023
Marcelo Barovero,Club Necaxa,2016-2018
Luis Francisco García,Club Necaxa,"2007-2009, 2010-2015"
Eduardo Vilches,Club Necaxa,1994-1999
Hugo González,Club Necaxa,"2018-2020, 2022-2023"
Nicolás Navarro,Club Necaxa,2000-2003
