name,club,periods
Jesús Olalde,UNAM Pumas,1992-2000
Juan Dinenno,UNAM Pumas,2020-2024
Martín Bravo,UNAM Pumas,2008-2014
Eduardo Herrera,UNAM Pumas,"2011-2013, 2014-2017, 2017-2017"
Dante López,UNAM Pumas,"2008-2011, 2014-2016"
Ismael Sosa,UNAM Pumas,2014-2016
Pablo Barrera,UNAM Pumas,"2005-2010, 2016-2020"
Bruno Marioni,UNAM Pumas,2004-2006
Carlos González,UNAM Pumas,2018-2021
Javier Cortés,UNAM Pumas,2010-2017
Matías Britos,UNAM Pumas,2014-2017
José Luis López,UNAM Pumas,"1999-2000, 2000-2007"
Ismael Íñiguez,UNAM Pumas,"2003-2010, 2011-2011, 2012-2012, 2013-2013, 2014-2014"
Francisco Palencia,UNAM Pumas,"2007-2007, 2007-2012"
Jaime Lozano,UNAM Pumas,"1998-2001, 2002-2005, 2012-2013"
Francisco Fonseca,UNAM Pumas,2002-2005
Ignacio Scocco,UNAM Pumas,"2006-2007, 2007-2008"
Juan Carlos Cacho,UNAM Pumas,"2008-2009, 2010-2012, 2013-2014, 2014-2015, 2015-2015"
Nicolás Castillo,UNAM Pumas,2017-2018
Esteban Solari,UNAM Pumas,2007-2008
Joaquín Botero,UNAM Pumas,2003-2006
Darío Verón,UNAM Pumas,"2003-2005, 2005-2017"
Leandro Augusto,UNAM Pumas,"2001-2011, 2014-2014"
Cristian Domizi,UNAM Pumas,1996-1998
Mariano Trujillo,UNAM Pumas,"1996-2001, 2001-2003"
Julio César Yegros,UNAM Pumas,2000-2002
César Huerta,UNAM Pumas,2022-2025
Felipe Mora,UNAM Pumas,"2018-2019, 2019-2020, 2020-2021"
Joaquín Beltrán,UNAM Pumas,1996-2006
Luis González,UNAM Pumas,"1999-2001, 2001-2004"
Guillermo Martínez,UNAM Pumas,2024-2025
Diego Alonso,UNAM Pumas,2004-2005
Jesús Gallardo,UNAM Pumas,"2014-2015, 2016-2018"
Eduardo Salvio,UNAM Pumas,2022-2024
Matías Alustiza,UNAM Pumas,2018-2018
Fidel Martínez,UNAM Pumas,2015-2017
Israel Castro,UNAM Pumas,2002-2011
Alejandro Glaría,UNAM Pumas,2001-2002
Efraín Velarde,UNAM Pumas,"2006-2014, 2021-2023"
Alan Mendoza,UNAM Pumas,"2011-2015, 2015-2016, 2016-2016, 2016-2020, 2020-2020"
Carlos Lagorio,UNAM Pumas,1999-2000
Diogo de Oliveira,UNAM Pumas,"2021-2022, 2022-2023"
Marco de Almeida,UNAM Pumas,
Alfonso Nieto,UNAM Pumas,"2009-2017, 2017-2017"
Álvaro González,UNAM Pumas,2002-2003
Juan Iturbe,UNAM Pumas,"2018-2020, 2020-2021"
Rodrigo Lemos,UNAM Pumas,2002-2003
Aílton,UNAM Pumas,"2003-2006, 2007-2007"
Jorge Ruvalcaba,UNAM Pumas,"2021-2023, 2024-2025"
Daniel Ludueña,UNAM Pumas,2014-2016
Marco Antonio Palacios,UNAM Pumas,"2004-2007, 2007-2015, 2015-2016"
Luis Quintana,UNAM Pumas,2010-2021
Gerardo Alcoba,UNAM Pumas,"2015-2015, 2016-2018"
Rogério,UNAM Pumas,2021-2022
Antonio Sancho,UNAM Pumas,"1993-2000, 2006-2007"
Mario Álvarez,UNAM Pumas,1998-1999
Gabriel Fernández,UNAM Pumas,2023-2024
Ulises Rivas,UNAM Pumas,2023-2025
Rafael Márquez Lugo,UNAM Pumas,2000-2003
Luis García,UNAM Pumas,2012-2014
Emerson dos Santos,UNAM Pumas,2002-2003
Juan Pablo Vigón,UNAM Pumas,2019-2021
David Toledo,UNAM Pumas,"2004-2006, 2008-2009"
David Cabrera,UNAM Pumas,"2008-2009, 2010-2016, 2017-2020"
Washington Corozo,UNAM Pumas,2021-2022
Víctor Müller,UNAM Pumas,2002-2002
Luis Fuentes,UNAM Pumas,"2009-2017, 2017-2018"
Gustavo del Prete,UNAM Pumas,"2022-2024, 2024-2025"
Ignacio Pussetto,UNAM Pumas,2024-2025
Favio Álvarez,UNAM Pumas,"2020-2020, 2021-2022, 2023-2023, 2023-2024"
Jehu Chiapas,UNAM Pumas,"2005-2011, 2012-2013"
Josecarlos van Rankin,UNAM Pumas,"2011-2012, 2013-2018, 2019-2019"
Roberto Ramírez,UNAM Pumas,2011-2015
Ariel López,UNAM Pumas,2006-2007
Ariel Nahuelpán,UNAM Pumas,"2013-2014, 2014-2014"
Vicente Nieto,UNAM Pumas,
Jorge Campos,UNAM Pumas,"1988-1995, 1998-1998, 1998-2000, 2001-2002"
Nicolás Freire,UNAM Pumas,"2019-2023, 2024-2024, 2024-2025, 2025-2025"
Silvio Torales,UNAM Pumas,2015-2016
Abraham González,UNAM Pumas,2016-2018
Fernando Espinosa,UNAM Pumas,"2004-2015, 2017-2017"
Carlos Orrantía,UNAM Pumas,"2009-2014, 2014-2015"
Ignacio Malcorra,UNAM Pumas,2018-2020
Israel López,UNAM Pumas,1993-2001
Piero Quispe,UNAM Pumas,2024-2025
Braulio Luna,UNAM Pumas,1993-1998
Martín Rodríguez,UNAM Pumas,"2018-2019, 2019-2020, 2020-2020, 2020-2021"
Andrés Iniestra,UNAM Pumas,"2016-2017, 2018-2021, 2021-2022"
Robin Ramírez,UNAM Pumas,2013-2014
Martín Cardetti,UNAM Pumas,2005-2006
Arturo Ortiz,UNAM Pumas,2021-2024
Alí Ávila,UNAM Pumas,2024-2025
Martín García,UNAM Pumas,2002-2003
Ariel González,UNAM Pumas,2006-2007
Antonio de Nigris,UNAM Pumas,2005-2006
Marco García,UNAM Pumas,"2016-2021, 2021-2023"
Rubens Sambueza,UNAM Pumas,2007-2008
