rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,André-Pierre Gignac,André-Pierre Christian Gignac,407,219,53,34.398,2015-2025,Gignac,10,82,0,Tigres UANL,Attack - Centre-Forward,"1,87 m",France,fr,https://www.transfermarkt.us/andre-pierre-gignac/profil/spieler/43907,https://img.a.transfermarkt.technology/portrait/small/43907-1714769320.jpeg?lm=1,,05.12.1985,Martigues,Tigres UANL
2,Walter Gaitán,Walter Nicolás Gaitán Sayavedra,192,77,2,15.677,"2002-2003, 2003-2007",Gaitán,Unknown,32,7,Tigres UANL,Midfield - Attacking Midfield,"1,84 m",Argentina,ar,https://www.transfermarkt.us/walter-gaitan/profil/spieler/53751,https://img.a.transfermarkt.technology/portrait/small/53751-1583083331.jpg?lm=1,,13.03.1977,La Rioja,Retired
3,Lucas Lobos,Lucas Armando Lobos Mack,232,68,55,19.389,,Lobos,-,32,2,Tigres UANL,Attack - Second Striker,"1,75 m",Mexico,mx,https://www.transfermarkt.us/lucas-lobos/profil/spieler/30787,https://img.a.transfermarkt.technology/portrait/small/30787-1441958962.png?lm=1,,03.08.1981,La Plata,Retired
4,Andrés Silvera,Néstor Andrés Silvera,96,51,0,7.525,2003-2006,Silvera,Unknown,18,4,Tigres UANL,Attack - Centre-Forward,"1,86 m",Argentina,ar,https://www.transfermarkt.us/andres-silvera/profil/spieler/54494,https://img.a.transfermarkt.technology/portrait/small/54494-1705345131.JPG?lm=1,,14.03.1977,Comodoro Rivadavia,Retired
5,Eduardo Vargas,Eduardo Jesús Vargas Rojas,153,42,18,9.264,2017-2020,Vargas,-,16,0,Tigres UANL,Attack - Centre-Forward,"1,74 m",Chile,cl,https://www.transfermarkt.us/eduardo-vargas/profil/spieler/89718,https://img.a.transfermarkt.technology/portrait/small/89718-1718987860.jpg?lm=1,,20.11.1989,Renca,Club Nacional
6,Alan Pulido,Alan Pulido Izaguirre,125,40,12,6.567,2009-2015,Pulido,9,3,0,Tigres UANL,Attack - Centre-Forward,"1,76 m",Mexico,mx,https://www.transfermarkt.us/alan-pulido/profil/spieler/143045,https://img.a.transfermarkt.technology/portrait/small/143045-1709930012.jpg?lm=1,,08.03.1991,Ciudad Victoria,Deportivo Guadalajara
7,Juninho,Unknown,328,38,9,28.77,2010-2019,Juninho,Unknown,62,1,Tigres UANL,Defender - Centre-Back,"1,82 m",Brazil,br,https://www.transfermarkt.us/juninho/profil/spieler/52697,https://img.a.transfermarkt.technology/portrait/small/52697-1471449405.png?lm=1,,16.09.1982,Wenceslau Braz,Retired
8,Claudio Núñez,Claudio Patricio Núñez Caamaño,101,38,3,7.181,"1996-1998, 1998-2002, 2002-2003, 2005-2005",Núñez,-,9,2,Tigres UANL,Attack - Centre-Forward,"1,73 m",Chile,cl,https://www.transfermarkt.us/claudio-nunez/profil/spieler/80490,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,16.10.1975,Valparaíso,Retired
9,Jesús Olalde,Jesús Javier Olalde Ortiz,141,35,0,10.33,2000-2005,Olalde,-,12,3,Tigres UANL,Attack - Centre-Forward,"1,70 m",Mexico,mx,https://www.transfermarkt.us/jesus-olalde/profil/spieler/29578,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,05.05.1974,Mexico City,Retired
10,Enner Valencia,Unknown,118,34,14,7.894,2017-2020,Unknown,Unknown,2,0,Tigres UANL,Unknown,Unknown,Ecuador,ec,https://www.transfermarkt.us/enner-valencia/profil/spieler/139503,https://img.a.transfermarkt.technology/portrait/small/139503-1665590120.png?lm=1,,04.11.1989,Unknown,Sport Club Internacional
