name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Rob van Dijk,Retired,https://www.transfermarkt.us/rob-van-dijk/profil/spieler/4485,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,van Dijk,Unknown,Netherlands,nl,RKC Waalwijk,Voorhout,Robert van Dijk,Goalkeeper,"1,93 m",15.01.1969,284,0,1,0,7,0,1,0,3,25.348
Patrick van Diemen,Retired,https://www.transfermarkt.us/patrick-van-diemen/profil/spieler/4498,https://img.a.transfermarkt.technology/portrait/small/4498-1614159998.jpg?lm=1,van Diemen,Unknown,Netherlands,nl,RKC Waalwijk,Woerden,Unknown,Midfield - Defensive Midfield,"1,85 m",12.06.1972,268,20,20,1,27,1,0,9,11,23.274
Leon Hutten,Retired,https://www.transfermarkt.us/leon-hutten/profil/spieler/224175,https://img.a.transfermarkt.technology/portrait/small/s_224175_123_2012_1.jpg?lm=1,Hutten,Unknown,Netherlands,nl,RKC Waalwijk,Tilburg,Unknown,Defender - Right-Back,"1,78 m",30.09.1962,249,1,0,0,31,0,2,1,18,21.694
Hans Mulder,Retired,https://www.transfermarkt.us/hans-mulder/profil/spieler/45562,https://img.a.transfermarkt.technology/portrait/small/45562-1664781140.jpg?lm=1,Mulder,-,Netherlands,nl,RKC Waalwijk,Amsterdam,Hans Jorge Mulder,Defender - Centre-Back,"1,80 m",27.04.1987,247,12,8,1,34,3,4,43,47,17.769
Marcel Brands,Retired,https://www.transfermarkt.us/marcel-brands/profil/spieler/186321,https://img.a.transfermarkt.technology/portrait/small/s_186321_123_2012_1.jpg?lm=1,Brands,Unknown,Netherlands,nl,RKC Waalwijk,Den Bosch,Unknown,Midfield - Central Midfield,Unknown,16.03.1962,245,35,8,1,8,0,1,0,8,21.842
Rick Hoogendorp,Retired,https://www.transfermarkt.us/rick-hoogendorp/profil/spieler/4508,https://img.a.transfermarkt.technology/portrait/small/4508-1677875115.jpg?lm=1,Hoogendorp,Unknown,Netherlands,nl,RKC Waalwijk,Blerick,Unknown,Attack - Centre-Forward,"1,81 m",12.01.1975,237,107,20,0,21,1,1,13,72,19.419
Etienne Vaessen,FC Groningen,https://www.transfermarkt.us/etienne-vaessen/profil/spieler/387197,https://img.a.transfermarkt.technology/portrait/small/387197-1723456623.jpg?lm=1,Unknown,Unknown,Suriname,sr,RKC Waalwijk,Unknown,Unknown,Unknown,Unknown,26.07.1995,210,0,2,0,25,0,1,2,2,18.707
Frank van Mosselveld,Retired,https://www.transfermarkt.us/frank-van-mosselveld/profil/spieler/19062,https://img.a.transfermarkt.technology/portrait/small/s_19062_235_2013_07_16_1.jpg?lm=1,van Mosselveld,-,Netherlands,nl,RKC Waalwijk,Waalwijk,Unknown,Defender - Centre-Back,"1,85 m",02.01.1984,203,10,4,1,32,2,0,52,26,13.988
Henrico Drost,Retired,https://www.transfermarkt.us/henrico-drost/profil/spieler/17313,https://img.a.transfermarkt.technology/portrait/small/17313-1418935147.jpg?lm=1,Drost,-,Netherlands,nl,RKC Waalwijk,Kampen,Unknown,Defender - Centre-Back,"1,87 m",21.01.1987,187,5,2,1,11,0,1,0,13,16.596
Romeo van Aerde,Retired,https://www.transfermarkt.us/romeo-van-aerde/profil/spieler/206499,https://img.a.transfermarkt.technology/portrait/small/s_206499_123_2012_1.jpg?lm=1,van Aerde,Unknown,Suriname,sr,RKC Waalwijk,Welgelegen,Unknown,Midfield,Unknown,21.09.1967,178,7,3,0,10,0,1,26,30,13.449
Virgilio Teixeira,Retired,https://www.transfermarkt.us/virgilio-teixeira/profil/spieler/4495,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Teixeira,Unknown,Netherlands,nl,RKC Waalwijk,Unknown,Unknown,Defender - Centre-Back,"1,85 m",11.08.1973,177,4,2,0,29,3,0,12,30,14.187
Herman Teeuwen,Retired,https://www.transfermarkt.us/herman-teeuwen/profil/spieler/242361,https://img.a.transfermarkt.technology/portrait/small/s_242361_123_2012_1.jpg?lm=1,Teeuwen,Unknown,Netherlands,nl,RKC Waalwijk,Oss,Unknown,Goalkeeper,"1,93 m",11.08.1958,169,0,0,0,5,0,1,0,0,15.174
Juriën Gaari,Al-Hazem SC,https://www.transfermarkt.us/jurien-gaari/profil/spieler/328455,https://img.a.transfermarkt.technology/portrait/small/328455-1728572072.png?lm=1,Unknown,Unknown,Curacao,unknown,RKC Waalwijk,Unknown,Unknown,Unknown,Unknown,23.12.1993,169,5,6,0,37,0,1,21,14,13.386
Marc van Hintum,Retired,https://www.transfermarkt.us/marc-van-hintum/profil/spieler/1475,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,van Hintum,-,Netherlands,nl,RKC Waalwijk,Oss,Marinus Gerardus Adrianus van Hintum,Defender - Left-Back,"1,75 m",22.06.1967,168,11,1,0,18,0,1,4,15,14.575
Yuri Cornelisse,Retired,https://www.transfermarkt.us/yuri-cornelisse/profil/spieler/4507,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Cornelisse,Unknown,Netherlands,nl,RKC Waalwijk,Alkmaar,Unknown,Midfield - Right Midfield,"1,84 m",08.05.1975,163,27,23,1,9,0,0,23,37,12.693
Robert Fuchs,Retired,https://www.transfermarkt.us/robert-fuchs/profil/spieler/4500,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Fuchs,-,Netherlands,nl,RKC Waalwijk,Eindhoven,Unknown,Midfield - Central Midfield,"1,70 m",15.02.1975,163,22,20,0,18,0,1,34,38,11.829
Dustley Mulder,Retired,https://www.transfermarkt.us/dustley-mulder/profil/spieler/37930,https://img.a.transfermarkt.technology/portrait/small/37930-1665255202.png?lm=1,Mulder,-,Curacao,unknown,RKC Waalwijk,Baarn,Dustley Roman Mulder,Defender - Right-Back,"1,81 m",27.01.1985,161,5,3,2,23,0,0,10,11,13.739
Zeljko Petrovic,Retired,https://www.transfermarkt.us/zeljko-petrovic/profil/spieler/4505,https://img.a.transfermarkt.technology/portrait/small/s_4505_123_2012_11_22_1.jpg?lm=1,Petrovic,-,Montenegro,me,RKC Waalwijk,Nikšić,Жељко Петровић,Defender - Right-Back,"1,75 m",13.11.1965,157,18,15,0,20,0,1,13,26,12.734
Serginho Greene,Retired,https://www.transfermarkt.us/serginho-greene/profil/spieler/4491,https://img.a.transfermarkt.technology/portrait/small/4491-1674330022.png?lm=1,Greene,-,Netherlands,nl,RKC Waalwijk,Amsterdam,Unknown,Midfield - Defensive Midfield,"1,78 m",24.06.1982,157,11,6,0,25,1,2,16,22,12.591
Fred Benson,Retired,https://www.transfermarkt.us/fred-benson/profil/spieler/30473,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Benson,-,Netherlands,nl,RKC Waalwijk,Accra,Fredua Buadee Benson Erchiah,Attack - Centre-Forward,"1,77 m",10.04.1984,155,61,29,0,21,1,1,27,52,11.010
Garry De Graef,Retired,https://www.transfermarkt.us/garry-de-graef/profil/spieler/14862,https://img.a.transfermarkt.technology/portrait/small/14862-1620466286.jpg?lm=1,De Graef,Unknown,Belgium,be,RKC Waalwijk,Aarschot,Unknown,Defender - Left-Back,N/A,21.10.1974,152,14,9,0,12,0,0,12,25,12.353
Daan Rienstra,ADO '20 Heemskerk,https://www.transfermarkt.us/daan-rienstra/profil/spieler/277772,https://img.a.transfermarkt.technology/portrait/small/277772-1418933902.jpg?lm=1,Rienstra,Unknown,Netherlands,nl,RKC Waalwijk,Alkmaar,Unknown,Midfield - Central Midfield,"1,74 m",06.10.1992,150,6,9,0,14,0,0,15,33,11.835
Carlos van Wanrooij,Retired,https://www.transfermarkt.us/carlos-van-wanrooij/profil/spieler/4496,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,van Wanrooij,Unknown,Netherlands,nl,RKC Waalwijk,Kaatsheuvel,Unknown,Midfield - Left Midfield,"1,90 m",01.06.1967,147,8,7,0,24,0,2,12,31,11.574
Robert Braber,Retired,https://www.transfermarkt.us/robert-braber/profil/spieler/29324,https://img.a.transfermarkt.technology/portrait/small/s_29324_235_2013_07_16_1.jpg?lm=1,Braber,Unknown,Netherlands,nl,RKC Waalwijk,Rotterdam,Unknown,Midfield - Attacking Midfield,"1,93 m",09.11.1982,146,20,19,0,15,0,1,20,30,11.168
Alfred Schreuder,Retired,https://www.transfermarkt.us/alfred-schreuder/profil/spieler/4455,https://img.a.transfermarkt.technology/portrait/small/4455-1641291156.jpg?lm=1,Schreuder,-,Netherlands,nl,RKC Waalwijk,Barneveld,Albertus Schreuder,Midfield - Defensive Midfield,"1,79 m",02.11.1972,143,8,5,0,25,0,0,1,9,12.544
André Hoekstra,Retired,https://www.transfermarkt.us/andre-hoekstra/profil/spieler/152294,https://img.a.transfermarkt.technology/portrait/small/s_152294_123_2012_1.jpg?lm=1,Hoekstra,-,Netherlands,nl,RKC Waalwijk,Baarn,Unknown,Midfield - Right Midfield,Unknown,05.04.1962,143,43,6,0,1,0,0,13,33,11.404
Saïd Bakari,Sparta Rotterdam,https://www.transfermarkt.us/said-bakari/profil/spieler/524687,https://img.a.transfermarkt.technology/portrait/small/524687-1723809305.jpg?lm=1,Unknown,Unknown,Comoros,km,RKC Waalwijk,Unknown,Unknown,Unknown,Unknown,22.09.1994,140,8,10,0,6,0,0,48,29,8.867
Adrie Bogers,Retired,https://www.transfermarkt.us/adrie-bogers/profil/spieler/206338,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Bogers,Unknown,Netherlands,nl,RKC Waalwijk,Breda,Unknown,Defender - Left-Back,Unknown,05.04.1965,139,2,0,0,8,2,1,6,7,11.651
Sander Duits,Retired,https://www.transfermarkt.us/sander-duits/profil/spieler/14863,https://img.a.transfermarkt.technology/portrait/small/s_14863_235_2013_07_16_1.jpg?lm=1,Duits,Unknown,Netherlands,nl,RKC Waalwijk,Putten,Unknown,Midfield - Defensive Midfield,"1,83 m",29.08.1983,139,16,13,0,34,2,0,10,53,10.568
Ramon van Haaren,Retired,https://www.transfermarkt.us/ramon-van-haaren/profil/spieler/4370,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,van Haaren,Unknown,Netherlands,nl,RKC Waalwijk,Waalwijk,Unknown,Defender - Left-Back,"1,80 m",16.09.1972,134,0,0,0,18,0,1,3,16,11.511
